open,high,low,close,date,volume
27.0,28.0,26.6,27.15,2022-09-29,64680
27.4,28.15,27.2,27.75,2022-09-30,35633
28.1,28.1,26.75,27.05,2022-10-03,48268
27.5,27.75,26.8,27.05,2022-10-04,50580
26.6,27.8,26.6,27.1,2022-10-06,35623
27.25,27.5,26.8,26.95,2022-10-07,40952
26.95,26.95,26.2,26.45,2022-10-10,37387
26.5,26.8,26.0,26.2,2022-10-11,57751
26.45,26.6,25.9,26.05,2022-10-12,46500
26.35,26.4,25.8,26.3,2022-10-13,27136
26.5,27.35,25.8,25.9,2022-10-14,130094
26.35,26.35,25.15,25.35,2022-10-17,49166
25.2,25.95,25.2,25.5,2022-10-18,70583
26.25,26.25,25.4,25.65,2022-10-19,32989
25.9,25.9,25.05,25.4,2022-10-20,38429
25.85,25.85,25.1,25.2,2022-10-21,28665
25.95,26.5,25.2,25.9,2022-10-24,27382
25.9,25.9,25.3,25.75,2022-10-25,32008
25.75,25.75,25.1,25.4,2022-10-27,40008
25.55,25.65,25.0,25.1,2022-10-28,41524
25.1,25.3,24.55,24.75,2022-10-31,35363
24.5,25.2,24.1,24.85,2022-11-01,33026
24.95,27.2,24.5,26.55,2022-11-02,162366
26.9,26.9,26.1,26.8,2022-11-03,48374
26.85,26.85,25.25,25.9,2022-11-04,66931
25.9,26.25,25.45,25.8,2022-11-07,49762
26.1,27.0,25.65,26.35,2022-11-09,75290
26.8,26.85,25.4,25.8,2022-11-10,45478
25.8,26.6,25.8,26.3,2022-11-11,39962
26.5,26.5,23.3,23.85,2022-11-14,285589
23.6,25.15,23.6,24.9,2022-11-15,105646
25.3,25.9,24.4,25.05,2022-11-16,53930
25.05,25.9,24.6,25.0,2022-11-17,35291
25.05,25.05,23.75,24.05,2022-11-18,75881
23.3,24.4,21.7,23.0,2022-11-21,136158
23.05,23.7,22.9,23.35,2022-11-22,48078
24.15,24.15,22.8,22.85,2022-11-23,53078
23.45,23.45,22.1,23.05,2022-11-24,56254
23.1,23.4,22.7,23.2,2022-11-25,41612
23.2,24.25,22.9,23.1,2022-11-28,61478
23.6,23.6,22.8,23.15,2022-11-29,51810
23.65,23.65,22.5,22.95,2022-11-30,75343
