open,high,low,close,date,volume
620.0,620.0,560.0,605.2,2023-03-14,3414500
608.9,635.0,591.0,610.55,2023-03-15,716897
609.0,634.0,593.35,623.65,2023-03-16,447954
630.0,641.0,621.1,625.25,2023-03-17,194821
631.85,636.6,612.0,623.35,2023-03-20,160904
627.85,639.0,612.2,636.2,2023-03-21,167381
640.0,657.85,630.25,641.75,2023-03-22,301752
634.8,659.85,632.75,654.95,2023-03-23,128918
657.0,685.0,651.0,668.8,2023-03-24,251807
670.0,677.65,633.15,660.8,2023-03-27,170766
660.1,671.7,648.1,657.95,2023-03-28,74930
652.25,660.0,635.0,640.5,2023-03-29,103161
644.35,664.85,632.0,658.45,2023-03-31,265637
657.95,662.0,647.85,656.0,2023-04-03,35723
650.0,670.7,646.85,665.7,2023-04-05,53505
666.0,674.65,652.2,664.65,2023-04-06,27220
663.7,664.95,644.0,648.05,2023-04-10,27851
649.65,661.7,642.7,659.45,2023-04-11,52061
659.45,688.4,652.8,659.65,2023-04-12,127788
656.0,677.4,656.0,673.9,2023-04-13,42833
673.85,674.25,661.0,663.95,2023-04-17,35077
659.1,669.6,651.0,656.95,2023-04-18,70609
657.35,662.45,646.45,659.2,2023-04-19,54376
660.85,664.9,653.0,655.7,2023-04-20,20448
655.05,661.0,644.75,652.65,2023-04-21,22794
646.5,659.1,644.1,645.7,2023-04-24,17973
647.45,666.25,643.0,647.05,2023-04-25,31504
647.0,659.0,647.0,650.95,2023-04-26,14288
647.55,659.9,647.55,655.35,2023-04-27,17200
659.0,661.45,653.3,656.8,2023-04-28,19226
658.05,730.0,658.05,714.85,2023-05-02,165274
712.0,748.0,712.0,737.85,2023-05-03,93362
740.0,758.0,732.9,739.85,2023-05-04,36730
739.85,753.9,718.0,730.25,2023-05-05,32693
738.0,742.05,715.85,720.75,2023-05-08,31764
732.5,734.95,694.6,716.95,2023-05-09,42784
726.75,826.45,715.0,793.8,2023-05-10,215849
793.6,810.9,772.0,777.75,2023-05-11,88565
781.8,844.5,771.95,784.0,2023-05-12,253899
785.0,793.75,732.0,739.05,2023-05-15,99695
743.1,758.65,718.0,746.6,2023-05-16,88325
751.0,762.4,740.45,745.2,2023-05-17,54295
748.0,762.45,732.25,741.3,2023-05-18,32230
730.05,748.7,712.3,717.55,2023-05-19,99279
719.0,753.4,687.25,745.35,2023-05-22,91664
745.35,773.0,745.35,768.4,2023-05-23,130654
776.05,840.0,757.5,825.35,2023-05-24,176414
820.05,924.25,820.0,826.3,2023-05-25,625659
830.0,850.0,820.9,830.05,2023-05-26,132030
830.05,850.95,813.6,831.8,2023-05-29,86367
837.0,842.95,822.35,825.5,2023-05-30,58951
829.7,858.9,825.55,842.4,2023-05-31,103829
848.4,857.85,838.85,846.55,2023-06-01,63014
855.85,890.0,844.0,850.55,2023-06-02,162266
856.7,863.35,820.0,825.95,2023-06-05,61848
845.7,846.6,813.05,819.8,2023-06-06,33699
820.0,832.25,806.45,814.55,2023-06-07,74213
814.5,822.2,798.0,802.65,2023-06-08,59443
809.85,849.95,809.0,824.4,2023-06-09,66100
833.85,855.0,823.0,825.65,2023-06-12,94303
832.9,862.85,828.45,851.35,2023-06-13,140476
851.35,894.95,851.0,864.0,2023-06-14,211417
870.0,879.95,844.05,853.15,2023-06-15,85378
852.0,864.95,836.0,839.35,2023-06-16,52129
850.8,850.8,820.3,824.45,2023-06-19,31930
820.05,826.0,807.8,815.25,2023-06-20,28675
