open,high,low,close,date,volume
189.8,195.0,181.1,186.9,2022-12-05,10482
190.0,190.0,180.05,181.95,2022-12-06,4358
185.0,190.0,176.0,183.2,2022-12-07,66102
185.75,185.75,174.05,174.05,2022-12-08,35183
175.0,175.0,165.35,165.35,2022-12-09,13704
166.25,166.25,157.1,157.1,2022-12-12,2302
155.0,155.0,149.25,149.25,2022-12-13,15169
141.8,156.7,141.8,156.7,2022-12-14,8304
164.5,164.5,164.5,164.5,2022-12-15,4177
171.5,172.7,165.05,172.7,2022-12-16,9167
181.0,181.0,170.0,175.1,2022-12-19,11164
176.4,180.9,175.15,178.6,2022-12-20,2622
179.65,179.65,169.7,169.7,2022-12-21,8545
174.0,174.0,161.5,162.3,2022-12-22,13315
154.5,156.0,154.2,154.2,2022-12-23,2932
159.45,161.8,146.5,146.9,2022-12-26,6022
148.55,153.0,144.05,149.7,2022-12-27,3133
147.9,153.9,147.9,153.0,2022-12-28,2656
155.95,155.95,148.55,149.9,2022-12-29,1295
155.15,155.15,148.1,153.05,2022-12-30,2520
153.8,153.8,145.4,145.4,2023-01-02,6589
142.0,152.65,142.0,152.65,2023-01-03,8189
157.0,157.0,145.05,145.8,2023-01-04,8720
144.9,152.45,143.65,150.1,2023-01-05,3106
146.1,154.8,144.95,152.4,2023-01-06,7061
152.1,153.9,148.0,150.75,2023-01-09,2891
152.9,153.9,149.3,152.75,2023-01-10,901
152.75,152.75,145.15,147.35,2023-01-11,2907
147.35,153.0,142.1,150.8,2023-01-12,4181
151.7,157.85,146.4,155.9,2023-01-13,7198
156.25,158.25,155.15,157.15,2023-01-16,2969
158.25,161.0,152.0,155.2,2023-01-17,2741
157.0,159.4,152.5,157.75,2023-01-18,1602
156.95,158.85,151.55,155.9,2023-01-19,7449
157.05,159.45,155.0,155.3,2023-01-20,2062
157.55,157.8,152.0,154.0,2023-01-23,1889
155.25,155.25,150.15,153.7,2023-01-24,2924
155.05,155.95,149.95,150.65,2023-01-25,5683
154.0,156.4,145.5,145.95,2023-01-27,1958
146.75,152.6,138.65,140.2,2023-01-30,9787
145.5,147.2,141.35,146.4,2023-01-31,3553
151.0,152.0,141.1,143.45,2023-02-01,9645
147.05,148.4,142.95,143.95,2023-02-02,1133
147.05,147.05,140.6,141.95,2023-02-03,2036
135.0,147.75,135.0,141.55,2023-02-06,3688
144.5,146.2,138.1,138.35,2023-02-07,3508
150.0,152.15,137.0,151.9,2023-02-08,58019
154.0,154.0,141.0,145.2,2023-02-09,8553
145.55,145.55,141.55,143.25,2023-02-10,4486
145.05,146.0,141.1,145.25,2023-02-13,2669
141.0,148.4,136.2,141.6,2023-02-14,3840
