open,high,low,close,date,volume
169.85,172.35,166.0,168.75,2022-09-29,106692
171.0,171.8,167.45,170.75,2022-09-30,85416
170.95,174.5,166.45,167.4,2022-10-03,118107
169.6,173.95,167.65,171.9,2022-10-04,180495
172.5,179.0,172.4,177.25,2022-10-06,138927
178.0,188.35,176.25,187.15,2022-10-07,709183
184.9,184.9,176.05,179.8,2022-10-10,253652
179.8,179.8,173.05,174.25,2022-10-11,121698
174.0,176.35,170.7,173.5,2022-10-12,97005
176.95,188.65,172.05,186.35,2022-10-13,718188
190.0,195.75,184.15,187.65,2022-10-14,636102
189.5,193.8,183.45,192.45,2022-10-17,297524
193.8,197.8,190.0,190.75,2022-10-18,297267
192.0,207.5,185.9,198.4,2022-10-19,1813269
198.35,208.65,196.0,205.3,2022-10-20,1042138
206.7,209.85,199.1,203.25,2022-10-21,717401
220.0,243.9,219.0,240.3,2022-10-24,2289378
244.0,267.8,236.1,247.8,2022-10-25,4901633
248.15,266.0,243.2,261.8,2022-10-27,1774532
264.75,271.45,255.7,266.5,2022-10-28,1276599
267.1,278.5,263.5,272.3,2022-10-31,1544941
272.0,272.7,257.3,260.05,2022-11-01,765858
263.75,271.9,260.15,266.55,2022-11-02,664030
266.5,272.95,261.1,262.9,2022-11-03,454529
265.0,269.15,262.0,265.45,2022-11-04,271500
267.8,302.5,263.0,293.35,2022-11-07,3161473
296.0,311.0,291.15,306.0,2022-11-09,1815851
302.6,305.65,277.5,278.9,2022-11-10,1130068
284.0,288.85,272.7,282.35,2022-11-11,679193
283.7,285.25,270.25,271.55,2022-11-14,346244
271.5,278.9,264.2,274.55,2022-11-15,531903
274.55,287.8,270.1,283.25,2022-11-16,600629
284.0,284.8,270.35,272.6,2022-11-17,294014
273.35,275.8,266.7,271.15,2022-11-18,231790
270.75,274.0,265.05,269.1,2022-11-21,193675
270.35,287.95,270.35,272.35,2022-11-22,702062
274.7,277.2,271.1,272.8,2022-11-23,242819
274.65,276.1,267.0,270.75,2022-11-24,181372
271.95,284.95,271.2,283.05,2022-11-25,740771
280.0,298.85,278.1,284.2,2022-11-28,780348
283.9,290.95,280.0,282.4,2022-11-29,388792
283.4,286.5,269.5,273.25,2022-11-30,616254
275.4,277.3,271.8,273.9,2022-12-01,311519
273.8,275.75,271.95,272.55,2022-12-02,199625
274.2,274.5,270.05,271.25,2022-12-05,145862
270.0,274.75,257.9,262.8,2022-12-06,401395
263.0,277.4,262.8,275.0,2022-12-07,631570
275.0,277.95,267.0,274.5,2022-12-08,485771
274.5,275.75,247.8,256.6,2022-12-09,530699
256.0,258.7,247.9,251.35,2022-12-12,374411
253.45,266.5,253.45,262.1,2022-12-13,489605
264.0,264.75,256.25,260.3,2022-12-14,170943
257.0,261.9,250.5,252.3,2022-12-15,225994
252.3,255.4,244.0,245.0,2022-12-16,391230
245.7,250.9,239.1,246.65,2022-12-19,339472
248.4,248.4,241.1,245.75,2022-12-20,168122
248.0,258.7,226.75,229.05,2022-12-21,1139478
229.0,231.8,210.2,212.15,2022-12-22,840498
212.1,216.0,199.7,202.05,2022-12-23,693195
206.95,215.5,171.7,213.05,2022-12-26,562768
217.0,220.95,212.5,217.85,2022-12-27,349244
217.0,223.5,214.5,221.4,2022-12-28,325289
219.0,223.8,217.1,220.5,2022-12-29,159914
222.9,226.45,220.5,221.65,2022-12-30,136181
224.65,232.0,221.2,230.05,2023-01-02,241179
231.0,232.0,226.0,227.5,2023-01-03,147592
228.4,228.4,220.7,223.8,2023-01-04,147858
224.05,225.55,217.1,220.8,2023-01-05,150089
222.8,222.8,210.95,216.0,2023-01-06,175399
217.15,219.95,215.5,216.85,2023-01-09,83033
217.9,217.9,212.1,213.4,2023-01-10,110236
217.8,223.5,212.9,218.05,2023-01-11,198422
219.0,219.3,214.1,216.05,2023-01-12,93660
217.4,222.95,215.85,221.75,2023-01-13,144117
221.95,224.5,218.7,219.75,2023-01-16,87910
219.9,220.7,217.0,218.25,2023-01-17,60205
218.8,223.8,215.1,215.5,2023-01-18,164242
215.45,217.7,214.1,216.6,2023-01-19,94110
218.85,222.85,214.0,216.2,2023-01-20,178378
216.2,217.1,211.85,213.8,2023-01-23,108856
215.0,224.75,213.05,218.9,2023-01-24,819159
219.0,219.4,207.0,208.4,2023-01-25,306659
206.2,209.75,191.75,199.25,2023-01-27,384519
201.8,204.2,195.05,199.45,2023-01-30,201002
200.8,209.9,200.05,208.3,2023-01-31,183796
211.0,214.45,199.45,205.5,2023-02-01,213958
209.2,209.2,199.55,202.2,2023-02-02,244939
202.5,211.85,200.25,209.9,2023-02-03,361958
235.5,251.0,235.5,246.7,2023-02-06,2716507
246.3,246.4,235.55,240.1,2023-02-07,589784
240.2,265.95,238.25,261.15,2023-02-08,2068021
261.0,269.0,255.2,257.85,2023-02-09,991702
256.2,263.0,250.25,253.85,2023-02-10,287729
254.9,258.5,244.3,252.2,2023-02-13,285763
252.95,262.95,250.45,253.7,2023-02-14,186069
253.7,258.0,245.35,252.8,2023-02-15,154053
252.8,262.0,252.8,256.55,2023-02-16,187975
256.95,268.0,254.8,260.45,2023-02-17,280891
260.5,261.8,252.9,254.8,2023-02-20,150692
254.65,255.85,248.0,250.0,2023-02-21,137423
248.5,249.45,240.0,241.7,2023-02-22,163510
241.25,247.65,238.6,240.55,2023-02-23,145690
242.05,245.2,238.75,241.1,2023-02-24,75166
240.0,240.35,227.0,230.05,2023-02-27,223917
230.05,233.5,224.35,228.7,2023-02-28,123843
226.75,244.9,226.75,242.55,2023-03-01,210003
243.8,244.2,237.15,238.2,2023-03-02,126439
239.85,247.5,239.7,244.95,2023-03-03,215245
246.75,252.7,244.5,247.6,2023-03-06,192171
247.0,247.0,240.9,242.05,2023-03-08,144778
242.0,247.8,238.05,239.8,2023-03-09,152651
239.45,239.45,231.55,232.7,2023-03-10,242720
229.25,234.7,221.35,224.8,2023-03-13,168196
224.95,226.7,215.75,220.6,2023-03-14,261052
222.95,227.4,215.0,216.85,2023-03-15,236807
