open,high,low,close,date,volume
504.95,505.9,484.0,492.2,2022-09-29,25769
487.3,502.0,487.0,499.05,2022-09-30,37264
498.15,502.95,489.9,492.7,2022-10-03,31725
497.1,519.85,496.2,502.55,2022-10-04,148500
505.1,514.5,499.65,503.05,2022-10-06,64393
505.8,507.7,500.0,504.55,2022-10-07,39458
504.0,506.45,491.8,495.1,2022-10-10,35902
495.4,501.8,486.8,490.65,2022-10-11,33311
486.85,493.0,481.15,487.25,2022-10-12,29455
485.6,491.65,485.6,487.4,2022-10-13,19945
492.1,504.7,491.85,498.0,2022-10-14,68454
498.6,504.8,494.0,499.7,2022-10-17,39246
499.8,509.05,495.5,499.25,2022-10-18,41081
501.7,513.7,495.9,500.0,2022-10-19,168577
500.0,504.0,496.0,501.55,2022-10-20,25081
501.55,517.85,492.6,497.05,2022-10-21,97441
505.0,516.5,505.0,509.95,2022-10-24,40925
515.95,516.05,507.4,508.9,2022-10-25,32824
511.1,514.0,496.75,498.05,2022-10-27,36500
498.05,504.85,492.1,494.1,2022-10-28,21997
498.0,502.45,495.0,498.0,2022-10-31,20275
505.45,508.45,496.0,498.55,2022-11-01,33338
502.9,512.65,500.05,503.8,2022-11-02,30294
506.35,508.6,495.95,497.6,2022-11-03,28890
500.1,503.45,497.0,498.35,2022-11-04,16998
500.0,504.55,497.0,499.25,2022-11-07,22669
503.0,510.9,493.0,494.0,2022-11-09,67593
494.0,494.2,478.0,484.6,2022-11-10,41934
473.0,476.0,451.0,453.65,2022-11-11,212315
453.65,457.6,433.45,437.5,2022-11-14,95648
438.5,447.0,436.0,437.45,2022-11-15,48591
445.0,445.0,430.0,431.95,2022-11-16,55436
433.5,439.4,430.8,434.4,2022-11-17,40022
436.5,443.15,423.3,430.45,2022-11-18,59933
420.5,428.7,415.0,420.5,2022-11-21,97638
415.2,427.0,415.2,425.45,2022-11-22,42980
427.5,434.95,427.05,431.25,2022-11-23,33949
431.25,434.5,428.0,429.45,2022-11-24,21441
423.6,434.0,423.6,432.05,2022-11-25,57980
432.05,439.4,432.05,436.45,2022-11-28,27392
438.65,442.4,428.4,430.05,2022-11-29,53841
432.25,434.5,427.75,428.4,2022-11-30,31346
430.55,432.0,423.85,424.65,2022-12-01,74815
426.7,433.2,424.5,428.65,2022-12-02,85035
430.65,431.6,424.9,426.15,2022-12-05,49398
426.15,442.0,425.8,431.3,2022-12-06,83571
433.5,435.0,427.65,430.35,2022-12-07,27906
431.75,435.0,428.45,434.2,2022-12-08,66296
434.2,434.95,425.0,425.65,2022-12-09,27105
425.1,430.9,421.1,423.5,2022-12-12,28853
425.7,427.2,421.55,422.95,2022-12-13,32038
425.5,450.0,422.95,441.5,2022-12-14,79777
449.5,449.5,430.8,432.5,2022-12-15,116926
430.0,434.0,423.0,424.6,2022-12-16,31900
425.0,427.05,423.0,423.65,2022-12-19,24078
424.5,425.6,420.2,423.65,2022-12-20,19826
423.0,427.0,421.0,423.55,2022-12-21,62714
426.4,426.4,410.0,411.75,2022-12-22,26976
409.0,412.2,393.7,398.3,2022-12-23,50957
400.3,419.7,394.4,413.7,2022-12-26,41965
415.35,420.0,411.0,416.85,2022-12-27,31936
418.35,435.0,413.85,427.2,2022-12-28,55865
427.2,435.0,418.1,420.25,2022-12-29,41752
420.35,427.5,420.1,421.25,2022-12-30,18741
427.4,432.4,421.3,428.9,2023-01-02,33209
428.9,438.2,425.0,426.15,2023-01-03,39784
427.8,427.8,419.05,421.15,2023-01-04,19962
423.3,425.0,415.95,421.2,2023-01-05,20229
421.2,423.35,414.0,415.6,2023-01-06,23388
417.7,421.35,412.65,414.9,2023-01-09,28962
414.95,416.2,411.25,412.65,2023-01-10,15900
412.65,417.4,412.65,413.95,2023-01-11,8307
413.95,417.6,406.5,409.35,2023-01-12,34257
411.35,412.95,403.85,406.25,2023-01-13,32585
407.9,411.65,405.1,406.4,2023-01-16,13211
406.5,414.65,405.0,411.6,2023-01-17,34382
412.5,415.95,408.05,414.95,2023-01-18,19841
413.7,414.8,410.0,411.75,2023-01-19,18413
415.85,415.85,408.2,409.75,2023-01-20,8320
411.75,411.75,405.65,409.0,2023-01-23,9571
411.0,411.75,407.75,409.6,2023-01-24,7778
408.05,412.5,398.85,408.25,2023-01-25,60175
406.45,407.35,391.55,395.25,2023-01-27,17060
396.0,404.45,392.1,395.1,2023-01-30,11548
397.1,401.85,391.35,399.6,2023-01-31,10139
401.6,409.45,388.1,392.15,2023-02-01,14085
392.15,398.35,385.0,387.05,2023-02-02,16227
388.95,392.85,380.1,383.2,2023-02-03,12048
