open,high,low,close,date,volume
13.25,13.7,13.05,13.15,2022-09-29,60777
13.45,13.45,12.7,13.05,2022-09-30,88804
13.1,13.2,12.85,13.05,2022-10-03,31587
13.2,13.3,12.95,13.25,2022-10-04,36960
13.25,13.6,13.25,13.4,2022-10-06,62051
13.55,13.65,13.1,13.35,2022-10-07,76682
13.05,13.55,12.9,13.25,2022-10-10,73401
13.3,13.3,13.05,13.15,2022-10-11,34887
13.15,13.15,12.9,13.0,2022-10-12,45546
13.45,13.45,12.85,12.95,2022-10-13,68494
13.3,13.3,12.95,13.0,2022-10-14,24964
13.0,13.1,12.75,12.9,2022-10-17,32512
12.9,13.05,12.8,12.95,2022-10-18,32979
13.0,13.3,12.9,13.2,2022-10-19,121977
13.4,13.4,13.0,13.05,2022-10-20,26768
13.2,13.2,12.9,13.05,2022-10-21,32287
13.5,13.5,13.1,13.3,2022-10-24,48362
13.5,13.5,12.95,13.05,2022-10-25,69556
13.1,13.25,12.9,13.15,2022-10-27,46734
13.3,13.35,12.95,13.25,2022-10-28,89302
13.25,13.6,13.25,13.45,2022-10-31,106088
13.75,13.75,13.35,13.4,2022-11-01,56553
13.55,13.6,13.2,13.4,2022-11-02,42408
13.55,13.55,13.1,13.3,2022-11-03,50643
13.45,13.5,13.3,13.4,2022-11-04,43940
13.7,14.4,13.65,13.85,2022-11-07,161546
14.35,14.35,13.65,13.9,2022-11-09,137927
14.35,14.35,13.6,13.85,2022-11-10,53124
13.55,14.6,13.55,13.95,2022-11-11,165304
14.25,14.25,13.7,13.9,2022-11-14,58830
13.75,14.1,13.75,13.85,2022-11-15,80330
13.65,14.1,12.85,13.1,2022-11-16,171319
13.3,13.4,13.1,13.15,2022-11-17,39558
13.5,13.5,13.05,13.15,2022-11-18,86435
13.4,13.4,13.05,13.1,2022-11-21,56438
13.3,13.3,12.95,13.05,2022-11-22,60318
13.0,13.3,13.0,13.2,2022-11-23,44055
13.25,13.25,13.0,13.1,2022-11-24,63406
13.2,13.3,12.7,13.25,2022-11-25,79410
13.25,13.45,13.2,13.25,2022-11-28,92364
13.35,13.6,13.05,13.15,2022-11-29,120506
13.3,13.35,12.95,13.05,2022-11-30,171031
13.25,13.4,13.1,13.2,2022-12-01,120810
13.4,13.4,13.2,13.25,2022-12-02,95078
13.25,13.3,13.15,13.2,2022-12-05,163474
13.45,15.45,13.35,14.55,2022-12-06,801523
14.85,15.0,14.25,14.3,2022-12-07,206190
14.3,14.85,13.8,13.95,2022-12-08,201194
14.25,14.5,13.45,13.6,2022-12-09,141721
13.85,14.15,13.6,13.85,2022-12-12,85420
14.1,14.2,13.8,13.95,2022-12-13,85002
14.2,14.25,13.8,13.9,2022-12-14,108472
14.05,15.15,13.95,14.2,2022-12-15,215895
14.05,14.9,14.05,14.15,2022-12-16,122213
14.15,14.7,14.1,14.55,2022-12-19,165081
14.7,14.75,12.8,14.15,2022-12-20,118616
14.4,14.45,13.15,13.3,2022-12-21,125080
13.2,13.8,12.85,13.35,2022-12-22,177413
13.15,13.15,11.5,12.1,2022-12-23,283484
12.1,13.0,12.1,12.7,2022-12-26,91807
12.7,13.0,12.55,12.85,2022-12-27,78259
13.15,13.4,12.55,12.75,2022-12-28,98982
13.0,13.25,12.65,12.9,2022-12-29,108753
13.35,13.4,12.95,13.15,2022-12-30,60811
13.45,13.45,13.15,13.3,2023-01-02,55386
13.55,13.55,13.05,13.2,2023-01-03,47418
13.5,13.5,12.85,13.05,2023-01-04,67166
13.35,13.35,12.85,13.0,2023-01-05,43701
13.25,13.25,12.85,12.95,2023-01-06,41256
13.0,13.3,11.2,12.9,2023-01-09,69305
13.0,13.15,12.75,12.9,2023-01-10,32252
12.95,13.05,12.85,13.0,2023-01-11,37373
13.2,13.2,12.85,12.95,2023-01-12,22983
13.2,13.2,12.8,12.9,2023-01-13,55727
13.1,13.15,12.7,12.85,2023-01-16,76225
13.05,13.05,12.75,12.95,2023-01-17,32636
13.2,13.2,12.85,12.9,2023-01-18,40384
12.9,13.05,12.75,12.8,2023-01-19,44580
12.6,12.9,12.6,12.75,2023-01-20,39141
13.0,13.2,12.7,13.0,2023-01-23,60890
13.2,13.2,12.6,12.7,2023-01-24,50373
13.0,13.1,12.3,12.5,2023-01-25,128948
12.8,12.8,12.15,12.2,2023-01-27,60040
12.2,12.65,12.1,12.15,2023-01-30,28649
