open,high,low,close,date,volume
273.0,275.7,267.0,269.9,2022-09-29,6810
271.55,275.0,262.1,264.35,2022-09-30,19509
260.45,264.0,255.0,258.6,2022-10-03,16367
265.1,266.9,254.0,259.85,2022-10-04,10032
263.0,268.15,255.3,266.75,2022-10-06,8150
266.75,280.05,266.75,280.05,2022-10-07,10360
284.8,305.0,255.1,301.2,2022-10-10,63471
312.0,312.0,289.8,295.35,2022-10-11,19231
306.0,306.0,282.1,284.4,2022-10-12,16354
288.15,288.15,274.35,283.9,2022-10-13,10418
285.05,296.05,285.0,289.1,2022-10-14,11998
292.0,292.0,281.45,282.95,2022-10-17,6584
291.0,292.1,282.25,283.05,2022-10-18,9897
283.2,284.6,278.95,279.2,2022-10-19,9450
284.75,285.0,277.0,279.85,2022-10-20,6593
278.2,283.2,277.2,279.3,2022-10-21,6283
289.0,293.0,270.1,283.2,2022-10-24,2749
289.15,289.15,278.6,280.45,2022-10-25,5865
276.1,283.8,275.5,276.25,2022-10-27,4890
279.65,279.65,265.65,271.35,2022-10-28,8339
270.0,275.0,270.0,272.95,2022-10-31,11827
272.95,278.7,266.35,267.85,2022-11-01,13691
267.85,271.3,265.5,268.95,2022-11-02,11444
274.0,274.0,263.1,271.15,2022-11-03,4308
266.1,282.45,266.1,277.85,2022-11-04,11751
305.6,305.6,305.6,305.6,2022-11-07,22684
336.15,336.15,336.15,336.15,2022-11-09,20122
351.0,351.0,325.0,335.65,2022-11-10,196256
340.15,351.0,335.95,337.7,2022-11-11,65944
347.0,347.0,335.0,338.05,2022-11-14,29807
337.2,339.2,322.05,324.6,2022-11-15,39622
325.2,334.75,312.15,314.35,2022-11-16,29280
312.45,314.45,299.55,308.0,2022-11-17,35990
310.9,313.95,300.0,309.65,2022-11-18,23972
312.0,312.0,298.55,305.2,2022-11-21,18915
305.25,306.85,298.0,301.25,2022-11-22,21707
306.4,316.3,299.1,316.3,2022-11-23,29376
324.9,332.1,320.0,328.35,2022-11-24,68467
332.0,340.75,322.9,338.2,2022-11-25,43892
351.0,351.0,332.5,333.85,2022-11-28,37552
333.0,338.45,323.0,328.05,2022-11-29,18769
330.65,330.65,320.0,322.55,2022-11-30,29416
331.45,332.0,325.05,329.55,2022-12-01,27431
329.55,346.0,325.95,346.0,2022-12-02,57864
358.0,363.3,353.5,363.3,2022-12-05,27742
381.45,381.45,361.5,368.45,2022-12-06,123438
379.8,392.9,362.5,376.25,2022-12-07,185468
378.6,386.45,357.0,361.9,2022-12-08,60175
362.5,380.9,358.15,362.1,2022-12-09,54409
360.1,368.85,356.0,358.75,2022-12-12,22322
364.25,364.5,350.0,351.5,2022-12-13,26734
353.9,384.3,350.1,373.7,2022-12-14,57211
378.4,382.95,365.0,367.1,2022-12-15,28469
367.1,372.5,360.0,365.35,2022-12-16,16582
368.0,377.9,361.4,363.25,2022-12-19,16357
362.0,364.7,346.45,349.65,2022-12-20,33161
353.9,358.0,325.0,334.8,2022-12-21,33874
335.95,339.85,302.0,310.95,2022-12-22,82496
303.0,323.45,300.0,303.35,2022-12-23,49447
304.1,333.65,304.1,332.55,2022-12-26,40200
335.1,355.0,331.1,349.3,2022-12-27,36174
359.0,359.0,345.0,351.1,2022-12-28,25007
347.0,354.85,340.0,349.7,2022-12-29,11166
351.0,358.9,348.2,352.95,2022-12-30,16602
355.55,356.45,349.0,353.8,2023-01-02,11497
349.0,356.0,348.05,349.75,2023-01-03,13036
348.0,354.7,348.0,351.5,2023-01-04,10735
354.0,362.0,344.0,348.85,2023-01-05,28547
352.35,380.5,352.1,366.3,2023-01-06,90302
380.95,382.0,362.45,363.6,2023-01-09,27043
363.6,374.95,361.25,365.05,2023-01-10,16584
368.0,378.95,367.0,374.15,2023-01-11,40383
374.15,411.4,374.15,396.4,2023-01-12,267994
407.95,411.0,386.05,401.6,2023-01-13,106645
403.0,440.8,402.95,432.25,2023-01-16,196989
