open,high,low,close,date,volume
110.5,111.85,106.7,107.3,2022-09-29,156218
107.3,109.9,105.3,108.65,2022-09-30,273960
108.65,111.9,106.0,106.6,2022-10-03,219277
108.6,111.6,107.2,109.15,2022-10-04,238238
110.8,113.7,110.15,111.9,2022-10-06,315172
111.9,123.05,109.75,122.3,2022-10-07,1493594
120.6,122.9,115.55,116.5,2022-10-10,780502
117.0,118.25,114.15,114.35,2022-10-11,231825
115.65,117.35,113.2,115.6,2022-10-12,183713
115.0,115.7,112.75,113.9,2022-10-13,133791
115.7,117.2,113.1,113.6,2022-10-14,101567
114.05,118.0,113.0,116.05,2022-10-17,278903
116.6,118.5,115.0,115.65,2022-10-18,232167
116.1,116.35,111.55,112.2,2022-10-19,262006
112.25,112.4,108.45,109.1,2022-10-20,283866
109.1,110.3,108.05,108.45,2022-10-21,131620
109.0,110.4,108.5,109.45,2022-10-24,66696
109.7,110.2,108.15,108.65,2022-10-25,105393
109.0,110.45,108.25,109.05,2022-10-27,101065
109.05,109.7,106.0,107.35,2022-10-28,160297
108.4,109.4,107.1,108.5,2022-10-31,164023
108.5,112.5,108.5,109.5,2022-11-01,221262
109.15,116.5,109.15,115.3,2022-11-02,408759
109.4,113.6,106.95,110.4,2022-11-03,373522
110.95,112.9,110.55,111.35,2022-11-04,137380
112.5,114.3,111.7,113.45,2022-11-07,285894
114.6,118.2,111.25,112.0,2022-11-09,294146
102.0,106.8,98.55,101.75,2022-11-10,1445932
102.1,104.0,100.0,100.35,2022-11-11,302000
100.4,101.9,99.3,99.9,2022-11-14,265703
100.0,102.1,99.75,100.25,2022-11-15,224802
100.1,101.15,98.55,99.15,2022-11-16,209494
99.0,99.1,96.6,97.25,2022-11-17,219373
97.25,97.45,92.25,93.35,2022-11-18,501697
96.0,96.0,93.0,93.8,2022-11-21,183436
94.0,94.25,90.5,91.15,2022-11-22,224932
91.45,95.9,91.1,94.5,2022-11-23,401019
95.0,96.9,94.7,95.35,2022-11-24,188697
95.85,98.6,94.85,97.65,2022-11-25,293731
97.1,99.0,96.0,96.2,2022-11-28,189940
96.7,98.75,95.7,96.9,2022-11-29,217107
97.4,101.0,96.5,100.05,2022-11-30,370202
99.75,102.45,99.25,99.95,2022-12-01,271390
100.4,102.5,97.2,99.0,2022-12-02,587461
99.6,100.8,98.85,99.85,2022-12-05,189626
99.0,100.45,98.0,98.75,2022-12-06,639713
99.35,99.4,98.0,98.3,2022-12-07,95721
98.55,99.5,96.85,97.25,2022-12-08,176467
97.4,97.8,95.0,95.75,2022-12-09,122663
96.0,97.5,95.0,96.65,2022-12-12,123797
96.65,100.9,96.5,97.35,2022-12-13,251291
97.75,98.1,96.45,96.6,2022-12-14,137577
97.05,97.5,95.65,96.05,2022-12-15,110008
96.3,96.3,93.45,94.0,2022-12-16,175254
94.45,94.85,92.65,93.85,2022-12-19,83856
94.0,98.7,92.8,95.35,2022-12-20,284925
96.0,97.75,93.0,94.35,2022-12-21,301189
95.15,95.7,92.95,93.4,2022-12-22,346188
93.0,109.0,92.85,101.8,2022-12-23,5474104
106.1,122.0,106.1,108.35,2022-12-26,3317660
108.35,108.9,98.7,99.45,2022-12-27,2081485
100.95,105.0,99.6,102.3,2022-12-28,1189286
102.2,105.5,101.15,102.95,2022-12-29,726634
103.6,103.8,100.7,101.05,2022-12-30,313342
101.5,101.95,99.3,99.85,2023-01-02,317377
99.95,102.9,99.5,100.5,2023-01-03,402651
101.0,101.65,98.0,98.65,2023-01-04,317822
98.9,98.9,96.35,96.8,2023-01-05,340893
97.0,97.35,95.15,95.85,2023-01-06,216068
96.5,96.55,95.75,95.9,2023-01-09,131902
95.9,96.3,93.8,94.55,2023-01-10,158056
95.0,96.4,94.1,95.75,2023-01-11,202324
96.5,96.5,93.1,94.1,2023-01-12,169299
95.75,95.75,93.05,94.9,2023-01-13,464835
95.0,96.25,94.1,95.0,2023-01-16,186324
95.45,95.5,93.0,93.35,2023-01-17,236489
93.75,94.25,92.65,93.3,2023-01-18,262519
93.85,94.9,93.15,93.8,2023-01-19,153682
93.95,96.55,93.6,94.35,2023-01-20,173561
94.75,94.8,93.7,94.05,2023-01-23,124836
94.45,96.1,93.45,94.15,2023-01-24,332660
94.45,94.45,91.75,92.65,2023-01-25,146496
92.65,93.1,88.45,90.7,2023-01-27,232610
90.7,91.6,86.35,86.95,2023-01-30,323588
87.4,91.3,85.65,90.9,2023-01-31,218563
91.5,92.5,87.1,88.9,2023-02-01,200820
89.9,89.9,81.7,84.75,2023-02-02,424328
85.0,85.7,82.35,83.2,2023-02-03,274731
83.9,85.5,82.0,85.05,2023-02-06,217563
85.5,86.35,81.65,82.0,2023-02-07,232279
83.0,84.9,80.65,84.55,2023-02-08,349557
78.85,79.8,75.6,76.6,2023-02-09,1108171
76.05,76.75,71.85,72.35,2023-02-10,697868
72.9,74.0,68.0,71.0,2023-02-13,933086
70.7,71.8,68.15,68.95,2023-02-14,385778
68.2,70.6,66.0,67.1,2023-02-15,519917
68.1,74.75,67.4,70.85,2023-02-16,1460282
70.0,71.35,68.85,69.45,2023-02-17,737567
70.0,70.25,66.7,67.5,2023-02-20,402335
67.5,80.0,67.5,78.9,2023-02-21,7739975
78.2,79.5,75.5,76.45,2023-02-22,1796914
77.0,84.3,76.45,80.0,2023-02-23,5118621
80.8,81.45,76.55,77.95,2023-02-24,1118830
79.95,80.9,75.25,76.3,2023-02-27,1006880
76.6,77.15,75.15,75.85,2023-02-28,414988
76.8,84.5,75.9,80.75,2023-03-01,3374654
80.75,83.3,79.05,81.75,2023-03-02,832932
82.85,84.75,82.0,83.55,2023-03-03,903732
84.15,84.2,82.0,82.55,2023-03-06,405491
81.35,84.4,81.05,83.1,2023-03-08,596167
83.9,86.9,83.35,84.7,2023-03-09,924843
84.2,84.6,82.7,84.05,2023-03-10,379129
84.0,84.9,78.4,79.05,2023-03-13,448661
79.05,81.1,76.9,78.65,2023-03-14,449147
80.05,80.45,76.2,76.8,2023-03-15,353933
77.0,85.6,74.65,84.6,2023-03-16,1468929
84.5,87.25,83.0,85.75,2023-03-17,1364114
85.9,87.5,83.5,84.65,2023-03-20,675304
85.0,88.5,83.7,87.55,2023-03-21,728880
88.15,94.8,86.95,92.85,2023-03-22,2412750
91.95,95.8,90.7,91.55,2023-03-23,1111782
91.85,93.0,86.4,87.55,2023-03-24,974871
86.95,87.8,84.4,85.5,2023-03-27,614592
85.5,93.0,85.15,90.55,2023-03-28,3020384
90.55,92.7,87.85,92.0,2023-03-29,1204185
92.2,94.3,89.5,90.1,2023-03-31,817808
91.0,93.7,89.95,91.8,2023-04-03,872452
91.0,93.25,90.6,91.15,2023-04-05,361836
92.0,93.4,90.25,92.45,2023-04-06,462622
95.0,110.9,94.0,106.65,2023-04-10,10058432
107.1,109.25,104.15,106.0,2023-04-11,3566154
106.6,106.75,102.4,103.3,2023-04-12,807610
103.35,108.2,101.5,103.45,2023-04-13,2098480
103.15,103.15,100.2,102.45,2023-04-17,690764
102.5,105.3,101.8,103.35,2023-04-18,833526
103.95,105.4,102.0,103.1,2023-04-19,672216
103.35,104.7,101.0,101.7,2023-04-20,476992
102.25,102.25,97.95,99.5,2023-04-21,520058
100.2,101.8,95.25,96.4,2023-04-24,605802
96.75,98.9,94.25,96.95,2023-04-25,718413
97.0,98.3,95.35,95.8,2023-04-26,309795
96.15,97.5,95.4,96.7,2023-04-27,225764
97.0,100.8,96.3,96.85,2023-04-28,565603
97.0,98.25,95.05,95.8,2023-05-02,264559
96.0,97.0,94.05,96.05,2023-05-03,298876
96.05,101.8,96.0,98.95,2023-05-04,944043
99.3,99.7,96.6,97.15,2023-05-05,256754
97.7,97.9,96.15,96.5,2023-05-08,205051
97.4,98.4,95.0,95.8,2023-05-09,238334
96.25,96.65,94.05,94.85,2023-05-10,217841
95.3,98.35,95.1,96.6,2023-05-11,266334
97.15,97.3,93.15,95.9,2023-05-12,276139
96.35,102.4,95.1,100.25,2023-05-15,1037693
101.0,102.4,98.6,98.95,2023-05-16,428101
99.25,99.85,97.25,97.95,2023-05-17,224234
98.7,101.2,98.05,98.85,2023-05-18,305567
99.5,101.6,97.5,99.65,2023-05-19,256212
99.75,113.45,97.45,108.9,2023-05-22,2896641
109.5,114.0,109.0,110.45,2023-05-23,1848804
110.0,111.6,107.8,108.45,2023-05-24,657317
108.85,108.85,104.05,104.95,2023-05-25,401900
105.05,107.7,105.0,105.3,2023-05-26,371993
105.45,111.6,105.0,107.1,2023-05-29,1022333
107.0,107.15,100.1,101.6,2023-05-30,794293
101.0,102.35,99.35,100.65,2023-05-31,360679
100.45,104.1,100.45,102.45,2023-06-01,393607
102.6,103.9,101.35,101.65,2023-06-02,197775
102.5,104.35,102.5,103.45,2023-06-05,360222
103.45,107.5,103.05,106.25,2023-06-06,665037
106.5,110.6,106.5,107.75,2023-06-07,979433
108.25,108.45,103.5,104.35,2023-06-08,525325
104.85,106.3,103.75,105.1,2023-06-09,254635
105.85,107.55,104.5,105.35,2023-06-12,296279
107.0,117.95,106.15,113.45,2023-06-13,5592501
114.6,118.85,114.6,118.15,2023-06-14,2435731
120.0,126.8,119.0,125.15,2023-06-15,4624306
125.9,128.4,123.85,125.35,2023-06-16,2043959
125.35,128.2,122.0,122.75,2023-06-19,1170502
123.45,126.45,120.4,125.35,2023-06-20,1105112
125.05,126.9,122.0,122.7,2023-06-21,567993
123.05,124.0,117.85,119.5,2023-06-22,760908
119.9,122.25,118.05,120.3,2023-06-23,645826
120.3,123.9,119.6,122.75,2023-06-26,451549
124.5,125.6,121.2,122.25,2023-06-27,520056
122.6,123.5,120.3,121.0,2023-06-28,291097
121.65,127.9,121.45,123.4,2023-06-30,909599
123.95,125.3,121.5,122.1,2023-07-03,393842
123.1,123.1,118.55,119.5,2023-07-04,397717
119.5,122.4,115.85,121.15,2023-07-05,1140471
122.1,127.2,121.5,123.25,2023-07-06,1117174
123.25,123.85,119.05,121.3,2023-07-07,522494
121.1,122.3,119.5,121.15,2023-07-10,297447
122.0,123.95,119.9,120.75,2023-07-11,438185
121.3,122.85,119.0,119.8,2023-07-12,517184
120.15,121.95,116.25,117.75,2023-07-13,505765
117.95,118.9,116.0,116.8,2023-07-14,460461
116.0,119.75,116.0,117.6,2023-07-17,340051
118.0,118.85,113.0,114.45,2023-07-18,821370
115.3,115.55,112.1,113.95,2023-07-19,323755
113.95,122.5,113.9,121.15,2023-07-20,1752524
121.0,122.2,119.1,120.0,2023-07-21,447687
120.8,122.5,119.25,120.15,2023-07-24,415427
120.9,121.7,117.65,118.85,2023-07-25,343678
115.3,119.1,115.3,117.5,2023-07-26,328119
117.5,119.55,117.0,117.8,2023-07-27,258930
118.8,118.8,115.5,115.9,2023-07-28,263310
116.8,120.05,116.05,117.9,2023-07-31,456409
118.6,127.5,118.4,126.55,2023-08-01,2326512
128.75,134.7,125.8,131.75,2023-08-02,4770781
132.9,136.5,130.55,135.1,2023-08-03,2042176
135.55,136.8,131.7,132.75,2023-08-04,1094634
133.8,134.4,128.6,129.45,2023-08-07,796133
131.35,132.45,125.3,127.65,2023-08-08,957199
128.45,131.05,125.05,130.3,2023-08-09,826226
130.35,133.8,125.75,127.8,2023-08-10,794551
117.0,118.9,113.25,114.3,2023-08-11,1911609
112.0,113.55,108.0,110.35,2023-08-14,814373
110.9,114.7,110.5,111.8,2023-08-16,371473
112.4,113.9,110.8,111.2,2023-08-17,392023
111.95,113.2,108.05,108.85,2023-08-18,487131
109.2,111.3,107.0,107.55,2023-08-21,595871
107.95,113.85,107.45,112.2,2023-08-22,1050050
112.95,116.8,112.0,114.35,2023-08-23,779802
115.3,117.45,113.2,114.25,2023-08-24,396192
114.4,115.0,109.3,109.8,2023-08-25,694289
110.8,112.25,109.9,111.05,2023-08-28,338483
111.9,115.1,111.5,112.95,2023-08-29,459428
114.9,120.4,114.7,117.4,2023-08-30,1471286
117.9,118.6,114.8,115.65,2023-08-31,369076
116.45,119.5,115.45,118.0,2023-09-01,515055
118.65,120.9,116.5,118.4,2023-09-04,608095
119.4,120.5,116.5,117.5,2023-09-05,470304
118.0,118.65,115.0,116.15,2023-09-06,354854
116.65,120.45,116.3,117.65,2023-09-07,593337
118.5,123.45,117.8,120.8,2023-09-08,1097035
125.0,129.05,123.25,126.6,2023-09-11,2088176
127.9,128.45,117.45,118.2,2023-09-12,1188192
118.55,122.5,116.05,120.1,2023-09-13,668457
120.3,126.9,119.55,125.5,2023-09-14,1075769
129.0,131.8,125.3,126.5,2023-09-15,2229111
126.8,128.8,124.0,124.8,2023-09-18,581729
124.5,129.6,122.7,127.95,2023-09-20,978536
127.65,128.6,123.65,124.3,2023-09-21,558932
124.5,126.0,122.35,123.65,2023-09-22,332373
123.0,125.5,120.75,121.65,2023-09-25,419519
121.7,124.15,121.0,121.3,2023-09-26,290069
121.5,122.75,120.55,121.25,2023-09-27,216215
122.0,123.5,116.75,117.5,2023-09-28,541846
118.8,119.35,115.95,118.45,2023-09-29,368120
119.0,119.6,116.1,116.55,2023-10-03,287637
115.9,117.45,112.75,113.75,2023-10-04,493263
115.0,116.75,114.35,115.2,2023-10-05,277078
116.95,119.3,115.6,116.65,2023-10-06,421323
116.0,116.0,112.6,113.0,2023-10-09,296813
113.65,117.4,113.6,115.45,2023-10-10,233929
116.1,117.9,116.05,117.6,2023-10-11,275632
117.9,118.75,114.6,115.3,2023-10-12,245902
114.8,116.05,114.0,114.5,2023-10-13,194179
114.0,117.5,113.6,116.05,2023-10-16,302327
116.85,122.9,114.95,121.4,2023-10-17,1322679
122.0,123.75,118.65,119.8,2023-10-18,488247
119.7,123.9,118.05,123.35,2023-10-19,727857
123.05,128.4,122.6,124.65,2023-10-20,1588445
124.8,126.3,114.35,115.55,2023-10-23,737433
117.95,119.3,110.6,112.45,2023-10-25,760516
113.4,113.4,108.35,111.8,2023-10-26,536517
112.5,116.8,112.5,114.75,2023-10-27,327597
115.6,116.35,113.1,114.7,2023-10-30,239147
116.0,116.65,113.4,114.35,2023-10-31,182725
114.95,116.7,113.1,114.25,2023-11-01,239097
115.3,115.8,114.1,114.8,2023-11-02,130393
115.5,118.25,114.6,116.25,2023-11-03,236027
116.55,122.7,116.55,121.65,2023-11-06,791370
121.8,122.65,119.25,120.4,2023-11-07,405846
120.9,124.2,119.4,120.95,2023-11-08,675045
121.8,123.7,120.0,120.5,2023-11-09,519810
121.0,122.3,119.4,120.85,2023-11-10,240407
122.5,124.8,122.0,123.4,2023-11-12,346656
123.5,144.65,122.55,141.55,2023-11-13,12385058
142.9,146.9,138.65,141.45,2023-11-15,4112376
141.45,144.6,139.0,142.3,2023-11-16,1495232
142.3,148.8,141.45,143.0,2023-11-17,1781754
144.45,145.6,139.45,143.45,2023-11-20,872420
144.3,153.2,143.6,145.45,2023-11-21,2983173
145.45,146.9,140.65,141.7,2023-11-22,903049
142.3,144.45,140.75,141.3,2023-11-23,602696
141.8,143.65,140.4,141.2,2023-11-24,551614
142.0,143.0,137.0,138.35,2023-11-28,738672
139.3,141.45,136.2,136.95,2023-11-29,549946
137.7,140.5,134.55,138.3,2023-11-30,732025
139.35,139.35,132.4,133.45,2023-12-01,798378
135.65,136.95,133.0,136.15,2023-12-04,629539
137.2,138.5,133.25,133.7,2023-12-05,585976
134.8,134.8,129.1,130.7,2023-12-06,1041175
130.6,133.5,129.9,132.7,2023-12-07,553798
133.8,133.95,129.0,130.75,2023-12-08,413732
131.35,133.65,130.05,132.7,2023-12-11,396032
