open,high,low,close,date,volume
1424.65,1436.8,1396.1,1428.75,2022-09-29,27501
1424.8,1438.75,1401.0,1423.95,2022-09-30,81790
1424.0,1439.55,1392.0,1402.2,2022-10-03,71952
1409.25,1420.55,1390.0,1411.35,2022-10-04,45364
1415.0,1424.95,1394.95,1400.85,2022-10-06,61390
1401.55,1409.0,1354.0,1360.05,2022-10-07,41135
1348.0,1374.6,1336.15,1355.0,2022-10-10,38533
1350.05,1366.8,1338.0,1348.7,2022-10-11,39290
1355.4,1364.0,1294.45,1336.7,2022-10-12,103839
1343.4,1349.55,1325.55,1342.9,2022-10-13,13947
1350.0,1374.0,1345.55,1361.15,2022-10-14,31655
1358.0,1366.0,1325.0,1357.95,2022-10-17,33047
1357.95,1368.0,1345.65,1361.05,2022-10-18,28906
1364.0,1381.1,1345.05,1356.2,2022-10-19,327542
1378.95,1386.95,1259.0,1379.45,2022-10-20,102824
1386.35,1388.05,1350.0,1358.6,2022-10-21,18435
1358.6,1384.0,1344.0,1356.3,2022-10-24,4108
1349.1,1378.95,1340.0,1350.75,2022-10-25,89772
1338.5,1361.3,1330.7,1351.6,2022-10-27,271443
1358.35,1373.55,1330.55,1353.15,2022-10-28,25551
1358.0,1367.65,1350.1,1354.3,2022-10-31,13897
1353.0,1380.0,1345.65,1353.15,2022-11-01,28824
1353.6,1369.35,1344.35,1349.95,2022-11-02,148915
1356.7,1375.0,1350.7,1369.85,2022-11-03,17432
1370.5,1398.0,1370.5,1378.35,2022-11-04,27226
1397.35,1405.7,1376.3,1396.15,2022-11-07,18440
1400.0,1421.0,1388.0,1395.9,2022-11-09,155894
1393.0,1478.0,1359.7,1457.35,2022-11-10,312521
1459.0,1509.95,1436.9,1479.0,2022-11-11,117547
1481.35,1498.0,1464.9,1490.15,2022-11-14,29593
1490.0,1497.35,1475.0,1490.6,2022-11-15,23392
1480.2,1506.7,1454.0,1461.3,2022-11-16,26067
1460.0,1510.0,1448.05,1499.95,2022-11-17,578657
1515.0,1547.0,1480.75,1506.95,2022-11-18,93438
1512.0,1534.95,1497.3,1519.9,2022-11-21,24995
1524.0,1526.5,1485.7,1500.4,2022-11-22,15014
1504.6,1527.0,1492.05,1519.3,2022-11-23,19867
1519.0,1565.0,1490.2,1497.8,2022-11-24,82128
1497.8,1520.1,1494.05,1515.65,2022-11-25,14867
1511.45,1542.55,1502.0,1522.3,2022-11-28,27369
1510.0,1542.8,1501.2,1504.75,2022-11-29,19105
1512.3,1539.8,1504.55,1527.85,2022-11-30,23437
1534.0,1559.6,1510.0,1517.1,2022-12-01,26857
1515.0,1529.55,1499.05,1504.85,2022-12-02,23197
1512.8,1517.85,1491.2,1501.85,2022-12-05,15592
1506.0,1512.0,1465.0,1473.85,2022-12-06,26830
1473.0,1487.95,1460.0,1463.35,2022-12-07,10942
1462.0,1476.0,1455.25,1469.1,2022-12-08,8632
1480.0,1491.95,1440.0,1461.5,2022-12-09,16068
1465.2,1501.0,1450.0,1475.55,2022-12-12,50571
1482.9,1483.3,1457.0,1463.75,2022-12-13,13737
1467.0,1482.0,1436.0,1442.65,2022-12-14,19668
1444.0,1466.0,1425.5,1449.6,2022-12-15,23938
1437.0,1457.2,1425.0,1429.55,2022-12-16,15847
1430.15,1466.0,1423.7,1456.85,2022-12-19,41179
1456.85,1474.9,1444.95,1459.8,2022-12-20,24290
1467.0,1467.5,1416.65,1431.05,2022-12-21,23435
1432.0,1447.8,1395.05,1400.8,2022-12-22,16233
