open,high,low,close,date,volume
6.0,6.1,5.85,6.0,2022-09-29,309015
6.1,6.2,6.0,6.1,2022-09-30,200223
6.2,6.25,5.95,6.0,2022-10-03,299919
6.15,6.3,6.05,6.3,2022-10-04,805267
6.45,6.5,6.05,6.15,2022-10-06,1480729
6.2,6.2,5.9,5.95,2022-10-07,181069
5.7,6.05,5.5,5.9,2022-10-10,896277
5.75,6.45,5.35,5.45,2022-10-11,1548411
5.6,5.95,5.6,5.95,2022-10-12,3153576
5.75,6.2,5.65,6.05,2022-10-13,5204664
6.25,6.25,5.8,6.05,2022-10-14,638137
5.9,6.2,5.9,6.1,2022-10-17,4202867
6.05,6.2,5.9,5.95,2022-10-18,295014
5.95,6.05,5.85,5.95,2022-10-19,1623595
6.05,6.05,5.85,5.9,2022-10-20,354793
6.0,6.0,5.75,5.9,2022-10-21,606033
6.0,6.0,5.65,5.8,2022-10-24,430272
5.95,5.95,5.5,5.75,2022-10-25,738153
5.8,5.8,5.55,5.7,2022-10-27,565430
5.8,5.8,5.55,5.6,2022-10-28,337509
5.75,5.8,5.4,5.55,2022-10-31,538599
5.55,5.65,5.45,5.5,2022-11-01,363039
5.55,5.6,5.25,5.45,2022-11-02,739434
5.45,5.7,5.45,5.5,2022-11-03,972500
5.6,6.05,5.5,5.95,2022-11-04,1285642
6.25,6.45,5.9,6.25,2022-11-07,776393
6.2,6.85,6.0,6.65,2022-11-09,3198120
6.95,6.95,6.45,6.8,2022-11-10,2226803
6.9,7.1,6.8,7.0,2022-11-11,2688439
7.15,7.15,6.65,6.9,2022-11-14,1924509
6.7,7.15,6.6,7.05,2022-11-15,2582545
6.9,7.4,6.9,7.35,2022-11-16,2024828
7.35,7.4,7.05,7.1,2023-02-28,207793
7.15,7.3,6.9,7.1,2023-03-01,179275
7.1,7.45,6.8,7.45,2023-03-02,652153
7.65,7.8,7.45,7.7,2023-03-03,1716788
7.8,8.05,7.5,8.0,2023-03-06,1230442
8.1,8.35,8.0,8.2,2023-03-08,4109987
8.4,8.4,7.9,8.0,2023-03-09,2407282
7.9,8.0,7.65,7.75,2023-03-10,217539
7.85,7.85,7.4,7.45,2023-03-13,463324
7.45,7.5,7.1,7.1,2023-03-14,411204
7.0,7.4,7.0,7.1,2023-03-15,267456
7.1,7.45,6.9,7.0,2023-03-16,448803
7.35,7.35,6.9,6.95,2023-03-17,4730533
7.15,7.2,6.85,6.95,2023-03-20,301049
7.05,7.15,7.0,7.05,2023-03-21,115034
7.2,7.2,6.9,7.0,2023-03-22,118272
7.1,7.1,6.7,6.75,2023-03-23,236115
6.7,6.9,6.45,6.5,2023-03-24,2610547
6.5,6.7,6.45,6.55,2023-03-27,3113636
6.7,6.7,6.25,6.25,2023-03-28,2246948
6.1,6.25,5.95,5.95,2023-03-29,552529
5.95,6.15,5.7,6.05,2023-03-31,4525256
6.2,6.35,6.05,6.35,2023-04-03,4308887
6.55,6.65,6.35,6.65,2023-04-05,2428693
6.65,6.95,6.55,6.85,2023-04-06,503432
6.95,7.05,6.5,6.5,2023-04-10,512158
6.5,6.65,6.35,6.4,2023-04-11,3179933
6.5,6.7,6.05,6.65,2023-04-12,2099771
6.7,6.8,6.3,6.35,2023-04-13,221125
6.3,6.7,6.3,6.55,2023-04-17,708861
6.9,6.9,6.25,6.5,2023-04-18,131731
6.65,6.7,6.35,6.45,2023-04-19,165008
6.55,6.6,6.35,6.4,2023-04-20,87914
6.55,6.55,6.05,6.15,2023-04-21,1255768
6.2,6.5,6.15,6.4,2023-04-24,794478
6.55,6.65,6.35,6.45,2023-04-25,262048
6.6,6.9,6.4,6.55,2023-04-26,2681711
6.65,6.65,6.3,6.35,2023-04-27,157524
6.55,6.55,6.35,6.35,2023-04-28,169996
6.75,6.95,6.6,6.95,2023-05-02,1213480
7.35,7.6,7.0,7.45,2023-05-03,6777569
7.5,8.15,7.1,7.9,2023-05-04,2524991
8.05,8.5,7.5,7.8,2023-05-05,941579
7.85,8.05,7.4,7.55,2023-05-08,616604
7.55,7.75,7.1,7.2,2023-05-09,2940122
7.15,7.3,6.85,6.95,2023-05-10,2652594
7.05,7.1,6.75,6.8,2023-05-11,382016
6.8,7.45,6.7,7.45,2023-05-12,3459101
7.7,7.9,6.85,6.9,2023-05-15,1247092
7.0,7.15,6.95,7.0,2023-05-16,2321265
7.1,7.25,7.0,7.15,2023-05-17,2260979
7.35,7.5,7.0,7.05,2023-05-18,2553491
6.9,7.1,6.6,6.75,2023-05-19,2555329
6.9,7.15,6.7,6.8,2023-05-22,668950
6.95,6.95,6.55,6.65,2023-05-23,2372554
6.85,6.9,6.6,6.7,2023-05-24,2133469
6.75,6.95,6.75,6.8,2023-05-25,170155
6.95,6.95,6.7,6.75,2023-05-26,253850
6.9,6.9,6.75,6.8,2023-05-29,318391
6.85,6.9,6.7,6.75,2023-05-30,2215828
6.7,6.85,6.65,6.75,2023-05-31,2377648
6.7,6.85,6.65,6.7,2023-06-01,210651
6.85,6.85,6.65,6.75,2023-06-02,343150
6.85,6.9,6.65,6.65,2023-06-05,475047
6.85,7.1,6.7,6.95,2023-06-06,963008
6.75,6.85,6.25,6.5,2023-11-12,455851
6.9,7.15,6.55,6.9,2023-11-13,1782353
7.45,7.55,6.95,7.1,2023-11-15,4385610
7.2,7.4,7.1,7.2,2023-11-16,2535568
7.9,7.9,7.2,7.3,2023-11-17,27063716
7.75,8.0,7.45,7.6,2023-11-20,26327612
8.0,8.0,7.2,7.3,2023-11-21,27091420
7.45,7.7,7.0,7.05,2023-11-22,19990636
7.1,7.45,7.1,7.3,2023-11-23,20944215
7.35,7.5,6.95,7.0,2023-11-24,19751162
7.5,7.7,7.3,7.45,2023-11-28,38335231
7.55,7.75,6.95,7.1,2023-11-29,19953957
7.05,7.1,6.5,6.65,2023-11-30,18530908
6.8,7.05,6.55,6.6,2023-12-01,24611932
6.95,6.95,6.5,6.55,2023-12-04,19839308
6.55,6.75,6.5,6.55,2023-12-05,9951647
6.6,6.65,6.0,6.15,2023-12-06,19843211
6.35,6.55,6.15,6.2,2023-12-07,20117612
6.3,6.6,6.0,6.05,2023-12-08,25192760
6.2,6.35,6.0,6.05,2023-12-11,21794981
6.1,6.15,5.9,6.05,2023-12-12,18567086
6.15,6.35,5.7,5.75,2023-12-13,51963959
5.85,6.0,5.7,5.75,2023-12-14,31455321
5.85,5.9,5.7,5.75,2023-12-15,25661104
5.8,5.85,5.55,5.6,2023-12-18,23484840
5.65,5.75,5.45,5.5,2023-12-19,19239961
5.6,6.3,5.5,6.0,2023-12-20,32284007
6.1,6.3,6.1,6.25,2023-12-21,12857105
6.35,6.45,6.25,6.3,2023-12-22,11706633
6.45,6.5,6.35,6.45,2023-12-26,7615919
6.5,7.15,6.5,6.95,2023-12-27,33663255
7.05,7.3,6.85,7.05,2023-12-28,19569910
7.15,7.2,6.85,7.0,2023-12-29,11467270
