open,high,low,close,date,volume
999.95,1000.0,964.8,977.45,2022-09-29,17660
997.7,997.7,957.3,974.0,2022-09-30,25993
986.0,987.5,961.05,967.9,2022-10-03,35881
973.5,995.65,973.5,979.15,2022-10-04,23283
980.05,1030.0,980.05,999.05,2022-10-06,48861
1013.65,1013.65,990.3,994.4,2022-10-07,32006
991.4,1025.85,980.0,995.95,2022-10-10,32497
1000.1,1010.05,971.5,978.4,2022-10-11,26725
992.9,992.9,962.0,966.05,2022-10-12,22841
974.4,1001.45,962.85,986.15,2022-10-13,32287
999.0,1016.0,986.95,993.85,2022-10-14,47109
998.4,998.4,975.5,981.85,2022-10-17,14916
993.9,993.9,945.05,957.65,2022-10-18,39415
959.95,992.55,959.95,980.45,2022-10-19,28536
984.0,987.4,955.05,976.0,2022-10-20,24430
976.0,983.75,966.05,973.95,2022-10-21,10536
1008.0,1008.0,969.5,982.75,2022-10-24,6772
982.75,993.95,970.0,979.1,2022-10-25,12082
980.45,999.0,971.0,975.55,2022-10-27,14766
983.6,997.0,966.0,978.25,2022-10-28,15443
976.0,995.05,976.0,987.5,2022-10-31,16797
993.35,994.0,982.0,988.9,2022-11-01,10577
993.0,995.75,973.55,977.7,2022-11-02,11226
975.0,988.45,974.0,979.85,2022-11-03,15017
990.0,1059.8,989.95,1042.2,2022-11-04,186655
1064.0,1068.35,1013.05,1017.35,2022-11-07,58191
1017.35,1019.4,983.5,1002.15,2022-11-09,51384
1000.05,1017.55,985.55,987.6,2022-11-10,24133
987.0,1006.0,901.0,910.55,2022-11-11,91619
910.0,912.0,888.95,891.65,2022-11-14,31832
893.65,900.05,844.55,867.4,2022-11-15,65711
870.0,914.0,868.0,898.7,2022-11-16,45058
900.0,908.6,865.35,873.8,2022-11-17,20411
881.1,894.0,860.0,884.1,2022-11-18,19568
871.1,900.0,869.35,885.4,2022-11-21,22940
889.2,904.0,880.55,900.0,2022-11-22,18275
893.3,904.5,886.0,894.6,2022-11-23,11345
892.8,902.7,876.9,896.95,2022-11-24,13715
896.95,935.0,886.05,918.4,2022-11-25,39005
918.4,920.95,881.0,898.85,2022-11-28,38001
898.0,924.7,892.15,914.6,2022-11-29,41758
914.6,928.4,901.0,919.15,2022-11-30,19905
919.15,940.7,909.65,933.7,2022-12-01,59211
933.0,948.45,912.55,917.0,2022-12-02,27202
