open,high,low,close,date,volume
318.8,319.8,303.15,306.5,2022-11-18,26949
306.55,306.55,290.0,292.25,2022-11-21,16125
290.0,295.75,284.1,287.25,2022-11-22,7829
299.0,299.0,284.0,286.45,2022-11-23,5677
293.15,293.15,276.1,282.15,2022-11-24,10232
292.0,292.0,273.15,276.4,2022-11-25,7344
281.5,282.35,270.35,273.05,2022-11-28,7779
277.45,280.45,268.05,273.05,2022-11-29,10680
279.3,282.95,274.0,281.35,2022-11-30,5335
287.0,311.1,285.0,304.05,2022-12-01,18162
312.0,312.0,304.95,309.5,2022-12-02,9704
314.75,314.75,296.5,302.2,2022-12-05,10828
300.95,308.9,247.8,287.25,2022-12-06,29227
289.15,291.75,287.0,290.25,2022-12-07,4644
298.95,298.95,252.7,278.45,2022-12-08,35274
285.85,288.0,276.6,279.45,2022-12-09,7457
287.0,287.0,271.05,280.25,2022-12-12,4469
280.5,288.0,275.0,279.25,2022-12-13,14956
280.0,288.0,278.05,281.85,2022-12-14,6199
288.45,288.45,282.1,285.2,2022-12-15,5813
284.15,289.0,270.0,282.6,2022-12-16,15114
287.9,287.9,274.2,277.0,2022-12-19,6488
274.65,279.7,274.65,277.55,2022-12-20,2561
278.6,280.0,256.0,264.5,2022-12-21,9940
264.0,269.0,251.1,267.95,2022-12-22,19268
260.15,268.6,259.1,262.3,2022-12-23,24338
263.05,269.95,262.25,265.45,2022-12-26,8093
269.9,286.85,267.85,281.6,2022-12-27,8638
281.6,285.15,274.2,282.1,2022-12-28,2749
282.1,298.0,270.0,279.35,2022-12-29,5263
277.85,289.0,276.55,285.0,2022-12-30,6887
281.8,287.4,280.6,282.25,2023-01-02,2746
283.45,283.45,277.5,278.35,2023-01-03,3478
275.4,285.0,270.55,279.05,2023-01-04,2767
285.05,285.15,265.4,274.55,2023-01-05,8410
279.75,279.75,271.05,273.3,2023-01-06,2001
270.1,285.3,270.1,280.25,2023-01-09,9220
274.0,285.0,274.0,280.1,2023-01-10,3077
280.4,287.95,280.1,283.1,2023-01-11,4908
280.95,286.0,280.0,285.4,2023-01-12,4861
292.9,292.9,280.0,284.4,2023-01-13,3509
284.85,285.85,280.1,282.6,2023-01-16,3996
284.15,286.95,280.1,283.05,2023-01-17,3981
285.85,285.95,280.0,282.25,2023-01-18,5065
289.95,289.95,280.0,280.75,2023-01-19,2171
274.7,291.25,273.15,284.8,2023-01-20,2502
291.25,291.25,277.0,280.95,2023-01-23,9549
280.65,288.9,280.0,284.9,2023-01-24,6135
282.35,286.75,280.0,284.35,2023-01-25,5985
289.5,289.5,272.0,282.4,2023-01-27,6024
275.05,290.4,275.05,288.8,2023-01-30,9028
289.75,290.35,279.1,287.3,2023-01-31,4324
290.0,294.95,281.0,283.35,2023-02-01,2159
280.15,285.0,270.9,275.25,2023-02-02,6815
275.6,288.95,275.6,286.35,2023-02-03,5882
287.0,288.45,284.4,286.5,2023-02-06,1831
285.1,287.4,282.4,283.2,2023-02-07,4151
285.1,286.95,280.25,281.1,2023-02-08,2044
275.35,288.25,275.35,281.0,2023-02-09,2054
281.6,284.35,280.4,284.0,2023-02-10,2160
286.6,287.0,279.0,280.45,2023-02-13,4082
280.6,284.95,278.0,278.9,2023-02-14,2072
279.0,282.1,274.55,275.05,2023-02-15,4367
281.1,281.1,272.5,273.8,2023-02-16,3362
272.8,273.95,271.95,272.4,2023-02-17,3331
275.0,283.9,274.95,277.15,2023-02-20,1682
278.0,278.0,272.0,272.85,2023-02-21,3443
278.1,278.2,260.1,264.3,2023-02-22,2354
260.15,270.4,251.0,254.05,2023-02-23,6288
256.1,286.0,255.9,280.45,2023-02-24,15052
280.45,285.0,268.4,271.05,2023-02-27,6417
273.1,285.0,261.7,269.8,2023-02-28,8079
279.85,282.4,270.1,273.55,2023-03-01,5119
274.1,282.0,271.05,278.0,2023-03-02,3748
272.1,280.0,272.1,277.2,2023-03-03,2141
