open,high,low,close,date,volume
39.4,39.4,37.25,37.4,2022-09-29,17598
38.05,38.05,36.75,37.05,2022-09-30,22512
37.75,37.9,37.05,37.55,2022-10-03,6215
37.9,38.6,37.25,38.0,2022-10-04,17062
38.75,40.0,37.65,39.3,2022-10-06,45007
40.05,40.05,38.65,39.25,2022-10-07,15003
39.4,39.55,38.0,38.5,2022-10-10,21056
38.95,39.25,38.0,38.35,2022-10-11,14790
39.05,39.05,37.55,38.1,2022-10-12,11043
38.65,39.5,38.1,38.55,2022-10-13,31946
40.45,40.45,37.95,38.7,2022-10-14,25060
39.45,39.45,31.5,37.1,2022-10-17,102981
37.7,38.3,36.8,37.05,2022-10-18,24445
37.05,37.6,36.5,37.0,2022-10-19,21674
36.15,37.6,36.0,36.4,2022-10-20,48043
37.0,37.55,35.85,36.3,2022-10-21,31688
36.3,38.1,36.3,37.95,2022-10-24,20080
38.1,38.1,36.85,37.75,2022-10-25,17371
37.75,37.75,37.05,37.35,2022-10-27,20176
37.4,37.45,37.0,37.3,2022-10-28,13590
37.75,37.75,36.15,37.45,2022-10-31,34886
37.45,37.9,37.05,37.25,2022-11-01,12468
36.9,38.25,36.4,37.2,2022-11-02,17671
38.05,38.1,37.0,37.15,2022-11-03,8820
37.0,37.95,36.55,37.35,2022-11-04,23613
37.75,37.85,37.1,37.8,2022-11-07,9326
38.5,42.2,37.2,39.0,2022-11-09,148302
39.0,39.0,37.65,38.1,2022-11-10,44895
38.6,38.75,37.0,37.2,2022-11-11,25955
36.6,37.25,36.6,37.05,2022-11-14,16422
37.55,38.0,36.65,37.7,2022-11-15,17910
37.8,37.95,36.75,36.95,2022-11-16,40767
37.65,37.65,36.15,36.3,2022-11-17,28755
36.35,37.8,36.3,37.0,2022-11-18,25955
37.05,37.25,35.9,36.4,2022-11-21,37257
36.85,37.1,36.0,36.15,2022-11-22,14615
37.0,37.0,35.0,35.35,2022-11-23,38497
35.95,37.8,35.0,37.2,2022-11-24,102246
37.7,37.7,36.6,37.05,2022-11-25,36487
37.45,37.6,36.3,36.9,2022-11-28,17106
36.8,37.45,35.95,36.2,2022-11-29,53285
36.3,37.0,35.65,36.1,2022-11-30,32655
36.8,36.8,35.6,35.9,2022-12-01,34754
36.5,36.95,35.85,36.25,2022-12-02,38659
36.9,37.1,36.3,36.65,2022-12-05,42455
36.35,36.9,36.3,36.55,2022-12-06,18051
37.1,37.1,36.4,36.65,2022-12-07,19433
37.0,37.0,36.6,36.8,2022-12-08,18591
37.2,37.2,36.05,36.35,2022-12-09,21648
37.05,37.5,35.55,36.0,2022-12-12,104522
36.6,36.6,35.6,36.05,2022-12-13,25640
36.25,36.45,35.95,36.05,2022-12-14,24226
36.35,39.3,36.3,37.8,2022-12-15,165280
38.55,38.55,36.55,36.8,2022-12-16,35862
37.4,37.4,35.75,36.1,2022-12-19,50191
36.5,36.5,35.6,35.9,2022-12-20,20923
35.9,36.9,34.9,35.25,2022-12-21,41287
36.5,36.5,34.0,34.7,2022-12-22,51550
34.65,34.9,32.05,33.0,2022-12-23,52564
32.0,35.5,32.0,34.3,2022-12-26,46384
34.45,35.15,34.1,34.3,2022-12-27,34288
34.95,35.85,34.05,34.35,2022-12-28,25238
34.95,38.6,34.0,37.4,2022-12-29,89812
37.9,37.9,36.45,36.8,2022-12-30,43511
36.25,37.4,36.2,36.65,2023-01-02,22113
36.7,36.75,36.0,36.2,2023-01-03,27099
37.0,37.0,35.55,35.85,2023-01-04,29619
36.5,36.5,33.3,34.5,2023-01-05,36291
35.15,36.0,34.5,35.7,2023-01-06,29072
36.5,37.8,36.0,36.1,2023-01-09,84095
36.85,37.7,36.25,37.2,2023-01-10,51475
37.7,37.7,36.55,37.2,2023-01-11,30802
37.25,38.8,37.15,38.0,2023-01-12,100258
38.75,39.0,37.5,37.8,2023-01-13,28619
38.35,38.35,36.1,38.05,2023-01-16,83581
38.25,38.35,36.9,37.8,2023-01-17,31467
37.7,37.7,36.35,36.85,2023-01-18,32269
