open,high,low,close,date,volume
1450.0,1490.1,1409.4,1430.65,2022-09-29,31172
1416.3,1457.0,1396.05,1449.3,2022-09-30,37496
1440.0,1440.35,1388.0,1394.35,2022-10-03,47535
1417.25,1428.65,1395.05,1404.15,2022-10-04,23472
1422.8,1447.0,1418.0,1430.6,2022-10-06,23495
1436.0,1442.05,1416.9,1435.7,2022-10-07,29101
1421.25,1520.0,1415.0,1511.25,2022-10-10,72806
1513.25,1573.95,1506.05,1550.5,2022-10-11,116867
1551.0,1605.0,1547.1,1566.95,2022-10-12,79345
1585.0,1590.0,1569.45,1585.95,2022-10-13,37620
1600.0,1613.3,1555.0,1569.05,2022-10-14,43499
1569.05,1610.0,1550.0,1563.2,2022-10-17,61187
1567.0,1594.45,1563.2,1581.95,2022-10-18,21816
1596.0,1644.4,1563.0,1576.1,2022-10-19,45738
1583.8,1604.7,1560.3,1596.9,2022-10-20,20849
1609.25,1629.85,1552.0,1590.7,2022-10-21,26817
1599.9,1600.0,1560.1,1568.55,2022-10-24,6854
1560.0,1613.45,1560.0,1605.5,2022-10-25,33358
1615.0,1634.95,1591.0,1600.55,2022-10-27,25043
1606.0,1617.0,1582.2,1596.95,2022-10-28,15743
1600.1,1633.35,1600.1,1614.0,2022-10-31,29358
1613.0,1615.5,1523.7,1542.85,2022-11-01,35272
1557.1,1574.0,1533.2,1559.1,2022-11-02,23996
1559.1,1570.0,1527.5,1535.6,2022-11-03,9754
1549.0,1558.0,1528.0,1537.45,2022-11-04,11005
1529.15,1715.0,1529.15,1623.4,2022-11-07,127881
1634.25,1650.75,1604.4,1640.25,2022-11-09,30000
1646.25,1700.0,1626.0,1660.1,2022-11-10,53582
1795.5,1842.0,1711.55,1820.55,2022-11-11,408766
1831.3,2052.0,1829.65,2021.5,2022-11-14,618610
2001.3,2029.9,1857.0,1876.9,2022-11-15,194972
1884.0,1984.0,1877.9,1899.1,2022-11-16,81504
1899.05,1913.8,1845.0,1873.75,2022-11-17,23031
