open,high,low,close,date,volume
7180.0,7246.1,6849.9,6890.85,2022-09-29,54276
6919.0,7028.65,6730.5,6977.6,2022-09-30,57629
6977.0,6977.0,6565.0,6632.15,2022-10-03,111892
6868.0,6868.0,6560.1,6641.1,2022-10-04,73547
6725.9,6725.9,6570.25,6668.65,2022-10-06,48326
6665.0,6909.9,6590.05,6879.65,2022-10-07,58448
6710.0,6920.0,6710.0,6849.75,2022-10-10,33706
6850.0,6960.0,6770.55,6826.6,2022-10-11,27554
6826.6,6929.5,6796.45,6841.9,2022-10-12,20854
6845.8,7122.0,6833.3,7072.45,2022-10-13,72349
7128.0,7172.0,7005.55,7048.1,2022-10-14,34859
7048.1,7321.15,6931.05,7046.3,2022-10-17,77005
7099.0,7179.0,6855.55,6906.35,2022-10-18,58696
6945.0,6945.0,6800.0,6808.35,2022-10-19,35703
6820.0,6880.45,6712.45,6779.6,2022-10-20,30890
6810.0,6887.0,6687.05,6723.65,2022-10-21,24715
6777.85,6872.0,6731.8,6833.85,2022-10-24,8135
6862.0,6868.05,6731.0,6756.05,2022-10-25,14355
6806.85,6830.0,6671.0,6698.0,2022-10-27,34099
6731.5,6731.5,6332.0,6354.15,2022-10-28,67808
6302.25,6330.0,5690.0,5741.2,2022-10-31,337944
5694.95,5798.0,5611.65,5644.9,2022-11-01,121339
5673.65,6050.0,5673.65,6010.2,2022-11-02,203909
6000.0,6285.0,5980.45,6247.15,2022-11-03,147683
6250.0,6324.7,5931.0,5977.85,2022-11-04,124546
6040.0,6040.0,5831.1,5902.45,2022-11-07,53501
5959.0,5959.0,5730.0,5753.7,2022-11-09,81163
5772.05,6094.7,5768.95,5938.45,2022-11-10,188168
6600.0,6750.0,6121.0,6188.65,2022-11-11,319248
6219.0,6242.0,6051.05,6116.65,2022-11-14,71306
6140.0,6140.0,6012.05,6048.5,2022-11-15,43432
6070.0,6239.8,5968.0,6210.2,2022-11-16,115929
6185.0,6231.45,6100.05,6115.45,2022-11-17,36633
6147.55,6208.95,5913.65,5957.6,2022-11-18,59378
5957.6,6038.2,5900.05,6012.95,2022-11-21,34235
6019.0,6150.0,6019.0,6102.9,2022-11-22,29147
6102.9,6168.65,6050.0,6120.5,2022-11-23,25010
6120.5,6166.6,6071.0,6087.0,2022-11-24,15675
6065.2,6116.1,6062.25,6079.1,2022-11-25,17292
