open,high,low,close,date,volume
139.5,141.15,136.8,138.1,2022-09-29,477356
138.25,138.7,135.45,136.6,2022-09-30,516145
137.0,142.45,137.0,137.8,2022-10-03,2563353
142.8,143.8,141.3,143.35,2022-10-04,409669
144.1,146.75,144.0,145.65,2022-10-06,721426
145.0,146.15,142.1,142.6,2022-10-07,497922
142.45,143.5,139.5,139.85,2022-10-10,374454
140.5,141.45,136.05,136.9,2022-10-11,475123
137.3,138.45,135.25,135.9,2022-10-12,437748
136.5,136.9,134.0,135.85,2022-10-13,295748
136.75,138.75,136.75,138.1,2022-10-14,648458
139.0,139.25,136.05,137.35,2022-10-17,332388
138.05,138.5,136.5,137.65,2022-10-18,242622
138.25,139.15,136.9,137.65,2022-10-19,223427
137.5,139.7,136.7,138.95,2022-10-20,258654
139.6,139.6,137.05,138.4,2022-10-21,216998
135.95,136.75,130.0,135.6,2022-10-24,471624
135.0,136.0,133.4,134.0,2022-10-25,304469
134.7,134.7,131.9,132.95,2022-10-27,545229
133.6,133.7,132.15,132.95,2022-10-28,291591
133.5,134.4,132.55,133.95,2022-10-31,250231
134.0,134.6,133.2,133.75,2022-11-01,254691
133.15,140.8,133.15,138.05,2022-11-02,1073081
138.1,140.2,137.45,139.45,2022-11-03,1057293
140.0,146.7,139.5,145.55,2022-11-04,985276
146.3,157.95,145.0,156.9,2022-11-07,4393395
157.5,160.3,155.1,158.05,2022-11-09,1969835
157.9,157.9,152.4,155.05,2022-11-10,755968
155.2,157.0,149.95,151.5,2022-11-11,828345
152.3,154.1,150.6,152.2,2022-11-14,611667
150.8,152.65,148.25,149.65,2022-11-15,385958
150.4,163.0,149.4,161.85,2022-11-16,4322347
162.2,164.35,156.4,157.85,2022-11-17,1164449
158.05,159.2,154.85,155.5,2022-11-18,679526
156.3,158.3,153.6,155.5,2022-11-21,340789
155.7,158.9,152.75,158.05,2022-11-22,555275
158.1,159.95,155.0,155.7,2022-11-23,457663
156.35,159.0,155.55,156.2,2022-11-24,450272
156.6,165.0,156.6,161.75,2022-11-25,2058261
161.6,162.6,157.8,158.85,2022-11-28,580266
159.65,160.45,155.45,156.4,2022-11-29,527078
156.6,158.65,153.1,157.55,2022-11-30,605759
158.5,163.5,156.75,158.0,2022-12-01,1169338
158.75,163.8,157.35,163.4,2022-12-02,1409833
164.1,175.75,163.55,174.35,2022-12-05,5308683
175.45,177.3,170.3,172.0,2022-12-06,1252014
172.95,173.2,166.85,170.2,2022-12-07,590030
170.5,181.5,167.5,178.65,2022-12-08,2312799
180.0,181.25,171.0,171.95,2022-12-09,1327419
172.5,172.5,166.05,168.9,2022-12-12,971675
170.0,171.8,167.3,168.35,2022-12-13,506440
169.0,181.95,166.0,180.2,2022-12-14,3259432
180.6,187.9,177.75,182.85,2022-12-15,3250590
183.2,186.8,177.35,182.5,2022-12-16,1267717
182.5,184.3,177.35,178.8,2022-12-19,598410
178.8,178.95,173.45,176.25,2022-12-20,380252
177.15,191.0,176.9,185.8,2022-12-21,6145022
185.75,185.8,171.6,180.05,2022-12-22,1854773
175.15,178.45,164.0,166.85,2022-12-23,1357629
167.7,182.45,167.05,180.7,2022-12-26,1470299
181.3,187.35,178.2,185.85,2022-12-27,1332518
185.95,186.7,181.5,183.6,2022-12-28,777184
183.6,195.0,176.65,189.0,2022-12-29,3746848
190.0,194.55,184.0,187.3,2022-12-30,905002
185.6,189.8,182.95,188.35,2023-01-02,1700058
188.0,192.0,187.05,188.85,2023-01-03,817048
188.5,190.9,184.7,187.25,2023-01-04,558877
188.2,191.0,182.1,184.05,2023-01-05,793700
184.05,185.5,176.7,178.6,2023-01-06,869003
180.0,182.95,177.5,178.8,2023-01-09,482532
179.7,180.7,173.55,174.95,2023-01-10,415086
174.95,176.95,172.5,173.2,2023-01-11,337180
174.0,174.8,170.3,171.1,2023-01-12,281435
171.45,176.2,171.45,172.15,2023-01-13,548791
173.45,176.0,171.6,175.35,2023-01-16,526212
176.4,177.7,171.4,172.2,2023-01-17,293780
172.2,175.0,172.2,172.95,2023-01-18,444167
172.0,174.4,171.55,172.9,2023-01-19,316747
172.65,176.7,172.0,174.1,2023-01-20,298004
174.8,176.25,172.0,172.65,2023-01-23,316379
172.65,174.05,167.0,167.55,2023-01-24,262172
167.55,168.35,162.5,166.8,2023-01-25,459835
167.6,168.65,164.1,165.05,2023-01-27,431388
165.0,170.3,165.0,167.35,2023-01-30,420813
168.0,173.8,168.0,172.45,2023-01-31,435257
173.5,175.95,165.95,168.7,2023-02-01,380031
168.0,176.95,167.7,176.25,2023-02-02,971038
177.2,183.9,173.15,177.3,2023-02-03,1401127
175.1,180.7,172.0,173.45,2023-02-06,1129004
173.95,177.75,173.05,174.15,2023-02-07,317014
173.6,178.65,173.5,176.1,2023-02-08,399050
176.0,178.6,174.55,175.7,2023-02-09,325937
175.25,180.9,174.95,177.9,2023-02-10,719427
178.75,182.0,177.45,178.9,2023-02-13,382541
179.65,181.0,176.5,178.45,2023-02-14,387661
177.95,183.5,177.6,179.0,2023-02-15,780689
179.8,180.85,177.6,178.25,2023-02-16,407289
178.9,182.0,178.05,179.05,2023-02-17,440966
179.2,181.0,175.95,179.05,2023-02-20,397271
178.55,180.0,174.15,174.8,2023-02-21,341435
170.2,173.7,167.1,169.75,2023-02-22,352309
169.0,170.9,165.15,169.45,2023-02-23,621387
169.5,173.25,169.25,170.25,2023-02-24,230587
170.0,170.8,166.0,167.1,2023-02-27,165739
167.55,172.4,165.4,169.05,2023-02-28,462984
169.05,170.95,166.7,167.8,2023-03-01,238589
167.8,170.0,166.1,166.65,2023-03-02,164382
166.8,171.9,166.8,170.05,2023-03-03,344105
170.5,174.5,169.0,170.1,2023-03-06,502412
170.0,174.25,169.5,171.8,2023-03-08,333187
173.15,174.85,169.45,170.85,2023-03-09,377134
170.7,170.7,167.45,168.5,2023-03-10,425305
169.4,171.2,163.35,165.3,2023-03-13,740671
165.75,167.5,161.3,162.2,2023-03-14,521616
163.0,165.8,162.1,163.85,2023-03-15,224851
164.7,164.7,160.0,160.3,2023-03-16,292621
161.15,163.75,160.25,162.5,2023-03-17,260772
158.2,163.0,158.0,160.0,2023-03-20,281790
162.3,168.15,160.6,165.7,2023-03-21,1137527
165.7,174.0,165.15,171.8,2023-03-22,669089
171.0,171.9,167.5,168.1,2023-03-23,358745
168.1,169.3,160.65,163.45,2023-03-24,236543
163.35,166.95,163.0,164.6,2023-03-27,301634
165.5,167.2,162.0,165.25,2023-03-28,444868
166.1,175.0,164.6,173.75,2023-03-29,619081
175.0,176.95,169.05,170.6,2023-03-31,336971
175.0,175.0,170.1,172.2,2023-04-03,225428
172.5,176.75,170.65,171.8,2023-04-05,297248
172.0,174.0,169.0,170.2,2023-04-06,308035
171.05,172.55,164.0,165.25,2023-04-10,379473
166.1,170.9,166.1,167.45,2023-04-11,340217
168.5,169.9,166.1,167.45,2023-04-12,255540
168.3,173.65,167.65,170.5,2023-04-13,592883
170.95,171.35,167.7,168.55,2023-04-17,182254
169.0,170.5,167.25,168.45,2023-04-18,140570
169.3,169.6,165.5,166.3,2023-04-19,226193
167.1,167.9,164.0,164.3,2023-04-20,241681
164.8,169.9,164.3,166.05,2023-04-21,236425
166.9,166.9,161.5,161.75,2023-04-24,500810
162.25,167.3,162.25,164.2,2023-04-25,308892
164.9,166.2,163.0,163.8,2023-04-26,184302
164.6,165.85,163.65,164.25,2023-04-27,191958
164.45,168.6,164.45,167.5,2023-04-28,838708
168.4,171.6,168.0,170.1,2023-05-02,439377
