open,high,low,close,date,volume
318.8,325.9,313.25,319.05,2022-09-29,70497
315.85,332.8,315.85,327.65,2022-09-30,173257
330.0,341.4,325.55,333.9,2022-10-03,193852
339.9,340.0,326.7,329.8,2022-10-04,163895
333.05,339.0,326.3,327.95,2022-10-06,78406
328.5,340.0,325.1,337.25,2022-10-07,136603
336.0,346.4,330.3,343.1,2022-10-10,197042
345.0,347.5,327.05,330.9,2022-10-11,118141
328.6,338.8,325.1,336.2,2022-10-12,58209
335.4,338.45,325.1,327.5,2022-10-13,42077
330.55,333.75,327.45,329.65,2022-10-14,47084
331.9,331.9,320.45,326.8,2022-10-17,142994
329.0,330.95,322.1,323.55,2022-10-18,36682
325.55,327.8,320.5,322.15,2022-10-19,43450
321.0,325.35,317.0,319.5,2022-10-20,19504
322.65,322.65,312.05,315.65,2022-10-21,34146
315.0,319.95,311.7,316.8,2022-10-24,8821
319.5,319.5,310.2,312.05,2022-10-25,59126
314.95,321.75,312.8,316.6,2022-10-27,50166
314.65,321.0,313.0,315.25,2022-10-28,25686
323.0,328.9,320.0,321.25,2022-10-31,80861
325.9,325.9,318.0,319.3,2022-11-01,25727
316.0,330.8,316.0,319.4,2022-11-02,135209
321.95,322.25,315.1,319.1,2022-11-03,43084
320.0,321.7,316.1,318.75,2022-11-04,47548
321.95,322.8,312.55,313.8,2022-11-07,22658
315.0,318.4,313.6,315.1,2022-11-09,23927
312.05,315.05,311.65,313.0,2022-11-10,17238
313.1,318.05,311.4,312.45,2022-11-11,18878
312.0,318.0,307.0,314.8,2022-11-14,42542
314.8,326.0,314.55,324.7,2022-11-15,176912
327.25,333.7,324.05,327.9,2022-11-16,106320
329.75,341.0,328.15,336.15,2022-11-17,157208
341.1,343.9,333.9,335.25,2022-11-18,194864
338.95,345.0,337.25,344.05,2022-11-21,210566
346.7,350.0,341.0,341.45,2022-11-22,188517
341.4,344.0,331.1,332.55,2022-11-23,63900
329.0,329.0,311.2,313.7,2022-11-24,241200
315.65,317.2,307.45,309.05,2022-11-25,122823
307.5,310.0,305.05,306.15,2022-11-28,95967
306.95,308.45,304.8,305.2,2022-11-29,49560
308.85,309.95,304.0,307.35,2022-11-30,76501
309.0,309.85,305.1,308.5,2022-12-01,36030
309.35,313.0,307.1,308.8,2022-12-02,218807
311.15,311.5,306.4,307.2,2022-12-05,58348
305.0,310.4,305.0,308.65,2022-12-06,40368
308.65,308.85,306.0,307.1,2022-12-07,36596
309.45,309.45,306.0,308.3,2022-12-08,40788
307.8,309.05,305.5,306.9,2022-12-09,173378
309.0,309.0,306.25,306.75,2022-12-12,131911
308.0,310.95,307.25,308.1,2022-12-13,190363
307.6,309.85,307.5,308.15,2022-12-14,43735
309.05,318.9,307.55,315.15,2022-12-15,211546
317.5,317.5,308.1,309.15,2022-12-16,37120
312.15,312.15,308.2,311.2,2022-12-19,13701
312.0,314.75,306.05,308.45,2022-12-20,31654
311.0,311.0,301.15,302.35,2022-12-21,72737
301.55,308.35,298.05,302.6,2022-12-22,84925
301.0,305.9,298.0,299.55,2022-12-23,341972
300.0,304.0,298.55,301.75,2022-12-26,199552
303.0,321.95,302.2,318.75,2022-12-27,203164
314.0,320.0,311.25,317.75,2022-12-28,80333
317.75,317.8,310.0,311.4,2022-12-29,36527
310.05,316.7,309.15,315.75,2022-12-30,35211
316.0,318.8,314.2,316.8,2023-01-02,19778
319.9,319.9,312.6,314.1,2023-01-03,25895
314.4,319.0,312.5,314.05,2023-01-04,78814
312.5,318.0,312.1,316.1,2023-01-05,34434
316.05,318.9,308.5,309.75,2023-01-06,52134
313.0,313.2,309.05,310.55,2023-01-09,25576
310.55,312.55,308.0,309.05,2023-01-10,14156
310.4,313.2,305.1,307.55,2023-01-11,50262
311.9,311.9,304.15,305.25,2023-01-12,22671
305.25,307.0,304.1,306.45,2023-01-13,5510
307.0,308.75,300.2,303.45,2023-01-16,36644
303.05,307.9,303.05,306.9,2023-01-17,9530
302.5,311.95,302.05,309.15,2023-01-18,15543
