open,high,low,close,date,volume
261.9,266.0,259.0,261.7,2022-09-29,1512602
262.9,265.0,260.3,264.2,2022-09-30,668099
264.0,264.0,259.1,261.1,2022-10-03,838588
264.0,269.0,262.3,267.6,2022-10-04,1602525
267.6,282.75,267.4,277.95,2022-10-06,4064259
281.45,286.8,274.05,275.2,2022-10-07,1590140
272.0,273.7,267.8,271.4,2022-10-10,448774
272.4,272.4,264.05,265.8,2022-10-11,310572
266.7,274.5,263.35,269.85,2022-10-12,774096
270.05,274.9,270.05,272.85,2022-10-13,867973
274.25,277.9,272.1,274.2,2022-10-14,714508
275.0,275.55,270.5,272.1,2022-10-17,279170
273.5,274.0,270.5,272.95,2022-10-18,248415
272.1,277.0,271.55,273.05,2022-10-19,394553
273.25,274.9,269.6,272.15,2022-10-20,438604
272.25,275.95,271.75,274.45,2022-10-21,231611
276.25,276.4,272.0,272.8,2022-10-24,55242
272.8,277.0,265.0,265.75,2022-10-25,1112710
268.4,276.2,266.7,272.7,2022-10-27,1269990
272.9,279.5,271.55,277.65,2022-10-28,1048381
278.0,279.7,273.65,277.45,2022-10-31,681900
277.8,279.5,274.95,277.45,2022-11-01,916423
277.0,286.8,275.65,280.25,2022-11-02,920657
280.95,286.0,278.55,283.4,2022-11-03,756385
284.05,285.3,280.2,282.4,2022-11-04,364780
283.0,289.4,283.0,287.45,2022-11-07,462665
290.0,292.45,276.55,281.4,2022-11-09,865928
281.0,281.0,275.0,279.4,2022-11-10,439437
280.9,285.15,276.9,282.25,2022-11-11,723993
289.0,313.9,285.25,303.85,2022-11-14,11323150
301.0,305.95,299.9,301.5,2022-11-15,1645047
301.5,302.9,291.5,294.0,2022-11-16,1094572
292.6,293.65,277.35,285.35,2022-11-17,2270414
286.7,304.2,282.0,285.7,2022-11-18,4022878
285.7,285.7,279.0,283.3,2022-11-21,796058
284.6,284.7,278.45,280.45,2022-11-22,462103
280.55,282.0,275.5,276.8,2022-11-23,456640
278.2,286.5,277.55,284.6,2022-11-24,797339
285.95,290.8,284.85,287.55,2022-11-25,1009233
287.3,294.8,284.65,292.5,2022-11-28,1475350
292.5,295.1,292.0,294.25,2022-11-29,993623
294.9,295.8,286.1,290.1,2022-11-30,822817
292.0,295.0,288.15,291.0,2022-12-01,983406
292.4,292.4,288.0,288.7,2022-12-02,403892
289.95,291.95,286.2,287.8,2022-12-05,1605493
289.0,293.8,285.6,291.35,2022-12-06,1509391
291.35,292.55,286.0,286.8,2022-12-07,324411
288.25,288.25,281.4,282.55,2022-12-08,312444
285.1,288.55,282.25,285.7,2022-12-09,702553
286.0,288.65,282.35,287.9,2022-12-12,531343
287.15,291.95,283.0,286.7,2022-12-13,701446
288.0,291.25,286.45,288.05,2022-12-14,1104434
288.05,289.7,283.25,284.4,2022-12-15,317996
284.4,284.9,275.2,277.9,2022-12-16,718144
277.7,284.05,277.5,279.8,2022-12-19,334499
279.0,283.0,278.4,281.5,2022-12-20,225493
281.95,290.6,281.65,285.65,2022-12-21,1421749
285.65,287.2,277.35,280.0,2022-12-22,1799516
276.55,279.7,269.1,272.15,2022-12-23,754021
273.2,280.0,271.3,275.35,2022-12-26,828928
276.2,282.7,275.6,281.35,2022-12-27,913390
282.4,284.85,280.0,281.0,2022-12-28,374149
280.65,290.5,278.6,279.7,2022-12-29,993641
281.1,288.0,280.15,286.1,2022-12-30,743045
284.1,286.45,280.9,281.95,2023-01-02,287492
283.4,285.0,281.1,283.6,2023-01-03,280865
284.8,285.0,281.5,283.25,2023-01-04,678732
284.7,288.35,283.1,287.1,2023-01-05,745831
288.0,288.0,282.7,284.85,2023-01-06,1142991
285.75,289.75,282.4,287.25,2023-01-09,938448
288.65,290.0,283.4,288.45,2023-01-10,410817
286.0,289.65,281.5,283.55,2023-01-11,379315
285.0,286.8,281.45,283.0,2023-01-12,431015
283.0,288.85,281.0,287.65,2023-01-13,460522
287.0,287.0,282.0,282.65,2023-01-16,230558
281.0,285.95,281.0,283.5,2023-01-17,314056
283.5,285.0,282.0,284.05,2023-01-18,279074
284.0,288.6,283.0,285.95,2023-01-19,774965
285.95,288.45,283.0,284.3,2023-01-20,568122
285.7,285.8,281.1,283.45,2023-01-23,307160
283.3,285.95,281.0,281.9,2023-01-24,316481
281.0,282.85,275.5,277.9,2023-01-25,928275
277.85,282.7,275.35,280.65,2023-01-27,567891
280.25,283.0,275.55,277.6,2023-01-30,765847
278.1,284.0,274.0,281.65,2023-01-31,681883
281.65,283.5,277.0,278.0,2023-02-01,490299
278.0,281.0,274.8,278.2,2023-02-02,781140
277.3,282.6,274.9,277.3,2023-02-03,618632
278.7,279.45,275.55,277.0,2023-02-06,189520
277.75,280.0,274.55,278.0,2023-02-07,583483
277.5,281.15,276.65,280.0,2023-02-08,912671
279.8,281.35,275.6,276.6,2023-02-09,544780
277.5,285.0,276.65,282.75,2023-02-10,539987
277.8,278.0,270.35,272.25,2023-02-13,712187
273.15,274.55,261.65,265.1,2023-02-14,998627
267.25,274.0,267.25,269.7,2023-02-15,666229
271.9,277.5,268.0,271.2,2023-02-16,839910
270.0,272.0,267.5,268.7,2023-02-17,469769
