open,high,low,close,date,volume
104.2,104.25,101.65,103.85,2022-09-29,2509346
104.0,105.5,102.35,104.8,2022-09-30,2220249
104.4,104.85,102.25,103.25,2022-10-03,1796479
105.25,105.8,104.15,105.15,2022-10-04,1572446
106.0,108.0,105.45,106.15,2022-10-06,1831243
104.6,106.45,104.55,105.5,2022-10-07,1531715
104.4,105.2,103.3,104.9,2022-10-10,1432767
105.0,107.0,102.65,102.85,2022-10-11,2313383
103.4,104.75,101.7,104.2,2022-10-12,1677971
103.6,104.7,102.55,103.2,2022-10-13,1155813
105.0,107.25,103.4,103.75,2022-10-14,2946807
102.95,105.55,102.4,104.85,2022-10-17,1467951
105.5,106.75,103.2,103.85,2022-10-18,2278908
104.4,104.4,102.0,102.1,2022-10-19,1862696
102.0,104.75,101.15,104.15,2022-10-20,1787513
103.9,105.8,102.9,104.15,2022-10-21,2008794
103.85,104.8,103.5,103.85,2022-10-24,288746
103.85,106.7,103.6,105.65,2022-10-25,2315269
106.5,106.5,102.7,103.05,2022-10-27,2588611
103.1,103.6,100.5,100.7,2022-10-28,2303462
102.35,104.2,101.35,103.85,2022-10-31,3008146
103.15,105.75,103.15,105.5,2022-11-01,2731268
105.0,108.3,103.05,104.7,2022-11-02,9253669
104.0,104.75,102.7,103.65,2022-11-03,2263409
103.65,104.95,102.5,103.05,2022-11-04,2174271
103.4,105.3,103.25,104.2,2022-11-07,1527655
105.4,106.35,103.75,104.05,2022-11-09,1955144
103.75,104.2,101.25,102.5,2022-11-10,1711532
104.8,109.5,104.5,108.9,2022-11-11,9266633
109.4,112.4,108.0,110.55,2022-11-14,5812635
111.0,111.4,108.0,110.5,2022-11-15,2347635
110.8,111.8,108.5,109.2,2022-11-16,2273347
108.5,108.75,105.85,106.25,2022-11-17,2430235
106.8,107.55,103.8,104.8,2022-11-18,2154450
105.0,105.0,103.1,103.95,2022-11-21,1293820
104.25,104.8,103.2,104.5,2022-11-22,1068714
105.0,106.5,103.95,104.8,2022-11-23,1511554
105.0,108.4,105.0,107.55,2022-11-24,2960310
108.0,109.5,106.8,109.2,2022-11-25,1909878
109.3,111.6,108.8,109.2,2022-11-28,3664699
109.2,110.25,108.65,109.1,2022-11-29,1534356
109.0,110.25,108.1,109.9,2022-11-30,1499918
111.1,113.65,111.1,112.35,2022-12-01,5714772
112.8,115.0,111.95,113.55,2022-12-02,3077397
114.1,114.8,112.7,113.5,2022-12-05,2061997
112.95,113.5,110.95,112.15,2022-12-06,1557942
112.0,112.85,110.15,110.95,2022-12-07,1761018
111.25,111.5,109.65,110.85,2022-12-08,1209758
111.45,111.5,106.05,106.4,2022-12-09,2303032
106.0,107.1,104.65,106.8,2022-12-12,1131782
107.25,107.8,106.3,107.15,2022-12-13,1290145
107.7,109.5,107.55,108.45,2022-12-14,1624926
107.95,108.45,106.0,106.4,2022-12-15,962547
105.75,107.75,104.95,105.3,2022-12-16,1966505
105.8,105.85,103.5,104.25,2022-12-19,1673690
104.05,104.2,102.25,103.85,2022-12-20,1819916
103.9,105.55,101.95,102.8,2022-12-21,1941301
103.45,103.9,101.65,102.8,2022-12-22,2017676
101.8,102.6,96.25,97.35,2022-12-23,2940128
97.75,101.65,96.85,101.15,2022-12-26,1771969
101.7,102.5,100.7,102.1,2022-12-27,1299541
101.2,101.9,100.8,101.1,2022-12-28,943861
100.7,102.0,99.65,101.65,2022-12-29,1738597
103.0,105.05,101.8,102.3,2022-12-30,2591116
102.4,103.5,101.55,103.35,2023-01-02,1191212
103.55,104.5,103.1,103.9,2023-01-03,826539
103.6,104.15,101.6,102.2,2023-01-04,749281
102.4,103.05,101.3,102.3,2023-01-05,1159758
102.4,102.85,100.75,101.25,2023-01-06,1054404
102.05,104.4,102.05,103.85,2023-01-09,1603109
103.8,104.6,102.9,103.55,2023-01-10,957151
103.55,104.6,102.55,103.2,2023-01-11,899826
103.35,103.95,102.85,103.45,2023-01-12,548588
103.5,105.3,102.2,104.35,2023-01-13,2125031
104.75,105.6,103.4,104.2,2023-01-16,1543709
104.95,104.95,103.55,104.4,2023-01-17,853144
104.3,105.9,104.0,104.9,2023-01-18,1139803
