open,high,low,close,date,volume
150.0,152.55,148.0,148.75,2022-09-29,277559
148.7,155.0,147.15,153.7,2022-09-30,246387
153.7,154.45,148.15,149.35,2022-10-03,209576
153.45,158.0,150.6,155.2,2022-10-04,313579
156.0,157.8,153.95,155.0,2022-10-06,196024
155.9,157.55,154.0,156.2,2022-10-07,133074
156.15,156.15,151.15,154.5,2022-10-10,225773
155.7,155.7,151.5,152.25,2022-10-11,155004
152.35,154.0,148.5,152.4,2022-10-12,160039
152.95,154.8,151.15,153.8,2022-10-13,136578
155.9,155.9,153.7,154.05,2022-10-14,138720
152.1,154.2,151.0,152.6,2022-10-17,123622
154.5,155.65,153.75,154.05,2022-10-18,91809
155.05,157.5,152.05,153.1,2022-10-19,128833
154.0,154.25,150.75,151.75,2022-10-20,90683
153.0,153.45,149.05,150.05,2022-10-21,144556
153.0,153.1,151.0,151.9,2022-10-24,47313
152.3,152.5,150.0,150.95,2022-10-25,72996
150.95,154.9,150.95,152.5,2022-10-27,140116
154.0,154.05,150.8,151.3,2022-10-28,77497
152.5,156.0,151.8,153.7,2022-10-31,177107
153.7,153.7,149.0,150.25,2022-11-01,255320
150.1,152.0,149.6,150.4,2022-11-02,103106
152.1,157.5,150.5,156.05,2022-11-03,301532
157.6,165.7,156.15,161.1,2022-11-04,941307
162.5,164.0,160.35,161.6,2022-11-07,265728
162.7,163.0,157.4,158.65,2022-11-09,205207
158.8,162.5,156.85,160.3,2022-11-10,408285
164.0,164.65,156.3,158.6,2022-11-11,556770
160.3,164.9,160.0,163.95,2022-11-14,483740
165.4,179.9,164.95,178.05,2022-11-15,4558650
179.45,185.0,176.0,177.7,2022-11-16,2571346
178.0,181.25,173.25,174.3,2022-11-17,889490
176.25,183.0,172.55,182.1,2022-11-18,986088
183.7,186.4,179.1,180.35,2022-11-21,891410
181.1,181.4,175.8,176.75,2022-11-22,382325
178.35,183.0,176.75,180.0,2022-11-23,479232
181.0,183.5,176.35,179.6,2022-11-24,539384
181.0,186.25,179.1,182.75,2022-11-25,818645
188.6,199.4,187.0,198.15,2022-11-28,3211214
200.0,200.9,189.35,190.95,2022-11-29,1235853
191.7,195.7,188.3,192.25,2022-11-30,733541
193.25,194.7,188.2,189.2,2022-12-01,488851
189.2,192.9,187.15,189.3,2022-12-02,483086
190.95,191.65,185.55,187.1,2022-12-05,352579
186.7,189.3,182.7,184.4,2022-12-06,452561
184.4,192.0,182.65,186.9,2022-12-07,676589
187.8,187.8,184.25,186.2,2022-12-08,206860
187.7,191.0,178.35,181.0,2022-12-09,452189
179.75,182.15,176.85,178.9,2022-12-12,339264
180.9,188.45,178.2,186.15,2022-12-13,477175
186.95,188.7,183.0,183.85,2022-12-14,236731
184.0,190.4,183.2,187.9,2022-12-15,586073
188.0,195.85,186.8,189.15,2022-12-16,1378616
191.75,195.8,189.0,194.4,2022-12-19,777788
194.95,198.45,190.65,192.3,2022-12-20,829826
193.6,197.9,180.45,183.6,2022-12-21,879974
185.25,187.2,167.9,171.45,2022-12-22,1388298
172.85,172.85,158.0,159.95,2022-12-23,928723
163.0,173.9,159.9,172.4,2022-12-26,755256
173.9,176.8,172.55,176.15,2022-12-27,363116
176.8,176.8,172.8,174.05,2022-12-28,232840
176.05,183.5,175.0,182.55,2022-12-29,603822
182.8,188.4,182.6,185.85,2022-12-30,546034
187.8,197.0,185.8,190.2,2023-01-02,887364
190.2,193.05,188.5,190.85,2023-01-03,318283
191.5,191.5,187.1,188.95,2023-01-04,240960
190.7,190.7,185.0,188.35,2023-01-05,366834
189.0,190.4,185.5,187.8,2023-01-06,302229
189.05,190.0,185.7,188.0,2023-01-09,245389
188.55,192.3,184.0,185.25,2023-01-10,284938
186.8,187.05,180.6,182.45,2023-01-11,199616
183.2,190.5,182.35,187.2,2023-01-12,874279
187.2,188.5,184.0,186.55,2023-01-13,243330
187.5,189.85,182.05,183.3,2023-01-16,203625
185.8,185.8,182.3,183.35,2023-01-17,170981
184.85,184.85,180.5,181.05,2023-01-18,161058
180.5,180.95,179.0,179.75,2023-01-19,131884
180.8,185.0,179.6,182.85,2023-01-20,167206
184.95,184.95,180.05,181.7,2023-01-23,208797
180.5,182.9,175.4,176.85,2023-01-24,208993
178.05,178.5,172.25,176.3,2023-01-25,265814
176.95,178.1,169.0,172.7,2023-01-27,333419
172.95,175.0,170.1,172.75,2023-01-30,133270
175.35,178.9,172.4,177.75,2023-01-31,167037
179.65,182.0,168.45,172.15,2023-02-01,242409
173.2,177.05,171.1,174.35,2023-02-02,150951
176.1,176.8,159.2,160.95,2023-02-03,862221
160.95,167.25,160.35,162.8,2023-02-06,428378
163.8,164.0,159.0,159.6,2023-02-07,210969
161.0,163.0,159.95,162.0,2023-02-08,156577
162.0,166.9,161.0,164.95,2023-02-09,262478
166.0,167.4,162.05,163.3,2023-02-10,211532
165.0,165.0,159.5,160.1,2023-02-13,165474
161.9,161.9,152.8,156.65,2023-02-14,339469
154.25,159.7,153.05,155.05,2023-02-15,403213
156.85,158.25,155.35,157.5,2023-02-16,183360
157.0,161.7,156.9,160.4,2023-02-17,309432
162.8,164.0,160.75,163.25,2023-02-20,215480
