open,high,low,close,date,volume
3390.0,3419.9,3342.75,3379.9,2022-09-29,7773
3379.0,3479.9,3345.0,3442.55,2022-09-30,8903
3459.8,3490.0,3404.85,3461.9,2022-10-03,6316
3479.25,3511.9,3450.0,3485.4,2022-10-04,6106
3514.95,3535.35,3471.05,3499.7,2022-10-06,14979
3517.2,3517.2,3445.0,3474.65,2022-10-07,19476
3490.0,3490.0,3382.0,3413.2,2022-10-10,4877
3430.0,3445.05,3351.05,3412.45,2022-10-11,3693
3428.0,3429.55,3355.5,3394.2,2022-10-12,5147
3410.0,3411.15,3358.5,3388.2,2022-10-13,3813
3405.15,3490.0,3388.55,3452.35,2022-10-14,6666
3548.7,3550.0,3453.7,3483.5,2022-10-17,23754
3494.0,3494.0,3450.05,3482.2,2022-10-18,6273
3489.0,3497.25,3434.0,3452.65,2022-10-19,6457
3452.65,3453.6,3400.1,3414.95,2022-10-20,4353
3432.05,3464.95,3403.85,3456.05,2022-10-21,19892
3500.25,3635.85,3461.5,3572.6,2022-10-24,10931
3551.5,3575.0,3480.65,3509.45,2022-10-25,9234
3558.0,3558.0,3480.2,3538.75,2022-10-27,17552
3549.9,3560.0,3496.7,3526.55,2022-10-28,6290
3526.0,3544.15,3478.3,3500.85,2022-10-31,7684
3508.0,3550.85,3441.0,3498.45,2022-11-01,11002
3505.0,3532.5,3475.0,3494.85,2022-11-02,8791
3435.0,3501.0,3415.8,3497.45,2022-11-03,6450
3512.0,3512.0,3456.0,3490.1,2022-11-04,4210
3503.5,3539.0,3463.2,3485.1,2022-11-07,12367
3485.1,3499.95,3416.0,3426.5,2022-11-09,4373
3420.15,3426.5,3350.15,3372.2,2022-11-10,9856
3389.1,3449.0,3375.0,3422.4,2022-11-11,7055
3422.4,3422.4,3384.0,3404.35,2022-11-14,26544
3396.55,3421.35,3351.0,3366.5,2022-11-15,5029
3383.35,3383.35,3305.0,3317.0,2022-11-16,7853
3327.85,3334.7,3257.45,3301.9,2022-11-17,8753
3318.45,3318.45,3240.0,3257.35,2022-11-18,3491
3273.65,3314.7,3252.9,3302.85,2022-11-21,4950
3319.4,3622.75,3095.0,3290.3,2022-11-22,26461
3290.0,3336.0,3258.4,3263.25,2022-11-23,3609
3279.55,3349.0,3277.25,3304.0,2022-11-24,7402
3320.5,3365.0,3302.45,3324.35,2022-11-25,4710
3358.0,3371.85,3280.0,3310.0,2022-11-28,7396
3325.0,3342.0,3280.1,3319.7,2022-11-29,3424
3301.0,3429.7,3301.0,3398.5,2022-11-30,8773
3415.5,3445.0,3366.0,3434.4,2022-12-01,5391
3445.0,3456.1,3405.05,3428.95,2022-12-02,3264
3455.65,3462.85,3375.9,3415.45,2022-12-05,9855
3432.55,3458.0,3389.95,3397.65,2022-12-06,4514
3420.15,3447.4,3380.0,3400.75,2022-12-07,5936
3385.0,3420.1,3369.1,3400.5,2022-12-08,8203
3417.55,3457.0,3400.15,3431.6,2022-12-09,7339
3455.0,3455.0,3412.35,3434.6,2022-12-12,17349
3450.0,3455.95,3385.65,3400.3,2022-12-13,5112
3417.35,3429.0,3360.0,3370.4,2022-12-14,3450
3370.4,3409.0,3370.2,3382.55,2022-12-15,4006
3382.55,3398.95,3231.15,3270.65,2022-12-16,14866
3248.25,3320.65,3246.6,3292.0,2022-12-19,3406
3295.0,3319.9,3256.05,3290.55,2022-12-20,5342
3305.0,3316.75,3200.0,3229.3,2022-12-21,8753
3245.0,3245.0,3136.0,3200.9,2022-12-22,8831
3200.05,3200.85,3100.0,3127.7,2022-12-23,12828
3125.05,3177.0,3006.7,3100.05,2022-12-26,13304
3124.8,3187.45,3032.35,3078.4,2022-12-27,12368
3093.8,3124.8,3069.65,3084.75,2022-12-28,2606
3038.5,3125.0,3038.5,3105.95,2022-12-29,5384
3120.0,3149.0,3080.05,3115.8,2022-12-30,4758
3116.0,3139.9,3050.0,3083.75,2023-01-02,15688
3070.0,3130.65,3070.0,3122.8,2023-01-03,4722
3138.45,3138.45,3102.6,3126.65,2023-01-04,4101
3100.0,3149.0,3094.9,3125.55,2023-01-05,7230
3100.35,3140.0,3042.5,3072.2,2023-01-06,11042
3087.6,3098.45,3036.1,3071.35,2023-01-09,6379
3071.35,3086.3,3019.9,3056.8,2023-01-10,7767
3050.0,3072.1,3006.8,3022.55,2023-01-11,3782
3037.7,3043.55,2995.0,3026.7,2023-01-12,5342
3028.5,3044.7,3003.95,3018.05,2023-01-13,1804
3033.15,3045.0,2970.0,2986.8,2023-01-16,4039
2990.0,2993.4,2925.0,2931.35,2023-01-17,5761
2925.0,2964.0,2900.0,2952.95,2023-01-18,5682
2953.0,2979.7,2921.0,2965.1,2023-01-19,5066
2960.05,2964.8,2930.0,2959.05,2023-01-20,10671
2965.0,2970.0,2916.0,2941.55,2023-01-23,6416
2940.0,2965.85,2900.0,2920.6,2023-01-24,4277
2930.0,2930.0,2870.0,2877.8,2023-01-25,5761
2852.25,2911.65,2839.1,2864.0,2023-01-27,6943
2864.0,2964.0,2846.0,2913.15,2023-01-30,5421
2913.15,2945.0,2890.0,2916.05,2023-01-31,3821
2930.65,2989.7,2869.95,2917.35,2023-02-01,5469
2931.95,2979.0,2900.85,2935.05,2023-02-02,4991
2949.75,2975.0,2899.4,2947.5,2023-02-03,4571
2961.8,2984.7,2913.15,2937.8,2023-02-06,4082
2952.0,3150.0,2941.05,3109.8,2023-02-07,19540
3109.8,3194.7,3071.0,3169.95,2023-02-08,11515
3192.0,3192.7,3090.05,3122.7,2023-02-09,3785
