open,high,low,close,date,volume
78.25,79.3,77.5,78.85,2022-09-29,143922
79.05,80.9,78.1,80.35,2022-09-30,179513
80.35,80.55,77.05,77.35,2022-10-03,239109
78.8,79.3,78.0,78.3,2022-10-04,164257
78.3,79.9,78.3,79.55,2022-10-06,172538
79.5,82.5,78.6,82.15,2022-10-07,522616
81.55,81.9,80.0,80.4,2022-10-10,235323
80.4,82.9,79.2,79.95,2022-10-11,348314
79.65,80.9,78.6,79.75,2022-10-12,137031
79.7,79.85,78.3,78.45,2022-10-13,102971
81.0,81.4,77.15,78.0,2022-10-14,162003
76.85,78.4,76.65,77.1,2022-10-17,96458
77.25,78.45,77.25,78.0,2022-10-18,100233
78.1,79.45,78.1,78.4,2022-10-19,137220
78.0,83.55,77.15,82.3,2022-10-20,749454
82.3,83.5,80.5,81.2,2022-10-21,261824
82.3,83.3,81.95,83.05,2022-10-24,157633
83.45,83.45,81.25,81.75,2022-10-25,159780
82.35,82.35,80.7,81.0,2022-10-27,103977
81.0,87.0,81.0,86.3,2022-10-28,1630133
88.9,91.2,87.15,88.9,2022-10-31,1574309
88.85,88.85,86.2,86.55,2022-11-01,385120
87.2,87.4,84.1,86.0,2022-11-02,337569
86.3,88.7,84.8,88.05,2022-11-03,398264
88.8,88.9,86.05,86.5,2022-11-04,228380
86.4,88.4,85.65,86.25,2022-11-07,262646
85.8,88.5,85.75,86.5,2022-11-09,253846
86.0,86.95,83.8,84.3,2022-11-10,198822
85.25,86.75,82.55,83.5,2022-11-11,325372
83.5,83.8,81.8,82.25,2022-11-14,163773
82.85,85.15,82.1,84.8,2022-11-15,274278
85.8,87.5,85.3,86.15,2022-11-16,390496
86.2,87.8,85.15,86.15,2022-11-17,214010
86.15,87.0,84.0,85.8,2022-11-18,1402710
85.8,87.0,84.9,85.7,2022-11-21,249229
86.0,90.25,85.2,85.75,2022-11-22,865338
85.55,90.25,85.55,89.5,2022-11-23,925914
90.0,97.2,89.0,93.75,2022-11-24,4269170
94.2,98.5,94.2,96.85,2022-11-25,1790434
96.4,102.5,95.65,100.65,2022-11-28,3676924
101.25,101.3,93.9,95.25,2022-11-29,1039409
95.65,96.15,92.25,93.7,2022-11-30,588629
94.45,98.5,94.45,96.05,2022-12-01,759729
96.4,97.9,94.5,94.85,2022-12-02,578786
