open,high,low,close,date,volume
152.0,152.25,145.35,147.0,2022-09-29,154030
146.7,148.3,141.0,145.4,2022-09-30,61125
146.4,148.25,143.8,144.95,2022-10-03,68691
147.5,147.5,145.35,146.6,2022-10-04,31271
148.65,149.65,147.1,147.65,2022-10-06,51323
147.6,152.0,147.05,150.85,2022-10-07,58287
150.0,153.05,148.9,151.9,2022-10-10,66658
151.9,154.95,147.1,148.45,2022-10-11,78875
149.3,150.7,146.55,147.5,2022-10-12,54108
147.3,149.05,145.9,146.35,2022-10-13,40099
148.7,148.7,143.3,144.35,2022-10-14,69868
144.5,145.95,143.15,144.3,2022-10-17,33175
145.2,149.7,144.3,147.75,2022-10-18,94344
149.0,150.1,145.2,146.3,2022-10-19,52588
146.1,149.5,144.25,145.0,2022-10-20,69733
146.0,147.2,143.55,145.0,2022-10-21,34401
146.0,147.8,143.6,144.85,2022-10-24,22176
146.85,147.05,143.1,144.0,2022-10-25,32673
144.1,144.9,142.1,142.85,2022-10-27,54859
143.55,144.75,140.9,141.3,2022-10-28,55672
142.7,143.55,139.5,140.25,2022-10-31,58421
141.05,141.4,138.85,139.85,2022-11-01,60995
140.0,140.85,138.1,139.3,2022-11-02,60946
138.1,140.15,138.0,139.4,2022-11-03,31968
140.05,140.1,138.0,138.9,2022-11-04,75087
138.0,140.95,138.0,139.3,2022-11-07,52815
140.05,140.5,138.15,139.05,2022-11-09,56238
139.0,140.6,137.9,139.7,2022-11-10,83327
142.95,146.5,139.1,143.85,2022-11-11,133480
144.0,146.95,141.5,145.15,2022-11-14,73877
144.0,144.0,131.25,136.7,2022-11-15,318903
135.0,136.45,133.75,134.2,2022-11-16,142952
134.0,135.5,133.1,134.25,2022-11-17,56659
135.45,135.45,132.4,133.05,2022-11-18,33954
133.0,134.0,130.2,130.8,2022-11-21,58622
130.7,134.45,130.25,132.05,2022-11-22,111086
132.05,132.95,130.55,131.35,2022-11-23,34108
131.45,133.0,130.35,130.75,2022-11-24,45236
131.0,151.35,131.0,142.95,2022-11-25,1099100
142.0,144.75,139.45,141.0,2022-11-28,168674
142.15,144.0,138.85,142.8,2022-11-29,124246
142.8,152.5,142.8,151.4,2022-11-30,422356
151.6,159.75,149.05,153.5,2022-12-01,542480
153.4,169.9,152.0,164.3,2022-12-02,439667
164.0,164.0,158.4,160.85,2022-12-05,278496
160.0,161.25,153.5,154.35,2022-12-06,117350
154.9,156.25,149.8,150.9,2022-12-07,129254
151.75,159.2,151.75,154.8,2022-12-08,264014
155.75,155.75,148.0,149.4,2022-12-09,79229
150.0,150.0,146.3,148.2,2022-12-12,59390
148.5,151.45,147.2,148.0,2022-12-13,72341
150.7,151.0,146.95,147.45,2022-12-14,96489
146.15,149.0,144.1,145.2,2022-12-15,77599
145.2,146.45,142.0,142.75,2022-12-16,62415
142.8,144.7,142.55,143.95,2022-12-19,101408
143.95,145.5,141.6,143.4,2022-12-20,48990
143.4,146.75,135.85,140.85,2022-12-21,91055
142.95,142.95,134.0,135.35,2022-12-22,111564
133.5,135.95,130.75,131.25,2022-12-23,93104
130.55,136.5,130.55,135.5,2022-12-26,47858
135.0,138.95,135.0,138.2,2022-12-27,49524
138.2,140.65,137.3,140.05,2022-12-28,37555
139.9,141.4,137.55,139.5,2022-12-29,52070
141.0,143.4,138.55,140.05,2022-12-30,63707
142.0,142.0,138.0,138.5,2023-01-02,82704
138.5,139.8,137.55,138.0,2023-01-03,54209
138.1,138.7,135.0,137.1,2023-01-04,50623
139.0,139.0,135.35,137.6,2023-01-05,35560
137.75,138.0,136.0,137.25,2023-01-06,25280
139.0,140.65,135.35,136.55,2023-01-09,41293
136.45,140.45,135.95,138.95,2023-01-10,48836
139.0,140.0,137.3,138.55,2023-01-11,40527
137.55,139.2,136.75,138.2,2023-01-12,24377
139.7,139.7,136.1,137.5,2023-01-13,55741
136.3,140.5,136.0,138.2,2023-01-16,53991
138.6,139.8,136.35,137.0,2023-01-17,59790
136.15,140.25,135.05,138.75,2023-01-18,104787
138.7,140.3,136.65,137.2,2023-01-19,44421
136.0,137.95,134.75,135.35,2023-01-20,33692
135.35,138.05,134.1,135.0,2023-01-23,50171
135.5,136.45,133.0,133.45,2023-01-24,51638
134.05,134.05,131.55,133.35,2023-01-25,57026
133.35,134.0,129.0,130.1,2023-01-27,46436
128.2,131.9,127.0,127.95,2023-01-30,69541
128.15,130.55,127.0,128.45,2023-01-31,59459
129.0,132.35,125.55,127.1,2023-02-01,83386
127.25,131.95,124.85,127.1,2023-02-02,31719
127.2,128.0,124.0,125.25,2023-02-03,58116
125.3,129.95,125.25,126.2,2023-02-06,46295
128.05,128.05,123.0,124.5,2023-02-07,44886
125.0,127.05,122.95,125.3,2023-02-08,51596
125.6,128.4,124.8,127.5,2023-02-09,24904
127.25,129.2,124.65,126.55,2023-02-10,39988
127.0,128.3,126.05,126.7,2023-02-13,32527
126.7,127.85,124.1,124.6,2023-02-14,22954
121.6,122.5,116.6,118.3,2023-02-15,149703
117.4,121.4,117.4,118.4,2023-02-16,83591
120.0,120.0,115.5,115.95,2023-02-17,54908
116.85,117.95,113.45,114.05,2023-02-20,98034
115.0,119.0,112.6,118.25,2023-02-21,107133
118.5,126.75,118.5,119.1,2023-02-22,126154
119.3,121.8,115.65,116.75,2023-02-23,42794
117.3,118.25,115.0,115.75,2023-02-24,70758
115.15,116.55,110.85,111.75,2023-02-27,99772
113.45,114.55,111.5,113.35,2023-02-28,30840
113.9,118.55,113.4,115.85,2023-03-01,51867
116.0,118.75,114.45,115.55,2023-03-02,32862
116.9,118.35,116.45,117.75,2023-03-03,31541
117.7,122.45,117.0,117.7,2023-03-06,57978
117.7,121.5,116.4,119.8,2023-03-08,92818
119.8,121.9,117.5,118.2,2023-03-09,57806
118.0,120.0,116.0,116.5,2023-03-10,57991
117.55,118.75,111.55,112.15,2023-03-13,86758
111.0,115.05,108.0,108.85,2023-03-14,147938
110.0,112.15,107.7,108.2,2023-03-15,77771
108.2,112.0,105.55,109.25,2023-03-16,77065
110.85,110.85,104.05,106.05,2023-03-17,127879
105.95,106.5,102.55,104.5,2023-03-20,98863
104.55,106.1,102.0,102.45,2023-03-21,158448
103.45,111.0,101.5,108.6,2023-03-22,320907
108.0,112.45,106.95,109.9,2023-03-23,191044
108.1,109.75,103.3,104.25,2023-03-24,94013
104.2,105.0,99.8,100.7,2023-03-27,130911
