open,high,low,close,date,volume
649.95,654.0,625.5,647.2,2022-09-29,486441
643.0,663.0,643.0,649.75,2022-09-30,355460
638.0,647.85,635.0,639.75,2022-10-03,292636
645.0,654.9,645.0,649.25,2022-10-04,166509
656.0,675.0,656.0,669.7,2022-10-06,323678
673.05,685.9,670.05,679.1,2022-10-07,427621
672.0,686.95,667.1,673.4,2022-10-10,221949
676.8,681.95,661.2,672.4,2022-10-11,257996
675.5,679.9,661.95,668.35,2022-10-12,242546
671.7,676.45,660.0,663.4,2022-10-13,138917
670.2,674.35,664.05,667.2,2022-10-14,215684
667.0,684.5,661.1,669.2,2022-10-17,301300
676.95,693.45,666.55,691.35,2022-10-18,427098
694.6,696.1,682.5,684.1,2022-10-19,285392
684.1,690.5,666.35,673.0,2022-10-20,269720
671.0,678.9,645.5,655.75,2022-10-21,272857
664.0,664.8,654.8,658.7,2022-10-24,41161
660.75,665.35,648.25,662.1,2022-10-25,258718
665.55,674.0,658.05,663.3,2022-10-27,217627
666.65,667.1,643.05,646.05,2022-10-28,283067
652.25,664.0,643.35,646.55,2022-10-31,889946
653.95,659.4,629.1,639.65,2022-11-01,789011
635.5,644.9,631.85,637.45,2022-11-02,282207
636.5,638.05,630.0,630.8,2022-11-03,205653
633.65,636.8,630.0,631.1,2022-11-04,280000
641.8,641.8,615.0,616.1,2022-11-07,308381
615.0,618.85,600.0,603.55,2022-11-09,335062
625.0,625.0,600.0,602.7,2022-11-10,253125
610.0,613.0,600.65,604.05,2022-11-11,170529
598.0,606.75,589.05,593.5,2022-11-14,362151
594.05,596.6,578.75,581.7,2022-11-15,257652
584.95,596.85,578.55,580.95,2022-11-16,503663
581.0,586.0,571.2,576.4,2022-11-17,321880
576.4,584.5,568.85,575.5,2022-11-18,326394
574.9,586.0,570.5,577.4,2022-11-21,181783
580.0,580.5,566.2,568.4,2022-11-22,142293
572.0,574.4,565.0,566.85,2022-11-23,203858
568.9,582.5,565.35,573.35,2022-11-24,300757
576.0,578.0,568.0,569.15,2022-11-25,89905
561.5,567.5,560.15,563.9,2022-11-28,233922
566.6,581.5,564.1,570.95,2022-11-29,327552
574.0,586.45,572.0,577.5,2022-11-30,405323
580.0,582.6,573.05,575.35,2022-12-01,175346
564.0,577.8,562.25,575.55,2022-12-02,189821
575.8,578.3,572.5,573.5,2022-12-05,109742
573.0,574.3,560.0,564.2,2022-12-06,246709
565.0,567.95,559.65,561.15,2022-12-07,323815
