open,high,low,close,date,volume
390.65,392.85,375.0,380.4,2022-09-29,94674
383.95,388.5,375.55,385.8,2022-09-30,93119
385.8,387.95,380.0,380.55,2022-10-03,163427
384.95,388.0,380.05,381.35,2022-10-04,110920
384.5,384.5,375.05,376.55,2022-10-06,264127
379.0,384.1,376.2,380.0,2022-10-07,146594
381.9,395.6,381.0,386.45,2022-10-10,1725051
396.0,425.05,396.0,415.15,2022-10-11,1048091
407.05,415.0,398.0,411.35,2022-10-12,284285
411.0,423.05,408.05,412.1,2022-10-13,200029
416.3,417.3,404.1,405.95,2022-10-14,82227
405.95,411.25,405.8,408.55,2022-10-17,77670
409.0,412.85,405.0,408.35,2022-10-18,63789
408.35,412.0,406.0,409.9,2022-10-19,60699
407.35,411.55,407.0,409.2,2022-10-20,21378
412.2,412.2,403.9,408.3,2022-10-21,64856
410.05,424.2,410.05,421.55,2022-10-24,87983
414.25,424.9,414.25,420.5,2022-10-25,167817
421.0,421.95,409.0,415.1,2022-10-27,110304
418.0,421.5,412.5,418.95,2022-10-28,101619
418.95,430.95,418.05,424.85,2022-10-31,175794
425.55,445.55,425.35,437.2,2022-11-01,377841
437.2,445.3,434.1,443.3,2022-11-02,186743
440.95,442.65,433.3,434.55,2022-11-03,57668
434.05,441.2,432.0,440.3,2022-11-04,75671
443.0,447.0,432.3,436.6,2022-11-07,117130
435.7,440.0,423.5,425.35,2022-11-09,124187
422.7,427.7,417.05,422.0,2022-11-10,101222
429.0,435.0,422.0,427.4,2022-11-11,73036
430.8,430.8,421.7,423.75,2022-11-14,50416
422.0,434.0,422.0,424.05,2022-11-15,37406
424.0,429.0,410.55,415.25,2022-11-16,89233
416.0,426.0,413.55,423.35,2022-11-17,123799
428.0,428.4,417.6,421.9,2022-11-18,79510
422.75,427.0,420.2,424.6,2022-11-21,36487
424.6,428.0,421.0,422.4,2022-11-22,40124
428.75,428.75,417.0,420.25,2022-11-23,32051
418.05,423.1,418.05,419.1,2022-11-24,31387
420.4,423.2,417.0,422.35,2022-11-25,49980
423.0,434.0,422.2,431.5,2022-11-28,86268
431.3,436.0,427.05,428.65,2022-11-29,68814
432.95,434.0,426.7,428.2,2022-11-30,46026
429.55,435.7,428.0,433.3,2022-12-01,56624
439.9,439.9,431.55,432.55,2022-12-02,67676
435.75,438.7,433.85,436.5,2022-12-05,36530
434.0,436.1,432.0,433.45,2022-12-06,28193
432.1,433.0,426.25,428.65,2022-12-07,33220
428.0,430.0,424.35,429.1,2022-12-08,35685
430.2,430.25,423.2,427.05,2022-12-09,87569
430.0,451.0,426.95,442.8,2022-12-12,279051
443.3,454.45,440.3,441.95,2022-12-13,114785
444.95,444.95,435.35,440.8,2022-12-14,90232
440.8,442.65,430.15,435.25,2022-12-15,81532
429.1,433.5,426.55,427.2,2022-12-16,49012
427.2,428.45,420.6,424.2,2022-12-19,34057
