open,high,low,close,date,volume
653.7,653.7,630.1,632.85,2022-09-29,24253
633.0,644.8,626.5,637.65,2022-09-30,30200
637.65,643.75,625.35,628.45,2022-10-03,21441
634.1,651.8,634.1,646.3,2022-10-04,29681
677.95,677.95,657.95,667.95,2022-10-06,130602
667.95,672.25,660.0,667.05,2022-10-07,33615
658.0,664.0,653.3,659.35,2022-10-10,18837
664.0,664.0,641.0,645.15,2022-10-11,17691
648.55,663.2,637.55,658.5,2022-10-12,26616
655.0,661.45,639.5,651.2,2022-10-13,31888
665.0,666.35,651.8,657.85,2022-10-14,20171
662.8,664.0,650.3,658.3,2022-10-17,14165
665.0,678.0,661.25,673.25,2022-10-18,48257
677.0,686.9,664.0,669.5,2022-10-19,24901
665.5,675.0,657.5,671.05,2022-10-20,37222
683.0,709.0,660.05,678.95,2022-10-21,343941
694.4,696.05,680.0,683.75,2022-10-24,33569
683.0,685.0,668.5,670.25,2022-10-25,42668
670.25,677.6,667.25,674.4,2022-10-27,36684
675.9,685.0,665.55,673.35,2022-10-28,29624
676.3,685.7,673.35,675.7,2022-10-31,26354
679.1,683.65,671.0,678.8,2022-11-01,31500
678.8,684.2,659.8,668.0,2022-11-02,18503
668.0,673.05,663.0,663.85,2022-11-03,20653
665.8,706.4,661.0,666.9,2022-11-04,27121
670.05,676.8,670.0,672.85,2022-11-07,36044
677.8,677.8,654.0,662.9,2022-11-09,39008
666.2,669.9,660.5,663.45,2022-11-10,17877
674.0,674.0,636.0,643.75,2022-11-11,41526
643.0,665.0,642.6,661.15,2022-11-14,22934
662.0,668.5,657.05,663.75,2022-11-15,29413
663.75,673.95,663.55,669.85,2022-11-16,29721
670.5,671.1,642.4,649.05,2022-11-17,24538
648.9,654.8,643.0,646.8,2022-11-18,23032
656.0,656.0,640.0,643.0,2022-11-21,13658
646.2,647.8,638.2,640.85,2022-11-22,12622
643.05,648.85,641.35,645.05,2022-11-23,25099
648.3,661.9,645.05,656.65,2022-11-24,17825
663.2,668.15,657.85,663.15,2022-11-25,13701
663.15,673.15,659.35,664.4,2022-11-28,26453
664.4,669.4,654.0,657.05,2022-11-29,15278
659.0,663.2,652.9,655.9,2022-11-30,41842
659.0,662.4,652.45,655.15,2022-12-01,11842
661.7,661.7,651.0,655.55,2022-12-02,27735
652.05,662.8,651.95,653.1,2022-12-05,26048
648.3,657.0,642.65,654.5,2022-12-06,21847
656.4,667.0,655.55,661.75,2022-12-07,15120
666.0,666.0,653.0,656.6,2022-12-08,11703
659.95,663.2,655.0,659.1,2022-12-09,18313
659.1,659.1,646.0,649.45,2022-12-12,18323
650.0,665.0,644.4,654.3,2022-12-13,14543
654.3,700.0,650.0,673.35,2022-12-14,207752
678.4,678.55,664.45,672.85,2022-12-15,51826
674.45,675.0,655.0,659.5,2022-12-16,18856
664.0,679.0,655.1,674.05,2022-12-19,47314
675.1,682.85,670.1,675.05,2022-12-20,25066
676.0,680.15,652.0,654.0,2022-12-21,26726
660.5,662.15,640.85,648.55,2022-12-22,37566
638.0,644.8,631.0,640.2,2022-12-23,52654
630.0,680.0,627.25,659.6,2022-12-26,29816
668.0,668.0,652.5,663.05,2022-12-27,16716
663.05,675.05,660.5,666.8,2022-12-28,10101
666.8,673.0,660.5,671.0,2022-12-29,10028
668.1,676.95,667.55,671.85,2022-12-30,28708
675.0,715.55,674.75,699.05,2023-01-02,202307
703.9,726.95,703.9,720.3,2023-01-03,142556
