open,high,low,close,date,volume
320.0,329.3,319.25,324.3,2022-09-29,2985532
331.95,347.0,325.05,345.35,2022-09-30,9384379
348.0,358.0,345.25,347.75,2022-10-03,5716345
351.0,358.55,347.5,357.3,2022-10-04,2749343
359.0,359.2,348.25,349.65,2022-10-06,2129625
349.2,353.0,342.0,348.2,2022-10-07,1927329
343.9,348.2,340.05,347.05,2022-10-10,857427
347.05,351.85,341.9,343.0,2022-10-11,1412961
343.0,345.65,341.1,343.1,2022-10-12,809347
343.1,349.25,340.4,344.65,2022-10-13,1256799
351.0,351.9,341.4,342.9,2022-10-14,749555
340.0,351.5,339.1,350.1,2022-10-17,1347644
351.9,357.6,344.8,357.15,2022-10-18,2532108
357.15,358.45,351.7,356.1,2022-10-19,2011800
354.0,361.0,342.6,347.95,2022-10-20,4444677
350.85,352.55,340.8,344.45,2022-10-21,1257578
346.3,348.0,342.55,343.5,2022-10-24,282006
343.75,357.95,342.25,354.45,2022-10-25,2261821
355.5,370.0,352.8,369.15,2022-10-27,3672599
372.4,372.5,362.6,367.6,2022-10-28,2015669
369.45,373.85,365.3,372.65,2022-10-31,1661482
374.0,375.8,370.25,373.65,2022-11-01,1176881
373.0,377.75,368.05,376.7,2022-11-02,1782542
376.5,381.0,374.8,378.65,2022-11-03,1570984
379.0,381.0,367.65,369.8,2022-11-04,933313
370.95,372.95,362.45,365.4,2022-11-07,1116298
365.0,374.9,364.9,367.45,2022-11-09,1041094
367.45,372.8,354.7,360.7,2022-11-10,1067492
362.0,372.0,359.35,366.05,2022-11-11,1016245
366.9,374.35,363.7,369.65,2022-11-14,934576
370.9,372.5,364.5,369.55,2022-11-15,878137
369.7,373.35,362.15,363.9,2022-11-16,707446
362.8,368.4,362.45,364.75,2022-11-17,505198
365.05,367.1,358.55,360.55,2022-11-18,409306
360.0,361.95,356.15,359.4,2022-11-21,414210
358.55,363.9,353.8,362.6,2022-11-22,821822
364.3,366.6,359.35,362.6,2022-11-23,978610
364.0,365.35,356.25,357.85,2022-11-24,483531
357.85,360.4,356.0,356.6,2022-11-25,341096
359.85,364.0,353.5,356.35,2022-11-28,825698
356.2,357.8,346.0,347.35,2022-11-29,583338
347.0,350.3,344.0,345.95,2022-11-30,665681
346.45,348.0,339.0,340.8,2022-12-01,1145495
341.55,342.8,335.65,339.6,2022-12-02,841191
341.2,346.4,340.05,341.15,2022-12-05,1010015
342.55,343.85,335.25,336.55,2022-12-06,512421
335.0,339.3,333.0,334.7,2022-12-07,405715
334.7,338.8,333.15,334.35,2022-12-08,615115
335.7,337.0,328.15,329.7,2022-12-09,662436
329.7,339.5,329.1,337.45,2022-12-12,1080092
338.5,341.2,333.2,334.45,2022-12-13,693564
334.75,338.95,334.75,335.95,2022-12-14,500396
334.35,338.0,331.1,333.8,2022-12-15,682018
333.15,334.75,324.95,326.2,2022-12-16,607205
327.85,329.5,320.35,325.4,2022-12-19,610945
324.1,325.45,320.1,322.75,2022-12-20,434326
324.9,338.45,323.15,335.65,2022-12-21,2368710
337.0,338.0,325.5,327.25,2022-12-22,753315
326.15,343.15,323.55,328.35,2022-12-23,4164898
331.1,332.85,322.5,329.65,2022-12-26,1715760
329.65,332.65,325.75,328.85,2022-12-27,696653
329.5,330.95,326.8,328.3,2022-12-28,495362
327.8,331.95,320.25,321.3,2022-12-29,1177700
324.5,324.5,317.05,318.8,2022-12-30,822206
319.35,322.65,313.9,320.25,2023-01-02,618759
322.0,329.7,322.0,326.45,2023-01-03,1639299
328.0,328.9,321.55,323.1,2023-01-04,458664
324.3,327.8,320.75,326.15,2023-01-05,508679
327.05,328.0,316.65,319.6,2023-01-06,473890
322.0,329.35,317.3,327.35,2023-01-09,599350
326.9,330.85,323.6,329.45,2023-01-10,557878
330.0,335.35,327.55,331.35,2023-01-11,1109817
332.0,333.0,317.2,318.05,2023-01-12,1030251
319.9,321.0,312.6,318.35,2023-01-13,666459
316.5,318.85,312.4,314.55,2023-01-16,666051
314.05,317.4,312.3,314.05,2023-01-17,416097
314.9,316.0,311.0,313.2,2023-01-18,642540
312.25,315.5,309.55,311.4,2023-01-19,513000
309.6,316.5,307.9,313.45,2023-01-20,847373
313.95,315.05,309.75,312.15,2023-01-23,623887
310.25,316.8,306.0,309.2,2023-01-24,1826085
308.9,308.9,288.0,288.9,2023-01-25,2430714
289.0,292.4,278.6,283.8,2023-01-27,1376711
286.0,293.75,280.45,291.35,2023-01-30,1820856
294.3,297.5,292.0,295.65,2023-01-31,803845
296.4,299.4,287.15,291.5,2023-02-01,740242
292.5,296.25,287.8,288.6,2023-02-02,1142240
290.05,293.65,286.3,292.05,2023-02-03,928424
291.8,297.85,287.0,288.6,2023-02-06,896484
288.7,289.7,282.4,285.35,2023-02-07,642950
285.9,292.0,284.05,291.5,2023-02-08,395140
289.2,292.9,285.95,289.55,2023-02-09,521581
287.35,292.9,286.75,289.25,2023-02-10,780385
290.0,291.0,283.35,285.65,2023-02-13,504536
285.65,288.4,283.35,287.8,2023-02-14,353487
287.7,290.95,285.55,290.25,2023-02-15,398051
290.45,293.75,289.55,292.75,2023-02-16,366766
292.45,294.7,286.3,287.9,2023-02-17,653146
286.5,289.9,284.2,287.45,2023-02-20,420539
287.45,289.25,285.55,286.25,2023-02-21,385107
285.0,285.95,279.15,280.0,2023-02-22,606292
280.0,284.5,277.5,283.35,2023-02-23,940249
282.7,287.4,281.75,285.45,2023-02-24,587900
285.0,287.8,280.6,281.1,2023-02-27,434645
281.9,285.1,279.2,280.1,2023-02-28,435298
280.35,284.8,279.7,283.5,2023-03-01,358809
283.7,284.35,280.3,283.0,2023-03-02,201773
283.7,287.7,282.25,285.7,2023-03-03,488035
285.85,291.9,285.85,289.7,2023-03-06,463252
287.5,294.6,287.1,289.2,2023-03-08,998997
288.7,293.85,288.15,292.4,2023-03-09,538589
289.3,290.9,278.45,283.85,2023-03-10,1062292
283.55,285.75,281.2,282.95,2023-03-13,541821
282.9,287.4,282.15,283.75,2023-03-14,476589
284.0,289.05,283.5,285.1,2023-03-15,446410
284.65,285.8,280.3,283.05,2023-03-16,466650
283.6,288.4,282.25,286.05,2023-03-17,481889
285.45,285.75,279.4,281.9,2023-03-20,880975
282.55,290.8,282.05,288.3,2023-03-21,872354
289.45,289.95,285.3,287.55,2023-03-22,195855
285.75,287.0,279.45,280.7,2023-03-23,400036
281.05,283.4,278.6,282.35,2023-03-24,702832
282.35,286.5,278.7,283.65,2023-03-27,1362843
283.65,284.45,270.3,270.95,2023-03-28,1640402
268.5,275.0,267.75,273.25,2023-03-29,1073323
275.0,291.8,274.75,290.7,2023-03-31,2403068
290.7,298.55,288.4,297.35,2023-04-03,1412208
299.1,299.1,294.45,296.15,2023-04-05,1223900
296.0,299.95,294.1,298.75,2023-04-06,503742
298.5,302.9,296.2,299.4,2023-04-10,1047939
299.0,301.3,293.05,293.7,2023-04-11,375743
293.95,304.95,293.55,301.65,2023-04-12,1869382
302.9,302.9,296.0,297.5,2023-04-13,587990
299.0,299.3,293.95,294.55,2023-04-17,435567
294.5,301.6,294.25,300.7,2023-04-18,587593
303.0,306.5,300.3,304.05,2023-04-19,1787289
305.5,305.85,301.9,302.55,2023-04-20,610987
302.55,303.55,299.25,300.5,2023-04-21,345170
302.05,302.3,296.8,297.5,2023-04-24,544714
297.5,299.1,294.55,296.85,2023-04-25,275467
296.85,300.0,296.0,299.15,2023-04-26,417472
299.15,303.5,297.05,302.2,2023-04-27,635897
303.75,303.9,297.95,300.35,2023-04-28,991295
300.7,303.65,298.75,300.85,2023-05-02,1054387
298.0,302.0,298.0,299.7,2023-05-03,494373
299.75,309.8,299.75,303.6,2023-05-04,2936363
305.0,306.0,296.15,296.65,2023-05-05,1152479
297.05,308.5,295.1,306.45,2023-05-08,1635272
307.45,308.85,298.75,299.6,2023-05-09,1051952
299.65,301.85,296.0,300.75,2023-05-10,635528
300.75,302.45,297.0,298.85,2023-05-11,559968
298.5,300.4,295.6,296.1,2023-05-12,418971
297.0,297.7,290.5,292.8,2023-05-15,866140
294.0,302.45,284.0,288.15,2023-05-16,3737374
288.1,298.2,280.1,285.95,2023-05-17,4555413
287.4,289.85,276.2,277.75,2023-05-18,2273957
280.0,280.0,274.15,276.3,2023-05-19,1272913
273.0,281.85,273.0,276.25,2023-05-22,1351751
277.7,278.4,274.0,275.85,2023-05-23,1127426
275.85,280.4,275.0,278.9,2023-05-24,919244
279.85,280.0,272.35,273.05,2023-05-25,1659369
273.05,277.85,272.35,276.85,2023-05-26,810097
278.0,282.35,276.85,281.35,2023-05-29,738499
282.8,284.75,280.55,281.95,2023-05-30,904908
281.4,284.4,279.85,281.95,2023-05-31,785679
281.65,288.8,281.55,288.05,2023-06-01,1224324
289.25,291.0,283.35,286.95,2023-06-02,1373742
288.25,288.4,284.0,284.75,2023-06-05,606860
285.0,285.0,280.05,282.3,2023-06-06,783520
282.35,285.25,281.7,283.8,2023-06-07,797592
283.0,284.55,279.05,279.85,2023-06-08,792292
280.95,281.2,276.2,277.3,2023-06-09,517594
277.3,280.9,275.25,279.45,2023-06-12,518027
280.85,286.45,279.95,285.35,2023-06-13,1509258
286.8,289.0,285.55,287.1,2023-06-14,1244112
288.45,289.0,285.0,287.1,2023-06-15,1160874
288.05,295.85,287.1,292.05,2023-06-16,2037737
295.0,297.4,292.65,294.75,2023-06-19,1629998
295.2,295.2,291.0,293.25,2023-06-20,947694
294.0,294.75,287.3,290.95,2023-06-21,1720989
291.05,294.5,286.7,287.95,2023-06-22,985128
287.95,290.65,281.35,287.0,2023-06-23,1132378
287.95,292.25,283.3,291.25,2023-06-26,1081556
292.7,300.7,291.7,297.2,2023-06-27,3220796
298.45,302.6,295.0,300.4,2023-06-28,2246080
298.3,299.8,293.55,296.9,2023-06-30,2446255
302.0,304.6,297.55,298.65,2023-07-03,2316092
299.25,299.65,294.2,295.65,2023-07-04,1387147
295.65,296.85,294.25,295.3,2023-07-05,550232
295.0,303.25,294.3,300.9,2023-07-06,2025739
301.0,315.4,300.0,311.9,2023-07-07,11444581
314.7,317.45,309.05,310.05,2023-07-10,3468004
311.9,313.5,306.55,309.95,2023-07-11,1606249
311.5,314.55,308.1,308.9,2023-07-12,2050698
311.25,312.7,300.5,302.35,2023-07-13,2840536
305.3,310.45,302.35,308.8,2023-07-14,1777667
312.0,314.5,310.1,311.3,2023-07-17,1315832
312.1,312.75,306.0,310.0,2023-07-18,974968
310.95,317.95,310.05,313.45,2023-07-19,2578074
314.7,315.1,310.7,311.45,2023-07-20,895845
310.55,314.9,309.0,309.8,2023-07-21,1282195
309.95,312.2,306.05,306.95,2023-07-24,914154
308.0,311.1,306.7,308.95,2023-07-25,943549
310.0,312.4,306.7,308.1,2023-07-26,853913
309.45,323.55,308.65,321.65,2023-07-27,5886341
323.5,326.9,319.75,321.3,2023-07-28,3729513
321.8,325.3,321.0,323.3,2023-07-31,1262686
323.3,329.3,322.25,326.2,2023-08-01,2337236
327.85,327.85,313.7,317.15,2023-08-02,2233822
317.5,321.7,314.85,318.2,2023-08-03,1812204
320.0,325.4,317.3,318.3,2023-08-04,1942284
320.4,322.4,317.2,320.55,2023-08-07,970256
320.9,324.9,319.95,323.1,2023-08-08,1372128
324.75,327.5,321.0,322.4,2023-08-09,1841196
306.25,315.0,301.0,301.9,2023-08-10,7189682
302.0,303.15,297.0,299.9,2023-08-11,1712787
298.0,298.4,287.7,291.85,2023-08-14,2167364
291.0,296.0,288.0,294.1,2023-08-16,1010235
293.8,296.4,291.2,294.05,2023-08-17,800663
293.5,297.5,288.1,290.35,2023-08-18,1290513
293.0,299.85,290.35,298.3,2023-08-21,1166153
298.5,299.15,294.55,295.55,2023-08-22,1153324
295.95,297.25,294.3,294.65,2023-08-23,486835
295.9,299.35,293.8,294.8,2023-08-24,1075290
296.3,300.8,292.65,294.1,2023-08-25,1645734
295.05,302.45,294.2,298.95,2023-08-28,1182305
298.9,302.9,298.3,301.65,2023-08-29,1238077
301.8,305.1,300.35,302.0,2023-08-30,827421
301.55,302.85,296.55,297.6,2023-08-31,873128
300.1,303.5,298.25,302.3,2023-09-01,809021
303.45,307.9,301.4,305.6,2023-09-04,1137149
306.45,314.0,305.9,311.55,2023-09-05,1552527
312.65,315.0,309.5,310.95,2023-09-06,949875
311.0,323.5,310.95,316.25,2023-09-07,3527630
317.8,319.0,311.7,312.85,2023-09-08,1136470
312.85,317.75,312.85,313.95,2023-09-11,752473
314.0,317.95,305.9,307.75,2023-09-12,1519165
313.7,325.85,312.85,320.55,2023-09-13,8981723
323.25,335.4,321.0,334.4,2023-09-14,4735174
336.5,338.25,330.65,331.25,2023-09-15,2432640
333.0,334.75,326.0,326.9,2023-09-18,1229038
325.0,333.95,321.0,331.6,2023-09-20,1988574
332.75,333.65,322.2,323.2,2023-09-21,1323430
323.2,338.55,320.8,336.8,2023-09-22,3802198
338.8,341.0,330.1,333.75,2023-09-25,2284760
333.25,338.3,329.45,336.5,2023-09-26,1792919
335.0,351.5,334.2,349.75,2023-09-27,6579578
349.75,350.75,340.1,341.85,2023-09-28,3518868
344.9,356.0,343.0,354.75,2023-09-29,2385607
358.0,359.95,353.15,356.35,2023-10-03,2034947
356.0,360.85,349.05,359.55,2023-10-04,3430857
360.95,361.85,352.2,354.35,2023-10-05,1335740
355.5,365.25,352.3,362.1,2023-10-06,2263674
353.0,364.7,353.0,355.8,2023-10-09,1988089
356.8,362.4,356.55,357.8,2023-10-10,782904
359.8,359.8,352.05,353.2,2023-10-11,941498
353.2,358.5,353.2,356.0,2023-10-12,576820
356.0,358.3,352.15,353.6,2023-10-13,711449
355.65,356.0,350.8,352.5,2023-10-16,642939
352.55,356.1,351.5,355.0,2023-10-17,574892
355.0,359.0,351.0,355.95,2023-10-18,724141
355.9,355.9,350.1,353.35,2023-10-19,669522
354.1,354.1,343.0,344.75,2023-10-20,931467
342.0,345.6,330.3,332.6,2023-10-23,1089917
333.65,335.05,325.55,329.65,2023-10-25,607043
327.0,329.6,318.95,324.4,2023-10-26,756435
326.65,330.25,324.8,326.3,2023-10-27,531185
326.3,327.95,322.5,326.0,2023-10-30,384027
325.95,327.45,321.1,325.9,2023-10-31,461624
325.95,340.5,322.75,337.4,2023-11-01,2349145
340.6,346.7,338.6,341.65,2023-11-02,1125070
343.0,353.55,342.0,351.85,2023-11-03,917227
351.85,353.85,346.55,350.75,2023-11-06,744222
349.0,355.5,347.55,354.45,2023-11-07,846255
354.6,366.85,354.6,358.05,2023-11-08,2962408
360.9,374.8,353.4,370.1,2023-11-09,4196966
369.0,371.95,364.15,366.55,2023-11-10,1089859
