open,high,low,close,date,volume
150.4,154.25,145.75,146.7,2022-09-29,848131
146.9,151.0,146.25,149.65,2022-09-30,698981
148.2,151.2,145.3,146.15,2022-10-03,546810
148.25,154.0,148.25,151.3,2022-10-04,1119965
152.65,156.6,152.65,155.8,2022-10-06,877309
156.65,156.95,153.3,154.55,2022-10-07,652324
152.8,158.7,151.55,155.6,2022-10-10,1035287
155.95,156.4,149.45,150.25,2022-10-11,692534
151.1,151.95,148.25,150.9,2022-10-12,595978
150.9,152.65,149.1,151.0,2022-10-13,611568
152.85,156.3,150.4,151.0,2022-10-14,912113
151.15,154.8,148.55,152.85,2022-10-17,694962
153.5,158.05,153.5,153.95,2022-10-18,747068
154.85,158.25,150.3,152.4,2022-10-19,1246468
152.0,154.8,150.7,151.45,2022-10-20,524131
152.5,153.9,146.2,147.85,2022-10-21,777455
149.95,151.9,149.1,150.0,2022-10-24,227035
150.7,151.45,147.1,147.75,2022-10-25,563477
148.2,152.4,148.2,150.85,2022-10-27,885036
151.0,151.25,147.75,148.7,2022-10-28,430572
149.45,153.1,149.4,151.2,2022-10-31,759882
152.1,156.0,151.8,154.1,2022-11-01,1210408
154.5,154.9,151.05,151.65,2022-11-02,525634
150.4,152.8,149.85,150.9,2022-11-03,441529
151.3,153.5,149.9,151.1,2022-11-04,976144
151.85,158.0,151.85,157.25,2022-11-07,1555218
158.35,158.95,152.25,154.8,2022-11-09,868217
154.55,155.7,150.0,150.95,2022-11-10,678054
152.05,153.6,150.55,151.55,2022-11-11,620763
151.85,154.6,148.35,148.95,2022-11-14,1263969
157.25,164.45,152.6,153.45,2022-11-15,8543642
154.35,156.45,152.1,153.1,2022-11-16,1808921
153.0,154.0,150.15,150.85,2022-11-17,1057114
151.6,152.4,148.55,149.55,2022-11-18,870032
149.25,149.7,146.6,147.25,2022-11-21,785060
147.8,149.4,146.5,146.85,2022-11-22,623693
147.35,149.5,146.5,146.8,2022-11-23,917094
147.95,148.95,145.5,145.95,2022-11-24,840397
146.6,150.15,146.0,148.4,2022-11-25,1221995
148.7,150.0,147.2,147.85,2022-11-28,979211
148.2,149.0,146.4,146.65,2022-11-29,813853
147.5,149.9,147.0,149.2,2022-11-30,784025
150.0,153.9,148.5,149.35,2022-12-01,1632919
149.9,151.6,147.6,147.9,2022-12-02,1259781
148.7,148.7,145.35,146.05,2022-12-05,1324309
146.0,147.95,144.05,144.55,2022-12-06,1811260
145.15,145.8,140.0,141.0,2022-12-07,1921334
141.45,145.0,141.05,142.7,2022-12-08,1408627
143.45,144.3,138.25,139.0,2022-12-09,1322747
139.05,140.2,136.7,137.3,2022-12-12,1393946
137.8,140.0,137.35,137.9,2022-12-13,1376306
138.55,141.95,138.3,140.4,2022-12-14,1658235
141.0,144.8,140.6,143.05,2022-12-15,1832134
142.5,143.95,140.0,140.65,2022-12-16,969458
141.0,141.1,138.1,138.85,2022-12-19,750841
139.2,139.9,137.5,138.2,2022-12-20,677591
138.9,139.2,133.7,134.75,2022-12-21,1167519
135.4,136.25,130.2,132.05,2022-12-22,1229969
130.0,131.8,126.0,126.15,2022-12-23,1143739
126.15,131.2,124.35,130.55,2022-12-26,876697
132.2,132.85,130.55,131.85,2022-12-27,569763
132.0,134.3,131.1,133.45,2022-12-28,588833
134.65,140.0,134.0,139.1,2022-12-29,2164045
139.9,141.8,139.3,140.25,2022-12-30,977934
140.4,140.9,138.65,139.35,2023-01-02,605507
139.35,140.0,136.0,137.05,2023-01-03,854554
137.65,137.95,134.7,135.45,2023-01-04,578165
136.05,137.4,134.55,135.15,2023-01-05,641137
135.85,136.0,133.0,133.9,2023-01-06,531131
134.6,135.05,133.0,134.15,2023-01-09,421683
134.6,136.0,131.85,132.8,2023-01-10,762104
133.75,144.0,133.55,142.8,2023-01-11,6176932
142.7,145.7,140.6,143.6,2023-01-12,4228220
143.5,143.5,140.15,140.75,2023-01-13,1072737
141.45,143.4,138.85,141.95,2023-01-16,1420826
141.95,145.65,140.65,143.5,2023-01-17,1669903
144.05,144.8,142.1,142.55,2023-01-18,722380
