open,high,low,close,date,volume
296.0,298.8,289.55,291.6,2022-09-29,27330
294.3,295.85,285.35,289.55,2022-09-30,38076
289.0,289.9,282.15,283.55,2022-10-03,28523
287.75,302.0,285.0,295.7,2022-10-04,42522
299.95,344.8,295.0,329.15,2022-10-06,375105
325.35,328.9,317.55,320.6,2022-10-07,80055
315.0,330.5,310.65,322.85,2022-10-10,82752
325.0,331.8,315.55,327.4,2022-10-11,60249
331.0,331.0,312.35,317.35,2022-10-12,35151
315.05,317.75,300.2,303.0,2022-10-13,36448
307.45,315.9,300.3,303.35,2022-10-14,46710
306.9,317.0,301.1,313.0,2022-10-17,31879
313.55,319.1,311.1,314.0,2022-10-18,13972
314.0,323.95,314.0,320.75,2022-10-19,27487
319.9,319.9,312.8,316.95,2022-10-20,8837
317.45,318.25,308.8,316.05,2022-10-21,11392
320.75,324.95,315.0,319.15,2022-10-24,6399
319.15,323.85,317.4,320.4,2022-10-25,28817
329.0,329.0,317.5,323.2,2022-10-27,25643
327.95,327.95,320.05,324.5,2022-10-28,6611
324.0,325.9,314.05,319.5,2022-10-31,9887
321.5,327.0,317.5,326.45,2022-11-01,19353
327.65,332.5,323.95,331.55,2022-11-02,17500
334.45,334.45,325.2,332.4,2022-11-03,12616
332.4,334.2,318.45,321.35,2022-11-04,20250
326.0,326.0,319.0,323.3,2022-11-07,12270
326.8,326.8,318.0,320.3,2022-11-09,6509
320.0,320.0,316.2,319.35,2022-11-10,3541
319.35,322.95,317.0,319.15,2022-11-11,4650
339.0,339.0,322.0,323.95,2022-11-14,25287
324.05,331.5,319.0,320.65,2022-11-15,32834
320.65,325.0,320.0,322.95,2022-11-16,8987
322.0,323.75,320.4,322.0,2022-11-17,3587
322.0,322.0,319.6,320.1,2022-11-18,7205
320.05,325.0,320.05,324.3,2022-11-21,14687
324.3,326.85,323.5,323.9,2022-11-22,96853
325.05,337.05,319.0,325.55,2022-11-23,137764
330.35,333.1,323.8,330.45,2022-11-24,13332
325.1,336.35,325.1,331.1,2022-11-25,20244
336.8,342.0,325.0,328.5,2022-11-28,45884
328.5,333.95,328.5,331.45,2022-11-29,11614
334.75,335.0,329.1,332.55,2022-11-30,34702
336.8,338.0,331.0,334.65,2022-12-01,40506
335.0,339.0,332.95,334.75,2022-12-02,9946
338.7,338.7,326.25,329.8,2022-12-05,13462
335.0,335.0,325.55,327.4,2022-12-06,8491
326.0,333.25,325.1,331.3,2022-12-07,31146
331.1,332.45,328.85,329.0,2022-12-08,5544
333.8,333.8,320.1,321.95,2022-12-09,17527
326.0,326.0,311.0,314.95,2022-12-12,25986
321.15,322.35,316.1,320.95,2022-12-13,14249
321.05,333.8,316.05,325.95,2022-12-14,25645
329.0,330.05,320.0,324.65,2022-12-15,8728
324.65,324.65,316.7,320.7,2022-12-16,9413
318.05,323.45,318.05,320.0,2022-12-19,6004
319.95,325.2,319.1,322.1,2022-12-20,4915
320.0,327.95,308.05,314.15,2022-12-21,21787
317.0,317.05,306.6,311.65,2022-12-22,9780
311.7,320.0,297.0,316.9,2022-12-23,62294
307.0,327.0,307.0,318.7,2022-12-26,22474
322.6,343.9,322.6,334.8,2022-12-27,676285
339.0,343.2,324.0,327.05,2022-12-28,32094
326.45,328.3,318.0,320.15,2022-12-29,18917
323.35,326.1,321.15,322.2,2022-12-30,160635
322.2,333.6,320.85,325.05,2023-01-02,601826
328.3,333.95,321.05,331.4,2023-01-03,24230
332.3,338.8,324.25,334.0,2023-01-04,24876
334.0,338.45,328.05,332.0,2023-01-05,15338
333.0,335.0,325.55,331.5,2023-01-06,9911
335.35,335.35,324.0,325.5,2023-01-09,8436
325.5,334.0,325.5,331.35,2023-01-10,10819
333.0,333.0,327.3,328.55,2023-01-11,5903
330.95,332.85,316.35,320.25,2023-01-12,10734
320.25,323.9,319.0,319.95,2023-01-13,7515
324.75,324.75,307.1,311.3,2023-01-16,16032
315.0,316.75,304.0,307.5,2023-01-17,29967
310.9,310.9,296.95,298.15,2023-01-18,49101
298.5,347.45,296.0,317.75,2023-01-19,70302
321.1,325.0,313.95,316.2,2023-01-20,22061
320.85,322.1,310.0,318.7,2023-01-23,14868
318.7,335.0,316.4,329.95,2023-01-24,41575
328.0,330.65,317.35,319.55,2023-01-25,19025
319.85,323.85,303.95,308.65,2023-01-27,21755
312.0,313.0,298.5,301.95,2023-01-30,18909
306.45,315.0,302.15,312.7,2023-01-31,14490
317.35,318.2,308.2,313.4,2023-02-01,8642
313.4,319.95,310.95,317.45,2023-02-02,25643
322.15,322.2,298.9,308.15,2023-02-03,28982
309.55,317.25,307.0,307.55,2023-02-06,13622
309.0,315.95,309.0,311.7,2023-02-07,9459
316.0,316.0,310.05,311.95,2023-02-08,4661
316.55,318.4,312.0,313.45,2023-02-09,4121
318.0,318.0,310.0,310.75,2023-02-10,3264
314.95,314.95,307.95,308.2,2023-02-13,7171
312.8,315.0,305.7,310.9,2023-02-14,9662
308.15,311.4,307.95,309.95,2023-02-15,2826
309.95,317.0,306.15,309.6,2023-02-16,6722
309.6,317.85,307.6,314.4,2023-02-17,11303
318.0,318.0,310.05,311.9,2023-02-20,5705
314.0,314.0,310.55,312.2,2023-02-21,1581
309.6,316.9,309.6,311.25,2023-02-22,11891
315.0,315.3,310.2,311.55,2023-02-23,2646
307.0,316.0,307.0,310.8,2023-02-24,4805
313.95,313.95,299.95,306.55,2023-02-27,14063
311.05,311.05,302.55,304.55,2023-02-28,12886
309.0,310.0,301.55,306.6,2023-03-01,7556
307.2,311.0,304.2,308.55,2023-03-02,4768
310.9,311.45,306.55,307.15,2023-03-03,5292
307.65,309.45,305.5,305.7,2023-03-06,3327
306.3,318.0,304.75,316.4,2023-03-08,11655
314.95,317.0,313.2,315.05,2023-03-09,5729
307.0,321.7,307.0,315.9,2023-03-10,17024
315.9,320.4,308.05,315.3,2023-03-13,11671
319.0,319.0,312.3,314.7,2023-03-14,8563
314.0,317.7,306.25,307.4,2023-03-15,5102
307.4,308.9,301.0,304.9,2023-03-16,3954
304.85,308.2,304.55,306.0,2023-03-17,2117
306.0,306.0,301.0,305.0,2023-03-20,4633
305.9,336.95,305.0,324.6,2023-03-21,64762
327.6,330.0,318.0,322.8,2023-03-22,28689
325.95,325.95,315.0,315.65,2023-03-23,4835
317.9,321.9,305.1,306.9,2023-03-24,15143
306.9,310.45,298.6,303.5,2023-03-27,18166
306.55,311.0,281.55,289.1,2023-03-28,38168
287.0,302.8,283.95,297.55,2023-03-29,130070
302.0,305.0,298.0,299.95,2023-03-31,12706
304.35,309.95,288.15,291.3,2023-04-03,45557
295.65,303.45,293.7,299.6,2023-04-05,125561
296.8,310.8,296.8,308.05,2023-04-06,32351
308.2,313.05,301.1,303.0,2023-04-10,13209
306.05,310.0,301.5,302.95,2023-04-11,10899
306.0,310.0,301.55,305.5,2023-04-12,20627
305.5,308.95,305.5,307.1,2023-04-13,8645
304.35,310.0,303.65,308.25,2023-04-17,9844
308.8,310.9,306.0,306.35,2023-04-18,5848
303.05,312.05,303.05,308.05,2023-04-19,19058
309.25,313.0,305.15,306.0,2023-04-20,13426
308.0,309.9,302.7,304.9,2023-04-21,7517
302.75,307.4,297.65,298.7,2023-04-24,21321
305.65,305.65,286.2,290.6,2023-04-25,65762
294.95,299.0,285.6,287.7,2023-04-26,23494
290.0,291.0,283.5,285.05,2023-04-27,39565
289.25,293.8,285.3,290.2,2023-04-28,17020
297.2,298.0,292.6,294.0,2023-05-02,217991
294.0,300.85,294.0,299.6,2023-05-03,24203
300.0,309.0,293.45,295.2,2023-05-04,34520
298.15,302.55,293.0,294.55,2023-05-05,51935
293.05,302.0,293.05,299.05,2023-05-08,16459
302.0,306.8,300.15,302.9,2023-05-09,16772
305.0,307.25,300.5,305.8,2023-05-10,12843
306.0,321.3,302.35,313.4,2023-05-11,42862
316.0,318.95,307.55,315.1,2023-05-12,24720
318.25,320.65,309.45,314.0,2023-05-15,43902
318.55,321.3,314.45,317.0,2023-05-16,20572
319.95,319.95,313.5,314.4,2023-05-17,16040
317.95,317.95,310.5,311.8,2023-05-18,19076
312.0,314.95,302.1,305.6,2023-05-19,16288
306.0,314.05,306.0,312.0,2023-05-22,13244
311.95,316.45,306.35,308.6,2023-05-23,14781
313.0,315.0,306.0,307.3,2023-05-24,19107
