open,high,low,close,date,volume
373.4,387.0,370.35,373.2,2022-09-29,9423
370.0,421.8,370.0,394.75,2022-09-30,33815
403.0,434.0,398.0,404.8,2022-10-03,56516
410.85,419.9,405.3,410.35,2022-10-04,14086
412.0,417.95,395.65,401.55,2022-10-06,10138
404.9,407.6,392.95,396.2,2022-10-07,40376
396.2,396.2,380.05,393.4,2022-10-10,7146
384.15,396.45,384.15,389.2,2022-10-11,9158
389.35,394.0,336.95,375.6,2022-10-12,59700
381.25,424.9,377.4,398.1,2022-10-13,39520
410.05,411.65,379.3,382.8,2022-10-14,41444
377.05,388.55,362.55,366.1,2022-10-17,49183
369.75,374.95,355.0,363.05,2022-10-18,61942
359.45,369.15,359.1,363.8,2022-10-19,45600
362.7,385.9,362.1,374.7,2022-10-20,97969
374.65,379.9,355.85,359.6,2022-10-21,50869
365.0,384.0,365.0,374.9,2022-10-24,29494
374.0,386.95,365.75,382.65,2022-10-25,102737
388.4,393.8,365.1,372.75,2022-10-27,94614
374.05,379.95,364.0,365.3,2022-10-28,41010
368.95,382.6,362.0,370.05,2022-10-31,96327
375.65,375.65,364.1,366.3,2022-11-01,43194
371.6,372.9,360.2,368.95,2022-11-02,35361
372.65,372.65,360.0,368.6,2022-11-03,53592
370.0,372.85,360.0,362.85,2022-11-04,67574
366.9,370.95,360.0,361.55,2022-11-07,35554
362.0,379.7,359.65,373.7,2022-11-09,72860
377.45,383.0,365.0,365.75,2022-11-10,38122
366.15,374.4,366.15,369.15,2022-11-11,37079
372.0,372.0,359.9,361.8,2022-11-14,31523
353.0,361.95,351.0,352.2,2022-11-15,37537
364.0,364.0,350.0,351.45,2022-11-16,39339
356.5,363.0,350.2,357.15,2022-11-17,38102
362.0,362.0,350.0,355.8,2022-11-18,42246
357.9,362.0,346.0,358.4,2022-11-21,50808
355.55,364.0,348.5,352.1,2022-11-22,70420
354.0,357.95,351.0,352.65,2022-11-23,35055
350.1,353.95,346.05,349.65,2022-11-24,59301
351.3,352.95,337.0,342.4,2022-11-25,40342
339.0,352.6,338.05,346.4,2022-11-28,83809
341.2,350.5,341.2,348.1,2022-11-29,56688
353.3,372.6,349.95,367.5,2022-11-30,119573
372.95,384.0,361.7,373.35,2022-12-01,65116
374.0,379.9,362.4,369.75,2022-12-02,73357
373.95,380.45,355.55,358.15,2022-12-05,80111
363.55,363.55,355.2,357.9,2022-12-06,55079
357.0,367.1,350.35,353.2,2022-12-07,36727
352.0,391.25,350.75,361.75,2022-12-08,277917
362.0,389.4,360.75,382.05,2022-12-09,154308
384.75,404.0,375.05,387.95,2022-12-12,155800
393.5,399.9,386.05,389.3,2022-12-13,94677
392.75,394.4,375.0,377.0,2022-12-14,63741
377.15,382.7,354.0,368.9,2022-12-15,100034
368.95,372.15,363.55,367.5,2022-12-16,36236
367.5,374.55,361.4,365.6,2022-12-19,64641
362.15,369.75,361.15,368.55,2022-12-20,48678
365.8,371.0,346.0,350.75,2022-12-21,57909
356.0,357.35,335.05,337.6,2022-12-22,51942
333.75,347.95,301.95,308.05,2022-12-23,64194
312.65,343.9,312.65,319.75,2022-12-26,167729
329.0,383.7,325.15,350.0,2022-12-27,298439
349.95,372.0,343.0,358.15,2022-12-28,68633
352.05,364.95,351.0,363.85,2022-12-29,29095
369.95,436.6,359.6,431.7,2022-12-30,935470
430.95,430.95,402.0,410.6,2023-01-02,149011
413.9,424.8,403.0,417.8,2023-01-03,98145
414.9,414.9,401.0,404.4,2023-01-04,30137
404.4,408.0,395.0,402.75,2023-01-05,24910
404.0,405.5,391.4,395.35,2023-01-06,89352
403.5,413.8,391.0,395.2,2023-01-09,269238
397.55,397.55,387.05,390.9,2023-01-10,15557
391.6,394.45,380.05,383.0,2023-01-11,11604
384.0,390.0,380.15,383.9,2023-01-12,11834
390.0,390.05,375.05,377.35,2023-01-13,15938
382.5,387.0,374.2,378.4,2023-01-16,18697
380.0,382.0,374.95,380.15,2023-01-17,11488
376.85,384.8,376.0,379.9,2023-01-18,33706
383.4,383.4,370.05,372.05,2023-01-19,17373
373.0,375.95,361.0,364.95,2023-01-20,192119
362.05,369.8,362.0,362.7,2023-01-23,8659
363.0,369.9,360.85,362.0,2023-01-24,146928
360.8,361.0,355.1,356.95,2023-01-25,95649
358.8,360.2,333.35,345.85,2023-01-27,129033
349.9,354.0,344.3,346.2,2023-01-30,53060
342.15,358.0,342.15,348.9,2023-01-31,10968
348.9,356.95,340.4,343.75,2023-02-01,12839
345.0,345.0,335.0,337.6,2023-02-02,10858
337.3,347.9,327.05,333.25,2023-02-03,17135
333.5,348.95,331.55,343.7,2023-02-06,20128
345.1,346.95,333.0,336.0,2023-02-07,10228
338.4,339.0,324.65,330.85,2023-02-08,15060
334.5,338.0,329.45,330.9,2023-02-09,23373
331.0,331.95,316.3,318.9,2023-02-10,182678
320.0,320.0,305.0,307.0,2023-02-13,86782
307.05,322.0,296.65,317.2,2023-02-14,86932
312.45,315.0,303.4,313.4,2023-02-15,125968
315.0,315.0,303.7,307.25,2023-02-16,25111
306.9,311.95,301.2,309.3,2023-02-17,65002
309.3,314.75,303.0,305.15,2023-02-20,149083
308.2,309.95,299.0,300.9,2023-02-21,52862
304.85,308.45,297.0,303.0,2023-02-22,42533
303.0,303.0,297.0,298.75,2023-02-23,10682
301.75,301.95,290.0,292.95,2023-02-24,16842
292.95,292.95,281.0,289.65,2023-02-27,41928
294.0,315.9,289.25,313.6,2023-02-28,146560
308.95,309.0,297.1,302.45,2023-03-01,198908
299.0,309.9,299.0,303.55,2023-03-02,276818
305.8,314.95,303.2,306.15,2023-03-03,187549
308.5,315.15,304.0,307.25,2023-03-06,286652
309.7,309.7,290.55,299.85,2023-03-08,234581
301.0,301.0,281.0,282.1,2023-03-09,411125
283.8,285.0,254.05,261.1,2023-03-10,450409
268.0,268.0,211.95,216.75,2023-03-13,887949
221.0,231.85,209.55,220.25,2023-03-14,467924
226.5,239.9,221.3,224.7,2023-03-15,187489
232.7,232.7,215.0,218.15,2023-03-16,63682
221.0,224.25,210.1,211.6,2023-03-17,92351
215.3,215.3,200.5,203.1,2023-03-20,40394
209.0,209.0,195.9,198.0,2023-03-21,131462
