open,high,low,close,date,volume
130.3,132.5,128.55,130.65,2022-09-29,1389167
130.0,133.4,129.3,130.9,2022-09-30,1393670
130.5,132.0,128.0,128.25,2022-10-03,1228049
130.65,131.75,128.8,129.0,2022-10-04,1123789
129.7,132.15,129.0,130.25,2022-10-06,2442722
130.9,136.0,130.7,132.7,2022-10-07,3938093
131.7,132.7,130.2,130.9,2022-10-10,1359974
130.7,131.55,126.9,127.2,2022-10-11,1998787
128.0,130.5,125.7,128.5,2022-10-12,1492451
129.3,130.8,127.2,128.75,2022-10-13,1775305
130.0,133.3,128.8,130.1,2022-10-14,2943083
130.45,131.4,129.1,130.55,2022-10-17,1117077
130.6,132.4,130.6,131.15,2022-10-18,1191668
131.25,132.7,129.05,129.5,2022-10-19,1456564
129.5,130.55,128.9,129.3,2022-10-20,1047216
130.6,130.6,127.2,127.7,2022-10-21,870538
129.45,129.95,128.0,129.65,2022-10-24,295321
130.0,130.1,127.5,127.95,2022-10-25,1110558
127.0,127.45,123.6,125.1,2022-10-27,2217831
125.1,125.1,122.55,122.9,2022-10-28,1346787
123.0,125.5,120.55,123.05,2022-10-31,3574870
123.2,125.25,123.05,123.9,2022-11-01,1475608
123.0,125.6,122.95,124.3,2022-11-02,1543744
124.3,126.9,124.2,125.2,2022-11-03,1334912
125.2,128.8,125.2,127.95,2022-11-04,1919935
129.0,129.8,127.55,127.9,2022-11-07,1235130
129.4,132.4,128.0,130.05,2022-11-09,2628822
131.0,133.7,127.05,127.85,2022-11-10,4009363
128.95,129.5,126.6,127.5,2022-11-11,1012010
127.5,127.9,124.65,125.0,2022-11-14,1385229
125.9,125.9,122.4,123.3,2022-11-15,1289499
123.5,124.25,121.55,121.85,2022-11-16,1163431
121.85,122.65,120.05,120.7,2022-11-17,1017928
121.1,121.9,119.05,119.45,2022-11-18,1148836
119.95,123.8,118.45,122.3,2022-11-21,1816457
122.4,122.9,119.7,120.7,2022-11-22,1011163
121.0,130.2,120.7,129.05,2022-11-23,10338186
130.0,131.4,127.55,130.15,2022-11-24,4984250
130.0,133.75,128.6,132.35,2022-11-25,3077542
132.1,136.45,132.1,134.6,2022-11-28,3963160
134.5,134.55,130.55,131.15,2022-11-29,2535981
131.85,133.1,130.65,132.55,2022-11-30,1909452
132.9,134.5,130.5,130.9,2022-12-01,2103069
131.1,132.3,130.55,131.4,2022-12-02,1510564
132.1,134.85,131.7,133.5,2022-12-05,1555166
133.0,134.7,131.3,132.25,2022-12-06,2410934
132.5,133.9,130.3,132.05,2022-12-07,2716850
132.95,137.85,132.95,137.05,2022-12-08,7605592
138.0,138.85,133.45,133.85,2022-12-09,2312490
133.45,136.0,132.25,135.4,2022-12-12,1538864
136.55,139.9,134.3,138.0,2022-12-13,3609533
138.6,142.0,136.8,140.35,2022-12-14,4363465
140.5,151.3,139.7,148.9,2022-12-15,17217844
148.6,152.4,145.05,147.2,2022-12-16,10716946
147.45,148.9,142.55,143.75,2022-12-19,3534049
143.0,145.7,140.15,144.4,2022-12-20,4299364
144.4,145.4,133.6,134.45,2022-12-21,4443925
135.5,136.3,128.2,130.25,2022-12-22,3456252
128.5,129.6,121.1,121.85,2022-12-23,3219459
122.5,126.35,121.0,125.5,2022-12-26,3140923
126.4,128.0,124.65,127.35,2022-12-27,2487620
127.75,142.35,126.65,140.35,2022-12-28,12163353
139.9,139.9,135.7,137.65,2022-12-29,5592724
138.4,143.65,138.1,139.75,2022-12-30,5013108
140.7,142.7,138.6,142.0,2023-01-02,3950256
142.4,142.6,138.3,139.8,2023-01-03,2255273
139.9,144.9,139.8,140.6,2023-01-04,6629319
141.15,141.7,137.95,138.85,2023-01-05,2703468
139.3,146.45,137.0,145.15,2023-01-06,10991930
146.35,149.3,143.65,144.5,2023-01-09,5238910
