open,high,low,close,date,volume
224.45,240.0,221.35,224.4,2022-09-29,49459
222.0,228.25,221.05,224.2,2022-09-30,23775
228.5,233.0,222.5,231.05,2022-10-03,68911
233.5,235.0,228.05,229.45,2022-10-04,19704
232.0,240.0,229.25,236.5,2022-10-06,78949
230.2,239.95,230.1,232.7,2022-10-07,61464
237.5,242.5,232.5,238.4,2022-10-10,62214
240.4,242.7,231.0,234.35,2022-10-11,51743
237.45,253.5,230.6,241.5,2022-10-12,29318
238.2,239.0,233.1,234.6,2022-10-13,23845
240.0,263.0,236.0,261.2,2022-10-14,598285
263.4,267.9,255.1,258.2,2022-10-17,178468
256.0,278.0,255.8,257.55,2022-10-18,394312
258.2,274.8,258.2,265.1,2022-10-19,182346
265.0,271.0,263.1,267.3,2022-10-20,52716
268.0,277.0,264.0,264.4,2022-10-21,63261
267.5,275.8,266.45,270.25,2022-10-24,30305
272.0,273.9,259.75,262.1,2022-10-25,44620
262.1,273.5,256.0,269.95,2022-10-27,116342
274.5,312.0,268.0,289.1,2022-10-28,698697
292.3,298.85,280.2,283.0,2022-10-31,353870
285.0,304.5,284.2,300.6,2022-11-01,444275
302.4,305.05,288.7,293.35,2022-11-02,165338
286.4,300.45,284.5,287.75,2022-11-03,102470
287.75,293.4,283.15,285.1,2022-11-04,45939
287.95,292.0,285.15,287.15,2022-11-07,33220
289.7,298.45,286.1,292.35,2022-11-09,278424
292.5,292.5,283.05,283.6,2022-11-10,71796
288.0,289.65,284.0,288.2,2022-11-11,75866
283.35,333.0,283.35,327.35,2022-11-14,719612
329.7,338.9,321.25,326.3,2022-11-15,536276
326.3,343.65,326.0,328.05,2022-11-16,385008
327.0,333.0,322.1,324.4,2022-11-17,68829
329.0,330.0,316.0,325.1,2022-11-18,76750
324.85,325.1,317.0,320.5,2022-11-21,21963
318.0,332.0,316.1,320.9,2022-11-22,65431
327.25,328.0,314.95,315.4,2022-11-23,42686
315.95,322.55,312.0,314.35,2022-11-24,64213
316.9,325.0,314.8,319.95,2022-11-25,94428
327.0,330.9,312.1,315.15,2022-11-28,107276
315.0,327.0,313.75,318.55,2022-11-29,120586
321.85,323.9,309.9,312.75,2022-11-30,88452
312.75,316.15,310.1,313.45,2022-12-01,34310
318.0,319.4,305.4,307.5,2022-12-02,50026
305.5,315.95,305.5,308.85,2022-12-05,30154
312.1,312.1,301.0,306.85,2022-12-06,22404
308.5,310.15,291.0,293.0,2022-12-07,76753
294.0,298.7,285.0,288.75,2022-12-08,37485
293.1,293.1,280.0,281.45,2022-12-09,30022
279.0,292.0,266.15,280.85,2022-12-12,149025
292.8,313.75,288.0,298.65,2022-12-13,280661
300.7,303.0,284.4,287.7,2022-12-14,106500
290.6,290.7,282.3,287.7,2022-12-15,40958
290.6,291.85,279.05,282.0,2022-12-16,64540
286.2,291.9,279.0,279.95,2022-12-19,77138
281.65,291.0,278.05,287.3,2022-12-20,44206
290.15,300.0,283.0,288.35,2022-12-21,62447
286.25,294.95,269.4,271.95,2022-12-22,80636
273.0,275.0,260.0,261.55,2022-12-23,107745
261.0,272.95,260.5,264.35,2022-12-26,46429
268.3,275.0,264.35,272.45,2022-12-27,55728
275.15,276.55,266.0,267.05,2022-12-28,81351
271.1,274.5,264.95,265.9,2022-12-29,102158
268.5,270.95,263.1,263.9,2022-12-30,28044
263.5,271.45,263.05,263.85,2023-01-02,63788
264.3,269.9,252.4,254.5,2023-01-03,47993
256.05,304.0,256.05,265.15,2023-01-04,174378
269.0,274.05,263.35,269.95,2023-01-05,205217
270.05,280.15,262.1,265.5,2023-01-06,121810
275.0,275.5,263.1,267.05,2023-01-09,121194
268.2,271.3,258.5,260.3,2023-01-10,78792
264.15,266.9,258.5,262.75,2023-01-11,104745
262.7,266.15,259.0,260.9,2023-01-12,27578
264.7,264.7,259.0,260.05,2023-01-13,29254
263.45,263.45,258.15,261.7,2023-01-16,68830
264.3,264.3,256.85,258.6,2023-01-17,52719
260.9,260.9,253.15,254.6,2023-01-18,54034
254.15,254.8,251.05,254.0,2023-01-19,63784
254.05,259.7,254.05,255.7,2023-01-20,100357
258.2,265.0,255.1,257.25,2023-01-23,51664
257.25,262.4,257.05,260.35,2023-01-24,61201
263.1,263.1,252.6,254.3,2023-01-25,32338
256.05,259.0,242.0,248.05,2023-01-27,174569
248.05,254.8,243.05,249.65,2023-01-30,51661
246.15,253.0,242.5,245.8,2023-01-31,37168
245.0,249.5,235.0,237.25,2023-02-01,43406
236.7,243.2,230.0,230.45,2023-02-02,33430
237.35,237.35,210.5,219.5,2023-02-03,104696
215.0,238.85,212.05,228.65,2023-02-06,99681
231.2,232.05,223.05,227.3,2023-02-07,43144
226.0,231.8,221.5,225.6,2023-02-08,42898
225.8,229.9,222.05,227.0,2023-02-09,35279
224.05,237.8,224.05,226.45,2023-02-10,207675
230.95,234.8,224.15,228.15,2023-02-13,48635
227.95,231.9,223.85,227.0,2023-02-14,18919
225.0,229.8,221.5,223.15,2023-02-15,38425
225.5,229.45,217.05,219.6,2023-02-16,123739
227.95,228.95,218.7,224.5,2023-02-17,109663
229.4,233.6,222.65,225.05,2023-02-20,122529
228.4,228.4,222.1,223.2,2023-02-21,27134
221.2,230.7,220.15,224.5,2023-02-22,31897
224.5,226.15,219.45,221.75,2023-02-23,40101
221.7,227.75,221.0,221.45,2023-02-24,18476
224.75,224.75,216.4,219.6,2023-02-27,81721
218.35,244.8,216.7,222.25,2023-02-28,336810
223.95,227.4,222.7,223.6,2023-03-01,33033
225.8,228.4,222.2,225.25,2023-03-02,20467
225.25,228.4,221.65,226.0,2023-03-03,38918
227.8,228.95,221.0,221.45,2023-03-06,44385
223.3,228.0,218.2,219.1,2023-03-08,69361
219.0,228.4,216.55,217.65,2023-03-09,98102
217.75,221.0,215.0,218.25,2023-03-10,47733
221.45,221.85,207.1,210.05,2023-03-13,47355
