open,high,low,close,date,volume
439.95,444.0,425.35,430.25,2022-09-29,15476
432.45,436.95,423.4,428.8,2022-09-30,20401
428.8,433.65,425.65,427.55,2022-10-03,12378
430.65,434.95,427.05,428.75,2022-10-04,14353
430.5,432.95,426.0,431.6,2022-10-06,10825
431.6,434.95,427.55,431.6,2022-10-07,8717
431.6,433.75,426.0,427.8,2022-10-10,10622
427.8,430.9,425.0,426.55,2022-10-11,13441
428.7,431.9,424.15,430.55,2022-10-12,8415
430.55,433.9,427.55,432.4,2022-10-13,14761
433.9,448.15,430.05,441.45,2022-10-14,34052
443.0,443.65,433.0,434.1,2022-10-17,9779
433.0,437.95,426.75,427.5,2022-10-18,13962
427.65,430.0,426.0,428.15,2022-10-19,7144
420.55,427.45,403.25,406.85,2022-10-20,92771
408.95,413.95,406.65,409.1,2022-10-21,22818
414.1,416.95,412.3,415.35,2022-10-24,7985
415.4,415.85,409.0,410.85,2022-10-25,13443
411.0,414.95,409.0,410.6,2022-10-27,19477
414.7,414.7,406.1,412.85,2022-10-28,24652
413.0,418.45,411.05,413.45,2022-10-31,20343
410.3,414.95,410.3,412.65,2022-11-01,12557
414.75,415.25,412.35,413.5,2022-11-02,7047
412.6,416.65,411.05,414.6,2022-11-03,12991
416.0,417.95,411.2,416.85,2022-11-04,13483
424.0,432.0,418.15,430.3,2022-11-07,34271
430.3,431.95,417.0,419.1,2022-11-09,48334
421.1,424.95,416.4,419.55,2022-11-10,15478
428.9,428.9,416.55,420.3,2022-11-11,19446
416.2,426.0,416.2,424.5,2022-11-14,19833
425.0,430.9,420.1,421.45,2022-11-15,17931
421.0,427.5,420.1,425.8,2022-11-16,21852
427.95,430.9,423.15,424.3,2022-11-17,17267
426.45,426.45,418.6,420.8,2022-11-18,13145
423.0,426.55,420.05,422.75,2022-11-21,21578
424.7,432.0,423.65,430.9,2022-11-22,72774
433.1,444.0,432.5,441.3,2022-11-23,141154
444.9,450.0,438.2,441.95,2022-11-24,34245
444.0,444.0,434.05,439.6,2022-11-25,36120
440.0,449.9,440.0,443.4,2022-11-28,49012
445.4,449.8,442.5,443.9,2022-11-29,39494
443.9,462.4,443.9,451.55,2022-11-30,175573
459.0,459.0,448.05,455.25,2022-12-01,61606
454.0,458.55,450.95,455.8,2022-12-02,47349
459.95,465.85,459.95,463.9,2022-12-05,77633
463.0,463.0,455.05,460.05,2022-12-06,43432
462.4,462.4,446.1,448.45,2022-12-07,21832
450.7,463.0,450.7,457.95,2022-12-08,37093
453.3,461.95,452.55,457.8,2022-12-09,34018
457.0,461.0,452.2,458.4,2022-12-12,36672
460.7,462.6,455.1,458.9,2022-12-13,33566
458.95,468.4,451.0,455.7,2022-12-14,53802
457.9,469.0,456.5,458.75,2022-12-15,39245
458.75,460.85,449.0,456.55,2022-12-16,26775
456.55,460.5,453.15,454.6,2022-12-19,26327
457.1,461.7,451.15,452.6,2022-12-20,23058
453.8,457.05,435.1,438.35,2022-12-21,32335
440.55,441.0,419.0,421.6,2022-12-22,38805
421.0,421.0,409.0,410.15,2022-12-23,27482
412.25,423.8,411.65,421.05,2022-12-26,19944
423.2,428.05,420.35,425.15,2022-12-27,15499
421.3,427.2,420.1,423.1,2022-12-28,12747
425.2,429.4,422.0,424.8,2022-12-29,11990
425.6,428.75,422.35,423.3,2022-12-30,14858
425.45,429.8,421.6,427.25,2023-01-02,13488
429.4,434.35,425.8,432.4,2023-01-03,20160
434.6,434.6,424.0,428.65,2023-01-04,11220
428.1,432.0,426.4,430.5,2023-01-05,6059
432.7,432.7,424.45,427.25,2023-01-06,8511
429.4,431.75,423.1,426.35,2023-01-09,13619
426.35,428.95,412.5,420.25,2023-01-10,18168
422.4,424.9,418.1,422.9,2023-01-11,10793
420.1,424.95,418.15,421.5,2023-01-12,8838
421.4,423.6,418.65,420.75,2023-01-13,8262
423.0,423.0,416.55,417.25,2023-01-16,19546
417.1,418.95,412.7,415.0,2023-01-17,13188
417.1,417.1,413.0,415.0,2023-01-18,11253
415.0,419.95,413.05,414.9,2023-01-19,9610
415.2,419.0,411.05,412.4,2023-01-20,13825
416.7,421.7,415.0,420.15,2023-01-23,25185
421.7,432.9,419.6,429.8,2023-01-24,22744
430.6,434.0,423.25,432.2,2023-01-25,21039
429.0,434.35,418.55,426.75,2023-01-27,32218
427.6,428.65,421.0,425.45,2023-01-30,11921
425.0,434.95,425.0,433.4,2023-01-31,14916
427.6,436.15,421.55,426.5,2023-02-01,10981
421.75,429.65,416.1,419.95,2023-02-02,24822
432.0,456.25,426.0,429.5,2023-02-03,177773
431.65,435.9,428.65,431.05,2023-02-06,20992
433.25,433.25,424.0,426.8,2023-02-07,33125
428.95,436.0,427.0,435.05,2023-02-08,13879
437.0,438.7,433.9,435.1,2023-02-09,20309
434.0,437.75,434.0,436.55,2023-02-10,13241
439.8,439.8,436.0,436.85,2023-02-13,14221
439.0,439.4,436.25,438.0,2023-02-14,17125
439.0,439.0,435.3,435.65,2023-02-15,6664
437.85,438.85,434.0,437.8,2023-02-16,11248
438.9,443.9,430.6,433.25,2023-02-17,19535
431.3,439.95,426.6,438.6,2023-02-20,258684
439.9,444.0,433.25,435.65,2023-02-21,15254
436.9,436.9,426.2,430.9,2023-02-22,223961
430.9,433.9,427.1,431.2,2023-02-23,6077
433.4,433.4,426.0,427.3,2023-02-24,8903
429.4,429.7,412.5,413.75,2023-02-27,20129
412.45,418.85,410.0,415.2,2023-02-28,19525
417.3,420.25,411.75,416.2,2023-03-01,13510
418.0,421.05,412.1,415.9,2023-03-02,19534
416.55,418.9,412.35,414.2,2023-03-03,38270
416.3,425.0,410.0,419.0,2023-03-06,40863
421.0,421.05,415.55,416.8,2023-03-08,10245
419.9,419.9,415.05,418.1,2023-03-09,14771
419.95,420.0,413.0,415.4,2023-03-10,18347
417.5,417.5,408.4,409.35,2023-03-13,13476
409.35,409.35,404.15,405.3,2023-03-14,15532
407.35,408.2,402.85,403.95,2023-03-15,13291
404.5,405.0,401.85,402.75,2023-03-16,13752
404.8,407.05,402.1,403.25,2023-03-17,14266
401.7,404.05,398.5,401.55,2023-03-20,14602
402.9,403.15,399.15,400.05,2023-03-21,35735
402.1,404.05,401.2,402.8,2023-03-22,212120
403.45,408.0,402.1,406.1,2023-03-23,18716
408.15,408.15,400.3,403.55,2023-03-24,25710
404.95,406.3,400.1,403.9,2023-03-27,35159
405.0,405.0,402.8,403.1,2023-03-28,85361
403.5,406.1,402.05,404.25,2023-03-29,18322
406.3,409.0,403.05,404.45,2023-03-31,21935
409.0,409.95,405.05,409.4,2023-04-03,7365
409.4,414.95,409.4,413.4,2023-04-05,5959
413.4,414.95,410.45,412.7,2023-04-06,6465
415.95,416.0,411.05,412.85,2023-04-10,16409
414.95,416.8,412.55,414.4,2023-04-11,6303
413.4,416.5,410.05,412.0,2023-04-12,6513
417.7,420.0,413.4,417.85,2023-04-13,9826
420.95,420.95,413.9,414.1,2023-04-17,5711
415.0,415.1,412.15,413.05,2023-04-18,34924
415.9,415.9,410.95,411.95,2023-04-19,10439
411.1,414.95,410.55,411.75,2023-04-20,5738
410.8,412.7,409.05,409.9,2023-04-21,5497
413.2,413.2,409.0,409.9,2023-04-24,7249
409.9,411.35,402.0,405.5,2023-04-25,17179
406.35,409.0,403.2,406.4,2023-04-26,13399
408.0,410.0,407.0,408.3,2023-04-27,8733
410.0,410.0,406.7,408.0,2023-04-28,38425
412.9,412.9,407.0,409.05,2023-05-02,26849
410.85,419.0,407.85,411.0,2023-05-03,106660
415.0,419.65,412.4,417.7,2023-05-04,62972
421.95,424.6,413.0,414.75,2023-05-05,58070
420.8,424.45,414.1,415.45,2023-05-08,55347
417.55,420.9,413.05,415.15,2023-05-09,21566
415.0,425.9,415.0,419.95,2023-05-10,37566
421.15,421.25,414.25,415.5,2023-05-11,43682
417.6,419.9,413.45,417.85,2023-05-12,23321
420.95,420.95,415.1,417.85,2023-05-15,23154
418.0,422.0,417.9,419.45,2023-05-16,39775
421.55,421.55,417.55,418.05,2023-05-17,23063
423.0,428.0,421.1,421.75,2023-05-18,39648
423.9,447.7,423.9,440.45,2023-05-19,273162
442.4,445.25,437.2,440.1,2023-05-22,48785
442.35,450.0,436.85,445.2,2023-05-23,59156
447.0,447.2,440.0,440.9,2023-05-24,29427
440.1,446.8,440.0,444.4,2023-05-25,36312
447.0,461.1,445.0,459.2,2023-05-26,84670
460.0,463.3,447.65,452.6,2023-05-29,41261
455.95,456.5,449.95,453.65,2023-05-30,33393
451.0,463.6,451.0,455.2,2023-05-31,27211
457.5,459.95,454.5,455.1,2023-06-01,29461
457.0,467.6,454.95,458.0,2023-06-02,63643
464.0,465.0,455.0,456.7,2023-06-05,33957
458.9,460.95,455.0,459.55,2023-06-06,22904
461.8,463.4,455.0,458.55,2023-06-07,25022
460.85,462.45,453.95,457.2,2023-06-08,39938
457.8,459.0,454.95,455.2,2023-06-09,9916
457.5,459.1,453.9,455.15,2023-06-12,21306
460.2,473.25,460.2,467.2,2023-06-13,117519
469.35,469.45,462.8,464.15,2023-06-14,36815
466.5,469.6,464.05,465.4,2023-06-15,17480
464.05,467.3,461.45,462.75,2023-06-16,29276
464.9,467.75,456.0,458.85,2023-06-19,20768
459.0,462.1,458.0,460.0,2023-06-20,17147
463.0,469.7,457.0,460.8,2023-06-21,43574
462.9,467.0,454.0,455.7,2023-06-22,37701
455.2,461.65,454.55,458.0,2023-06-23,17254
458.9,459.9,455.1,457.5,2023-06-26,21556
457.5,463.35,456.7,460.3,2023-06-27,17040
459.5,468.9,459.5,464.15,2023-06-28,27687
466.4,470.45,462.85,463.45,2023-06-30,28997
465.0,478.5,464.1,469.75,2023-07-03,53070
473.4,473.4,461.0,470.0,2023-07-04,42612
469.5,478.95,469.45,470.5,2023-07-05,43152
470.0,479.9,469.5,476.5,2023-07-06,78309
478.8,487.85,474.8,477.05,2023-07-07,54569
475.0,478.8,474.65,475.45,2023-07-10,17699
476.9,482.95,476.5,480.3,2023-07-11,37026
482.0,482.7,475.25,478.1,2023-07-12,23755
478.8,489.0,476.0,478.65,2023-07-13,50639
478.65,481.95,476.2,480.4,2023-07-14,16685
481.2,486.25,481.2,482.3,2023-07-17,16681
480.0,482.8,478.15,480.05,2023-07-18,37375
480.65,484.0,478.65,480.15,2023-07-19,18305
481.5,483.0,479.15,480.5,2023-07-20,20112
480.5,494.8,479.0,492.65,2023-07-21,70539
490.05,494.5,490.05,492.8,2023-07-24,58397
495.0,495.0,485.2,486.85,2023-07-25,18923
486.8,488.85,481.85,483.9,2023-07-26,22216
486.5,492.8,482.3,491.55,2023-07-27,41296
490.0,521.95,489.15,517.5,2023-07-28,232757
522.65,540.95,522.3,527.5,2023-07-31,174378
540.95,541.7,522.3,532.0,2023-08-01,97544
530.5,539.95,523.0,530.25,2023-08-02,82378
527.25,546.05,522.55,539.2,2023-08-03,76638
552.45,607.4,550.0,570.25,2023-08-04,1313513
575.0,601.0,571.25,590.1,2023-08-07,386871
599.0,599.0,585.0,587.85,2023-08-08,133003
599.45,599.45,588.05,594.4,2023-08-09,93893
595.0,618.0,595.0,613.0,2023-08-10,248267
615.0,620.0,611.1,618.3,2023-08-11,140102
618.0,619.85,600.0,601.85,2023-08-14,155573
600.0,621.95,600.0,610.75,2023-08-16,151212
614.95,622.0,611.5,617.3,2023-08-17,81917
619.9,620.0,612.0,615.65,2023-08-18,94094
615.65,624.95,614.25,617.85,2023-08-21,150312
622.9,624.95,618.35,620.15,2023-08-22,196649
626.0,644.7,622.5,632.35,2023-08-23,476834
634.9,640.0,624.4,626.35,2023-08-24,200094
595.0,596.0,564.3,566.6,2023-08-25,562691
575.0,580.7,560.15,563.95,2023-08-28,188690
566.95,593.95,566.9,587.0,2023-08-29,347727
591.95,603.0,580.25,583.45,2023-08-30,215927
585.0,591.75,575.05,578.95,2023-08-31,64866
578.9,589.95,578.3,585.1,2023-09-01,61802
585.95,591.4,565.0,567.3,2023-09-04,147304
570.15,570.6,557.85,559.75,2023-09-05,105953
563.9,582.4,557.5,571.15,2023-09-06,158823
573.9,573.9,560.0,566.25,2023-09-07,61952
566.25,571.85,565.0,569.95,2023-09-08,131606
572.7,578.0,564.0,564.8,2023-09-11,59999
569.95,569.95,542.25,545.25,2023-09-12,123943
546.3,561.0,544.0,555.45,2023-09-13,61459
555.85,560.4,555.85,559.05,2023-09-14,37380
