open,high,low,close,date,volume
255.0,258.0,246.0,248.75,2022-09-29,18625
248.8,255.7,245.0,251.0,2022-09-30,30152
251.0,254.25,222.9,238.55,2022-10-03,238957
246.7,247.5,229.15,238.15,2022-10-04,79729
241.0,254.9,240.05,252.05,2022-10-06,74844
252.95,252.95,246.1,247.45,2022-10-07,25338
246.0,249.0,240.6,245.4,2022-10-10,32965
242.95,267.6,242.95,257.25,2022-10-11,163737
259.8,266.0,257.0,263.95,2022-10-12,80212
262.35,267.0,254.55,256.95,2022-10-13,42354
260.5,261.05,253.0,254.45,2022-10-14,25445
254.45,256.7,248.0,249.25,2022-10-17,17250
249.3,254.45,245.3,246.75,2022-10-18,36418
246.1,254.0,246.1,249.4,2022-10-19,29101
247.15,250.35,241.85,245.55,2022-10-20,23274
247.25,254.4,241.3,243.25,2022-10-21,34665
246.9,254.75,246.9,249.4,2022-10-24,34786
250.6,253.4,243.0,244.9,2022-10-25,14306
245.0,249.4,241.95,244.35,2022-10-27,12845
244.35,249.0,242.1,247.25,2022-10-28,25281
244.5,249.95,244.5,245.9,2022-10-31,17035
245.9,253.95,245.2,251.55,2022-11-01,28035
254.0,256.5,247.5,249.6,2022-11-02,29274
249.0,253.45,245.55,246.6,2022-11-03,62883
246.65,251.0,242.0,243.75,2022-11-04,19303
243.75,248.5,243.65,247.15,2022-11-07,39121
248.05,251.55,233.75,241.0,2022-11-09,54092
239.0,239.0,193.0,233.6,2022-11-10,160701
233.6,238.05,229.7,231.05,2022-11-11,46384
232.0,232.0,219.8,220.95,2022-11-14,75448
219.25,230.95,217.85,224.25,2022-11-15,56729
227.9,247.9,225.9,236.4,2022-11-16,134209
236.4,249.5,234.3,237.95,2022-11-17,74839
240.6,240.6,230.2,231.35,2022-11-18,38169
232.5,236.2,228.2,229.15,2022-11-21,20344
228.2,235.0,228.2,230.45,2022-11-22,24142
233.9,235.0,228.1,230.25,2022-11-23,41104
233.7,234.9,230.25,231.55,2022-11-24,14738
233.6,234.7,228.5,229.35,2022-11-25,29599
230.1,233.4,227.75,228.45,2022-11-28,34637
228.65,243.7,228.35,239.1,2022-11-29,76370
245.9,245.9,239.2,240.35,2022-11-30,26257
240.35,243.4,238.95,239.5,2022-12-01,23137
240.0,261.7,238.1,253.6,2022-12-02,92653
254.0,265.9,252.95,261.55,2022-12-05,87830
264.15,266.2,250.65,252.45,2022-12-06,61856
252.5,253.2,248.55,249.55,2022-12-07,31214
253.3,254.7,241.85,243.9,2022-12-08,29748
244.1,247.0,241.55,244.5,2022-12-09,19408
247.0,247.95,241.95,245.7,2022-12-12,19050
247.9,248.55,240.5,241.8,2022-12-13,22717
242.65,252.4,241.8,245.75,2022-12-14,44821
267.7,279.15,256.0,258.9,2022-12-15,477143
261.5,277.5,258.95,271.6,2022-12-16,222239
272.0,278.0,267.0,268.75,2022-12-19,76577
269.9,277.05,269.0,271.95,2022-12-20,95427
273.9,276.0,256.0,257.95,2022-12-21,61374
257.0,262.9,244.3,246.65,2022-12-22,90633
239.0,245.95,232.5,235.6,2022-12-23,79085
233.2,248.0,231.25,245.3,2022-12-26,54122
249.0,255.0,248.95,252.45,2022-12-27,28172
254.95,254.95,250.0,251.4,2022-12-28,17054
250.05,256.4,250.0,254.25,2022-12-29,24115
257.4,257.4,250.0,251.55,2022-12-30,39141
255.3,272.0,255.25,268.85,2023-01-02,132843
268.85,276.8,265.0,266.55,2023-01-03,96080
268.7,268.7,256.0,256.9,2023-01-04,52286
256.85,257.85,253.0,255.15,2023-01-05,28525
258.0,258.0,249.0,250.0,2023-01-06,61453
251.5,268.0,251.5,264.3,2023-01-09,97205
265.5,265.5,255.75,258.05,2023-01-10,33592
259.3,263.6,256.75,258.9,2023-01-11,28340
260.6,263.4,256.3,260.7,2023-01-12,60148
261.65,262.15,257.6,259.2,2023-01-13,32689
259.15,262.8,255.25,257.2,2023-01-16,55355
257.95,265.0,254.35,256.1,2023-01-17,57557
256.0,260.6,248.0,249.2,2023-01-18,94575
244.15,248.0,241.55,243.2,2023-01-19,48288
243.4,249.05,240.95,242.0,2023-01-20,28327
244.4,244.4,237.0,237.9,2023-01-23,37006
240.0,242.0,232.6,234.95,2023-01-24,35153
236.1,240.95,232.55,236.4,2023-01-25,25387
241.7,241.7,228.0,229.7,2023-01-27,35930
231.0,237.75,228.15,233.3,2023-01-30,25186
242.0,242.0,233.8,236.35,2023-01-31,37410
238.1,240.0,228.0,233.5,2023-02-01,19143
238.0,238.0,226.8,232.45,2023-02-02,32342
232.3,233.3,220.3,226.0,2023-02-03,53688
228.0,230.75,223.25,226.3,2023-02-06,22157
229.0,229.0,224.15,227.6,2023-02-07,22094
227.6,234.9,226.05,230.75,2023-02-08,26590
232.45,243.85,228.1,237.8,2023-02-09,34749
239.0,241.5,234.9,236.05,2023-02-10,15665
236.1,239.4,230.1,233.9,2023-02-13,27665
232.7,242.5,230.35,236.05,2023-02-14,29289
235.0,239.15,232.05,234.25,2023-02-15,19682
234.35,240.4,233.0,239.55,2023-02-16,22056
236.0,240.55,232.5,236.8,2023-02-17,19822
235.15,238.9,234.85,236.5,2023-02-20,16441
237.75,240.05,223.85,236.0,2023-02-21,27734
235.85,237.55,230.1,233.75,2023-02-22,28478
231.9,236.75,225.1,227.05,2023-02-23,38360
229.1,230.6,227.0,228.2,2023-02-24,34177
228.2,236.0,221.6,223.25,2023-02-27,22766
233.95,233.95,222.9,226.9,2023-02-28,28455
233.0,234.9,227.25,229.3,2023-03-01,47116
228.05,231.7,225.25,226.85,2023-03-02,16369
225.25,231.55,225.25,226.9,2023-03-03,20433
227.0,232.9,226.0,227.15,2023-03-06,27121
233.0,246.9,224.3,239.75,2023-03-08,120327
246.2,249.0,235.3,238.0,2023-03-09,50444
236.7,237.5,227.65,228.65,2023-03-10,32386
225.1,231.2,222.35,224.1,2023-03-13,38359
225.05,229.4,217.5,219.55,2023-03-14,59936
220.1,224.3,218.0,220.65,2023-03-15,18956
219.85,220.0,212.4,216.5,2023-03-16,43034
219.25,221.1,216.3,217.55,2023-03-17,26376
218.6,219.0,207.0,210.35,2023-03-20,65571
211.85,215.8,203.85,209.75,2023-03-21,49916
212.0,214.5,208.0,208.55,2023-03-22,35929
208.2,216.95,206.8,210.15,2023-03-23,30109
214.8,214.8,204.0,205.3,2023-03-24,39631
205.55,208.95,199.0,200.6,2023-03-27,61248
202.0,203.0,193.1,194.45,2023-03-28,62400
195.0,203.9,195.0,201.65,2023-03-29,70561
205.0,209.6,199.55,202.3,2023-03-31,114578
205.0,232.9,205.0,229.75,2023-04-03,287915
230.85,264.35,228.85,255.2,2023-04-05,895931
252.1,261.0,250.1,253.95,2023-04-06,198986
260.75,264.9,255.0,257.6,2023-04-10,101527
258.5,267.9,257.15,261.1,2023-04-11,77972
257.0,263.95,250.6,254.2,2023-04-12,47013
255.0,263.0,253.3,259.9,2023-04-13,55336
258.0,269.05,254.1,260.55,2023-04-17,79857
258.95,264.9,256.5,258.25,2023-04-18,46228
258.3,259.0,255.0,256.3,2023-04-19,21495
258.3,261.3,252.25,255.4,2023-04-20,31978
256.95,258.75,253.6,254.15,2023-04-21,24878
254.15,266.95,254.15,262.8,2023-04-24,76689
266.1,268.9,256.4,258.4,2023-04-25,81316
260.95,260.95,252.05,255.1,2023-04-26,44136
256.95,258.35,254.0,255.05,2023-04-27,32516
255.05,258.45,252.6,253.0,2023-04-28,47233
253.15,260.2,253.15,258.45,2023-05-02,60548
259.9,286.0,256.05,263.05,2023-05-03,583215
263.9,265.0,256.55,257.8,2023-05-04,114884
259.6,263.55,254.85,258.35,2023-05-05,61429
260.0,278.0,258.1,275.0,2023-05-08,553547
277.95,291.8,275.75,280.95,2023-05-09,495132
284.05,296.4,275.1,292.25,2023-05-10,256144
295.95,299.8,285.15,290.95,2023-05-11,434553
291.95,295.9,274.25,277.2,2023-05-12,245356
264.05,269.0,258.2,262.5,2023-05-15,347829
265.0,274.0,263.1,265.25,2023-05-16,187353
269.25,269.25,261.2,263.65,2023-05-17,77455
266.3,268.95,260.4,262.05,2023-05-18,60256
262.95,266.4,257.6,258.55,2023-05-19,68967
260.6,263.55,257.25,259.0,2023-05-22,41275
264.55,264.7,253.0,255.35,2023-05-23,47119
253.7,259.55,252.95,253.95,2023-05-24,39601
256.15,259.95,251.4,253.1,2023-05-25,46275
254.8,257.5,253.7,254.7,2023-05-26,45759
255.8,259.35,252.15,253.2,2023-05-29,30717
254.5,257.45,250.0,250.95,2023-05-30,58547
251.0,260.0,250.15,256.45,2023-05-31,51827
259.0,259.0,252.75,254.45,2023-06-01,29488
258.9,269.3,258.15,264.3,2023-06-02,146273
270.45,277.4,270.25,274.7,2023-06-05,175678
276.7,280.0,273.0,274.95,2023-06-06,77253
277.35,278.5,275.4,276.05,2023-06-07,49665
277.8,280.95,271.05,272.45,2023-06-08,80145
284.0,284.0,276.55,280.8,2023-06-09,141417
282.05,287.5,280.5,282.95,2023-06-12,123649
284.65,286.8,282.95,285.65,2023-06-13,70063
285.6,287.5,278.1,280.75,2023-06-14,69520
282.8,283.95,270.95,273.95,2023-06-15,70770
278.05,281.0,274.55,278.2,2023-06-16,56231
283.0,294.9,280.0,286.65,2023-06-19,248948
288.0,292.9,282.95,285.1,2023-06-20,101088
249.75,263.1,241.3,251.2,2023-06-21,495058
254.0,261.85,251.0,256.05,2023-06-22,215635
253.0,256.25,246.0,251.75,2023-06-23,96903
252.0,259.1,250.0,252.45,2023-06-26,62903
254.35,257.35,253.9,254.55,2023-06-27,44399
256.45,265.0,254.0,256.1,2023-06-28,94692
256.9,257.95,250.0,251.65,2023-06-30,80341
254.2,255.6,251.05,253.65,2023-07-03,61518
