open,high,low,close,date,volume
270.8,273.7,263.9,270.35,2022-09-29,12227
279.2,279.2,258.5,272.3,2022-09-30,12874
284.0,284.0,261.1,273.75,2022-10-03,13259
282.8,282.8,262.35,270.05,2022-10-04,13284
275.0,279.85,264.1,271.7,2022-10-06,7346
275.9,275.9,263.0,266.05,2022-10-07,5476
269.85,269.85,260.0,264.05,2022-10-10,6261
272.9,272.9,257.1,259.8,2022-10-11,104560
264.95,269.0,253.0,255.1,2022-10-12,2710
255.0,264.9,247.55,248.9,2022-10-13,4486
257.0,257.5,245.1,248.25,2022-10-14,4440
259.55,259.55,240.05,241.5,2022-10-17,2562
246.45,253.55,233.15,248.15,2022-10-18,10008
259.0,259.0,240.55,244.1,2022-10-19,3035
249.1,256.0,237.1,250.75,2022-10-20,7854
261.0,263.25,242.25,262.4,2022-10-21,225399
273.5,274.95,264.0,269.3,2022-10-24,8520
273.65,273.65,265.8,267.8,2022-10-25,1975
273.3,281.15,256.0,276.0,2022-10-27,18594
278.0,289.8,273.3,288.4,2022-10-28,60989
294.75,300.0,276.6,280.25,2022-10-31,15679
273.05,287.1,266.25,285.6,2022-11-01,44202
280.0,290.0,280.0,283.55,2022-11-02,14484
280.0,292.1,279.0,286.15,2022-11-03,19539
294.95,300.45,281.1,298.35,2022-11-04,36027
300.0,310.0,295.4,299.15,2022-11-07,28023
304.4,314.1,291.1,314.1,2022-11-09,137371
319.9,329.8,314.0,326.95,2022-11-10,43845
341.0,341.0,321.1,324.05,2022-11-11,20891
330.4,330.4,324.05,327.4,2022-11-14,14104
330.1,339.9,315.15,336.15,2022-11-15,67993
337.2,340.9,319.35,336.7,2022-11-16,34797
347.0,347.0,331.55,336.6,2022-11-17,19254
345.0,353.4,329.1,334.8,2022-11-18,23086
334.25,334.6,318.1,320.1,2022-11-21,10174
316.5,328.8,309.85,323.1,2022-11-22,19926
315.05,325.55,315.05,319.15,2022-11-23,10554
328.0,335.1,315.5,327.25,2022-11-24,23351
329.0,333.0,318.0,331.1,2022-11-25,10161
339.7,339.7,325.6,336.6,2022-11-28,27022
344.75,344.75,326.2,328.45,2022-11-29,6110
328.1,335.9,322.0,324.5,2022-11-30,7268
327.2,338.9,320.95,336.35,2022-12-01,25271
338.4,338.4,330.4,331.5,2022-12-02,5667
336.5,336.5,317.6,320.9,2022-12-05,7821
330.0,330.0,316.0,325.6,2022-12-06,3963
333.0,333.0,316.55,328.7,2022-12-07,5073
333.65,333.65,324.1,326.15,2022-12-08,5924
326.0,327.6,315.75,317.65,2022-12-09,6348
317.9,330.0,317.75,322.8,2022-12-12,8183
331.0,331.0,310.05,311.7,2022-12-13,9176
316.4,322.45,293.4,311.0,2022-12-14,39201
315.65,319.45,308.0,309.9,2022-12-15,4524
310.0,316.4,305.6,309.85,2022-12-16,4697
316.5,328.4,297.0,306.1,2022-12-19,7622
307.0,323.0,307.0,317.45,2022-12-20,8584
319.95,322.95,300.0,304.2,2022-12-21,8085
302.0,315.45,276.35,290.05,2022-12-22,14967
288.2,294.4,270.0,271.5,2022-12-23,9054
265.0,285.95,265.0,281.95,2022-12-26,6795
309.9,309.9,280.05,287.1,2022-12-27,6791
287.05,315.8,280.1,315.35,2022-12-28,39221
315.35,344.95,306.6,333.4,2022-12-29,37804
343.4,350.0,332.6,346.65,2022-12-30,26535
348.0,355.0,337.0,338.5,2023-01-02,9227
343.6,343.6,336.0,339.35,2023-01-03,5770
342.45,344.9,330.0,334.2,2023-01-04,4038
334.7,339.85,319.5,321.95,2023-01-05,8364
323.35,324.0,316.1,321.25,2023-01-06,3327
327.9,327.9,317.05,319.7,2023-01-09,5217
319.4,335.0,313.05,319.05,2023-01-10,3191
322.4,326.45,319.0,321.35,2023-01-11,2148
329.0,329.0,316.1,318.95,2023-01-12,6783
321.4,327.9,317.1,320.65,2023-01-13,4294
317.6,325.0,317.0,321.25,2023-01-16,2152
322.0,326.45,309.05,318.6,2023-01-17,5087
320.9,327.1,319.0,324.4,2023-01-18,4421
332.0,332.0,311.25,314.65,2023-01-19,10387
322.0,322.0,308.55,312.1,2023-01-20,3780
323.3,327.0,311.05,322.1,2023-01-23,8641
327.6,330.45,311.15,315.55,2023-01-24,5412
315.55,316.4,303.35,304.5,2023-01-25,5584
307.7,307.7,290.65,294.85,2023-01-27,6867
305.0,309.0,290.55,308.45,2023-01-30,70602
318.0,318.0,301.65,308.85,2023-01-31,267884
316.0,316.0,301.55,306.3,2023-02-01,6974
305.0,312.0,301.2,302.4,2023-02-02,4068
302.4,305.5,288.0,292.75,2023-02-03,7602
282.0,307.35,282.0,307.3,2023-02-06,88380
306.0,309.0,295.6,302.2,2023-02-07,5246
308.0,314.95,297.05,306.6,2023-02-08,7008
312.0,312.0,300.1,302.7,2023-02-09,3456
309.0,309.0,299.0,301.15,2023-02-10,2683
302.0,315.0,297.0,301.8,2023-02-13,2483
301.1,307.55,295.0,300.4,2023-02-14,1878
306.95,315.95,300.0,306.65,2023-02-15,135098
305.6,309.0,300.05,304.75,2023-02-16,2868
314.0,314.0,298.0,303.45,2023-02-17,1733
321.0,321.0,298.05,304.5,2023-02-20,2515
307.0,308.0,301.0,303.7,2023-02-21,2724
300.0,305.0,286.0,291.9,2023-02-22,5429
284.0,304.5,284.0,295.65,2023-02-23,5297
314.5,314.5,290.0,294.7,2023-02-24,5295
300.0,300.0,281.55,287.65,2023-02-27,2299
292.65,298.95,287.05,289.5,2023-02-28,3124
283.0,292.6,283.0,288.6,2023-03-01,114958
293.5,309.9,289.4,305.9,2023-03-02,8880
312.0,312.15,300.75,303.1,2023-03-03,4498
296.9,305.0,292.6,295.9,2023-03-06,3317
303.0,303.0,288.95,296.8,2023-03-08,2953
302.0,302.0,292.4,297.4,2023-03-09,1653
301.0,301.0,291.1,297.0,2023-03-10,2375
292.55,302.45,290.0,292.65,2023-03-13,3372
292.7,294.45,287.05,291.35,2023-03-14,1255
303.0,319.0,292.0,313.3,2023-03-15,17836
321.3,321.35,300.0,304.6,2023-03-16,5801
311.0,311.0,299.1,302.45,2023-03-17,3271
308.5,309.95,294.55,298.45,2023-03-20,5103
302.15,310.75,295.05,298.6,2023-03-21,6319
298.6,305.85,295.0,296.8,2023-03-22,3567
302.5,302.5,286.35,288.75,2023-03-23,3988
293.3,296.0,286.6,293.95,2023-03-24,286111
298.0,301.0,290.0,291.6,2023-03-27,3765
285.25,295.0,272.6,277.9,2023-03-28,12670
282.05,282.05,267.2,269.65,2023-03-29,11063
273.7,275.0,254.1,260.5,2023-03-31,8241
254.25,259.0,234.45,251.4,2023-04-03,46738
255.15,276.5,255.1,261.55,2023-04-05,31118
263.0,271.9,253.1,258.0,2023-04-06,11400
261.85,274.8,261.6,262.85,2023-04-10,17304
262.9,265.45,253.1,259.5,2023-04-11,13281
263.4,265.85,250.35,254.0,2023-04-12,14545
257.8,304.8,254.0,304.8,2023-04-13,105818
325.0,365.0,325.0,337.25,2023-04-17,713130
336.05,340.95,312.65,320.35,2023-04-18,94295
327.35,345.0,320.15,340.05,2023-04-19,75419
342.0,355.0,335.1,338.1,2023-04-20,47755
343.9,344.0,337.6,340.2,2023-04-21,37635
345.6,354.2,333.9,345.15,2023-04-24,45729
347.7,351.0,340.55,348.7,2023-04-25,223361
349.95,365.0,348.1,350.85,2023-04-26,92616
353.35,361.0,350.0,358.35,2023-04-27,55025
