open,high,low,close,date,volume
1029.4,1070.15,1008.5,1055.5,2022-09-29,21268
1045.9,1060.75,1032.2,1048.3,2022-09-30,15547
1049.0,1076.0,1035.1,1064.5,2022-10-03,25301
1080.0,1080.0,1055.5,1061.65,2022-10-04,13107
1066.95,1074.0,1054.4,1066.05,2022-10-06,19774
1060.0,1108.6,1042.35,1063.0,2022-10-07,26024
1063.0,1063.0,1020.25,1029.5,2022-10-10,17365
1029.7,1049.0,1008.0,1016.15,2022-10-11,10323
1016.15,1022.45,1000.0,1016.4,2022-10-12,27593
1021.5,1021.5,990.0,996.15,2022-10-13,13340
1004.0,1018.0,995.0,995.85,2022-10-14,10106
994.0,1031.95,975.9,1017.6,2022-10-17,73307
1018.0,1022.0,992.5,1000.0,2022-10-18,37062
1005.0,1022.0,1001.0,1008.25,2022-10-19,18333
993.3,1011.05,952.7,1001.65,2022-10-20,21759
961.0,987.7,960.0,965.3,2022-10-21,79616
970.4,986.0,970.0,982.75,2022-10-24,3354
980.0,987.9,939.0,943.95,2022-10-25,25176
948.7,960.0,941.6,945.85,2022-10-27,13502
945.85,948.95,936.5,940.3,2022-10-28,22682
937.95,959.9,937.95,957.65,2022-10-31,10394
965.0,974.0,956.5,962.6,2022-11-01,50968
967.45,967.45,939.0,942.3,2022-11-02,20448
944.0,955.0,944.0,952.4,2022-11-03,5681
955.0,958.05,947.05,955.65,2022-11-04,7740
954.0,966.95,952.1,961.95,2022-11-07,8269
962.25,969.0,962.0,963.6,2022-11-09,7934
955.0,970.0,950.0,959.2,2022-11-10,3871
961.0,975.0,934.0,944.7,2022-11-11,22777
938.0,960.0,930.1,933.0,2022-11-14,16889
934.3,941.25,926.5,929.25,2022-11-15,8202
929.7,953.25,929.7,945.75,2022-11-16,12576
945.0,949.9,930.0,937.45,2022-11-17,4732
935.0,950.0,921.4,926.8,2022-11-18,10875
921.5,942.8,920.0,923.45,2022-11-21,11572
928.1,931.05,916.05,923.75,2022-11-22,4954
923.75,930.35,895.65,905.7,2022-11-23,18515
905.0,920.0,903.0,906.6,2022-11-24,11869
910.0,920.0,906.0,908.3,2022-11-25,8542
912.85,919.45,898.0,901.5,2022-11-28,21787
896.0,918.0,896.0,904.2,2022-11-29,14219
904.2,914.95,855.55,887.6,2022-11-30,27644
904.95,997.55,901.65,959.25,2022-12-01,1084017
964.0,964.0,922.35,945.55,2022-12-02,212939
946.05,974.9,946.05,963.9,2022-12-05,81412
963.9,975.0,956.45,970.6,2022-12-06,61787
959.0,959.0,920.25,927.7,2022-12-07,81115
938.0,938.0,902.5,909.3,2022-12-08,33921
911.0,917.85,888.75,902.85,2022-12-09,29052
904.8,918.0,900.0,909.35,2022-12-12,18933
909.35,917.0,909.35,915.45,2022-12-13,10838
919.0,925.0,909.5,916.3,2022-12-14,11237
911.95,919.0,901.0,903.05,2022-12-15,9247
903.05,908.95,898.0,901.5,2022-12-16,23789
907.1,910.05,898.45,901.8,2022-12-19,18745
902.0,920.0,902.0,912.4,2022-12-20,20429
910.0,917.0,896.05,904.5,2022-12-21,16716
900.1,908.8,893.05,900.2,2022-12-22,14637
893.0,911.7,890.0,897.7,2022-12-23,27429
892.0,905.0,892.0,902.2,2022-12-26,15899
929.95,929.95,891.5,900.75,2022-12-27,31738
895.0,904.0,891.25,900.2,2022-12-28,33505
900.2,904.05,881.65,885.6,2022-12-29,30775
890.0,917.9,890.0,909.75,2022-12-30,88769
914.3,918.0,896.0,900.1,2023-01-02,14132
904.65,904.8,897.05,899.9,2023-01-03,39041
897.9,904.1,889.15,891.05,2023-01-04,6601
891.05,900.05,891.0,893.0,2023-01-05,22878
901.95,914.15,887.5,897.4,2023-01-06,46626
901.9,901.9,890.6,895.1,2023-01-09,11187
895.25,896.8,890.6,893.55,2023-01-10,8790
893.0,895.95,879.15,885.0,2023-01-11,53359
887.0,888.9,881.75,885.25,2023-01-12,33676
885.0,896.0,881.3,886.85,2023-01-13,99451
891.5,899.95,889.55,897.9,2023-01-16,10489
897.0,897.5,882.35,888.2,2023-01-17,6543
889.0,897.0,887.0,889.45,2023-01-18,9871
889.45,915.0,885.0,897.05,2023-01-19,21668
895.0,906.05,870.0,895.05,2023-01-20,35902
899.0,899.0,885.2,889.35,2023-01-23,10443
895.0,905.0,883.75,900.35,2023-01-24,11145
892.2,898.35,886.5,889.85,2023-01-25,5245
890.0,893.0,875.55,887.5,2023-01-27,25842
880.65,888.6,874.8,884.75,2023-01-30,10980
884.75,903.9,879.85,892.75,2023-01-31,7155
897.25,909.2,870.15,879.05,2023-02-01,16098
869.5,886.35,869.45,880.9,2023-02-02,16150
881.0,890.95,853.55,880.65,2023-02-03,22732
878.0,885.3,874.05,879.3,2023-02-06,3273
875.05,885.95,874.0,876.0,2023-02-07,5251
878.0,881.3,875.2,878.1,2023-02-08,4013
882.0,886.95,876.5,881.3,2023-02-09,5498
887.0,894.0,880.55,887.8,2023-02-10,5969
881.0,889.9,880.0,881.25,2023-02-13,3994
880.5,885.7,874.0,877.5,2023-02-14,3529
877.95,887.75,877.5,884.5,2023-02-15,5810
