open,high,low,close,date,volume
92.15,93.5,89.2,90.05,2022-09-29,2474028
90.35,94.75,89.1,93.35,2022-09-30,3485848
93.8,95.1,91.6,92.9,2022-10-03,3046116
94.0,97.5,93.75,97.05,2022-10-04,3703875
97.95,103.8,97.1,103.0,2022-10-06,9530525
103.7,116.4,103.55,114.65,2022-10-07,34463036
113.3,121.75,112.6,118.9,2022-10-10,29489628
119.75,120.1,112.4,113.3,2022-10-11,10132150
113.9,114.45,109.3,113.5,2022-10-12,4381059
113.5,121.2,113.3,118.0,2022-10-13,9759124
119.6,120.0,114.05,114.7,2022-10-14,3509561
114.4,117.85,112.25,116.05,2022-10-17,2300653
117.45,119.0,114.25,114.65,2022-10-18,2292119
115.25,117.5,112.1,113.7,2022-10-19,2610877
113.0,113.75,110.35,111.9,2022-10-20,2870454
111.6,112.95,108.0,109.5,2022-10-21,3019659
110.5,114.2,110.1,113.4,2022-10-24,1285534
113.6,116.6,112.25,112.8,2022-10-25,2445211
113.45,113.9,110.3,110.85,2022-10-27,1860575
111.0,111.65,109.0,109.55,2022-10-28,1710264
110.2,111.5,103.65,104.35,2022-10-31,3961991
104.0,107.2,104.0,105.3,2022-11-01,2814533
105.0,106.5,104.5,105.05,2022-11-02,2109495
104.5,109.9,104.5,108.8,2022-11-03,5706932
109.3,109.45,106.15,107.45,2022-11-04,3040479
108.0,110.9,105.3,106.15,2022-11-07,3982285
106.7,110.6,105.05,109.2,2022-11-09,4677194
108.75,108.8,103.9,104.45,2022-11-10,3058432
106.0,107.65,101.25,102.7,2022-11-11,6040384
102.0,102.3,98.0,98.5,2022-11-14,9812210
100.0,106.25,100.0,104.25,2022-11-15,7584551
104.7,109.2,104.35,105.75,2022-11-16,6330875
105.7,106.0,103.4,104.65,2022-11-17,2409788
105.2,107.9,104.3,107.05,2022-11-18,3682520
107.6,109.3,105.3,108.95,2022-11-21,3403713
109.55,113.7,107.6,111.35,2022-11-22,5793488
111.9,112.0,108.15,108.8,2022-11-23,2650083
109.35,113.1,109.1,111.5,2022-11-24,4385611
112.25,116.9,110.65,115.95,2022-11-25,7837802
115.95,119.15,115.0,116.8,2022-11-28,4936090
116.75,117.4,112.1,112.75,2022-11-29,2715249
113.35,116.15,111.35,114.6,2022-11-30,3841259
114.95,116.6,113.25,113.95,2022-12-01,1893269
113.0,115.0,113.0,113.8,2022-12-02,1393574
114.4,114.4,110.3,110.85,2022-12-05,2566081
110.85,112.5,109.4,109.75,2022-12-06,2169546
110.3,111.4,106.75,108.0,2022-12-07,1919792
108.8,110.7,106.25,106.9,2022-12-08,2080847
107.55,108.2,103.5,104.15,2022-12-09,2271017
104.6,106.8,103.45,104.45,2022-12-12,2130931
105.25,109.6,103.55,108.65,2022-12-13,4451909
109.2,110.8,107.05,108.5,2022-12-14,2376851
109.25,111.3,107.65,108.8,2022-12-15,1814724
107.7,109.15,104.9,105.25,2022-12-16,1854103
105.85,106.4,103.8,105.85,2022-12-19,1431022
105.45,106.4,103.8,105.25,2022-12-20,1155712
105.6,106.45,98.5,99.0,2022-12-21,3227319
100.0,101.25,94.3,95.65,2022-12-22,3003701
94.2,94.8,89.6,90.1,2022-12-23,3433181
90.0,97.9,90.0,97.25,2022-12-26,2781231
98.2,99.8,96.5,98.2,2022-12-27,1502471
97.6,103.0,97.25,102.15,2022-12-28,2244469
101.0,104.8,101.0,103.55,2022-12-29,2714537
104.1,107.65,104.0,105.7,2022-12-30,2680391
105.95,107.5,104.2,106.4,2023-01-02,1726319
105.5,107.8,104.65,105.25,2023-01-03,1551263
105.8,107.05,102.2,102.6,2023-01-04,1626364
103.1,105.25,101.7,103.3,2023-01-05,1551725
103.3,103.75,100.2,102.2,2023-01-06,1286252
103.0,105.2,101.55,102.7,2023-01-09,1301082
102.9,103.15,99.5,100.05,2023-01-10,1644790
100.6,101.7,99.25,99.7,2023-01-11,1253079
100.2,102.4,98.85,101.55,2023-01-12,1274431
