open,high,low,close,date,volume
197.55,201.7,189.75,192.2,2022-09-29,48781
192.4,198.8,192.05,193.7,2022-09-30,62223
193.45,198.0,186.0,187.55,2022-10-03,67333
189.35,197.65,189.35,192.0,2022-10-04,56433
195.0,197.55,190.3,195.0,2022-10-06,61436
195.9,198.1,192.4,195.85,2022-10-07,50128
194.0,216.25,192.55,209.3,2022-10-10,216863
210.3,214.4,200.25,201.3,2022-10-11,69372
202.9,204.95,195.0,197.2,2022-10-12,55220
196.4,206.8,196.35,197.95,2022-10-13,64078
199.85,204.9,194.1,195.15,2022-10-14,35535
195.9,196.1,190.05,191.8,2022-10-17,35067
193.6,197.3,191.5,193.7,2022-10-18,38559
193.6,200.75,192.5,197.9,2022-10-19,72226
200.4,200.4,195.0,196.8,2022-10-20,29552
198.4,198.4,190.85,191.55,2022-10-21,47505
194.7,202.8,191.1,194.65,2022-10-24,35499
196.5,196.5,191.55,192.5,2022-10-25,14179
192.0,201.0,192.0,195.45,2022-10-27,46734
196.05,198.2,193.0,193.45,2022-10-28,20117
192.4,197.45,192.4,193.6,2022-10-31,15727
192.55,196.4,188.55,190.2,2022-11-01,28237
191.75,192.0,188.0,189.6,2022-11-02,28183
189.45,194.05,188.6,190.8,2022-11-03,25247
191.0,194.45,190.8,193.15,2022-11-04,29768
194.4,200.0,192.55,196.2,2022-11-07,67000
197.9,203.0,193.2,193.85,2022-11-09,63021
193.1,194.5,183.0,185.1,2022-11-10,50828
183.55,191.05,183.55,185.75,2022-11-11,40490
186.8,189.25,184.0,184.4,2022-11-14,24904
184.4,188.05,183.15,184.0,2022-11-15,12426
183.2,184.75,180.1,181.25,2022-11-16,20421
181.0,183.4,179.5,180.65,2022-11-17,21671
181.7,190.9,180.95,186.75,2022-11-18,61988
192.0,198.5,187.1,194.5,2022-11-21,106251
196.0,197.55,191.0,191.25,2022-11-22,28106
191.95,192.8,185.5,186.45,2022-11-23,30947
186.45,192.0,186.45,187.25,2022-11-24,27899
187.2,189.25,183.1,184.4,2022-11-25,26577
184.4,187.9,183.05,185.9,2022-11-28,26034
186.7,189.5,185.0,186.0,2022-11-29,13777
186.0,194.9,185.5,190.15,2022-11-30,61149
190.35,195.9,188.1,191.9,2022-12-01,41238
189.0,194.0,189.0,192.15,2022-12-02,20891
190.05,197.0,190.05,192.55,2022-12-05,24282
191.4,196.75,191.35,193.8,2022-12-06,47276
194.0,224.2,193.3,216.2,2022-12-07,598280
218.8,225.0,213.0,220.5,2022-12-08,302610
222.55,222.55,205.0,207.25,2022-12-09,91538
208.5,221.35,204.75,215.4,2022-12-12,116995
216.8,232.9,215.3,224.9,2022-12-13,530892
226.3,238.0,220.25,222.75,2022-12-14,245196
222.75,228.8,218.1,220.3,2022-12-15,91621
220.0,220.0,210.55,211.6,2022-12-16,85544
213.6,226.95,211.6,222.6,2022-12-19,112956
223.5,234.55,216.5,231.75,2022-12-20,200764
235.0,247.0,221.55,225.3,2022-12-21,726183
226.2,232.05,212.0,213.6,2022-12-22,174253
212.9,212.9,195.0,197.35,2022-12-23,113049
200.3,210.4,198.55,207.7,2022-12-26,70212
210.1,219.9,209.1,218.0,2022-12-27,86941
218.8,224.15,216.4,217.9,2022-12-28,63129
216.7,224.2,213.4,218.25,2022-12-29,53922
220.35,223.45,208.55,212.4,2022-12-30,62729
213.0,221.6,212.95,216.25,2023-01-02,50545
217.0,223.0,211.3,217.6,2023-01-03,68978
218.2,220.5,212.0,215.65,2023-01-04,41699
216.0,216.7,211.85,214.9,2023-01-05,36365
215.0,218.05,211.85,212.45,2023-01-06,31680
215.65,238.55,215.15,227.45,2023-01-09,699432
227.95,229.0,218.55,220.9,2023-01-10,89889
221.8,228.0,221.0,225.9,2023-01-11,59839
226.75,226.75,216.6,221.7,2023-01-12,50610
222.45,231.9,222.4,225.05,2023-01-13,103774
225.9,227.5,219.3,224.25,2023-01-16,45217
224.6,224.6,217.95,220.05,2023-01-17,48336
220.95,222.9,217.0,217.7,2023-01-18,34628
216.1,219.45,215.2,216.05,2023-01-19,22415
215.5,219.35,212.05,213.5,2023-01-20,31535
212.8,214.6,203.2,206.35,2023-01-23,60972
207.1,210.0,202.6,204.0,2023-01-24,47690
203.35,205.95,196.2,198.45,2023-01-25,67358
198.45,200.4,190.65,193.8,2023-01-27,50435
194.8,198.3,190.8,193.9,2023-01-30,42364
194.95,199.9,193.6,196.55,2023-01-31,51658
198.45,205.5,190.5,194.5,2023-02-01,62163
194.05,198.4,190.55,194.6,2023-02-02,33706
