open,high,low,close,date,volume
2024.0,2057.45,2000.0,2002.75,2022-09-29,4831
2006.65,2035.0,1971.7,2011.6,2022-09-30,5225
2016.25,2020.0,1976.0,1983.25,2022-10-03,2162
1982.0,2046.95,1982.0,2016.85,2022-10-04,5400
2026.95,2045.0,1993.75,2037.15,2022-10-06,4912
2018.25,2030.0,2005.0,2015.05,2022-10-07,1749
2016.05,2016.05,1981.0,1985.95,2022-10-10,2974
1995.85,2003.85,1975.0,1985.3,2022-10-11,1769
1995.25,2001.0,1963.0,1979.2,2022-10-12,1840
1966.1,1997.9,1938.95,1962.75,2022-10-13,2355
1972.6,1990.0,1972.6,1987.2,2022-10-14,1969
1972.6,2019.4,1968.7,1988.45,2022-10-17,1875
1972.05,2024.0,1972.05,2002.75,2022-10-18,4303
2011.15,2070.0,1994.95,2059.4,2022-10-19,4331
2095.0,2095.0,2020.0,2023.35,2022-10-20,1606
2032.4,2032.4,1990.0,1992.65,2022-10-21,1140
1994.0,2058.0,1994.0,2014.1,2022-10-24,803
2021.35,2024.35,1985.25,1993.75,2022-10-25,1413
1995.7,2007.1,1966.75,1969.85,2022-10-27,1013
1979.7,1995.0,1968.0,1976.55,2022-10-28,1357
1976.55,1986.4,1958.95,1967.85,2022-10-31,1926
1977.7,1998.45,1957.0,1962.1,2022-11-01,1498
1965.05,2010.0,1963.55,1985.6,2022-11-02,2209
1984.75,2019.0,1983.05,1995.55,2022-11-03,636
2005.5,2034.95,1926.0,1981.45,2022-11-04,9813
1991.1,2031.0,1980.0,1988.65,2022-11-07,3231
1998.6,1998.6,1927.1,1935.0,2022-11-09,7739
1944.0,1944.0,1930.1,1934.0,2022-11-10,1976
1943.7,1949.6,1929.95,1939.75,2022-11-11,2234
1939.85,1967.0,1935.4,1962.05,2022-11-14,1586
1968.35,1974.9,1929.95,1944.0,2022-11-15,2786
1953.05,1953.05,1932.1,1940.25,2022-11-16,835
1940.3,1946.95,1933.65,1938.05,2022-11-17,582
1934.9,1958.0,1934.9,1951.65,2022-11-18,750
1953.95,1959.95,1882.6,1898.7,2022-11-21,3815
1881.0,1930.0,1880.0,1890.6,2022-11-22,3179
1897.85,1940.0,1897.85,1929.9,2022-11-23,1513
1939.55,1963.9,1932.1,1945.4,2022-11-24,898
1955.15,1964.95,1928.15,1940.4,2022-11-25,1285
1940.4,1950.15,1917.9,1927.85,2022-11-28,1298
1947.85,1947.85,1920.0,1933.75,2022-11-29,1082
1933.8,1933.8,1868.0,1875.35,2022-11-30,9379
1876.0,1884.7,1817.7,1847.0,2022-12-01,11586
1856.2,1874.95,1840.0,1858.85,2022-12-02,2054
1868.1,1890.45,1852.6,1882.45,2022-12-05,2169
1882.6,1889.95,1859.0,1864.4,2022-12-06,2406
1858.05,1881.65,1850.0,1859.4,2022-12-07,1938
1867.4,1890.0,1825.0,1839.6,2022-12-08,2966
1839.6,1855.0,1820.0,1823.2,2022-12-09,2632
1828.3,1842.45,1813.2,1823.3,2022-12-12,1589
1832.45,1859.8,1825.0,1855.7,2022-12-13,3053
1855.8,1865.0,1840.0,1847.95,2022-12-14,1298
1847.9,1862.0,1840.0,1856.1,2022-12-15,1450
1854.05,1859.95,1847.1,1851.9,2022-12-16,924
1843.3,1870.1,1820.05,1841.3,2022-12-19,2151
