open,high,low,close,date,volume
89.0,89.0,79.1,79.75,2022-09-26,77387
81.35,83.9,80.25,82.25,2022-09-27,49109
83.85,83.85,80.2,81.0,2022-09-28,21836
82.7,84.3,75.35,76.8,2022-09-29,45018
76.25,80.0,75.65,77.1,2022-09-30,34605
78.0,84.8,77.1,84.8,2022-10-03,87551
88.8,88.8,85.15,86.75,2022-10-04,45290
88.2,88.2,85.5,86.1,2022-10-06,42462
87.9,87.9,85.3,86.8,2022-10-07,29585
88.75,95.0,85.85,91.3,2022-10-10,91958
96.0,96.0,90.2,90.6,2022-10-11,35484
93.0,108.4,92.0,107.2,2022-10-12,1243425
109.05,127.9,109.05,125.65,2022-10-13,2232261
129.85,138.2,129.0,138.2,2022-10-14,488837
141.05,146.8,124.4,124.4,2022-10-17,726825
120.0,129.7,112.0,114.15,2022-10-18,687646
116.6,123.85,116.0,117.9,2022-10-19,254432
95.75,99.1,91.0,99.05,2022-12-06,62450
103.9,103.9,96.0,98.1,2022-12-07,20947
97.0,98.1,93.3,96.15,2022-12-08,25157
96.15,97.9,91.65,93.1,2022-12-09,21776
90.3,96.5,90.3,95.85,2022-12-12,10419
96.5,97.15,94.25,94.9,2022-12-13,13010
94.25,96.75,94.25,95.75,2022-12-14,10795
96.5,96.5,91.35,92.3,2022-12-15,20918
93.0,93.55,90.0,91.7,2022-12-16,13135
90.6,93.2,90.6,92.75,2022-12-19,7230
92.9,95.7,90.35,92.65,2022-12-20,13896
93.95,94.7,88.1,90.0,2022-12-21,37387
90.0,90.95,85.5,87.35,2022-12-22,38167
83.0,87.35,83.0,83.0,2022-12-23,19613
81.0,87.15,79.05,87.0,2022-12-26,21036
90.95,91.0,86.0,90.25,2022-12-27,10226
90.95,90.95,88.25,88.8,2022-12-28,7987
88.7,89.55,86.0,86.7,2022-12-29,10992
87.7,91.0,85.25,90.55,2022-12-30,25827
94.45,94.45,90.55,92.5,2023-01-02,7775
91.05,92.85,88.1,89.0,2023-01-03,13249
89.8,91.0,88.0,90.65,2023-01-04,11707
92.6,92.6,89.25,90.85,2023-01-05,9164
92.45,92.45,89.6,90.2,2023-01-06,10010
93.45,93.45,90.4,90.95,2023-01-09,5332
92.7,92.7,89.7,90.1,2023-01-10,10354
89.8,92.0,89.1,89.35,2023-01-11,7968
89.3,90.2,89.1,89.4,2023-01-12,6527
91.0,91.0,89.1,90.05,2023-01-13,6418
90.0,92.7,90.0,91.1,2023-01-16,9821
92.7,92.8,89.6,91.75,2023-01-17,21413
93.3,93.3,91.75,92.5,2023-01-18,9837
94.7,94.7,90.0,91.05,2023-01-19,9425
91.6,93.95,91.25,92.3,2023-01-20,19132
91.7,94.2,89.2,91.35,2023-01-23,11466
90.1,92.95,89.5,90.75,2023-01-24,12209
92.0,92.0,89.5,90.35,2023-01-25,9504
92.9,93.0,88.7,89.75,2023-01-27,9770
89.0,89.2,85.3,87.7,2023-01-30,12406
89.0,90.9,86.5,89.45,2023-01-31,7077
89.1,91.0,87.25,87.45,2023-02-01,10714
86.95,91.8,86.9,90.7,2023-02-02,9243
91.0,91.0,86.2,87.0,2023-02-03,14256
88.45,88.45,84.05,86.25,2023-02-06,12025
86.25,93.95,86.0,90.4,2023-02-07,16178
89.25,93.0,89.25,90.35,2023-02-08,9801
93.0,93.0,89.1,90.25,2023-02-09,9192
94.8,97.0,92.2,93.65,2023-02-10,35981
96.0,96.8,91.35,92.55,2023-02-13,17136
93.0,93.0,89.55,91.7,2023-02-14,7474
90.05,96.0,90.05,92.95,2023-02-15,8544
96.5,96.5,90.2,91.05,2023-02-16,8799
94.0,94.0,90.5,91.25,2023-02-17,3813
93.9,93.9,89.5,90.3,2023-02-20,20963
88.1,91.75,88.1,89.7,2023-02-21,10090
93.0,93.0,87.55,88.4,2023-02-22,5115
89.9,89.9,81.15,82.75,2023-02-23,15546
85.0,86.8,79.8,82.2,2023-02-24,32072
80.35,84.0,76.8,78.85,2023-02-27,17273
77.1,80.2,77.1,79.75,2023-02-28,6914
80.95,87.7,80.95,85.8,2023-03-01,14921
87.0,87.0,82.85,85.45,2023-03-02,6533
87.95,90.0,85.05,87.55,2023-03-03,12899
90.0,91.9,87.1,88.2,2023-03-06,13119
89.2,89.95,87.5,88.95,2023-03-08,8938
88.95,90.0,87.5,88.6,2023-03-09,5866
86.1,88.5,85.65,86.9,2023-03-10,9688
87.85,87.85,82.7,83.8,2023-03-13,13296
88.0,88.0,81.6,82.95,2023-03-14,6904
83.0,84.95,81.0,81.5,2023-03-15,6154
82.05,83.0,78.5,79.3,2023-03-16,12395
81.4,81.7,79.35,79.95,2023-03-17,6926
80.0,81.4,77.0,80.5,2023-03-20,5199
83.6,83.6,81.0,82.3,2023-03-21,4259
84.9,84.9,80.5,81.05,2023-03-22,5063
80.1,81.0,79.05,80.45,2023-03-23,4539
84.55,84.55,79.5,79.65,2023-03-24,8525
83.4,83.4,78.5,79.55,2023-03-27,10078
81.6,81.6,77.5,78.2,2023-03-28,13782
81.4,81.95,76.6,77.4,2023-03-29,9971
79.8,80.95,78.2,79.15,2023-03-31,7070
81.7,81.7,79.2,80.15,2023-04-03,7596
81.95,82.75,79.0,82.5,2023-04-05,16229
83.15,85.55,80.55,81.9,2023-04-06,15228
84.95,84.95,79.45,80.2,2023-04-10,15290
82.2,84.0,79.95,82.45,2023-04-11,10740
84.6,84.6,82.2,83.7,2023-04-12,10504
83.7,98.25,82.3,94.55,2023-04-13,205887
96.0,103.0,94.25,98.0,2023-04-17,113171
99.45,99.45,93.15,94.45,2023-04-18,50874
97.2,98.0,95.3,97.65,2023-04-19,36203
96.05,98.0,95.0,96.65,2023-04-20,25189
94.8,96.95,94.05,94.75,2023-04-21,36247
98.0,98.0,94.35,94.85,2023-04-24,24454
94.85,96.5,91.15,93.65,2023-04-25,13631
92.65,94.0,89.6,90.5,2023-04-26,16168
92.95,94.0,91.45,92.15,2023-04-27,26903
94.0,94.8,90.1,92.25,2023-04-28,16887
93.95,94.0,91.0,91.95,2023-05-02,18815
93.25,93.75,90.5,91.1,2023-05-03,11114
93.7,97.35,91.8,94.9,2023-05-04,21243
97.0,97.0,93.55,94.4,2023-05-05,12051
96.0,98.0,94.45,94.7,2023-05-08,32585
97.4,98.0,93.0,93.55,2023-05-09,11138
93.6,96.0,92.25,92.95,2023-05-10,7820
92.95,94.75,92.95,94.0,2023-05-11,4644
94.0,95.0,92.0,92.25,2023-05-12,6270
92.25,92.25,85.55,89.35,2023-05-15,36186
89.4,90.5,89.1,89.45,2023-05-16,8168
89.45,89.65,88.15,88.65,2023-05-17,9168
89.1,89.75,87.7,88.6,2023-05-18,16316
89.0,89.65,87.7,88.0,2023-05-19,8321
88.0,89.3,87.9,88.5,2023-05-22,12023
90.4,90.4,87.05,88.2,2023-05-23,14096
87.25,97.5,87.25,92.3,2023-05-24,63636
93.05,96.0,90.5,91.65,2023-05-25,23060
93.5,93.5,90.1,90.85,2023-05-26,22388
89.0,91.9,88.0,88.3,2023-05-29,30191
90.7,90.7,87.85,88.3,2023-05-30,15562
87.2,88.75,86.45,87.35,2023-05-31,11877
89.85,89.85,87.5,88.65,2023-06-01,7734
90.95,91.0,88.65,89.4,2023-06-02,10006
89.1,90.5,89.1,89.15,2023-06-05,15935
89.9,94.85,88.65,92.75,2023-06-06,26301
94.95,95.9,92.8,93.3,2023-06-07,64588
93.0,94.9,88.2,90.25,2023-06-08,36042
91.05,93.2,91.0,91.95,2023-06-09,15742
93.2,98.5,92.5,95.8,2023-06-12,130040
97.0,97.4,94.8,97.15,2023-06-13,61362
97.5,97.55,95.0,95.6,2023-06-14,20922
95.8,97.0,94.5,95.35,2023-06-15,20207
96.95,96.95,93.3,93.95,2023-06-16,25800
96.3,96.3,91.4,92.7,2023-06-19,13680
94.25,94.25,93.05,93.6,2023-06-20,9453
94.4,98.6,93.0,97.4,2023-06-21,66052
97.0,101.95,97.0,99.35,2023-06-22,125465
100.45,100.45,94.0,94.9,2023-06-23,44053
94.5,95.8,93.5,94.05,2023-06-26,20986
96.25,96.25,93.5,94.05,2023-06-27,13840
96.8,96.8,93.7,94.25,2023-06-28,7786
93.2,94.9,92.5,93.75,2023-06-30,20288
95.5,95.5,90.9,91.7,2023-07-03,36650
94.9,94.9,90.8,91.4,2023-07-04,21743
92.0,92.85,90.5,91.5,2023-07-05,18491
93.5,93.5,90.8,91.35,2023-07-06,22977
92.7,92.75,90.05,91.35,2023-07-07,18081
90.55,91.35,87.05,88.05,2023-07-10,18028
87.2,90.55,87.2,89.0,2023-07-11,18038
90.6,90.6,88.1,88.8,2023-07-12,10161
90.0,90.0,88.55,88.7,2023-07-13,8326
89.8,89.8,88.05,88.45,2023-07-14,15737
90.1,90.1,87.25,88.4,2023-07-17,18103
90.0,90.0,87.5,87.9,2023-07-18,14304
87.6,90.4,87.6,89.2,2023-07-19,14108
89.2,89.7,88.2,88.4,2023-07-20,5463
88.35,89.65,87.85,89.15,2023-07-21,10432
89.6,89.6,88.1,89.05,2023-07-24,11688
88.2,89.7,88.2,88.75,2023-07-25,5362
88.75,89.5,87.15,88.7,2023-07-26,16693
88.7,89.5,88.05,88.9,2023-07-27,9564
89.4,89.5,88.1,89.05,2023-07-28,15716
89.8,106.85,89.0,106.2,2023-07-31,489873
110.0,116.2,107.1,108.6,2023-08-01,379526
113.95,113.95,104.05,106.1,2023-08-02,133907
104.5,112.25,104.5,111.7,2023-08-03,107985
113.4,115.5,111.45,114.25,2023-08-04,119352
117.45,120.75,116.2,119.1,2023-08-07,149106
124.4,129.9,120.5,121.6,2023-08-08,157467
127.0,142.5,124.3,133.7,2023-08-09,484353
137.3,146.5,134.0,137.1,2023-08-10,343036
141.5,142.2,130.55,132.1,2023-08-11,114730
32.5,36.85,32.5,34.4,2023-11-20,463593
35.9,36.4,33.7,35.6,2023-11-21,355548
36.35,36.35,33.85,34.65,2023-11-22,172927
35.6,35.6,33.8,34.9,2023-11-23,127125
35.15,38.8,34.65,38.0,2023-11-24,700968
38.2,39.6,38.2,38.4,2023-11-28,306337
39.2,39.2,36.45,37.05,2023-11-29,156814
37.15,37.5,34.7,36.5,2023-11-30,199714
37.6,38.0,36.5,36.9,2023-12-01,137802
37.95,37.95,35.0,36.4,2023-12-04,140118
36.8,36.8,34.75,35.15,2023-12-05,167240
35.15,35.65,33.9,34.4,2023-12-06,135014
36.0,37.9,35.0,36.95,2023-12-07,528584
37.4,37.4,36.1,36.7,2023-12-08,210802
37.9,37.95,35.45,36.75,2023-12-11,286371
37.65,37.65,35.55,36.0,2023-12-12,162978
37.3,37.3,35.95,36.2,2023-12-13,156150
36.95,37.25,36.05,36.25,2023-12-14,127372
36.95,37.7,36.25,36.7,2023-12-15,298912
37.7,43.1,37.0,40.9,2023-12-18,1450599
