open,high,low,close,date,volume
102.6,104.35,101.45,103.05,2022-09-29,3899023
103.7,107.5,103.45,106.95,2022-09-30,4487639
107.1,107.5,103.65,104.6,2022-10-03,1701062
107.0,108.45,106.75,108.15,2022-10-04,1711694
109.2,111.65,109.0,110.95,2022-10-06,2232014
111.55,111.75,109.1,111.3,2022-10-07,1820936
109.0,110.85,108.6,110.45,2022-10-10,1347444
110.9,111.7,107.5,107.85,2022-10-11,1290218
108.0,109.55,106.55,108.95,2022-10-12,1364717
109.0,110.6,107.3,109.1,2022-10-13,2025576
110.15,111.0,107.6,108.2,2022-10-14,1372634
108.0,108.0,105.0,107.05,2022-10-17,2074559
107.9,108.25,105.95,106.95,2022-10-18,1591874
107.05,109.1,105.3,105.85,2022-10-19,1921557
105.15,107.15,103.95,106.7,2022-10-20,2158233
106.75,108.0,103.6,104.35,2022-10-21,1869678
104.55,106.0,104.55,105.05,2022-10-24,352305
105.5,107.2,103.8,106.25,2022-10-25,2432958
108.0,109.0,107.15,108.25,2022-10-27,3515708
108.25,108.5,104.3,104.75,2022-10-28,2233780
105.0,105.75,102.55,103.0,2022-10-31,2460512
103.05,104.45,102.35,104.15,2022-11-01,3419287
104.4,106.5,104.2,105.7,2022-11-02,2271698
104.5,107.0,103.55,104.9,2022-11-03,2725580
105.4,108.2,105.35,107.95,2022-11-04,2792052
109.1,114.0,107.75,112.8,2022-11-07,6283812
114.1,114.2,112.05,113.25,2022-11-09,3452797
112.9,113.1,102.25,110.75,2022-11-10,2342479
112.9,115.15,111.65,113.65,2022-11-11,3634311
111.5,117.0,110.0,116.45,2022-11-14,7240137
116.8,119.5,115.5,119.2,2022-11-15,5439447
119.2,120.2,116.0,116.9,2022-11-16,3617147
115.55,115.75,110.55,112.25,2022-11-17,5530857
111.75,112.45,109.25,109.6,2022-11-18,2699201
110.0,110.5,108.0,109.2,2022-11-21,2259175
109.0,112.5,108.25,112.0,2022-11-22,3068825
112.85,114.3,111.7,112.9,2022-11-23,2253002
113.5,114.6,112.75,114.1,2022-11-24,2278611
114.5,115.7,114.05,114.6,2022-11-25,1786026
114.0,114.9,112.8,114.5,2022-11-28,1816414
114.5,116.3,113.9,114.65,2022-11-29,2668670
115.0,119.7,115.0,117.3,2022-11-30,7581421
118.9,121.3,118.1,119.4,2022-12-01,8464740
118.3,120.5,117.5,118.65,2022-12-02,2927276
119.65,122.5,119.25,121.45,2022-12-05,5673261
121.4,121.4,118.5,119.9,2022-12-06,2157842
120.8,120.8,116.85,117.6,2022-12-07,2115223
118.2,118.7,116.2,118.1,2022-12-08,1608858
118.95,120.25,115.0,116.35,2022-12-09,2554103
115.5,116.15,114.6,115.25,2022-12-12,2162796
116.0,116.7,113.95,114.5,2022-12-13,3088743
115.4,118.35,115.35,117.9,2022-12-14,2967911
117.9,118.7,113.6,114.2,2022-12-15,2916321
113.95,114.25,110.4,111.1,2022-12-16,3227227
111.55,113.2,111.0,112.95,2022-12-19,1717094
112.8,112.8,110.5,112.35,2022-12-20,1623902
112.5,113.2,109.15,110.1,2022-12-21,2392487
111.0,111.5,106.7,107.4,2022-12-22,2340102
106.55,106.9,99.4,100.0,2022-12-23,3550370
101.9,105.35,99.3,104.35,2022-12-26,3711818
105.2,109.85,105.15,109.05,2022-12-27,4203839
109.0,109.4,107.45,108.7,2022-12-28,2614409
108.75,110.4,107.3,108.95,2022-12-29,4236130
109.8,112.1,109.1,109.6,2022-12-30,2757547
109.6,117.2,109.55,116.75,2023-01-02,8485712
117.25,117.45,114.9,116.35,2023-01-03,4404940
116.0,116.2,113.5,114.6,2023-01-04,3959214
114.15,116.7,114.1,115.55,2023-01-05,2875797
116.1,119.45,115.4,115.9,2023-01-06,9705003
118.0,120.65,117.8,119.65,2023-01-09,8175110
119.55,125.7,119.45,123.25,2023-01-10,17162947
124.45,125.9,123.45,125.5,2023-01-11,11527292
126.5,126.9,124.45,125.35,2023-01-12,6785828
125.5,127.3,125.0,126.9,2023-01-13,4962297
128.45,129.5,125.35,127.95,2023-01-16,9885230
129.0,129.4,126.5,128.25,2023-01-17,4610744
128.75,130.9,128.5,130.5,2023-01-18,6708037
129.45,132.35,128.8,130.75,2023-01-19,6093788
130.7,132.1,129.55,130.05,2023-01-20,4200821
131.0,131.05,127.8,129.25,2023-01-23,5299106
129.3,129.7,127.1,128.65,2023-01-24,3115940
127.8,129.4,126.8,127.35,2023-01-25,3001602
127.45,129.15,121.95,123.45,2023-01-27,4401500
123.0,124.45,120.2,121.6,2023-01-30,3351781
121.55,124.4,120.55,123.3,2023-01-31,2755504
123.9,124.3,115.25,118.2,2023-02-01,3521247
116.0,119.4,115.4,116.6,2023-02-02,3211620
117.1,117.5,106.05,107.5,2023-02-03,8680426
107.0,109.05,105.0,105.8,2023-02-06,3556294
105.6,106.55,103.25,105.8,2023-02-07,3328409
106.0,109.15,104.9,108.25,2023-02-08,3910618
108.55,109.25,106.25,107.25,2023-02-09,3015848
106.8,107.9,105.6,107.1,2023-02-10,1645670
107.0,108.35,105.2,105.9,2023-02-13,2273671
106.0,107.0,104.85,106.55,2023-02-14,1958345
106.35,107.55,105.25,106.7,2023-02-15,1959493
106.8,108.65,106.8,108.15,2023-02-16,2039279
108.05,109.4,105.85,106.05,2023-02-17,3148005
106.5,106.6,103.5,104.25,2023-02-20,4222754
105.05,105.75,103.45,103.6,2023-02-21,2780510
103.6,104.3,100.6,100.85,2023-02-22,3393069
101.2,102.85,100.0,101.65,2023-02-23,2769882
101.95,101.95,99.5,100.0,2023-02-24,3047575
100.0,100.0,95.55,97.0,2023-02-27,4104513
97.5,98.15,96.2,97.25,2023-02-28,2349065
97.95,102.9,97.4,102.6,2023-03-01,5844138
102.65,103.45,101.0,101.45,2023-03-02,3144796
102.0,103.7,100.5,103.0,2023-03-03,3786418
103.4,103.8,102.0,102.4,2023-03-06,2297500
101.1,102.0,99.25,101.5,2023-03-08,2539378
101.95,104.3,101.9,102.15,2023-03-09,2625942
101.3,101.55,99.55,100.7,2023-03-10,1907885
101.0,102.2,98.0,98.6,2023-03-13,2823880
99.15,100.1,97.5,98.25,2023-03-14,2523727
99.0,100.5,98.3,98.65,2023-03-15,2316316
97.75,98.25,93.85,97.75,2023-03-16,4122092
98.6,101.3,97.85,100.2,2023-03-17,2511325
99.5,99.9,96.45,97.25,2023-03-20,2370224
98.1,98.8,97.05,98.2,2023-03-21,1566350
99.0,99.9,97.7,98.4,2023-03-22,1719986
98.4,100.5,98.3,98.6,2023-03-23,2486946
99.5,99.5,96.0,96.3,2023-03-24,2472874
97.0,97.5,95.2,96.0,2023-03-27,2577531
96.15,96.7,94.15,94.65,2023-03-28,2540228
94.55,97.0,94.55,96.45,2023-03-29,2730646
98.15,100.1,97.3,98.35,2023-03-31,3726947
99.7,99.8,98.25,99.35,2023-04-03,1246951
98.5,99.1,96.9,98.2,2023-04-05,2298505
98.4,99.25,97.3,99.0,2023-04-06,1687588
99.65,101.3,98.75,100.5,2023-04-10,2483479
100.9,101.0,99.65,100.7,2023-04-11,2275919
101.0,101.6,100.4,100.95,2023-04-12,2078729
101.0,101.85,99.65,100.55,2023-04-13,1489941
100.55,102.65,100.05,102.3,2023-04-17,2292398
102.8,102.8,100.5,101.15,2023-04-18,1716449
101.6,103.8,101.0,101.3,2023-04-19,3584017
101.4,102.2,100.4,101.1,2023-04-20,1896863
101.2,101.35,98.2,98.5,2023-04-21,3266434
99.0,99.5,97.6,99.3,2023-04-24,1576108
99.3,100.4,98.75,99.1,2023-04-25,1907966
98.75,99.3,97.9,98.9,2023-04-26,1898996
98.9,100.4,98.5,99.85,2023-04-27,2307626
100.4,102.0,100.1,101.4,2023-04-28,2867161
101.4,104.9,101.4,104.3,2023-05-02,6561866
104.9,105.9,103.2,105.3,2023-05-03,3906119
106.0,108.45,105.3,107.6,2023-05-04,6822136
107.75,107.75,104.3,104.65,2023-05-05,3249600
105.2,107.35,104.75,106.9,2023-05-08,2763076
107.8,108.7,105.15,105.75,2023-05-09,2011030
105.75,106.45,104.4,105.7,2023-05-10,2275047
105.95,106.95,104.55,105.1,2023-05-11,3483081
104.75,104.75,102.0,102.1,2023-05-12,3186646
102.45,105.0,101.1,104.45,2023-05-15,3731816
104.5,105.55,104.0,104.35,2023-05-16,2372949
104.0,104.3,101.6,102.65,2023-05-17,2892348
103.1,104.0,101.7,101.9,2023-05-18,1842580
102.7,102.7,100.5,101.6,2023-05-19,2542387
103.8,104.0,102.15,103.7,2023-05-22,3940408
103.0,104.4,102.5,102.9,2023-05-23,2895692
102.4,102.9,101.6,102.2,2023-05-24,2038851
102.0,103.0,101.05,102.85,2023-05-25,2309949
103.0,107.1,102.95,106.9,2023-05-26,7127234
107.0,109.4,106.1,108.9,2023-05-29,5489963
109.2,112.85,108.15,111.1,2023-05-30,10315826
111.0,113.5,109.5,113.25,2023-05-31,10170176
114.75,114.75,111.2,111.6,2023-06-01,3534039
112.35,114.65,112.1,113.8,2023-06-02,4414157
114.0,115.35,113.75,114.35,2023-06-05,3137680
114.2,115.6,112.85,113.65,2023-06-06,5189783
113.85,115.75,113.4,115.15,2023-06-07,2899993
115.7,116.15,113.2,113.45,2023-06-08,2988963
113.6,114.25,112.4,112.75,2023-06-09,1604843
113.0,114.15,112.25,113.4,2023-06-12,1647861
