open,high,low,close,date,volume
16.5,16.5,15.85,16.5,2022-09-29,576145
16.8,17.1,15.9,16.35,2022-09-30,1038694
16.7,17.15,16.4,17.15,2022-10-03,1079024
18.0,18.0,16.6,17.1,2022-10-04,1656541
17.3,17.3,16.7,16.8,2022-10-06,536442
16.8,17.6,16.7,17.5,2022-10-07,2299560
17.3,17.4,16.4,16.95,2022-10-10,924925
17.05,17.2,15.55,16.2,2022-10-11,785839
16.45,16.45,15.9,16.25,2022-10-12,279152
16.0,16.35,15.9,16.05,2022-10-13,201532
16.35,17.0,15.9,16.0,2022-10-14,322630
15.9,16.2,15.75,15.8,2022-10-17,242175
16.1,16.1,15.7,15.8,2022-10-18,305726
16.0,17.35,15.8,16.2,2022-10-19,1737025
16.25,16.7,15.35,15.75,2022-10-20,994003
16.0,16.3,15.75,15.9,2022-10-21,288098
15.75,16.3,15.6,16.15,2022-10-24,206734
16.2,16.2,15.9,16.05,2022-10-25,244219
15.8,16.1,15.8,15.95,2022-10-27,270410
16.15,16.4,16.0,16.15,2022-10-28,432563
16.95,16.95,16.2,16.25,2022-10-31,669081
16.25,16.5,16.0,16.15,2022-11-01,349348
16.25,16.35,16.05,16.1,2022-11-02,198302
15.85,16.6,15.85,16.35,2022-11-03,530427
16.7,16.95,16.0,16.3,2022-11-04,541876
16.8,16.8,16.3,16.65,2022-11-07,622335
16.65,16.9,16.35,16.8,2022-11-09,976099
16.8,18.1,16.5,17.8,2022-11-10,2867084
18.1,18.1,17.25,17.35,2022-11-11,1208696
17.1,17.8,17.0,17.15,2022-11-14,594949
17.4,17.4,16.75,16.8,2022-11-15,275524
16.7,17.3,16.6,16.75,2022-11-16,530619
16.75,17.75,16.7,17.45,2022-11-17,1635839
17.9,18.0,17.1,17.15,2022-11-18,1147924
17.15,17.2,16.7,16.9,2022-11-21,540019
17.1,17.1,16.5,16.7,2022-11-22,493549
17.3,18.35,17.25,18.35,2022-11-23,1719436
19.05,20.15,19.05,20.15,2022-11-24,2367095
22.15,22.15,19.7,20.3,2022-11-25,25180685
21.2,21.2,20.3,20.6,2022-11-28,2014014
20.8,20.8,19.5,19.65,2022-11-29,1618551
19.8,20.0,18.75,19.1,2022-11-30,1052628
19.25,21.0,18.9,21.0,2022-12-01,2061647
20.95,21.35,19.7,20.3,2022-12-02,3372431
20.75,21.0,20.3,20.4,2022-12-05,1136580
13.3,13.8,13.3,13.7,2023-02-28,234729
13.75,14.1,13.55,14.0,2023-03-01,252049
14.0,14.15,13.45,13.5,2023-03-02,338900
13.5,13.9,13.5,13.7,2023-03-03,316284
13.55,14.1,13.2,13.8,2023-03-06,454010
14.0,14.45,13.8,14.45,2023-03-08,168287
15.15,15.15,14.8,15.15,2023-03-09,659582
15.15,15.6,14.85,14.95,2023-03-10,470737
15.0,15.15,14.2,14.2,2023-03-13,355258
13.6,14.5,13.6,13.95,2023-03-14,280210
13.95,14.2,13.8,13.95,2023-03-15,203765
14.0,14.1,13.75,13.8,2023-03-16,142433
14.05,14.15,13.7,13.8,2023-03-17,262453
14.45,14.45,13.25,13.55,2023-03-20,262670
13.95,14.0,13.55,13.7,2023-03-21,201074
13.9,13.95,13.6,13.65,2023-03-22,327431
13.65,13.9,13.35,13.8,2023-03-23,476032
13.95,13.95,13.6,13.65,2023-03-24,188423
13.7,13.75,13.1,13.25,2023-03-27,267116
13.25,13.9,12.6,12.7,2023-03-28,478804
12.85,13.2,12.3,12.7,2023-03-29,675361
12.9,13.3,12.55,12.9,2023-03-31,338110
13.2,13.45,13.0,13.35,2023-04-03,231512
13.6,14.0,13.45,14.0,2023-04-05,217901
14.5,14.5,13.9,14.15,2023-04-06,411141
14.35,14.35,14.05,14.2,2023-04-10,178230
14.4,14.5,13.65,13.85,2023-04-11,400797
13.9,14.15,13.85,13.95,2023-04-12,198194
14.0,14.05,13.8,13.8,2023-04-13,141484
13.75,13.9,13.5,13.75,2023-04-17,158207
13.8,13.95,13.5,13.75,2023-04-18,176810
13.95,14.0,13.75,13.85,2023-04-19,131609
14.2,14.45,13.8,14.15,2023-04-20,409792
14.45,14.5,13.95,14.0,2023-04-21,191417
14.2,14.2,13.5,13.75,2023-04-24,313543
13.9,14.2,13.85,14.1,2023-04-25,376396
14.3,14.3,13.8,13.85,2023-04-26,358961
13.9,14.0,13.8,13.9,2023-04-27,196738
13.9,14.15,13.85,13.95,2023-04-28,194075
13.95,15.3,13.8,15.1,2023-05-02,1828319
15.4,16.3,14.9,15.7,2023-05-03,1276129
15.7,15.85,15.25,15.35,2023-05-04,547910
15.3,15.8,15.05,15.05,2023-05-05,390238
15.3,15.3,14.85,14.95,2023-05-08,474106
14.95,15.15,14.35,14.65,2023-05-09,862277
14.7,15.0,14.2,14.65,2023-05-10,465791
14.75,14.95,14.4,14.55,2023-05-11,322572
14.6,14.85,14.35,14.4,2023-05-12,305517
14.7,14.7,14.05,14.15,2023-05-15,296120
14.25,14.45,13.95,14.0,2023-05-16,363892
14.2,14.3,13.75,13.85,2023-05-17,351186
13.9,14.1,13.7,13.75,2023-05-18,229195
13.75,13.9,13.5,13.6,2023-05-19,296664
13.55,14.5,13.45,14.0,2023-05-22,485851
13.8,14.3,13.8,13.9,2023-05-23,195165
13.9,14.4,13.75,13.85,2023-05-24,349522
13.95,14.15,13.7,13.9,2023-05-25,212536
13.8,13.95,13.75,13.8,2023-05-26,262423
13.95,14.05,13.7,14.0,2023-05-29,324279
14.05,14.15,13.8,13.9,2023-05-30,245499
13.9,15.25,13.85,14.35,2023-05-31,965066
14.55,15.35,14.2,14.7,2023-06-01,646353
14.7,15.25,14.65,15.0,2023-06-02,996900
15.35,15.35,14.65,14.7,2023-06-05,771866
14.9,14.9,14.55,14.7,2023-06-06,343906
14.7,15.75,14.65,15.35,2023-06-07,1760271
15.6,16.95,15.35,16.3,2023-06-08,5453863
16.5,16.95,15.6,15.75,2023-06-09,1749880
15.7,16.4,15.7,16.1,2023-06-12,964745
16.3,16.3,15.85,15.9,2023-06-13,476715
16.15,16.3,15.6,15.7,2023-06-14,634549
15.65,15.9,15.4,15.5,2023-06-15,487003
15.65,15.75,15.3,15.45,2023-06-16,375843
15.55,15.65,15.3,15.35,2023-06-19,378787
15.4,15.5,15.25,15.35,2023-06-20,190131
15.45,15.5,15.1,15.15,2023-06-21,287906
15.25,15.4,14.95,15.05,2023-06-22,299431
15.2,15.2,14.85,14.9,2023-06-23,156018
15.05,15.25,14.5,15.0,2023-06-26,419273
15.3,15.35,14.85,14.95,2023-06-27,205218
15.05,15.05,14.35,14.65,2023-06-28,647379
14.9,14.95,14.4,14.55,2023-06-30,375513
14.7,15.45,14.55,14.7,2023-07-03,650853
14.75,14.9,14.45,14.6,2023-07-04,468120
14.6,14.75,14.5,14.7,2023-07-05,239578
14.7,14.8,14.55,14.7,2023-07-06,428988
14.8,14.8,14.5,14.5,2023-07-07,445468
14.5,14.7,14.4,14.5,2023-07-10,203516
14.5,14.6,14.35,14.35,2023-07-11,357552
14.45,14.55,14.3,14.4,2023-07-12,260181
14.5,14.55,14.1,14.15,2023-07-13,316706
14.25,14.25,13.95,14.1,2023-07-14,282744
14.45,14.45,14.15,14.35,2023-07-17,277897
14.6,14.6,13.95,14.05,2023-07-18,529371
14.1,14.25,14.0,14.05,2023-07-19,213618
13.9,14.4,13.9,14.1,2023-07-20,234222
14.2,14.25,14.05,14.2,2023-07-21,145544
14.45,14.45,14.05,14.1,2023-07-24,208125
14.1,14.3,12.65,13.5,2023-07-25,423567
13.6,14.1,13.45,13.85,2023-07-26,629704
14.15,14.4,13.95,14.05,2023-07-27,310122
14.25,14.25,14.0,14.05,2023-07-28,147897
14.15,16.55,14.0,14.75,2023-07-31,910493
14.9,14.95,14.0,14.25,2023-08-01,677111
14.35,14.65,14.05,14.15,2023-08-02,342112
14.2,14.2,13.9,14.0,2023-08-03,333733
14.0,14.2,13.9,13.95,2023-08-04,445962
14.15,14.2,13.85,13.95,2023-08-07,324420
13.95,14.0,13.8,13.85,2023-08-08,242621
14.0,14.2,13.9,14.0,2023-08-09,252402
14.1,15.05,13.95,14.7,2023-08-10,1637635
15.15,15.15,14.4,14.5,2023-08-11,607978
14.7,14.75,14.2,14.35,2023-08-14,179487
14.35,14.4,14.1,14.15,2023-08-16,261742
14.25,14.25,13.9,13.95,2023-08-17,405287
13.95,14.15,13.85,13.95,2023-08-18,308503
14.1,14.2,13.95,13.95,2023-08-21,268517
13.95,15.35,13.95,15.05,2023-08-22,2541521
15.4,15.5,14.8,15.0,2023-08-23,1043770
15.0,15.25,14.65,14.7,2023-08-24,482900
14.9,14.95,14.45,14.5,2023-08-25,279735
14.75,15.45,14.5,14.85,2023-08-28,1071960
15.05,15.15,14.6,14.75,2023-08-29,456105
14.75,15.25,14.7,14.75,2023-08-30,792676
15.1,15.15,14.65,14.75,2023-08-31,391409
15.0,15.0,14.75,14.8,2023-09-01,294711
15.0,15.1,14.75,14.9,2023-09-04,630007
14.9,15.1,14.75,14.8,2023-09-05,709813
14.9,17.4,14.85,16.8,2023-09-06,6388087
16.95,17.5,16.35,17.0,2023-09-07,3478295
17.2,17.5,16.75,16.85,2023-09-08,1501199
17.0,17.55,16.95,17.0,2023-09-11,2135728
17.1,17.3,15.3,15.85,2023-09-12,1930353
16.05,16.15,15.25,15.65,2023-09-13,822996
15.55,16.0,15.55,15.7,2023-09-14,472115
15.95,16.15,15.35,15.8,2023-09-15,635752
15.85,16.6,15.85,16.1,2023-09-18,1260175
16.35,16.35,15.85,15.9,2023-09-20,532146
16.1,16.1,15.5,15.6,2023-09-21,436399
15.75,15.75,15.4,15.5,2023-09-22,358980
15.6,15.9,15.5,15.6,2023-09-25,375914
15.7,15.9,15.3,15.4,2023-09-26,403019
15.8,15.8,15.45,15.7,2023-09-27,606916
15.95,16.25,15.65,15.8,2023-09-28,550561
16.1,16.1,15.5,15.6,2023-09-29,546102
15.7,15.8,15.3,15.35,2023-10-03,338576
15.35,15.4,14.8,15.0,2023-10-04,400731
15.25,15.45,15.2,15.25,2023-10-05,263246
15.4,18.0,15.25,17.65,2023-10-06,6501395
17.65,19.0,17.0,17.9,2023-10-09,6558162
18.2,18.8,17.85,18.3,2023-10-10,2584401
18.35,18.65,17.9,17.95,2023-10-11,1342443
17.9,18.2,17.05,17.05,2023-10-12,1771085
17.0,17.25,16.55,16.95,2023-10-13,1140314
17.45,17.45,16.95,17.05,2023-10-16,763284
17.2,17.4,16.95,17.0,2023-10-17,550615
17.05,17.3,16.5,16.75,2023-10-18,631148
16.75,16.75,16.5,16.6,2023-10-19,354458
16.7,17.05,16.4,16.55,2023-10-20,477750
16.6,16.6,15.75,15.75,2023-10-23,390626
15.9,16.1,15.0,15.05,2023-10-25,588731
15.0,15.4,14.5,15.05,2023-10-26,530984
15.5,15.8,15.4,15.7,2023-10-27,436840
16.0,16.15,15.5,15.6,2023-10-30,343151
15.65,15.95,15.55,15.75,2023-10-31,274525
15.75,15.85,15.55,15.65,2023-11-01,209252
15.95,16.0,15.7,15.8,2023-11-02,147971
15.95,16.0,15.75,15.8,2023-11-03,259501
16.0,16.55,15.9,16.55,2023-11-06,512031
17.2,17.35,16.95,17.35,2023-11-07,774201
17.85,17.85,16.95,17.1,2023-11-08,1278681
17.0,17.1,16.55,17.05,2023-11-09,550811
17.05,17.5,16.85,17.05,2023-11-10,398540
17.5,17.5,16.8,16.9,2023-11-12,406743
17.25,17.25,16.5,16.8,2023-11-13,472420
17.1,17.4,16.95,17.15,2023-11-15,755451
17.35,17.35,17.0,17.15,2023-11-16,798292
17.15,18.0,17.1,18.0,2023-11-17,2466119
18.35,18.9,18.35,18.9,2023-11-20,3877413
19.2,19.35,17.95,18.1,2023-11-21,3187590
18.25,18.5,17.65,17.95,2023-11-22,666318
18.0,18.2,17.85,17.95,2023-11-23,539937
18.1,18.25,17.8,17.95,2023-11-24,357996
17.65,17.85,17.2,17.35,2023-11-28,656246
17.55,18.15,17.15,17.65,2023-11-29,983685
17.65,17.85,17.15,17.4,2023-11-30,570520
17.55,17.8,17.15,17.35,2023-12-01,425244
17.95,17.95,17.5,17.7,2023-12-04,568318
17.75,17.85,17.3,17.35,2023-12-05,537628
17.55,17.65,17.2,17.2,2023-12-06,423043
17.2,17.4,16.8,17.1,2023-12-07,796637
17.1,17.4,16.65,16.85,2023-12-08,726907
16.95,17.0,16.7,16.95,2023-12-11,625067
17.0,17.05,16.85,16.95,2023-12-12,379216
17.1,17.4,16.9,17.0,2023-12-13,622354
17.25,17.85,16.95,17.05,2023-12-14,1521840
17.2,17.2,16.9,17.0,2023-12-15,608245
17.0,17.15,16.9,17.0,2023-12-18,400253
16.95,17.15,16.85,16.9,2023-12-19,527175
17.15,17.15,16.1,16.2,2023-12-20,890011
16.4,16.5,15.95,16.3,2023-12-21,576899
16.5,16.75,16.2,16.3,2023-12-22,468901
16.7,16.95,16.35,16.55,2023-12-26,394317
16.7,16.8,16.25,16.4,2023-12-27,393161
16.5,16.65,16.1,16.2,2023-12-28,392086
16.3,17.0,16.05,16.9,2023-12-29,823081
