open,high,low,close,date,volume
3520.0,3554.3,3402.1,3425.15,2022-09-29,10117
3420.0,3525.0,3381.05,3464.85,2022-09-30,9161
3466.0,3520.0,3261.05,3305.35,2022-10-03,25456
3362.7,3431.95,3320.0,3366.95,2022-10-04,12997
3381.0,3417.4,3375.0,3390.9,2022-10-06,7756
3399.95,3493.55,3366.0,3442.25,2022-10-07,11109
3509.0,3647.95,3480.05,3608.8,2022-10-10,67054
3650.0,3660.2,3465.25,3571.7,2022-10-11,15276
3582.0,3628.7,3502.1,3536.55,2022-10-12,9120
3578.0,3598.0,3481.8,3558.7,2022-10-13,9575
3630.0,3639.95,3551.0,3591.2,2022-10-14,25683
3619.45,3770.0,3580.05,3717.95,2022-10-17,58562
744.0,764.85,675.55,704.25,2022-10-18,269746
708.95,713.2,682.55,697.5,2022-10-19,135808
690.0,705.0,675.05,696.15,2022-10-20,144953
705.0,709.9,682.1,687.7,2022-10-21,112581
698.7,698.85,663.35,684.5,2022-10-24,22097
691.3,691.3,658.0,663.35,2022-10-25,45711
670.0,671.9,656.5,661.2,2022-10-27,44098
667.95,669.0,650.0,650.6,2022-10-28,40240
660.0,666.1,646.0,658.7,2022-10-31,50323
667.0,667.0,659.4,662.5,2022-11-01,18095
662.45,674.0,660.3,671.05,2022-11-02,23821
667.15,679.2,667.15,673.45,2022-11-03,19487
676.0,711.9,676.0,695.45,2022-11-04,114077
714.85,724.9,695.85,701.2,2022-11-07,32768
706.6,706.6,684.45,691.75,2022-11-09,28280
702.0,702.95,675.0,676.9,2022-11-10,30366
683.0,694.35,655.0,661.7,2022-11-11,43706
667.0,668.95,657.0,664.15,2022-11-14,19468
669.0,671.0,662.5,666.3,2022-11-15,15647
672.0,672.0,664.3,666.35,2022-11-16,15059
666.35,668.25,659.0,660.85,2022-11-17,15299
669.5,669.5,650.0,651.75,2022-11-18,16249
646.0,654.3,633.3,636.0,2022-11-21,28691
643.7,645.25,630.55,633.55,2022-11-22,25911
632.25,638.7,630.1,632.1,2022-11-23,19794
630.0,634.65,628.1,631.8,2022-11-24,21747
640.0,640.0,630.55,633.75,2022-11-25,14635
637.0,644.65,635.0,639.1,2022-11-28,17270
633.25,649.85,633.2,637.55,2022-11-29,18750
644.0,646.0,628.85,636.75,2022-11-30,21592
638.0,648.3,635.9,641.85,2022-12-01,26523
644.0,704.9,642.1,689.0,2022-12-02,380732
692.9,705.0,684.0,692.9,2022-12-05,74355
690.0,697.25,675.1,679.9,2022-12-06,25146
683.0,686.0,670.0,673.05,2022-12-07,16732
673.05,675.95,657.05,661.4,2022-12-08,29022
664.5,707.7,662.1,676.25,2022-12-09,140005
676.25,688.8,665.1,676.15,2022-12-12,23610
682.9,682.9,666.0,668.25,2022-12-13,26023
669.05,684.6,667.0,677.75,2022-12-14,26503
677.75,684.5,673.5,674.4,2022-12-15,25333
675.5,678.0,662.0,666.95,2022-12-16,26166
676.0,676.0,661.0,662.4,2022-12-19,19691
666.85,668.7,656.15,658.4,2022-12-20,21370
661.9,668.75,641.5,642.55,2022-12-21,28350
651.7,675.0,615.0,621.1,2022-12-22,36501
618.85,618.85,589.1,590.65,2022-12-23,48209
590.65,643.05,590.65,632.0,2022-12-26,46697
644.95,657.05,632.2,636.55,2022-12-27,33112
635.5,656.65,631.95,651.8,2022-12-28,23526
651.9,657.9,641.65,647.95,2022-12-29,15346
656.45,695.0,652.25,664.45,2022-12-30,76709
668.8,670.0,656.0,663.6,2023-01-02,22001
661.1,668.0,660.0,660.6,2023-01-03,13935
668.0,669.0,649.55,654.65,2023-01-04,11851
665.0,668.0,638.5,642.9,2023-01-05,19897
649.0,651.95,639.05,641.8,2023-01-06,37057
652.0,655.0,637.0,642.55,2023-01-09,40534
654.45,654.45,631.1,634.05,2023-01-10,67672
627.05,639.55,627.05,629.9,2023-01-11,11309
634.05,643.7,625.0,628.6,2023-01-12,16972
640.9,640.9,629.1,632.75,2023-01-13,26968
642.75,642.75,630.0,633.45,2023-01-16,15665
635.0,635.0,625.0,627.4,2023-01-17,11118
630.0,634.0,618.3,623.5,2023-01-18,19602
625.0,628.7,616.15,621.2,2023-01-19,29421
633.8,633.8,610.05,613.95,2023-01-20,14707
622.8,622.8,600.05,606.45,2023-01-23,24212
614.5,616.2,608.05,611.2,2023-01-24,14362
617.9,617.9,600.8,607.2,2023-01-25,18416
616.0,616.0,597.0,603.45,2023-01-27,25000
597.55,616.0,590.5,595.55,2023-01-30,31013
599.95,613.6,597.2,606.1,2023-01-31,18154
610.0,614.9,590.8,597.9,2023-02-01,24088
599.95,603.75,589.25,595.7,2023-02-02,16377
603.85,604.0,590.4,593.9,2023-02-03,19679
590.0,599.0,580.05,587.05,2023-02-06,23603
593.95,593.95,581.0,585.6,2023-02-07,16945
593.3,603.05,585.0,586.75,2023-02-08,17694
586.0,599.1,581.2,591.55,2023-02-09,26748
595.0,598.6,589.0,589.95,2023-02-10,25616
580.0,580.0,555.0,558.4,2023-02-13,119769
564.95,564.95,544.75,547.0,2023-02-14,31199
551.95,558.6,548.15,554.75,2023-02-15,16876
567.7,584.0,560.7,568.15,2023-02-16,61576
569.9,574.9,560.85,563.3,2023-02-17,16871
568.9,569.0,549.0,550.2,2023-02-20,27189
558.45,558.45,549.0,552.1,2023-02-21,13310
554.95,554.95,540.05,541.85,2023-02-22,17378
548.5,550.0,526.45,529.4,2023-02-23,28626
534.4,546.4,530.7,532.35,2023-02-24,18015
533.0,536.9,520.0,524.25,2023-02-27,47213
532.05,545.0,511.0,515.95,2023-02-28,53505
523.65,535.0,508.0,526.0,2023-03-01,44827
530.0,534.0,517.0,522.55,2023-03-02,36813
529.0,533.0,521.15,526.1,2023-03-03,27457
532.65,543.0,529.3,537.85,2023-03-06,29470
539.0,544.85,533.0,535.8,2023-03-08,18242
536.0,539.0,523.1,525.65,2023-03-09,27304
516.0,530.8,514.9,524.6,2023-03-10,36631
524.6,528.75,504.9,515.5,2023-03-13,44136
517.0,522.25,505.0,506.4,2023-03-14,25324
513.0,513.95,500.0,500.5,2023-03-15,27965
500.5,501.8,478.1,485.35,2023-03-16,69423
490.0,543.5,490.0,524.15,2023-03-17,617055
528.0,539.65,515.0,517.25,2023-03-20,67291
526.05,528.05,505.0,510.65,2023-03-21,44694
515.95,517.85,507.3,512.55,2023-03-22,52371
512.0,520.0,508.75,510.55,2023-03-23,44834
516.85,516.85,500.2,503.35,2023-03-24,18576
504.05,507.5,490.0,491.55,2023-03-27,27138
490.0,490.0,473.1,474.4,2023-03-28,64583
468.6,482.0,465.0,467.15,2023-03-29,86278
474.05,533.7,472.25,504.8,2023-03-31,673103
507.0,522.8,505.1,512.65,2023-04-03,89654
517.0,528.0,514.0,518.1,2023-04-05,51096
521.65,525.3,517.0,522.5,2023-04-06,37823
524.0,528.4,514.0,520.05,2023-04-10,33515
520.05,525.9,515.2,519.85,2023-04-11,43460
521.35,525.0,515.35,519.45,2023-04-12,43218
518.1,523.8,517.0,520.65,2023-04-13,23245
524.75,616.0,521.1,603.55,2023-04-17,1348233
594.0,608.8,580.9,588.3,2023-04-18,268726
589.9,603.0,587.0,592.0,2023-04-19,98720
593.85,599.7,577.8,582.8,2023-04-20,45261
