open,high,low,close,date,volume
625.0,667.0,570.0,585.65,2023-07-04,5232750
578.0,592.65,565.0,583.65,2023-07-05,729818
589.0,613.5,580.85,597.95,2023-07-06,700156
600.0,605.0,583.05,587.65,2023-07-07,302079
588.0,590.0,577.0,578.75,2023-07-10,136840
577.0,592.0,575.05,586.8,2023-07-11,155652
584.0,593.2,578.0,582.6,2023-07-12,109043
581.35,591.0,565.0,583.95,2023-07-13,263318
588.9,589.9,576.65,579.8,2023-07-14,93696
579.4,602.2,576.7,590.85,2023-07-17,224272
592.0,597.0,582.0,588.55,2023-07-18,80478
588.55,617.0,584.0,609.75,2023-07-19,354126
618.0,630.8,605.4,628.05,2023-07-20,338173
629.65,638.4,621.05,630.25,2023-07-21,186591
630.25,635.6,614.0,619.8,2023-07-24,88944
618.95,628.75,612.2,614.6,2023-07-25,59688
614.95,618.0,603.6,608.4,2023-07-26,76000
613.0,613.0,604.0,606.25,2023-07-27,45951
609.0,616.55,585.5,597.0,2023-07-28,177532
597.0,608.75,586.35,604.4,2023-07-31,199732
590.0,611.9,590.0,602.1,2023-08-01,125101
606.0,606.0,589.0,590.8,2023-08-02,87296
595.0,596.0,590.95,594.25,2023-08-03,28139
597.6,612.0,595.0,602.85,2023-08-04,72061
605.0,615.9,600.0,611.6,2023-08-07,78681
611.0,616.65,603.6,610.75,2023-08-08,54601
609.0,616.7,605.05,608.45,2023-08-09,51903
604.0,626.5,604.0,621.45,2023-08-10,100905
629.3,629.3,615.0,624.5,2023-08-11,46169
617.0,647.7,617.0,636.5,2023-08-14,242790
645.0,649.0,623.0,641.2,2023-08-16,166611
648.95,648.95,625.25,629.2,2023-08-17,62454
629.2,632.9,617.0,621.4,2023-08-18,189820
636.35,636.35,623.5,630.1,2023-08-21,38826
631.0,638.1,622.5,635.4,2023-08-22,60518
635.4,642.0,623.2,625.45,2023-08-23,39671
625.05,632.7,620.2,620.75,2023-08-24,23973
620.0,625.8,610.05,624.05,2023-08-25,27152
629.85,654.5,623.35,638.25,2023-08-28,147645
647.95,647.95,636.0,638.5,2023-08-29,27229
648.1,688.0,632.65,674.5,2023-08-30,182843
677.95,720.0,677.95,695.55,2023-08-31,254332
703.0,765.1,700.8,764.1,2023-09-01,306178
770.1,809.9,770.0,796.1,2023-09-04,278904
810.0,839.9,810.0,825.6,2023-09-05,216861
833.9,835.0,785.0,802.95,2023-09-06,111271
810.0,828.9,791.05,817.9,2023-09-07,72523
829.8,837.0,782.15,798.6,2023-09-08,65994
785.3,821.1,785.3,811.15,2023-09-11,44452
819.95,819.95,772.0,778.9,2023-09-12,85378
784.9,811.0,765.1,784.8,2023-09-13,79034
792.0,816.0,786.0,792.45,2023-09-14,80424
806.9,822.0,783.0,789.85,2023-09-15,84752
799.95,828.0,791.55,794.45,2023-09-18,148109
798.25,800.0,785.25,790.25,2023-09-20,30964
796.95,796.95,765.4,773.8,2023-09-21,39473
776.95,781.85,753.25,762.85,2023-09-22,32107
762.85,789.15,761.0,777.0,2023-09-25,56040
789.65,789.65,762.95,766.05,2023-09-26,25111
762.05,773.0,755.0,758.7,2023-09-27,43655
755.5,761.5,729.05,734.35,2023-09-28,80112
730.05,764.9,730.05,748.45,2023-09-29,40683
748.45,752.85,736.65,739.5,2023-10-03,21077
739.05,742.0,727.05,734.6,2023-10-04,29755
736.0,757.0,728.05,736.2,2023-10-05,29511
743.25,743.25,718.55,722.4,2023-10-06,93141
704.1,725.95,690.0,711.35,2023-10-09,159459
710.0,728.95,710.0,717.9,2023-10-10,18208
724.0,732.0,713.25,717.55,2023-10-11,32600
719.8,727.65,707.15,723.05,2023-10-12,41854
723.05,729.45,712.15,719.65,2023-10-13,155402
712.45,730.0,702.05,720.9,2023-10-16,48342
720.6,728.1,718.0,724.05,2023-10-17,41343
714.5,757.0,714.5,734.15,2023-10-18,105106
734.0,735.6,723.0,726.5,2023-10-19,65344
717.0,726.05,710.2,714.1,2023-10-20,32807
726.0,726.0,666.1,701.8,2023-10-23,168591
710.0,715.95,670.05,682.15,2023-10-25,31112
704.0,709.0,655.05,672.6,2023-10-26,80751
698.8,702.0,681.55,699.65,2023-10-27,30413
713.0,715.0,678.85,684.8,2023-10-30,67994
697.0,706.4,681.3,690.1,2023-10-31,47502
691.0,699.9,688.65,694.65,2023-11-01,22680
694.6,722.4,691.65,700.8,2023-11-02,126210
704.55,745.85,698.1,700.95,2023-11-03,121285
709.25,709.9,693.4,700.6,2023-11-06,62672
701.0,708.2,696.0,700.0,2023-11-07,53477
706.5,706.5,692.05,699.25,2023-11-08,50225
682.0,684.05,655.0,658.45,2023-11-09,154848
668.35,675.0,653.3,670.75,2023-11-10,60266
681.7,692.0,655.0,688.1,2023-11-12,25248
691.05,705.0,682.15,689.95,2023-11-13,83355
702.95,703.85,686.6,696.55,2023-11-15,38231
701.0,701.0,682.0,685.55,2023-11-16,56604
683.05,691.7,678.25,680.4,2023-11-17,49846
680.25,696.0,680.25,692.15,2023-11-20,54633
693.05,699.95,679.1,681.4,2023-11-21,47146
675.05,687.0,661.3,669.85,2023-11-22,39183
670.2,677.8,660.2,662.3,2023-11-23,32986
666.0,676.15,658.1,666.15,2023-11-24,48377
670.0,674.0,646.0,649.55,2023-11-28,127869
655.0,662.0,643.0,645.8,2023-11-29,97164
646.0,657.8,644.0,649.9,2023-11-30,137531
655.2,660.95,647.85,648.6,2023-12-01,48052
656.95,660.65,648.6,655.35,2023-12-04,51864
667.9,667.9,647.5,649.05,2023-12-05,33607
645.6,650.7,637.1,639.9,2023-12-06,69138
640.65,645.15,632.1,637.95,2023-12-07,28693
636.95,639.0,613.0,620.2,2023-12-08,67586
621.0,630.95,614.8,624.15,2023-12-11,92589
628.5,686.55,624.0,686.55,2023-12-12,121332
723.4,755.2,712.4,749.9,2023-12-13,614105
752.0,780.15,731.55,738.75,2023-12-14,213689
738.75,747.4,720.0,727.65,2023-12-15,139294
728.0,747.95,725.0,732.45,2023-12-18,120687
741.0,758.0,721.55,750.9,2023-12-19,154299
760.0,767.0,715.15,727.5,2023-12-20,171563
724.0,749.0,718.15,745.5,2023-12-21,63455
749.85,784.0,749.85,767.9,2023-12-22,191536
782.0,784.0,771.8,776.15,2023-12-26,114586
785.15,789.9,760.0,764.0,2023-12-27,88784
771.6,777.0,755.05,764.4,2023-12-28,127780
78.0,84.05,76.8,84.0,2023-12-29,3345878
