open,high,low,close,date,volume
1507.75,1520.0,1475.0,1498.65,2022-09-29,11604
1506.15,1507.45,1489.0,1497.15,2022-09-30,2586
1504.65,1504.65,1455.0,1473.0,2022-10-03,2517
1485.55,1504.9,1465.1,1500.6,2022-10-04,5158
1507.0,1528.0,1486.1,1507.95,2022-10-06,6150
1515.5,1524.9,1495.05,1499.7,2022-10-07,9604
1490.0,1639.9,1487.6,1616.65,2022-10-10,69184
1620.0,1670.0,1596.3,1600.6,2022-10-11,37952
1639.0,1640.4,1552.6,1569.9,2022-10-12,11639
1577.75,1597.0,1563.35,1576.1,2022-10-13,7761
1580.0,1605.05,1563.1,1596.1,2022-10-14,10008
1596.0,1614.2,1556.7,1595.5,2022-10-17,13200
1579.55,1640.0,1579.55,1632.5,2022-10-18,10688
1610.0,1675.0,1610.0,1665.8,2022-10-19,13066
1650.0,1705.95,1640.0,1670.85,2022-10-20,20672
1679.25,1689.65,1631.2,1641.9,2022-10-21,5957
1666.0,1666.0,1606.95,1632.85,2022-10-24,2553
1632.85,1668.0,1632.85,1655.35,2022-10-25,3245
1685.0,1705.6,1632.2,1671.3,2022-10-27,6620
1679.5,1700.0,1658.55,1682.4,2022-10-28,2736
1660.65,1727.4,1660.65,1709.0,2022-10-31,7715
1731.45,1748.8,1700.0,1707.1,2022-11-01,12179
1715.65,1814.0,1702.1,1790.85,2022-11-02,28879
1780.05,1855.55,1770.0,1775.5,2022-11-03,27141
1784.4,1835.85,1764.85,1774.55,2022-11-04,13452
1788.0,1850.0,1788.0,1837.8,2022-11-07,14509
2000.0,2205.35,2000.0,2122.5,2022-11-09,405234
2094.95,2148.95,2061.15,2119.55,2022-11-10,56977
2151.0,2202.05,2103.65,2194.35,2022-11-11,44949
2190.0,2212.35,2075.0,2097.45,2022-11-14,50852
2107.95,2127.0,2013.0,2028.65,2022-11-15,30665
2038.8,2221.95,2038.8,2195.35,2022-11-16,104451
2189.2,2189.2,2100.0,2150.05,2022-11-17,26799
2200.0,2450.0,2173.05,2393.0,2022-11-18,396269
2389.0,2499.0,2352.55,2482.35,2022-11-21,111174
2480.0,2549.0,2430.95,2520.05,2022-11-22,66922
2500.0,2525.0,2448.9,2484.25,2022-11-23,34782
2479.95,2568.2,2450.05,2511.5,2022-11-24,71734
2522.5,2575.0,2472.55,2571.9,2022-11-25,34485
2575.0,2625.0,2553.05,2617.6,2022-11-28,60370
2617.6,2639.0,2600.0,2623.05,2022-11-29,26257
2623.05,2675.0,2610.8,2669.65,2022-11-30,42224
2669.65,2719.0,2600.0,2615.65,2022-12-01,47323
2670.0,2670.0,2595.25,2636.6,2022-12-02,31659
2659.85,2918.0,2651.0,2703.05,2022-12-05,117891
2749.0,2750.0,2695.55,2745.45,2022-12-06,45189
2748.85,2750.0,2525.25,2572.5,2022-12-07,44397
