open,high,low,close,date,volume
60.75,62.0,57.25,58.0,2022-09-23,15992
58.0,58.0,53.0,53.7,2022-09-26,27484
53.0,55.45,52.65,54.1,2022-09-27,12283
54.95,58.15,52.2,56.7,2022-09-28,56120
58.5,58.5,55.3,56.3,2022-09-29,11902
57.35,57.9,55.15,57.05,2022-09-30,13922
57.95,57.95,54.25,54.85,2022-10-03,13316
55.85,57.75,54.65,56.95,2022-10-04,25345
57.05,57.8,56.9,57.25,2022-10-06,2249
56.05,58.8,55.25,58.0,2022-10-07,10601
58.2,58.2,55.45,55.8,2022-10-10,5405
56.3,57.0,54.05,54.8,2022-10-11,6678
55.35,55.85,54.0,54.45,2022-10-12,11418
55.0,56.5,54.05,54.5,2022-10-13,14759
55.45,56.05,53.25,53.65,2022-10-14,9854
54.0,57.5,53.15,56.75,2022-10-17,20176
56.75,58.3,56.5,58.05,2022-10-18,11624
58.0,58.0,55.1,55.45,2022-10-19,6059
56.45,56.45,54.55,54.95,2022-10-20,6333
55.1,57.5,54.2,56.2,2022-10-21,14893
57.25,57.5,55.3,56.2,2022-10-24,7835
56.3,56.95,53.1,54.4,2022-10-25,5384
55.45,56.4,54.55,54.7,2022-10-27,13310
55.75,55.75,53.55,54.1,2022-10-28,6445
54.85,56.1,53.15,53.85,2022-10-31,15621
53.95,54.85,53.2,53.5,2022-11-01,6650
53.9,54.55,53.1,53.35,2022-11-02,5858
53.45,54.8,53.15,53.5,2022-11-03,3222
54.0,54.8,52.8,53.1,2022-11-04,10569
54.35,54.8,52.95,53.4,2022-11-07,12765
54.4,54.4,53.4,54.0,2022-11-09,3515
54.1,54.9,53.0,53.1,2022-11-10,3852
54.8,57.0,53.3,55.4,2022-11-11,46824
56.45,62.95,54.2,57.7,2022-11-14,55775
57.7,58.7,56.15,56.9,2022-11-15,9992
57.05,57.9,55.05,55.55,2022-11-16,9382
55.55,56.85,53.8,54.5,2022-11-17,9262
55.0,57.0,53.4,56.25,2022-11-18,22442
57.25,57.55,54.2,54.5,2022-11-21,11534
55.0,55.5,54.1,54.6,2022-11-22,4489
55.05,55.5,53.0,53.5,2022-11-23,13655
54.75,55.05,54.05,54.95,2022-11-24,3912
55.05,55.65,54.1,55.5,2022-11-25,5769
55.5,56.7,55.05,55.8,2022-11-28,7859
56.0,56.0,54.4,54.5,2022-11-29,5800
54.5,56.5,54.5,54.95,2022-11-30,8525
55.85,56.5,55.35,55.8,2022-12-01,7490
56.2,56.2,54.55,55.25,2022-12-02,5014
56.0,56.25,55.05,55.3,2022-12-05,6468
55.8,55.9,54.2,54.55,2022-12-06,9909
55.55,55.55,54.0,54.1,2022-12-07,13249
54.1,55.5,54.0,54.4,2022-12-08,5981
54.4,54.9,53.5,53.75,2022-12-09,12126
53.75,54.5,53.2,53.7,2022-12-12,5548
54.65,54.95,53.0,53.7,2022-12-13,25386
53.85,54.85,53.7,54.35,2022-12-14,9743
54.35,54.5,53.0,53.2,2022-12-15,13082
54.0,54.15,52.45,52.5,2022-12-16,8941
53.15,53.7,52.5,52.9,2022-12-19,5241
53.85,53.85,52.0,52.6,2022-12-20,5962
53.5,54.2,48.6,49.3,2022-12-21,24229
49.7,51.05,46.4,47.1,2022-12-22,37474
47.0,47.0,45.0,45.7,2022-12-23,9750
46.35,49.6,45.7,48.2,2022-12-26,8265
49.15,49.75,48.15,49.0,2022-12-27,6878
49.45,49.7,47.65,48.55,2022-12-28,9816
48.55,49.1,48.0,49.0,2022-12-29,5731
49.95,49.95,47.55,47.9,2022-12-30,9057
47.9,49.5,47.5,48.5,2023-01-02,6120
49.45,50.9,48.55,50.15,2023-01-03,15933
52.0,53.6,48.35,49.55,2023-01-04,28605
50.45,50.45,48.6,49.6,2023-01-05,4770
50.55,50.55,48.7,49.2,2023-01-06,3218
50.7,51.5,48.95,50.95,2023-01-09,15336
51.85,51.85,48.6,49.2,2023-01-10,6994
49.2,50.0,48.5,48.7,2023-01-11,4040
48.1,49.95,48.0,48.55,2023-01-12,2961
48.25,49.5,48.15,49.1,2023-01-13,4442
49.8,49.8,48.1,48.4,2023-01-16,8320
49.2,49.2,48.05,48.6,2023-01-17,2658
48.7,49.75,47.8,48.4,2023-01-18,23933
49.3,49.3,47.5,48.3,2023-01-19,4582
47.0,48.9,47.0,48.1,2023-01-20,2201
47.55,48.2,46.85,47.2,2023-01-23,17632
47.0,49.1,46.25,47.0,2023-01-24,9714
47.0,47.05,45.75,46.2,2023-01-25,8945
47.55,47.55,46.3,47.0,2023-01-27,14604
47.0,47.6,46.05,46.7,2023-01-30,3446
47.55,47.55,46.45,47.45,2023-01-31,2428
48.3,48.3,46.6,46.65,2023-02-01,3633
46.65,47.55,46.1,46.7,2023-02-02,9798
47.05,47.05,45.0,45.5,2023-02-03,9537
46.3,47.6,45.5,47.0,2023-02-06,5454
47.85,47.85,45.95,46.3,2023-02-07,2823
48.7,48.7,45.25,45.75,2023-02-08,8955
46.5,47.35,46.4,46.8,2023-02-09,9279
46.05,48.3,46.0,46.0,2023-02-10,2175
