open,high,low,close,date,volume
415.8,415.8,401.25,404.05,2022-09-29,32743
407.9,411.3,399.9,404.4,2022-09-30,89771
407.95,409.95,398.0,401.55,2022-10-03,54122
405.55,412.0,400.15,409.9,2022-10-04,76982
407.25,411.95,405.35,406.6,2022-10-06,55122
410.0,410.65,405.0,406.0,2022-10-07,44305
407.5,407.5,396.5,398.25,2022-10-10,50548
402.0,405.85,395.65,397.65,2022-10-11,53370
402.05,403.95,392.0,401.0,2022-10-12,47570
401.0,403.6,393.05,395.1,2022-10-13,48340
399.05,406.05,391.4,402.85,2022-10-14,61801
402.85,406.95,387.0,395.25,2022-10-17,60502
399.0,407.4,394.2,400.6,2022-10-18,56399
400.7,408.35,398.05,405.7,2022-10-19,47581
409.5,409.5,401.9,407.0,2022-10-20,51233
403.2,409.95,400.15,402.05,2022-10-21,42758
402.0,409.0,395.1,405.75,2022-10-24,21959
405.0,408.05,398.0,401.0,2022-10-25,67565
401.1,415.0,399.0,409.7,2022-10-27,53357
409.7,414.55,402.45,407.2,2022-10-28,40149
413.0,413.0,400.05,402.3,2022-10-31,43832
405.8,405.8,391.25,397.9,2022-11-01,46448
396.05,407.0,392.25,405.1,2022-11-02,33533
405.0,407.45,400.05,400.4,2022-11-03,42974
400.5,409.7,395.5,403.85,2022-11-04,44254
406.9,407.65,400.1,404.1,2022-11-07,46049
404.1,407.7,400.7,402.65,2022-11-09,39450
405.0,405.0,396.1,397.2,2022-11-10,31366
402.0,413.0,391.45,407.9,2022-11-11,206424
409.0,412.65,401.65,403.1,2022-11-14,93119
407.9,407.9,397.95,399.95,2022-11-15,38943
403.8,403.8,391.9,393.35,2022-11-16,43260
391.0,395.5,389.65,391.45,2022-11-17,51872
392.0,397.95,390.0,393.2,2022-11-18,163593
391.2,397.0,387.0,395.65,2022-11-21,34516
397.0,408.8,390.0,391.3,2022-11-22,30100
388.1,393.8,387.0,388.1,2022-11-23,28648
385.1,391.9,384.0,390.25,2022-11-24,157904
389.0,393.55,386.55,390.3,2022-11-25,37652
388.3,395.0,385.0,386.25,2022-11-28,32228
389.0,390.0,377.35,380.65,2022-11-29,38701
382.0,383.0,376.1,377.5,2022-11-30,52152
375.5,393.1,375.5,387.85,2022-12-01,63080
393.0,400.15,391.15,398.15,2022-12-02,49773
402.05,411.85,401.8,406.55,2022-12-05,76888
407.0,422.75,390.05,418.0,2022-12-06,370493
417.15,424.65,410.0,413.6,2022-12-07,81309
410.15,415.0,406.5,408.8,2022-12-08,40068
409.0,445.0,400.4,403.25,2022-12-09,49649
400.5,405.0,390.0,401.35,2022-12-12,32173
402.4,407.2,399.0,400.75,2022-12-13,35446
401.0,413.8,401.0,411.0,2022-12-14,49658
414.5,414.5,406.65,406.8,2022-12-15,48690
402.75,406.4,394.1,397.75,2022-12-16,52994
397.75,402.45,396.0,397.9,2022-12-19,33785
401.9,401.9,392.0,394.35,2022-12-20,27212
395.0,396.9,380.0,384.1,2022-12-21,51938
384.0,387.2,372.2,375.35,2022-12-22,55430
371.5,375.3,358.0,361.0,2022-12-23,54789
360.0,377.95,359.3,372.7,2022-12-26,55757
375.0,379.45,371.0,372.45,2022-12-27,29892
376.0,385.65,368.15,374.6,2022-12-28,51082
378.0,379.95,371.25,374.0,2022-12-29,37425
378.95,383.45,372.05,373.2,2022-12-30,41924
373.25,382.35,372.8,380.0,2023-01-02,47547
382.0,382.15,378.0,380.9,2023-01-03,37773
384.7,420.0,365.8,406.9,2023-01-04,1216911
408.0,408.0,390.0,392.15,2023-01-05,209220
391.0,393.2,373.55,376.65,2023-01-06,132501
376.1,387.95,375.3,383.1,2023-01-09,84866
385.7,389.6,380.0,386.3,2023-01-10,54501
386.0,388.45,372.8,374.75,2023-01-11,78222
377.6,377.6,370.1,371.65,2023-01-12,37505
372.75,382.05,371.0,376.85,2023-01-13,52778
380.6,380.6,372.8,373.8,2023-01-16,39690
368.5,375.75,368.5,373.25,2023-01-17,34816
374.0,382.6,372.4,376.9,2023-01-18,45461
377.8,384.95,374.9,378.15,2023-01-19,52852
380.85,387.75,377.0,383.55,2023-01-20,63523
384.9,393.2,380.3,385.3,2023-01-23,63521
384.45,394.4,376.75,383.8,2023-01-24,98636
385.6,385.6,376.1,377.3,2023-01-25,33168
378.95,379.15,356.65,359.85,2023-01-27,102892
359.85,365.9,346.95,352.45,2023-01-30,76254
352.45,355.9,348.8,351.0,2023-01-31,45993
354.45,359.9,338.05,341.9,2023-02-01,74180
343.7,345.0,334.55,337.3,2023-02-02,77862
338.65,342.9,320.0,336.1,2023-02-03,87616
337.0,339.05,332.8,337.05,2023-02-06,42442
340.0,351.0,333.0,340.4,2023-02-07,62384
343.8,356.0,339.0,348.15,2023-02-08,72056
351.0,351.0,340.1,341.95,2023-02-09,96922
338.55,347.8,338.2,344.25,2023-02-10,134695
360.0,360.0,344.25,347.6,2023-02-13,168711
351.45,351.45,337.0,340.1,2023-02-14,44132
337.5,344.75,337.5,343.6,2023-02-15,75745
345.5,352.25,341.0,345.05,2023-02-16,180067
344.05,349.4,341.4,345.1,2023-02-17,96318
342.05,345.15,338.0,343.9,2023-02-20,83161
342.0,342.0,333.1,334.0,2023-02-21,123079
334.0,334.0,321.8,327.35,2023-02-22,43331
330.0,330.0,321.95,326.2,2023-02-23,61172
326.0,327.7,322.0,324.0,2023-02-24,90424
327.0,327.0,312.15,317.05,2023-02-27,59399
317.0,319.55,310.1,312.8,2023-02-28,72260
310.0,321.45,310.0,316.0,2023-03-01,69842
316.0,316.9,309.0,311.45,2023-03-02,36260
311.5,332.55,311.5,328.05,2023-03-03,95005
332.0,355.5,330.0,344.45,2023-03-06,160910
341.0,366.0,338.7,363.25,2023-03-08,203552
363.2,372.4,359.9,364.5,2023-03-09,98637
356.0,372.75,356.0,366.95,2023-03-10,136592
370.0,371.9,355.7,362.25,2023-03-13,116218
360.0,363.95,355.0,356.35,2023-03-14,39114
359.85,361.25,351.0,351.85,2023-03-15,43196
354.0,354.0,340.35,342.45,2023-03-16,57894
345.0,354.0,336.7,340.95,2023-03-17,43205
338.05,343.8,334.9,340.1,2023-03-20,27445
342.7,354.65,341.0,349.2,2023-03-21,59488
352.65,357.0,347.05,351.05,2023-03-22,49393
348.05,350.75,347.0,347.15,2023-03-23,53587
343.75,354.0,342.0,345.8,2023-03-24,53940
340.6,346.95,335.0,335.2,2023-03-27,43880
335.15,337.0,325.0,327.25,2023-03-28,46327
326.5,337.15,326.45,334.4,2023-03-29,116164
335.3,374.45,331.45,364.7,2023-03-31,313696
359.05,367.75,352.6,356.6,2023-04-03,104494
359.8,378.6,355.45,371.55,2023-04-05,160969
374.45,387.9,369.95,373.6,2023-04-06,85838
375.0,377.75,368.35,370.9,2023-04-10,54693
374.0,374.4,367.2,370.25,2023-04-11,81341
373.95,379.4,370.75,376.35,2023-04-12,52487
376.0,377.55,366.85,368.6,2023-04-13,32547
368.9,370.15,363.05,368.05,2023-04-17,50054
366.7,371.45,365.15,369.25,2023-04-18,34931
368.0,371.95,366.5,367.6,2023-04-19,26179
