open,high,low,close,date,volume
104.15,104.15,95.75,104.15,2022-11-07,6971
109.35,109.35,107.45,109.35,2022-11-09,20161
114.0,114.5,104.05,106.9,2022-11-10,7449
104.45,106.35,101.6,102.65,2022-11-11,4270
97.55,107.05,97.55,99.95,2022-11-14,3361
104.0,104.0,96.95,100.3,2022-11-15,1415
102.05,102.4,95.3,96.8,2022-11-16,1806
96.8,101.6,92.1,95.7,2022-11-17,3265
95.7,100.45,95.0,99.7,2022-11-18,2102
99.7,104.65,95.55,101.6,2022-11-21,18193
97.95,105.95,97.25,98.65,2022-11-22,5105
99.85,102.8,95.0,97.45,2022-11-23,6405
99.45,102.25,93.0,96.35,2022-11-24,4018
98.3,101.15,94.95,100.45,2022-11-25,4674
104.0,105.45,101.45,103.05,2022-11-28,30641
106.8,108.2,102.05,108.15,2022-11-29,11322
112.3,113.55,105.0,113.55,2022-11-30,22068
116.3,117.5,110.3,114.2,2022-12-01,6436
117.0,117.0,108.5,110.7,2022-12-02,4776
114.0,116.2,108.7,111.1,2022-12-05,10991
115.95,115.95,109.0,110.5,2022-12-06,1706
109.0,113.45,108.1,111.75,2022-12-07,2557
116.0,116.0,100.6,107.15,2022-12-08,3205
112.05,112.05,103.9,105.35,2022-12-09,7317
110.0,110.0,102.65,105.75,2022-12-12,2955
104.95,116.0,104.95,111.2,2022-12-13,7950
105.8,115.8,105.8,110.05,2022-12-14,932
106.8,112.45,106.8,108.95,2022-12-15,637
107.95,111.3,104.45,106.0,2022-12-16,3747
114.35,114.35,102.0,106.15,2022-12-19,767
103.95,111.0,103.95,104.05,2022-12-20,670
103.95,111.95,93.7,96.25,2022-12-21,13198
91.8,104.55,89.55,92.6,2022-12-22,1805
88.15,98.6,88.05,92.75,2022-12-23,1072
100.0,101.9,87.1,99.45,2022-12-26,930
95.55,100.0,95.0,98.0,2022-12-27,785
101.45,101.45,94.9,95.1,2022-12-28,882
94.75,103.35,85.65,93.55,2022-12-29,7262
98.05,100.0,93.9,95.55,2022-12-30,2188
99.9,100.05,95.25,99.95,2023-01-02,2250
95.05,109.0,95.05,104.1,2023-01-03,22548
106.9,110.7,100.25,104.15,2023-01-04,12202
110.0,110.0,100.35,105.25,2023-01-05,5975
102.05,107.35,100.8,105.9,2023-01-06,6402
110.2,110.2,105.25,106.3,2023-01-09,3760
109.5,109.5,103.55,105.55,2023-01-10,2960
106.0,107.3,103.15,105.9,2023-01-11,2140
105.9,108.05,102.1,104.35,2023-01-12,1354
102.0,107.65,102.0,105.75,2023-01-13,1207
109.9,109.9,105.65,106.6,2023-01-16,1689
109.9,109.9,103.3,105.0,2023-01-17,3704
108.5,108.5,98.2,99.65,2023-01-18,6643
105.0,105.0,99.8,100.6,2023-01-19,3081
104.05,104.8,100.05,102.4,2023-01-20,4765
106.7,106.7,100.85,102.95,2023-01-23,1768
105.95,105.95,101.05,101.45,2023-01-24,2589
104.95,104.95,98.0,99.95,2023-01-25,2963
105.0,105.0,96.45,98.5,2023-01-27,2119
97.95,100.0,94.3,95.4,2023-01-30,2555
100.0,100.0,92.05,94.25,2023-01-31,3963
94.95,103.65,94.1,100.9,2023-02-01,3757
94.0,102.0,93.0,94.85,2023-02-02,6761
94.9,101.85,88.4,97.8,2023-02-03,13676
99.5,99.5,93.05,96.45,2023-02-06,3964
92.5,100.05,92.5,93.0,2023-02-07,2326
92.55,98.65,92.45,97.35,2023-02-08,2470
101.0,101.0,92.5,93.65,2023-02-09,1527
95.5,96.4,93.7,96.3,2023-02-10,371
91.75,96.05,91.0,91.45,2023-02-13,1476
99.0,99.0,90.0,91.8,2023-02-14,1464
87.05,92.5,82.65,89.0,2023-02-15,11986
89.15,93.5,88.95,90.95,2023-02-16,1555
90.95,92.95,84.95,87.6,2023-02-17,2704
88.6,95.75,86.25,91.75,2023-02-20,20530
95.9,95.9,92.4,94.7,2023-02-21,5118
94.25,94.3,85.1,91.35,2023-02-22,3086
90.0,94.0,88.75,88.8,2023-02-23,1909
92.95,92.95,88.1,90.65,2023-02-24,1268
88.0,91.95,88.0,89.95,2023-02-27,1760
87.55,91.7,87.55,89.0,2023-05-23,246
89.15,93.4,87.3,88.0,2023-05-24,271
87.95,92.25,87.7,92.0,2023-05-25,380
92.0,92.0,88.45,89.1,2023-05-26,222
89.1,91.9,86.5,87.75,2023-05-29,469
92.1,92.1,87.75,92.1,2023-05-30,11328
92.1,94.4,89.0,91.05,2023-05-31,5099
94.8,94.8,89.15,93.2,2023-06-01,1983
92.9,92.9,88.6,89.35,2023-06-02,1966
92.2,92.2,88.0,88.6,2023-06-05,4900
92.6,92.6,88.45,89.15,2023-06-06,4785
91.4,92.1,87.95,88.8,2023-06-07,2600
91.9,97.65,89.3,97.65,2023-06-08,44676
101.0,107.4,99.95,107.4,2023-06-09,34504
112.4,112.4,96.95,99.95,2023-06-12,39414
103.25,107.45,99.5,102.6,2023-06-13,11138
104.45,104.45,99.5,100.9,2023-06-14,2492
100.25,103.95,99.65,101.85,2023-06-15,2647
99.0,101.5,93.55,98.3,2023-06-16,6116
101.0,101.0,94.0,96.05,2023-06-19,3918
99.0,99.0,93.65,94.55,2023-06-20,4386
97.95,97.95,91.05,92.15,2023-06-21,6507
94.4,94.4,87.95,93.1,2023-06-22,4813
96.0,96.95,91.25,95.85,2023-06-23,6454
96.95,100.8,92.95,97.45,2023-06-26,7384
99.5,99.5,93.6,96.1,2023-06-27,7016
98.95,98.95,94.5,95.0,2023-06-28,3437
90.8,98.1,90.8,95.45,2023-06-30,5494
99.0,99.0,95.4,97.8,2023-07-03,2853
93.45,96.9,93.45,96.0,2023-07-04,4045
94.45,98.0,94.45,95.45,2023-07-05,7417
98.95,99.1,95.5,97.0,2023-07-06,12316
93.0,99.45,93.0,97.1,2023-07-07,5612
97.3,98.8,95.75,98.0,2023-07-10,2273
