open,high,low,close,date,volume
216.0,219.4,213.15,215.95,2022-09-29,141346
214.65,220.8,214.65,218.8,2022-09-30,120358
217.95,228.5,216.5,222.8,2022-10-03,368490
226.35,227.45,221.05,222.7,2022-10-04,97368
224.0,236.4,224.0,234.7,2022-10-06,384453
234.0,236.9,225.5,228.6,2022-10-07,188144
228.6,230.65,225.0,225.6,2022-10-10,64324
227.0,227.95,224.0,225.05,2022-10-11,83814
225.05,234.4,223.3,231.5,2022-10-12,157878
231.2,232.95,225.1,228.65,2022-10-13,60156
228.75,232.95,226.6,229.1,2022-10-14,81006
227.9,231.95,226.0,230.15,2022-10-17,93839
230.15,235.5,227.85,231.45,2022-10-18,88950
233.75,233.75,229.1,230.75,2022-10-19,36360
226.5,232.9,226.5,231.0,2022-10-20,65938
227.55,232.95,225.5,226.15,2022-10-21,81875
228.9,228.9,224.3,225.7,2022-10-24,21155
226.9,227.2,221.6,222.5,2022-10-25,55569
222.0,225.0,217.0,220.15,2022-10-27,127207
218.15,222.0,217.55,220.3,2022-10-28,63042
222.45,223.8,217.05,218.35,2022-10-31,37340
216.4,221.75,214.5,216.45,2022-11-01,59746
216.55,222.0,213.55,220.6,2022-11-02,82899
222.0,226.0,217.0,218.2,2022-11-03,98534
219.0,222.9,217.0,218.75,2022-11-04,63182
221.9,227.0,219.8,225.0,2022-11-07,96255
225.1,228.0,219.55,223.25,2022-11-09,96573
222.55,222.55,218.0,220.0,2022-11-10,55794
221.25,222.75,217.6,219.3,2022-11-11,78693
208.0,209.95,198.5,199.3,2022-11-14,755554
199.3,203.0,196.4,197.55,2022-11-15,237639
197.05,200.0,193.0,193.85,2022-11-16,96284
193.45,194.7,190.1,190.9,2022-11-17,54694
191.8,192.75,189.5,190.4,2022-11-18,62475
190.0,191.35,184.45,187.8,2022-11-21,93817
186.55,189.85,186.05,187.15,2022-11-22,24598
187.15,189.75,185.4,186.65,2022-11-23,59606
186.0,189.95,184.85,185.35,2022-11-24,64516
186.0,188.1,184.15,186.3,2022-11-25,45311
186.35,191.8,181.6,186.0,2022-11-28,130338
186.2,198.0,184.0,191.7,2022-11-29,164316
192.15,196.0,192.15,195.35,2022-11-30,75287
197.5,197.95,194.0,194.8,2022-12-01,46671
196.75,197.0,194.35,195.05,2022-12-02,37022
195.05,199.4,195.0,197.9,2022-12-05,38128
198.45,201.0,197.0,198.3,2022-12-06,83012
199.45,200.0,196.45,197.2,2022-12-07,23448
195.3,203.55,195.0,195.55,2022-12-08,86144
197.4,197.95,186.85,190.0,2022-12-09,65096
188.1,195.6,187.8,189.85,2022-12-12,69812
191.95,191.95,187.8,188.65,2022-12-13,40657
188.2,205.3,188.2,200.2,2022-12-14,339706
201.95,203.95,198.15,200.6,2022-12-15,128147
202.55,202.55,196.2,197.65,2022-12-16,28836
195.6,203.9,195.6,200.85,2022-12-19,73105
200.85,202.0,193.45,195.9,2022-12-20,73551
