open,high,low,close,date,volume
428.9,442.95,422.15,427.2,2022-09-29,8784
429.4,437.7,421.55,434.2,2022-09-30,12192
432.9,439.2,425.5,428.4,2022-10-03,10333
436.65,440.8,428.0,430.35,2022-10-04,11279
438.8,454.95,433.95,443.85,2022-10-06,30408
444.95,479.0,442.95,475.1,2022-10-07,74004
472.0,481.0,463.0,475.65,2022-10-10,27891
479.7,494.0,451.05,455.5,2022-10-11,27956
452.75,459.7,441.65,445.65,2022-10-12,19323
444.9,451.45,434.25,437.55,2022-10-13,10526
446.25,446.9,438.0,438.45,2022-10-14,7752
441.0,441.0,432.8,434.75,2022-10-17,3987
442.55,458.35,431.2,452.55,2022-10-18,14244
455.65,458.8,442.0,444.1,2022-10-19,11630
443.4,450.0,435.0,440.6,2022-10-20,15282
443.65,450.0,437.3,443.45,2022-10-21,11700
449.0,452.0,434.95,444.15,2022-10-24,2558
446.35,446.35,436.3,438.45,2022-10-25,6894
441.9,448.95,432.05,434.85,2022-10-27,19898
437.0,442.9,428.05,430.2,2022-10-28,12357
430.2,438.85,430.2,434.5,2022-10-31,5561
434.5,446.1,431.3,443.2,2022-11-01,7315
444.5,445.1,431.5,434.75,2022-11-02,6624
433.85,436.0,427.2,428.6,2022-11-03,9744
431.55,441.35,427.3,437.3,2022-11-04,6648
448.15,448.15,434.0,436.4,2022-11-07,12137
436.5,443.7,430.0,432.75,2022-11-09,17225
432.85,437.5,420.6,430.85,2022-11-10,15148
435.0,436.05,428.35,430.4,2022-11-11,10035
434.25,438.2,422.0,424.6,2022-11-14,26454
428.4,432.0,422.05,424.85,2022-11-15,7011
426.0,428.95,415.8,417.35,2022-11-16,11579
418.0,421.0,412.1,415.1,2022-11-17,6317
418.8,422.5,411.2,420.65,2022-11-18,5530
423.95,426.7,411.0,413.95,2022-11-21,25913
414.1,418.9,411.3,413.45,2022-11-22,2994
415.25,418.45,412.0,413.3,2022-11-23,5632
417.0,418.95,410.05,410.9,2022-11-24,6799
414.55,426.2,412.0,420.4,2022-11-25,15013
420.4,429.8,416.0,423.1,2022-11-28,9072
429.0,429.0,416.2,419.3,2022-11-29,8576
419.3,434.25,419.3,426.0,2022-11-30,16682
429.95,436.4,426.05,432.85,2022-12-01,15110
432.85,434.9,425.0,428.2,2022-12-02,9495
430.3,433.0,427.1,428.7,2022-12-05,4803
428.7,431.0,424.85,429.85,2022-12-06,3844
428.0,438.7,428.0,430.3,2022-12-07,5448
430.3,436.5,427.3,430.65,2022-12-08,8805
437.9,437.9,425.0,425.95,2022-12-09,4725
428.0,430.0,420.0,422.55,2022-12-12,9437
424.0,425.9,419.4,421.0,2022-12-13,11957
420.05,422.9,417.0,418.1,2022-12-14,14618
418.1,421.45,414.15,416.1,2022-12-15,10208
414.2,416.95,408.0,410.35,2022-12-16,10007
415.0,415.15,395.05,404.85,2022-12-19,16731
404.85,408.8,402.55,406.1,2022-12-20,5071
412.0,412.0,391.3,397.2,2022-12-21,10367
405.05,405.05,380.0,384.2,2022-12-22,15402
382.25,388.0,374.9,380.35,2022-12-23,21690
380.35,392.0,365.15,381.65,2022-12-26,9172
388.5,388.5,379.75,380.8,2022-12-27,14215
377.3,420.0,377.3,397.65,2022-12-28,48307
394.25,396.0,390.4,395.4,2022-12-29,5320
397.0,407.8,397.0,398.65,2022-12-30,13094
405.4,405.4,395.95,397.65,2023-01-02,8544
399.35,410.0,395.15,406.7,2023-01-03,6161
409.0,409.0,389.0,392.75,2023-01-04,15354
398.6,398.8,387.05,396.45,2023-01-05,13351
396.6,397.95,389.75,392.5,2023-01-06,2636
392.8,400.95,388.15,389.95,2023-01-09,9881
392.0,392.0,386.45,388.65,2023-01-10,6479
388.7,392.75,385.8,387.35,2023-01-11,4249
386.15,391.5,386.0,389.15,2023-01-12,3625
389.2,393.9,384.95,385.65,2023-01-13,7202
383.0,391.0,378.35,379.2,2023-01-16,7276
380.05,383.95,380.0,381.4,2023-01-17,3176
382.05,385.0,378.35,379.85,2023-01-18,4298
379.65,382.7,372.35,375.6,2023-01-19,5408
379.3,384.55,374.1,377.5,2023-01-20,5727
382.0,385.0,372.0,375.25,2023-01-23,4455
375.95,380.0,372.45,377.3,2023-01-24,5376
379.15,379.7,368.0,374.2,2023-01-25,3440
373.25,377.95,361.0,364.6,2023-01-27,9275
367.7,371.75,361.9,364.75,2023-01-30,3987
365.0,382.65,365.0,375.75,2023-01-31,3951
379.75,383.0,375.45,377.85,2023-02-01,5575
375.0,379.75,356.0,363.05,2023-02-02,9270
363.0,366.0,342.8,344.95,2023-02-03,48771
348.35,349.8,339.1,339.9,2023-02-06,21302
343.9,359.8,341.65,358.1,2023-02-07,27745
356.1,364.8,354.0,360.4,2023-02-08,5187
361.45,365.4,356.55,359.35,2023-02-09,6496
359.0,363.95,356.55,360.65,2023-02-10,3423
363.15,379.65,360.5,369.25,2023-02-13,34529
371.4,375.0,353.5,361.25,2023-02-14,43013
361.85,378.0,361.25,373.55,2023-02-15,37262
373.0,377.35,367.85,372.95,2023-02-16,24371
374.0,378.9,373.65,375.35,2023-02-17,9895
376.1,380.0,375.35,378.6,2023-02-20,12867
380.0,382.15,377.6,380.45,2023-02-21,6258
383.0,383.0,377.65,378.6,2023-02-22,9564
380.0,381.0,375.6,378.1,2023-02-23,9309
371.05,374.95,370.0,371.55,2023-02-24,6980
369.7,369.7,360.05,361.2,2023-02-27,7437
361.2,362.0,357.0,360.15,2023-02-28,4430
359.65,368.0,356.95,361.9,2023-03-01,2971
362.95,367.7,357.05,358.45,2023-03-02,5458
358.45,363.05,358.45,361.25,2023-03-03,5486
361.25,366.3,354.0,356.0,2023-03-06,20031
359.5,359.5,339.95,344.35,2023-03-08,50918
344.35,352.8,344.35,347.8,2023-03-09,14377
347.8,350.5,341.6,347.15,2023-03-10,5701
349.0,350.25,340.05,341.45,2023-03-13,4787
344.45,345.5,339.1,342.55,2023-03-14,5938
342.55,346.95,339.1,340.8,2023-03-15,9257
340.1,342.75,336.0,340.1,2023-03-16,6181
342.9,344.45,338.05,341.3,2023-03-17,12995
340.0,344.2,337.0,340.3,2023-03-20,5880
342.8,344.2,337.0,338.85,2023-03-21,19522
338.5,348.65,338.5,343.65,2023-03-22,8266
343.65,350.4,340.55,344.45,2023-03-23,10175
344.45,344.95,337.5,338.55,2023-03-24,13915
342.6,342.6,333.0,334.15,2023-03-27,13979
325.55,337.0,325.1,327.65,2023-03-28,23669
329.8,329.85,325.05,327.9,2023-03-29,13504
332.0,335.95,325.5,330.4,2023-03-31,16680
332.55,338.6,331.0,337.25,2023-04-03,16330
338.3,347.0,338.3,346.0,2023-04-05,7648
345.9,352.95,343.05,347.85,2023-04-06,8329
347.85,352.25,345.05,346.8,2023-04-10,5903
345.6,363.7,345.6,360.75,2023-04-11,18237
362.75,365.0,354.8,359.2,2023-04-12,11016
358.9,366.9,356.0,362.8,2023-04-13,10416
362.8,364.35,354.0,358.75,2023-04-17,7468
359.75,365.0,357.0,359.5,2023-04-18,8817
359.5,362.95,355.6,356.7,2023-04-19,9495
357.7,370.0,357.7,367.0,2023-04-20,16666
367.8,376.55,367.8,369.95,2023-04-21,14777
372.0,373.95,366.0,366.25,2023-04-24,7537
367.25,369.85,365.0,366.25,2023-04-25,4390
361.05,374.95,361.05,369.1,2023-04-26,6796
371.0,376.6,366.35,371.0,2023-04-27,6343
371.0,374.45,362.65,366.25,2023-04-28,6876
361.5,376.6,361.5,373.25,2023-05-02,8679
372.9,380.0,369.15,378.35,2023-05-03,10032
377.95,382.5,365.2,367.3,2023-05-04,30633
367.3,371.0,351.55,353.4,2023-05-05,41301
353.4,361.9,353.4,356.15,2023-05-08,28372
359.85,366.45,358.0,362.4,2023-05-09,23711
365.9,365.9,358.0,359.65,2023-05-10,7419
359.65,365.45,346.25,364.65,2023-05-11,10193
364.4,373.7,361.4,370.05,2023-05-12,14700
373.35,374.6,365.2,367.3,2023-05-15,12456
368.0,373.95,367.75,369.35,2023-05-16,9892
369.35,370.0,363.05,366.1,2023-05-17,12940
369.0,393.55,366.45,389.4,2023-05-18,115125
390.4,403.9,389.0,393.5,2023-05-19,45335
