open,high,low,close,date,volume
128.0,134.9,126.45,128.35,2022-09-29,27059
125.3,131.4,125.3,127.6,2022-09-30,32816
129.9,130.0,127.3,128.35,2022-10-03,17681
130.8,132.45,129.1,130.3,2022-10-04,36340
132.8,133.95,129.3,130.15,2022-10-06,25094
130.15,131.5,129.05,130.65,2022-10-07,10853
130.65,130.65,127.1,128.0,2022-10-10,22027
128.55,131.2,127.0,127.95,2022-10-11,15063
129.9,129.95,123.0,126.0,2022-10-12,47040
128.4,128.4,124.0,124.75,2022-10-13,17464
127.45,127.5,125.0,125.5,2022-10-14,13932
126.5,126.5,123.5,124.6,2022-10-17,10026
124.9,128.95,124.25,125.9,2022-10-18,24291
127.4,131.7,125.55,128.85,2022-10-19,59001
127.6,130.7,127.0,127.8,2022-10-20,15918
128.95,128.95,124.25,125.6,2022-10-21,25063
125.65,129.55,125.65,127.1,2022-10-24,9125
128.8,128.8,123.0,125.3,2022-10-25,12146
126.8,126.8,123.0,124.8,2022-10-27,17437
125.0,128.3,123.1,123.65,2022-10-28,14517
128.0,128.0,121.1,123.7,2022-10-31,15934
125.0,126.0,123.0,123.3,2022-11-01,14625
123.0,126.4,123.0,124.45,2022-11-02,24083
125.0,125.8,123.55,124.4,2022-11-03,9245
126.0,130.9,125.95,129.85,2022-11-04,71833
132.45,135.8,130.05,134.75,2022-11-07,70459
137.0,149.6,135.25,147.45,2022-11-09,452621
149.9,152.0,140.85,150.25,2022-11-10,225793
153.0,153.6,145.15,147.7,2022-11-11,89452
149.0,149.3,141.5,142.65,2022-11-14,40732
142.65,149.0,140.0,143.0,2022-11-15,28642
146.7,146.7,138.5,140.3,2022-11-16,29198
137.75,142.55,137.55,138.65,2022-11-17,16665
139.0,143.05,138.05,141.0,2022-11-18,27787
141.7,146.0,138.7,144.35,2022-11-21,41475
145.5,150.0,142.05,148.85,2022-11-22,113747
150.7,158.9,147.55,153.75,2022-11-23,472045
155.95,155.95,145.0,145.65,2022-11-24,132388
146.15,150.45,144.5,148.3,2022-11-25,49710
