open,high,low,close,date,volume
58.95,58.95,55.7,56.25,2022-09-29,67012
55.4,57.5,55.4,56.95,2022-09-30,65279
57.0,57.6,55.6,56.1,2022-10-03,51683
57.0,58.4,56.85,58.0,2022-10-04,50973
58.8,58.8,57.5,58.35,2022-10-06,38624
58.35,58.7,57.8,58.05,2022-10-07,62599
57.75,60.0,57.6,58.75,2022-10-10,84899
58.35,58.85,57.7,58.3,2022-10-11,40687
59.15,59.55,57.25,57.55,2022-10-12,96253
57.55,58.55,57.5,57.9,2022-10-13,33948
58.3,58.5,57.0,57.45,2022-10-14,20104
57.0,57.3,56.2,56.7,2022-10-17,21435
56.5,61.9,56.45,60.7,2022-10-18,377644
61.0,61.2,58.6,58.8,2022-10-19,77441
58.0,60.25,58.0,58.9,2022-10-20,43984
59.3,60.05,57.5,58.0,2022-10-21,51944
58.9,59.45,57.3,59.1,2022-10-24,31517
59.55,59.55,57.0,57.6,2022-10-25,59002
57.7,58.8,57.4,58.45,2022-10-27,39429
59.0,59.25,58.05,58.7,2022-10-28,41854
59.0,61.5,58.6,59.7,2022-10-31,106326
60.4,60.8,59.45,59.85,2022-11-01,65386
56.85,57.45,55.0,56.3,2022-11-02,325845
56.15,57.1,56.0,56.55,2022-11-03,69998
57.0,57.0,55.25,56.15,2022-11-04,86869
56.7,57.6,55.5,56.5,2022-11-07,110117
57.0,57.1,55.5,55.8,2022-11-09,85397
55.65,56.6,55.05,55.85,2022-11-10,50359
55.1,56.3,55.1,55.55,2022-11-11,37065
56.35,56.5,55.1,55.3,2022-11-14,34748
55.9,55.9,54.2,55.05,2022-11-15,43554
55.05,55.9,54.2,54.8,2022-11-16,37042
54.8,55.5,54.45,54.6,2022-11-17,19157
54.6,55.15,53.75,53.95,2022-11-18,30064
53.9,54.55,52.85,53.05,2022-11-21,34592
52.85,55.0,52.7,53.6,2022-11-22,65725
54.35,54.35,53.05,53.4,2022-11-23,26469
53.1,54.0,52.4,52.7,2022-11-24,62070
52.7,53.8,52.55,53.2,2022-11-25,48922
53.2,54.45,53.05,53.8,2022-11-28,44057
53.8,54.65,53.8,54.0,2022-11-29,19811
54.25,55.6,53.7,54.5,2022-11-30,47544
55.0,56.9,54.5,55.6,2022-12-01,87727
55.2,56.05,55.2,55.65,2022-12-02,56703
56.0,57.0,55.45,56.1,2022-12-05,84175
56.25,56.5,55.0,56.0,2022-12-06,95205
56.6,56.8,55.15,55.4,2022-12-07,46562
56.15,60.0,55.2,58.35,2022-12-08,348189
58.75,59.1,56.4,56.65,2022-12-09,84484
56.9,56.9,55.8,56.1,2022-12-12,31155
56.8,57.25,55.45,55.75,2022-12-13,50030
56.95,66.9,56.6,64.7,2022-12-14,1946142
64.6,65.8,62.6,63.1,2022-12-15,450120
62.9,63.5,61.1,61.8,2022-12-16,217181
62.0,67.6,61.55,66.9,2022-12-19,446798
68.35,68.9,65.0,65.5,2022-12-20,415872
65.3,66.2,59.1,59.8,2022-12-21,271730
60.05,61.8,56.25,57.1,2022-12-22,175932
56.7,58.5,53.85,55.1,2022-12-23,164876
54.5,57.95,54.5,56.55,2022-12-26,141317
57.45,57.95,55.6,56.25,2022-12-27,114400
56.5,61.9,56.45,59.95,2022-12-28,470013
59.75,59.95,58.0,58.8,2022-12-29,125393
59.5,60.05,58.4,59.55,2022-12-30,199191
60.05,61.0,58.95,59.85,2023-01-02,75541
59.25,61.65,59.25,59.95,2023-01-03,85248
60.3,60.6,59.6,60.0,2023-01-04,88018
60.0,60.3,58.55,58.85,2023-01-05,39809
59.15,59.2,56.85,57.7,2023-01-06,75645
58.6,58.95,56.9,57.2,2023-01-09,72401
57.2,58.45,56.8,57.85,2023-01-10,40161
57.25,58.95,57.25,58.7,2023-01-11,33904
58.15,59.15,57.8,58.5,2023-01-12,65357
58.7,58.95,56.25,56.7,2023-01-13,187559
57.75,57.75,56.3,56.55,2023-01-16,236013
56.8,56.9,55.55,56.25,2023-01-17,260319
56.25,58.55,56.25,57.05,2023-01-18,168956
56.85,56.95,55.1,55.35,2023-01-19,92827
55.5,56.35,55.0,55.3,2023-01-20,31724
56.0,56.0,54.7,54.7,2023-01-23,88045
55.3,55.3,54.05,54.2,2023-01-24,57297
54.25,54.8,53.3,54.25,2023-01-25,44753
55.0,55.0,52.9,53.1,2023-01-27,55767
52.55,53.8,52.55,52.8,2023-01-30,27122
53.4,54.8,52.8,54.2,2023-01-31,24817
54.75,54.75,51.5,52.55,2023-02-01,65745
52.5,52.95,51.65,52.4,2023-02-02,69238
52.85,52.85,50.45,51.7,2023-02-03,52918
52.35,52.35,51.05,51.45,2023-02-06,29347
52.15,53.2,49.1,52.2,2023-02-07,70483
52.3,53.0,51.5,52.0,2023-02-08,30454
52.7,52.7,51.7,52.2,2023-02-09,53500
52.8,53.5,51.75,52.2,2023-02-10,37562
50.25,51.0,47.15,48.4,2023-02-13,152883
49.6,49.6,47.2,47.95,2023-02-14,76895
48.25,48.6,46.9,47.15,2023-02-15,47829
47.8,48.0,45.75,47.3,2023-02-16,113768
47.4,47.5,45.15,45.95,2023-02-17,109925
46.5,46.5,44.85,45.35,2023-02-20,107302
45.85,46.3,44.5,45.75,2023-02-21,61257
46.25,46.25,43.55,44.55,2023-02-22,101373
44.15,46.5,42.6,45.55,2023-02-23,114092
46.15,47.5,45.0,45.3,2023-02-24,66268
45.9,45.9,44.4,44.45,2023-02-27,57405
44.5,48.05,44.0,47.2,2023-02-28,189880
47.2,48.3,45.85,46.6,2023-03-01,77132
47.25,47.45,46.0,46.15,2023-03-02,49732
46.15,46.9,44.55,45.15,2023-03-03,104485
45.0,46.5,45.0,45.55,2023-03-06,64510
45.5,45.65,43.8,44.95,2023-03-08,55046
45.55,45.8,44.35,44.75,2023-03-09,72302
44.5,46.1,44.5,45.55,2023-03-10,54576
46.0,46.0,43.45,44.05,2023-03-13,138731
44.5,44.5,42.55,42.8,2023-03-14,64678
43.3,44.4,42.8,43.4,2023-03-15,97472
44.0,44.0,40.55,41.8,2023-03-16,61741
45.0,45.0,41.0,41.6,2023-03-17,86026
43.95,43.95,40.75,41.3,2023-03-20,48997
40.75,42.9,40.55,41.1,2023-03-21,160931
41.45,43.4,41.15,42.6,2023-03-22,140170
42.6,43.2,41.65,41.95,2023-03-23,53870
41.95,42.15,40.85,41.15,2023-03-24,184970
41.75,41.75,40.0,40.1,2023-03-27,82489
40.55,40.55,36.3,37.7,2023-03-28,304358
37.1,40.35,37.1,39.35,2023-03-29,150652
39.5,41.4,38.45,39.3,2023-03-31,213582
39.85,42.0,39.6,41.3,2023-04-03,68500
41.8,43.35,41.35,42.4,2023-04-05,124228
42.5,43.4,42.15,43.0,2023-04-06,37816
43.2,43.35,42.0,42.55,2023-04-10,37240
41.8,43.85,41.8,43.45,2023-04-11,36107
42.5,44.35,42.5,43.75,2023-04-12,52610
44.05,44.45,43.6,44.2,2023-04-13,35822
44.55,44.8,43.8,44.3,2023-04-17,25158
43.45,44.75,43.45,44.5,2023-04-18,35555
44.85,44.95,44.25,44.7,2023-04-19,35241
44.6,47.8,44.5,45.75,2023-04-20,101289
45.75,46.25,45.0,45.3,2023-04-21,23489
46.0,46.7,44.4,46.3,2023-04-24,57447
46.65,47.15,45.8,46.25,2023-04-25,32357
45.85,46.5,45.25,45.5,2023-04-26,37919
45.1,46.1,44.95,45.5,2023-04-27,37655
45.1,47.0,43.05,45.65,2023-04-28,164495
46.25,47.1,45.95,46.2,2023-05-02,76673
46.25,46.6,46.15,46.25,2023-05-03,30923
46.65,46.65,45.5,45.9,2023-05-04,104256
46.2,46.55,45.15,45.35,2023-05-05,30834
45.95,46.0,44.5,45.45,2023-05-08,38161
45.45,46.0,44.7,45.5,2023-05-09,131984
45.95,46.1,44.7,44.8,2023-05-10,64842
44.85,47.7,44.8,46.5,2023-05-11,75085
46.5,46.65,45.4,46.1,2023-05-12,30129
46.1,46.95,45.05,45.2,2023-05-15,55629
46.1,47.75,44.9,45.35,2023-05-16,133717
45.0,45.0,42.55,43.45,2023-05-17,177832
44.1,44.7,42.1,42.45,2023-05-18,112865
42.5,43.55,42.5,43.15,2023-05-19,27350
43.55,43.9,42.0,42.7,2023-05-22,45337
43.3,43.65,42.3,43.05,2023-05-23,30744
42.5,43.5,42.35,42.75,2023-05-24,24512
43.3,43.3,42.5,42.65,2023-05-25,13475
43.5,43.5,41.5,41.6,2023-05-26,85937
41.7,42.3,41.25,41.7,2023-05-29,56833
41.85,41.85,40.6,41.2,2023-05-30,47653
41.2,41.65,40.7,41.05,2023-05-31,26685
41.9,42.5,41.45,42.2,2023-06-01,30747
42.5,43.25,42.15,42.85,2023-06-02,40404
44.0,50.85,43.55,49.7,2023-06-05,1806627
49.8,50.45,47.3,48.15,2023-06-06,268524
48.35,48.75,46.5,46.85,2023-06-07,144487
47.55,50.0,46.7,48.6,2023-06-08,229481
49.0,49.4,47.8,48.1,2023-06-09,54938
47.8,48.6,47.2,47.6,2023-06-12,117463
48.25,48.7,47.65,48.2,2023-06-13,83853
48.7,48.7,47.65,47.9,2023-06-14,153039
47.8,48.2,47.3,47.65,2023-06-15,129797
48.0,48.6,47.6,47.7,2023-06-16,189273
48.4,52.3,48.05,49.95,2023-06-19,452992
49.5,49.9,48.8,49.35,2023-06-20,106273
48.8,51.3,48.8,49.95,2023-06-21,125798
50.2,50.3,48.3,48.65,2023-06-22,106307
49.0,49.0,47.55,48.0,2023-06-23,65084
47.3,48.45,47.3,47.6,2023-06-26,15693
48.25,48.9,47.8,48.3,2023-06-27,69180
48.85,49.25,47.75,48.55,2023-06-28,121885
48.55,49.55,48.4,48.6,2023-06-30,64367
50.95,50.95,48.8,49.55,2023-07-03,140566
49.15,50.5,48.4,48.85,2023-07-04,43207
48.85,49.3,48.45,48.85,2023-07-05,42030
48.8,49.35,48.65,48.95,2023-07-06,57392
49.35,50.0,48.6,48.95,2023-07-07,108665
49.0,49.5,47.3,47.45,2023-07-10,86520
47.6,48.2,46.8,47.05,2023-07-11,103087
47.05,47.55,46.25,46.45,2023-07-12,128337
46.9,47.25,45.1,45.8,2023-07-13,77748
46.4,46.95,45.8,46.35,2023-07-14,96685
46.15,46.8,44.7,45.35,2023-07-17,151238
45.45,46.3,44.85,45.0,2023-07-18,121425
