open,high,low,close,date,volume
222.35,225.0,213.35,214.45,2022-09-23,14929
214.45,214.45,204.25,207.4,2022-09-26,16365
211.0,212.75,203.0,204.95,2022-09-27,9085
206.9,211.4,204.4,206.5,2022-09-28,21033
211.15,218.0,207.45,208.4,2022-09-29,8774
207.7,219.45,205.15,215.25,2022-09-30,29285
216.0,218.65,210.65,212.75,2022-10-03,11807
217.95,219.8,209.1,214.45,2022-10-04,12068
215.05,224.0,215.05,217.7,2022-10-06,10866
217.7,222.95,214.25,215.35,2022-10-07,21223
215.0,216.9,210.4,214.55,2022-10-10,3900
214.55,216.0,211.0,212.3,2022-10-11,4629
213.2,213.8,204.3,209.65,2022-10-12,15129
210.65,215.45,207.55,210.15,2022-10-13,16677
213.95,214.45,211.0,211.2,2022-10-14,7856
210.3,210.95,205.05,208.55,2022-10-17,3854
213.6,214.75,210.0,210.05,2022-10-18,1905
210.35,217.45,209.1,213.25,2022-10-19,6755
214.25,216.95,212.0,213.1,2022-10-20,4324
214.75,216.45,209.05,211.9,2022-10-21,7710
216.85,216.9,212.15,214.8,2022-10-24,1648
212.65,214.5,211.2,212.0,2022-10-25,3334
216.2,228.0,210.0,226.1,2022-10-27,44265
224.9,231.95,224.0,228.6,2022-10-28,19766
228.6,234.0,225.1,227.0,2022-10-31,22180
229.2,229.55,220.3,222.05,2022-11-01,5639
222.0,225.7,220.55,222.35,2022-11-02,6453
221.65,223.8,218.5,219.85,2022-11-03,6963
219.5,225.3,216.9,218.05,2022-11-04,8185
225.0,230.5,219.0,228.2,2022-11-07,19886
228.2,231.0,223.1,226.55,2022-11-09,9084
229.05,235.0,221.5,222.6,2022-11-10,23311
212.85,216.75,205.1,206.7,2022-11-11,48068
207.15,212.0,194.3,195.85,2022-11-14,29145
193.55,200.0,192.2,196.05,2022-11-15,45400
200.0,200.0,193.45,194.6,2022-11-16,7333
197.95,197.95,192.1,193.5,2022-11-17,5340
195.0,195.6,186.6,187.3,2022-11-18,10386
188.0,192.65,187.55,189.45,2022-11-21,3760
190.0,191.85,176.6,183.55,2022-11-22,18995
189.7,189.7,182.65,183.5,2022-11-23,6782
184.1,190.0,180.6,182.65,2022-11-24,14924
188.0,188.9,183.55,185.35,2022-11-25,6474
188.35,191.3,180.35,185.6,2022-11-28,11853
184.6,188.7,183.05,183.75,2022-11-29,12013
186.0,197.0,183.0,190.9,2022-11-30,18589
194.95,199.0,194.0,198.1,2022-12-01,13015
199.0,200.1,196.0,198.95,2022-12-02,7616
198.5,200.0,192.0,194.15,2022-12-05,4143
192.0,194.7,187.5,188.25,2022-12-06,6297
188.5,204.0,188.0,197.1,2022-12-07,14015
