open,high,low,close,date,volume
522.0,549.9,522.0,536.55,2022-09-29,22986
544.6,566.0,526.7,560.55,2022-09-30,16931
568.95,584.25,561.0,563.05,2022-10-03,15611
589.0,598.65,572.7,581.15,2022-10-04,14525
581.15,594.9,575.05,589.65,2022-10-06,13745
596.4,596.95,585.0,587.7,2022-10-07,9122
587.7,587.7,561.05,566.15,2022-10-10,11145
560.0,592.7,560.0,583.8,2022-10-11,15235
590.0,590.0,555.5,562.7,2022-10-12,15633
563.1,568.6,548.0,550.65,2022-10-13,8172
562.0,598.1,550.0,556.1,2022-10-14,95164
554.95,554.95,536.0,539.0,2022-10-17,13127
547.0,552.05,517.05,529.95,2022-10-18,25814
535.0,567.0,533.0,558.45,2022-10-19,30205
558.45,580.0,554.45,573.0,2022-10-20,13341
573.0,577.95,554.3,558.55,2022-10-21,8347
566.0,573.0,554.55,569.0,2022-10-24,9614
565.0,571.05,557.05,563.2,2022-10-25,8160
570.0,570.0,551.0,557.15,2022-10-27,9455
562.7,563.95,538.0,545.6,2022-10-28,12585
553.8,560.0,540.0,543.25,2022-10-31,10491
557.5,561.2,548.05,557.4,2022-11-01,6874
565.6,571.0,554.05,558.0,2022-11-02,9981
565.0,566.3,550.85,554.5,2022-11-03,11749
559.7,564.0,521.0,536.8,2022-11-04,44891
523.0,541.95,523.0,528.1,2022-11-07,27236
528.1,540.0,528.1,532.9,2022-11-09,16527
537.9,537.9,531.05,534.7,2022-11-10,8152
549.9,554.3,534.0,537.45,2022-11-11,14253
537.45,545.95,535.0,540.3,2022-11-14,12049
545.0,545.0,512.0,536.65,2022-11-15,10370
542.0,542.0,528.85,530.8,2022-11-16,10474
539.85,539.85,515.0,516.5,2022-11-17,17503
526.75,533.95,512.0,514.5,2022-11-18,12541
522.2,522.2,507.0,517.2,2022-11-21,14596
523.0,523.0,510.5,511.75,2022-11-22,8516
525.0,525.0,505.05,506.55,2022-11-23,24735
519.9,519.9,501.0,502.4,2022-11-24,15051
514.0,514.3,501.2,512.2,2022-11-25,9026
513.0,514.0,506.05,511.5,2022-11-28,11352
511.5,518.0,508.0,509.05,2022-11-29,12625
515.9,519.0,509.0,517.25,2022-11-30,11511
523.95,542.45,518.05,538.1,2022-12-01,19426
535.0,580.1,530.4,566.6,2022-12-02,47482
580.0,580.0,566.65,569.65,2022-12-05,14180
572.7,572.7,550.0,554.6,2022-12-06,15295
557.7,558.95,536.1,553.9,2022-12-07,14315
571.0,571.0,546.0,549.9,2022-12-08,15199
541.65,550.2,523.55,531.15,2022-12-09,12627
539.1,539.5,520.0,530.1,2022-12-12,16864
538.0,538.0,520.0,530.0,2022-12-13,13343
531.9,537.65,528.8,530.55,2022-12-14,12364
530.0,535.4,522.0,523.65,2022-12-15,11906
