open,high,low,close,date,volume
1404.9,1409.85,1393.0,1398.65,2022-09-29,6119965
1388.95,1419.3,1376.0,1413.45,2022-09-30,8120130
1412.0,1412.0,1386.0,1393.75,2022-10-03,4943169
1419.7,1432.25,1414.0,1429.4,2022-10-04,6631341
1445.0,1459.8,1444.1,1455.15,2022-10-06,6180672
1446.35,1457.85,1440.15,1451.2,2022-10-07,3994466
1426.35,1465.0,1426.35,1462.65,2022-10-10,5274677
1462.65,1479.65,1420.1,1423.8,2022-10-11,12824774
1437.0,1441.1,1413.55,1428.7,2022-10-12,5481467
1431.0,1437.95,1415.0,1419.9,2022-10-13,4821514
1485.0,1494.0,1467.25,1474.25,2022-10-14,14990688
1476.9,1495.0,1475.5,1489.95,2022-10-17,4286396
1510.0,1510.95,1497.25,1503.7,2022-10-18,4692004
1504.0,1504.95,1481.3,1485.45,2022-10-19,3553171
1475.0,1504.0,1474.2,1500.9,2022-10-20,4583939
1500.3,1506.0,1491.35,1500.5,2022-10-21,3594485
1518.5,1521.8,1511.0,1517.85,2022-10-24,982837
1528.1,1532.9,1521.05,1526.3,2022-10-25,3914341
1530.8,1534.9,1512.5,1523.95,2022-10-27,6760137
1526.0,1527.95,1507.0,1513.25,2022-10-28,3053981
1530.25,1546.4,1530.25,1537.65,2022-10-31,4542336
1553.05,1575.0,1547.1,1573.0,2022-11-01,4542692
1572.0,1572.75,1545.0,1553.3,2022-11-02,2938906
1538.75,1543.9,1521.65,1530.75,2022-11-03,3174027
1520.45,1520.45,1501.15,1514.0,2022-11-04,4509682
1521.4,1527.9,1491.1,1507.45,2022-11-07,4898592
1529.0,1529.0,1501.1,1511.2,2022-11-09,3334755
1485.0,1512.0,1485.0,1501.95,2022-11-10,3435763
1546.65,1573.5,1546.65,1570.1,2022-11-11,7214098
1575.15,1591.4,1568.45,1585.3,2022-11-14,4908813
1577.85,1597.85,1572.75,1594.0,2022-11-15,3497614
1597.15,1609.0,1593.5,1602.8,2022-11-16,4497697
1597.2,1602.8,1582.95,1587.4,2022-11-17,3469515
1591.7,1598.0,1575.5,1593.4,2022-11-18,3126064
1582.1,1587.85,1564.05,1568.2,2022-11-21,3071764
1569.0,1588.0,1562.0,1585.05,2022-11-22,3399329
1588.9,1592.0,1579.3,1583.15,2022-11-23,3245067
1589.0,1636.0,1584.75,1629.8,2022-11-24,5282215
1631.4,1644.0,1613.8,1635.65,2022-11-25,4563255
1628.0,1653.5,1620.0,1623.4,2022-11-28,3825766
1621.2,1638.75,1615.05,1629.05,2022-11-29,3131710
1619.95,1645.75,1613.15,1634.95,2022-11-30,11868134
1656.2,1672.6,1652.3,1657.1,2022-12-01,5407928
1656.0,1661.8,1633.95,1637.9,2022-12-02,4283343
1638.0,1644.85,1623.3,1639.75,2022-12-05,3824966
1625.0,1626.0,1607.55,1612.9,2022-12-06,4822398
1608.0,1623.8,1596.7,1605.5,2022-12-07,4898087
1605.5,1623.9,1598.5,1620.15,2022-12-08,4206837
1628.0,1628.0,1561.1,1569.3,2022-12-09,8880658
1550.0,1565.95,1530.05,1547.2,2022-12-12,8037679
1547.2,1577.5,1541.15,1572.15,2022-12-13,6135067
1582.0,1588.5,1573.0,1579.4,2022-12-14,4976020
1569.3,1570.0,1535.25,1540.5,2022-12-15,6443866
1525.0,1549.5,1512.05,1522.2,2022-12-16,9630453
1507.95,1516.9,1495.05,1507.35,2022-12-19,6222740
1501.0,1516.0,1482.45,1507.3,2022-12-20,7396259
1515.0,1521.0,1502.35,1509.55,2022-12-21,6236361
1521.5,1529.95,1511.75,1522.05,2022-12-22,6302640
