open,high,low,close,date,volume
60.0,64.0,58.35,59.1,2022-11-23,40023843
59.7,63.8,59.15,61.45,2022-11-24,11843525
61.9,62.8,61.0,62.3,2022-11-25,3229538
62.3,62.95,60.4,61.35,2022-11-28,4647348
60.75,62.4,60.05,60.45,2022-11-29,2032907
61.7,62.7,60.5,60.75,2022-11-30,2501714
61.1,61.8,60.05,60.35,2022-12-01,1220031
60.4,61.0,60.1,60.35,2022-12-02,1177501
60.35,60.75,59.0,59.25,2022-12-05,1150029
59.2,59.9,57.0,57.25,2022-12-06,1550686
57.25,58.8,57.15,57.75,2022-12-07,839722
58.1,58.3,56.95,57.1,2022-12-08,449552
57.15,57.5,54.0,55.4,2022-12-09,1439617
54.8,55.3,53.5,53.85,2022-12-12,754049
53.75,55.5,53.7,54.25,2022-12-13,646542
54.25,55.5,53.8,53.95,2022-12-14,734548
53.95,55.4,53.85,54.6,2022-12-15,710575
54.2,54.55,53.05,53.2,2022-12-16,645603
53.2,53.2,48.6,49.35,2022-12-19,3592141
49.55,50.25,49.1,49.75,2022-12-20,1645112
50.0,50.1,46.3,47.8,2022-12-21,1330177
47.8,48.5,44.75,45.05,2022-12-22,992449
44.4,44.4,40.5,40.85,2022-12-23,1720530
40.85,46.7,40.15,44.9,2022-12-26,2954826
45.75,46.15,43.05,43.9,2022-12-27,1798841
43.7,44.3,42.8,43.05,2022-12-28,895522
43.3,49.25,43.05,46.8,2022-12-29,4921623
47.05,49.85,47.05,47.85,2022-12-30,2329184
48.1,48.65,46.65,47.0,2023-01-02,812681
47.0,47.65,46.7,47.1,2023-01-03,521748
47.1,47.45,45.55,46.15,2023-01-04,927244
46.4,47.6,45.1,45.5,2023-01-05,887742
45.6,45.75,44.15,44.7,2023-01-06,570618
44.95,45.25,43.8,44.55,2023-01-09,628719
44.5,45.65,44.45,44.7,2023-01-10,583373
44.7,47.65,44.7,46.4,2023-01-11,2455238
46.65,47.65,46.2,47.1,2023-01-12,1842914
47.35,47.35,46.35,46.7,2023-01-13,430840
46.35,47.45,45.75,46.45,2023-01-16,3137419
46.65,47.5,46.0,47.15,2023-01-17,2283622
47.4,48.45,46.75,47.8,2023-01-18,2074959
47.6,48.3,47.55,47.8,2023-01-19,1034416
47.8,54.7,47.65,52.8,2023-01-20,6322813
53.1,53.4,50.1,50.5,2023-01-23,2646793
50.75,52.3,50.1,50.6,2023-01-24,2390523
50.6,50.75,47.4,47.65,2023-01-25,2235838
47.9,49.05,45.35,46.1,2023-01-27,1225623
46.35,47.4,45.0,45.95,2023-01-30,695492
46.2,48.6,45.8,48.15,2023-01-31,727392
48.75,52.3,46.05,47.85,2023-02-01,2579122
47.95,49.8,46.0,46.85,2023-02-02,1442850
47.1,47.75,45.5,46.45,2023-02-03,699778
45.3,48.3,45.3,47.1,2023-02-06,551339
47.35,47.95,46.5,46.65,2023-02-07,497681
46.9,47.25,46.5,46.95,2023-02-08,448856
47.0,49.65,47.0,48.15,2023-02-09,891784
48.4,48.4,46.55,47.0,2023-02-10,216996
47.25,47.5,45.85,46.15,2023-02-13,524804
46.4,46.45,45.0,45.1,2023-02-14,254435
45.35,45.75,45.05,45.3,2023-02-15,693453
45.55,45.55,42.7,43.25,2023-02-16,2138200
43.2,44.45,42.8,43.4,2023-02-17,528799
43.65,44.0,42.8,43.7,2023-02-20,1566816
43.7,45.15,43.0,44.1,2023-02-21,693639
43.35,43.9,42.6,43.35,2023-02-22,1720816
43.05,43.3,42.3,42.35,2023-02-23,441520
42.6,42.75,41.3,41.9,2023-02-24,542900
42.15,43.4,41.75,42.25,2023-02-27,419399
42.25,42.75,42.1,42.3,2023-02-28,180807
42.3,43.0,42.1,42.55,2023-03-01,335541
42.55,44.7,42.4,43.65,2023-03-02,516844
43.9,48.1,43.8,46.7,2023-03-03,1689024
47.0,48.35,46.2,47.25,2023-03-06,2019834
47.25,47.25,46.05,46.5,2023-03-08,1345487
46.3,48.5,46.3,47.9,2023-03-09,925975
46.9,47.6,46.55,46.85,2023-03-10,398267
46.85,47.15,44.45,44.9,2023-03-13,568826
44.65,45.15,43.65,43.9,2023-03-14,284686
44.35,44.95,43.15,43.65,2023-03-15,197629
43.6,43.85,42.6,43.0,2023-03-16,255032
