open,high,low,close,date,volume
72.0,77.35,67.35,69.35,2022-09-29,71342
69.75,71.35,68.7,69.9,2022-09-30,34569
70.4,70.95,68.0,68.2,2022-10-03,36868
70.0,72.5,69.95,71.1,2022-10-04,84262
71.1,73.8,71.1,71.85,2022-10-06,39192
72.4,72.85,71.0,71.95,2022-10-07,51198
71.95,74.45,70.05,72.45,2022-10-10,62258
73.85,73.85,70.0,70.2,2022-10-11,39584
70.2,71.25,69.55,70.15,2022-10-12,20119
69.95,70.9,69.05,69.8,2022-10-13,16652
71.85,73.1,69.8,71.05,2022-10-14,58423
70.8,76.4,70.1,74.6,2022-10-17,114940
76.25,76.25,72.0,72.85,2022-10-18,38308
72.55,75.0,72.25,73.5,2022-10-19,33398
72.65,73.5,72.0,73.1,2022-10-20,18851
73.55,73.55,71.35,71.6,2022-10-21,15493
72.95,75.8,70.3,71.95,2022-10-24,15363
72.3,78.9,71.0,75.6,2022-10-25,141376
75.6,75.8,74.25,74.4,2022-10-27,29200
74.5,77.5,72.65,73.3,2022-10-28,70205
73.9,74.75,72.2,72.5,2022-10-31,40413
73.1,74.25,72.6,72.9,2022-11-01,30641
72.6,73.8,72.6,72.95,2022-11-02,10590
72.8,74.4,72.5,72.95,2022-11-03,26002
72.3,74.6,72.3,72.75,2022-11-04,39951
73.7,73.95,72.0,72.6,2022-11-07,63668
72.2,73.3,69.0,70.55,2022-11-09,54752
70.0,71.85,69.6,70.85,2022-11-10,22238
70.85,73.15,70.7,71.4,2022-11-11,24106
72.6,74.5,70.0,71.8,2022-11-14,154777
77.0,77.0,72.75,74.0,2022-11-15,160976
74.85,74.85,70.5,70.8,2022-11-16,62556
70.8,72.7,70.8,71.95,2022-11-17,33031
71.3,72.1,70.2,70.65,2022-11-18,44979
70.1,72.05,70.1,71.4,2022-11-21,25714
71.95,75.0,71.05,71.45,2022-11-22,47938
71.0,74.0,70.9,72.3,2022-11-23,72948
72.3,72.9,71.15,71.7,2022-11-24,29514
70.55,74.3,70.5,71.4,2022-11-25,64493
71.4,73.3,71.15,72.35,2022-11-28,39941
72.35,73.1,71.65,72.15,2022-11-29,25008
72.0,73.25,71.25,71.7,2022-11-30,28370
72.6,74.2,72.0,73.1,2022-12-01,100459
73.1,74.5,72.45,73.8,2022-12-02,36701
74.4,75.55,73.25,74.8,2022-12-05,108396
74.8,75.55,73.3,73.9,2022-12-06,48417
