open,high,low,close,date,volume
2035.0,2074.9,2018.0,2036.1,2022-09-29,10485
2025.0,2179.0,2009.2,2154.0,2022-09-30,32974
2151.0,2151.0,2076.0,2088.05,2022-10-03,9775
2119.0,2122.85,2075.15,2094.35,2022-10-04,7165
2124.0,2148.85,2088.0,2091.6,2022-10-06,5188
2085.0,2113.85,2061.0,2067.45,2022-10-07,7071
2067.0,2105.0,2004.0,2044.2,2022-10-10,5478
2078.8,2078.8,1978.0,1992.45,2022-10-11,9197
2023.95,2023.95,1955.55,1978.55,2022-10-12,6116
1979.95,2001.95,1965.05,1979.95,2022-10-13,5647
2000.0,2070.0,1974.05,1985.8,2022-10-14,5869
1985.65,2001.0,1940.0,1987.25,2022-10-17,9382
2015.0,2119.95,1974.2,2087.7,2022-10-18,25079
2099.0,2143.0,2041.4,2072.95,2022-10-19,13478
2072.8,2075.95,2002.35,2024.9,2022-10-20,8395
2024.9,2094.8,2002.25,2010.95,2022-10-21,21382
2029.9,2056.35,2001.25,2045.5,2022-10-24,2007
2045.5,2055.15,2010.25,2019.35,2022-10-25,4694
2019.0,2051.0,1991.55,2006.95,2022-10-27,5687
2027.0,2033.95,1981.0,2001.15,2022-10-28,4128
2000.0,2105.55,2000.0,2085.95,2022-10-31,18804
2085.0,2115.0,2051.0,2082.9,2022-11-01,11857
2082.0,2108.9,2002.85,2061.5,2022-11-02,15314
2092.0,2092.0,2042.0,2066.7,2022-11-03,8933
2070.0,2115.0,2060.05,2100.3,2022-11-04,8549
2068.8,2203.0,2068.0,2187.4,2022-11-07,27019
2210.0,2277.0,2190.1,2234.9,2022-11-09,32935
2253.25,2419.95,2238.65,2396.35,2022-11-10,123081
2410.0,2429.45,2341.1,2407.5,2022-11-11,43918
2424.0,2470.0,2400.0,2435.3,2022-11-14,30713
2433.0,2514.0,2301.9,2390.65,2022-11-15,48848
2390.65,2510.0,2387.0,2490.65,2022-11-16,36425
2488.0,2562.0,2472.6,2502.65,2022-11-17,43227
2502.0,2552.65,2425.1,2444.85,2022-11-18,27936
2450.0,2544.1,2402.75,2513.4,2022-11-21,30188
2510.0,2550.0,2475.0,2482.3,2022-11-22,30364
2480.0,2527.0,2466.1,2488.55,2022-11-23,22754
2489.95,2599.0,2482.25,2570.95,2022-11-24,70336
2570.0,2646.0,2548.0,2618.8,2022-11-25,52845
2612.0,2735.0,2608.8,2714.55,2022-11-28,101390
2728.0,2766.95,2625.1,2637.35,2022-11-29,51984
2635.0,2748.85,2631.3,2717.15,2022-11-30,24870
2757.9,2785.0,2718.0,2773.7,2022-12-01,51062
2750.7,2828.8,2750.7,2792.9,2022-12-02,40724
2875.0,2928.95,2850.3,2906.1,2022-12-05,104237
2925.0,2988.0,2902.05,2972.35,2022-12-06,61602
2975.0,3054.45,2945.85,3016.65,2022-12-07,61194
3000.0,3021.95,2878.8,2892.75,2022-12-08,44133
2917.0,2920.45,2766.35,2802.95,2022-12-09,41291
2798.0,3030.0,2774.05,2974.25,2022-12-12,79534
3000.0,3027.8,2895.0,2926.95,2022-12-13,25775
2926.95,2974.0,2855.1,2908.3,2022-12-14,17382
2900.0,2931.9,2860.0,2901.95,2022-12-15,14478
2885.0,2900.0,2700.0,2764.7,2022-12-16,40823
2764.7,2802.45,2709.0,2720.6,2022-12-19,18769
2750.0,2780.0,2702.0,2723.9,2022-12-20,12613
2751.15,2780.05,2540.0,2552.25,2022-12-21,41707
