open,high,low,close,date,volume
39.35,40.0,39.15,39.3,2022-09-29,1130059
39.3,39.75,39.3,39.5,2022-09-30,760656
39.25,41.5,39.2,40.8,2022-10-03,2176732
41.5,41.55,40.4,40.55,2022-10-04,1051034
40.8,42.2,40.65,41.9,2022-10-06,2616019
41.8,43.45,41.6,42.05,2022-10-07,3144281
41.6,45.05,41.5,44.3,2022-10-10,10490407
44.85,44.95,42.3,42.65,2022-10-11,3057490
42.95,43.25,42.1,43.05,2022-10-12,1591570
42.85,43.3,42.0,42.75,2022-10-13,1547950
43.1,43.8,42.2,42.4,2022-10-14,1373868
42.2,42.95,41.8,42.4,2022-10-17,994943
42.45,42.9,42.1,42.25,2022-10-18,1058797
42.45,42.55,41.55,41.7,2022-10-19,935218
41.6,41.8,40.35,40.55,2022-10-20,4755169
40.65,41.45,40.6,40.85,2022-10-21,1219235
41.3,42.9,41.05,42.55,2022-10-24,1622673
42.7,44.95,42.1,42.95,2022-10-25,4633685
43.7,45.0,42.5,44.55,2022-10-27,4273013
44.55,45.45,43.55,43.85,2022-10-28,3145427
44.1,45.0,43.75,44.25,2022-10-31,2309865
44.5,45.25,43.9,44.1,2022-11-01,2783164
44.05,46.0,43.75,45.75,2022-11-02,4621879
45.4,48.0,45.25,47.65,2022-11-03,14407509
48.0,49.65,48.0,48.55,2022-11-04,9646797
49.1,51.5,48.8,49.95,2022-11-07,20938107
50.3,52.4,49.9,51.6,2022-11-09,15103721
51.55,51.55,47.75,48.25,2022-11-10,6555810
49.0,50.2,48.25,49.9,2022-11-11,5840629
52.5,54.25,50.85,53.4,2022-11-14,29428038
54.0,56.2,53.6,55.7,2022-11-15,21189130
56.0,62.0,55.9,57.6,2022-11-16,48745972
58.55,59.4,55.3,56.35,2022-11-17,22725319
56.4,59.2,55.95,58.15,2022-11-18,15981319
58.2,60.75,57.75,59.9,2022-11-21,20460275
59.5,59.65,56.1,56.85,2022-11-22,9137839
57.3,62.2,57.2,61.55,2022-11-23,27619107
61.9,63.65,59.0,59.4,2022-11-24,31520147
59.8,61.85,58.7,61.1,2022-11-25,17436036
