open,high,low,close,date,volume
80.5,80.5,78.05,78.7,2022-09-29,3499
78.85,82.9,77.05,81.45,2022-09-30,22906
81.45,82.3,77.55,78.1,2022-10-03,8552
79.6,81.5,78.55,80.25,2022-10-04,5522
81.5,81.5,77.4,78.75,2022-10-06,17657
79.9,79.95,78.55,79.35,2022-10-07,4605
79.1,79.1,76.8,77.45,2022-10-10,4332
79.7,79.7,77.05,77.8,2022-10-11,7067
78.95,78.95,75.6,76.65,2022-10-12,7054
76.75,78.25,75.05,76.75,2022-10-13,5470
78.2,79.05,75.6,76.05,2022-10-14,5171
77.55,78.05,75.0,75.2,2022-10-17,2947
76.6,77.45,75.65,76.75,2022-10-18,1461
77.1,77.3,75.0,75.65,2022-10-19,5414
75.8,77.85,75.2,75.8,2022-10-20,9881
75.25,77.6,75.0,75.2,2022-10-21,3359
75.3,79.95,75.3,77.45,2022-10-24,5418
76.15,78.8,75.55,77.1,2022-10-25,6910
78.5,78.5,75.9,77.4,2022-10-27,4926
74.7,80.0,74.65,76.8,2022-10-28,13523
77.55,78.45,75.05,76.1,2022-10-31,20992
75.45,77.5,75.35,76.2,2022-11-01,6882
75.65,78.0,75.65,77.8,2022-11-02,6382
78.9,78.9,75.05,77.0,2022-11-03,5083
77.0,80.1,76.05,78.05,2022-11-04,15922
78.3,79.35,76.5,78.2,2022-11-07,4433
79.25,79.25,76.25,76.95,2022-11-09,6155
77.85,78.65,76.6,77.4,2022-11-10,14143
77.0,79.3,75.0,75.65,2022-11-11,12155
76.95,78.0,74.5,75.95,2022-11-14,10771
76.0,76.85,72.1,73.15,2022-11-15,19417
72.45,77.0,72.15,75.95,2022-11-16,13532
75.4,76.1,71.5,73.0,2022-11-17,49226
74.0,74.9,71.7,73.1,2022-11-18,16804
73.1,73.4,66.7,67.9,2022-11-21,33685
69.2,75.8,67.8,72.6,2022-11-22,89284
71.1,87.1,71.1,85.25,2022-11-23,1377575
84.95,97.4,82.05,87.75,2022-11-24,933152
88.7,91.2,85.55,87.4,2022-11-25,158342
88.7,88.7,81.7,82.6,2022-11-28,81909
82.7,83.35,78.8,79.15,2022-11-29,40474
80.75,93.0,79.9,85.9,2022-11-30,558411
87.9,88.45,82.05,82.55,2022-12-01,85236
82.55,84.95,80.45,82.05,2022-12-02,62236
81.2,84.5,81.2,81.7,2022-12-05,34126
81.7,84.45,80.55,83.75,2022-12-06,28451
84.0,88.2,83.2,85.35,2022-12-07,50060
86.65,88.55,82.95,85.4,2022-12-08,56726
85.45,86.45,83.2,84.55,2022-12-09,18917
85.0,85.0,81.8,82.45,2022-12-12,29824
83.0,84.0,82.0,82.6,2022-12-13,12983
84.25,84.25,82.0,83.4,2022-12-14,31034
83.45,83.65,80.35,81.15,2022-12-15,21463
82.0,82.7,80.1,80.45,2022-12-16,9062
81.0,82.0,80.15,81.5,2022-12-19,8311
81.55,82.5,79.1,80.5,2022-12-20,11810
81.1,82.2,76.6,77.35,2022-12-21,22065
78.85,78.85,72.6,74.2,2022-12-22,27906
74.0,74.0,70.0,70.6,2022-12-23,17854
71.55,74.0,68.6,73.15,2022-12-26,12863
73.75,74.5,72.2,74.0,2022-12-27,8638
74.35,75.95,73.6,74.15,2022-12-28,12272
75.0,77.95,74.05,76.6,2022-12-29,11330
76.75,78.55,76.15,76.65,2022-12-30,14212
75.25,82.5,75.25,80.05,2023-01-02,20671
80.05,80.05,77.45,78.55,2023-01-03,7836
79.1,81.0,77.0,78.5,2023-01-04,10620
80.0,82.45,79.05,81.75,2023-01-05,28216
82.0,83.7,80.0,80.25,2023-01-06,10933
80.8,85.0,80.8,83.7,2023-01-09,13824
82.35,82.35,79.3,79.85,2023-01-10,6086
