open,high,low,close,date,volume
56.0,59.15,56.0,59.15,2022-09-29,15031
62.1,62.1,60.5,62.1,2022-09-30,14202
65.2,65.2,62.1,65.2,2022-10-03,50115
68.0,68.45,61.95,68.45,2022-10-04,49426
71.7,71.85,68.65,71.85,2022-10-06,30373
73.8,75.4,73.75,75.4,2022-10-07,13703
79.15,79.15,71.65,76.85,2022-10-10,38083
74.5,79.15,73.05,73.05,2022-10-11,32939
74.4,74.4,69.4,69.4,2022-10-12,28788
68.05,69.85,66.05,67.35,2022-10-13,16326
70.0,70.0,67.15,67.5,2022-10-14,7205
68.7,70.85,67.5,70.85,2022-10-17,16119
73.8,74.35,71.0,74.35,2022-10-18,35328
76.0,78.05,71.15,75.4,2022-10-19,99062
72.9,79.15,72.05,78.45,2022-10-20,63187
76.9,82.35,76.9,82.35,2022-10-21,35474
86.45,86.45,86.45,86.45,2022-10-24,5715
86.45,90.75,84.95,88.35,2022-10-25,53849
85.3,90.0,84.0,84.15,2022-10-27,46187
84.15,88.0,79.95,81.35,2022-10-28,101551
79.0,85.4,77.3,85.4,2022-10-31,1361490
89.65,89.65,89.65,89.65,2022-11-01,23887
94.1,94.1,94.1,94.1,2022-11-02,15298
98.8,98.8,98.8,98.8,2022-11-03,22218
103.7,103.7,103.7,103.7,2022-11-04,22900
108.85,108.85,105.2,108.85,2022-11-07,498129
112.5,114.25,110.0,114.25,2022-11-09,358705
117.25,117.25,108.55,108.55,2022-11-10,268128
108.0,113.95,103.15,107.9,2022-11-11,396055
107.9,108.0,102.55,102.55,2022-11-14,51364
100.0,102.95,97.65,100.15,2022-11-15,36268
99.0,105.15,96.5,104.8,2022-11-16,135501
93.9,93.9,87.65,89.95,2023-02-28,1208
87.9,93.0,87.9,91.15,2023-03-01,30830
95.0,95.0,89.8,89.8,2023-03-02,6035
92.0,93.5,89.8,92.85,2023-03-03,15347
93.0,93.0,90.15,91.2,2023-03-06,9405
89.4,91.9,88.8,89.95,2023-03-08,1940
93.9,93.9,87.6,90.4,2023-03-09,22367
87.25,93.05,86.0,90.2,2023-03-10,102782
91.55,92.8,85.7,86.6,2023-03-13,26252
85.8,87.75,84.15,86.2,2023-03-14,27843
88.65,88.65,82.2,83.45,2023-03-15,14510
85.3,85.45,80.0,85.05,2023-03-16,18039
83.45,87.0,83.45,84.8,2023-03-17,10905
84.1,84.75,81.8,82.5,2023-03-20,15515
83.25,85.0,81.95,83.45,2023-03-21,5499
84.85,85.7,82.4,83.65,2023-03-22,9097
86.6,86.6,81.9,83.45,2023-03-23,8367
82.25,85.0,81.65,83.5,2023-03-24,13390
84.85,86.2,79.35,80.95,2023-03-27,10297
79.95,84.95,76.9,76.9,2023-03-28,45684
76.3,80.7,75.5,79.9,2023-03-29,19362
82.0,83.85,78.0,80.8,2023-03-31,19696
79.2,84.8,79.2,84.3,2023-04-03,13713
82.1,87.5,82.1,86.05,2023-04-05,20047
87.05,90.3,84.1,88.8,2023-04-06,16911
87.05,89.1,87.0,87.95,2023-04-10,6372
90.15,91.0,87.45,90.3,2023-04-11,5581
93.7,93.7,87.25,88.4,2023-04-12,9342
87.95,95.8,87.9,95.2,2023-04-13,10881
102.8,103.75,94.85,100.8,2023-04-17,26950
100.8,104.8,98.45,101.05,2023-04-18,7643
99.3,103.0,96.0,98.2,2023-04-19,2613
101.75,103.0,95.0,95.9,2023-04-20,45122
94.05,98.35,94.05,95.3,2023-04-21,15428
95.95,101.0,94.95,96.85,2023-04-24,5352
96.4,96.9,94.95,96.85,2023-04-25,2656
101.05,101.05,95.5,96.95,2023-04-26,5343
