open,high,low,close,date,volume
801.0,832.0,801.0,813.5,2022-09-29,5548
818.8,818.8,802.0,807.7,2022-09-30,22701
800.0,823.85,800.0,814.1,2022-10-03,4823
828.0,829.95,800.05,805.65,2022-10-04,5040
820.0,829.95,805.05,807.25,2022-10-06,1619
810.15,818.6,805.0,808.0,2022-10-07,1400
805.1,865.0,801.2,833.6,2022-10-10,21267
825.05,863.75,812.0,824.0,2022-10-11,12237
829.85,829.85,820.0,825.2,2022-10-12,1038
820.0,827.45,804.05,805.2,2022-10-13,6611
819.9,824.95,800.0,804.95,2022-10-14,4759
814.65,814.75,803.3,805.9,2022-10-17,11202
812.0,815.0,801.1,806.4,2022-10-18,900
801.0,824.75,800.1,802.35,2022-10-19,8521
810.0,817.0,800.0,807.05,2022-10-20,3356
817.0,817.95,804.05,804.55,2022-10-21,2094
802.0,815.15,802.0,806.2,2022-10-24,1732
815.0,815.0,752.0,786.55,2022-10-25,32812
798.0,845.0,787.1,820.8,2022-10-27,6726
835.0,835.0,790.1,795.8,2022-10-28,2356
801.3,810.0,780.0,786.65,2022-10-31,3071
787.0,819.95,786.0,814.85,2022-11-01,10606
800.05,825.0,781.2,808.0,2022-11-02,7395
805.75,823.0,795.0,800.65,2022-11-03,20880
800.7,808.65,791.4,793.0,2022-11-04,2185
808.85,808.9,790.45,791.75,2022-11-07,7958
792.0,801.55,780.0,784.9,2022-11-09,8264
789.8,789.8,755.05,761.8,2022-11-10,8520
761.8,783.8,750.75,753.45,2022-11-11,4230
760.0,815.0,760.0,801.85,2022-11-14,16907
817.0,883.95,805.0,815.65,2022-11-15,41305
820.0,839.9,795.0,804.1,2022-11-16,20264
804.8,829.8,804.8,827.95,2022-11-17,10389
835.0,835.0,812.85,819.4,2022-11-18,2777
819.0,826.35,814.05,819.35,2022-11-21,2182
814.4,819.95,814.4,816.55,2022-11-22,1249
823.55,871.55,812.6,834.4,2022-11-23,9133
834.4,855.0,820.0,836.1,2022-11-24,10819
846.0,846.0,826.05,840.1,2022-11-25,5178
846.0,848.25,834.05,846.75,2022-11-28,3353
835.0,854.45,821.35,824.2,2022-11-29,2751
825.05,835.0,818.05,831.15,2022-11-30,2300
839.7,844.95,827.0,840.45,2022-12-01,13209
840.0,860.0,835.05,846.75,2022-12-02,7229
850.0,855.95,846.75,853.35,2022-12-05,3811
859.5,875.0,845.05,869.8,2022-12-06,12203
