open,high,low,close,date,volume
256.0,258.95,243.0,245.3,2022-09-29,49435
248.9,251.95,244.05,249.75,2022-09-30,47804
245.5,259.8,245.5,254.4,2022-10-03,64949
263.9,265.0,256.5,259.65,2022-10-04,28967
265.0,274.4,261.45,271.15,2022-10-06,105826
277.4,278.0,271.6,274.2,2022-10-07,49631
269.0,290.0,269.0,288.7,2022-10-10,261207
298.05,332.2,290.0,319.2,2022-10-11,1274650
320.4,325.0,302.3,307.15,2022-10-12,311355
309.5,335.0,300.0,332.1,2022-10-13,724447
339.2,350.5,318.0,325.1,2022-10-14,699266
329.55,329.55,306.0,310.45,2022-10-17,222566
323.0,332.4,312.5,314.6,2022-10-18,636092
313.0,325.0,311.15,317.7,2022-10-19,175186
318.05,325.45,312.05,314.25,2022-10-20,119841
317.9,321.4,309.05,314.55,2022-10-21,124742
321.7,323.65,311.25,313.95,2022-10-24,34642
317.7,317.7,310.05,312.1,2022-10-25,37465
314.0,316.7,305.0,307.2,2022-10-27,72219
312.7,323.9,309.5,313.9,2022-10-28,140046
314.95,314.95,305.0,308.9,2022-10-31,53601
310.5,318.0,308.0,309.05,2022-11-01,61391
312.9,316.45,309.15,310.75,2022-11-02,71221
311.0,325.25,310.2,319.85,2022-11-03,111843
323.7,326.5,311.0,315.55,2022-11-04,64388
319.4,319.9,312.0,318.25,2022-11-07,51268
319.85,344.4,317.0,335.15,2022-11-09,440018
338.7,341.4,308.0,317.1,2022-11-10,258232
325.45,326.7,314.2,316.65,2022-11-11,81640
318.45,329.95,313.3,323.5,2022-11-14,127177
324.95,339.4,318.05,333.75,2022-11-15,286166
335.35,335.35,316.0,317.8,2022-11-16,98153
317.8,324.2,315.2,317.3,2022-11-17,67925
317.0,320.15,302.8,306.95,2022-11-18,116126
304.0,316.8,303.0,315.1,2022-11-21,58938
315.0,317.5,308.0,309.65,2022-11-22,65026
314.0,320.0,309.0,309.7,2022-11-23,46492
310.0,314.0,307.0,310.3,2022-11-24,39508
316.0,318.0,311.2,313.95,2022-11-25,46844
323.0,323.0,309.35,311.85,2022-11-28,85045
314.3,319.9,309.35,312.9,2022-11-29,72761
313.85,318.4,311.25,314.2,2022-11-30,37500
313.2,329.7,313.2,325.4,2022-12-01,204387
327.4,332.0,318.15,320.65,2022-12-02,152335
323.85,324.65,310.0,311.0,2022-12-05,126745
310.0,313.55,307.5,310.45,2022-12-06,60881
313.15,313.2,307.85,308.8,2022-12-07,21332
311.25,313.95,308.1,311.0,2022-12-08,48049
314.1,316.0,291.5,295.85,2022-12-09,88692
291.3,295.55,285.6,288.5,2022-12-12,51724
294.95,294.95,285.5,287.35,2022-12-13,35314
289.0,297.0,278.8,282.4,2022-12-14,65132
282.95,287.95,280.0,283.75,2022-12-15,63726
286.6,286.6,276.65,278.25,2022-12-16,38345
277.05,278.25,271.65,273.7,2022-12-19,37698
275.7,294.5,273.75,290.45,2022-12-20,135217
290.9,297.0,272.15,274.15,2022-12-21,95929
279.4,282.95,244.55,259.7,2022-12-22,177927
254.65,261.95,238.0,240.25,2022-12-23,56181
242.9,268.0,240.8,261.4,2022-12-26,59191
265.0,284.85,264.95,279.35,2022-12-27,80736
278.0,292.5,274.1,287.0,2022-12-28,77547
286.0,290.0,278.9,285.5,2022-12-29,36089
290.3,302.0,290.05,294.3,2022-12-30,192392
292.0,298.6,291.15,294.65,2023-01-02,49174
295.0,298.15,290.6,292.95,2023-01-03,42009
294.95,296.95,285.0,286.05,2023-01-04,30704
288.0,303.25,286.3,293.55,2023-01-05,98675
294.05,297.0,291.0,293.3,2023-01-06,22995
294.95,299.7,293.1,297.45,2023-01-09,76763
300.4,303.25,297.8,300.5,2023-01-10,64104
301.0,305.4,294.0,295.25,2023-01-11,57474
295.3,299.55,282.1,289.9,2023-01-12,40233
294.25,296.05,291.3,292.95,2023-01-13,33797
299.8,299.8,292.4,295.6,2023-01-16,51588
296.45,299.5,289.7,294.2,2023-01-17,62067
295.0,296.0,290.5,293.7,2023-01-18,19253
291.0,294.85,288.1,289.05,2023-01-19,26387
298.0,298.0,284.0,286.4,2023-01-20,59099
287.7,287.9,280.0,281.35,2023-01-23,40166
285.0,289.0,252.0,258.2,2023-01-24,309042
264.95,264.95,257.05,262.85,2023-01-25,178386
266.8,266.8,257.5,260.1,2023-01-27,297020
258.0,264.0,251.35,259.35,2023-01-30,244594
263.25,266.85,259.0,262.95,2023-01-31,185550
266.0,266.9,259.1,264.3,2023-02-01,166994
263.0,264.0,258.15,260.25,2023-02-02,49018
260.35,262.5,255.5,260.35,2023-02-03,187765
258.0,265.5,258.0,264.7,2023-02-06,122128
270.0,274.0,263.0,265.6,2023-02-07,42176
270.0,270.0,265.0,267.65,2023-02-08,32261
263.8,275.0,263.8,273.0,2023-02-09,44736
273.0,276.55,270.55,274.3,2023-02-10,23100
277.0,277.0,267.55,271.6,2023-02-13,31916
275.0,275.25,268.55,272.0,2023-02-14,59416
272.25,279.0,271.3,276.45,2023-02-15,49486
279.95,280.3,271.1,273.0,2023-02-16,19740
273.0,276.0,273.0,274.55,2023-02-17,18509
272.1,276.0,271.85,274.8,2023-02-20,22924
276.95,282.05,269.85,279.05,2023-02-21,76129
281.75,282.0,272.1,277.1,2023-02-22,48043
279.85,282.5,272.0,279.5,2023-02-23,25354
279.45,289.4,274.95,287.2,2023-02-24,96594
290.0,291.9,280.5,290.7,2023-02-27,53889
293.0,293.0,283.2,288.45,2023-02-28,68396
286.45,293.6,285.15,288.85,2023-03-01,44553
287.25,295.2,286.75,291.0,2023-03-02,67102
291.0,297.0,285.05,294.2,2023-03-03,72339
300.0,300.0,287.45,289.7,2023-03-06,38738
293.35,296.0,288.15,294.65,2023-03-08,35430
291.7,299.85,291.3,296.9,2023-03-09,47805
299.65,299.65,291.0,296.6,2023-03-10,41442
288.8,298.85,288.8,297.15,2023-03-13,115943
299.0,299.0,284.0,286.15,2023-03-14,17979
287.55,295.0,275.0,276.15,2023-03-15,48190
278.65,278.65,255.4,257.4,2023-03-16,86016
261.0,261.7,246.65,249.85,2023-03-17,96971
258.45,258.45,244.2,245.9,2023-03-20,40954
249.6,263.0,244.7,258.45,2023-03-21,69761
260.0,265.95,256.3,261.35,2023-03-22,82270
261.35,265.05,252.25,253.35,2023-03-23,107526
255.55,256.05,245.1,248.0,2023-03-24,113746
245.1,247.35,239.5,244.7,2023-03-27,132155
244.7,244.7,229.8,238.75,2023-03-28,132756
239.75,242.85,235.0,236.75,2023-03-29,139821
240.25,246.9,236.8,239.9,2023-03-31,177572
243.0,265.0,243.0,247.95,2023-04-03,174852
252.0,297.5,251.85,297.5,2023-04-05,548703
306.8,309.9,286.4,295.05,2023-04-06,628053
292.1,293.7,275.5,282.05,2023-04-10,95767
281.4,313.0,278.6,305.55,2023-04-11,321857
306.55,314.25,293.35,296.65,2023-04-12,163320
299.95,308.9,295.9,305.55,2023-04-13,79757
307.9,312.0,294.35,298.5,2023-04-17,62289
300.85,304.75,293.0,294.6,2023-04-18,29953
295.95,302.95,291.5,294.25,2023-04-19,46514
295.8,302.0,291.4,296.3,2023-04-20,13743
297.0,298.1,291.1,294.1,2023-04-21,16905
294.1,318.0,294.0,314.7,2023-04-24,250177
314.6,321.9,307.55,310.15,2023-04-25,119539
307.05,320.0,302.15,305.9,2023-04-26,211138
307.85,310.6,302.5,304.0,2023-04-27,34138
305.6,308.8,300.1,301.9,2023-04-28,43115
285.0,289.0,281.5,283.6,2023-05-02,151899
286.4,291.7,282.0,282.8,2023-05-03,130317
281.6,284.0,272.6,277.85,2023-05-04,338251
279.95,281.65,269.45,271.55,2023-05-05,100665
272.0,278.0,269.0,270.3,2023-05-08,114031
271.8,284.25,271.8,280.05,2023-05-09,143615
283.0,284.0,273.8,276.45,2023-05-10,109551
277.95,280.35,270.35,272.15,2023-05-11,112933
273.65,280.75,272.8,279.25,2023-05-12,106891
280.0,286.9,276.7,277.95,2023-05-15,144679
281.1,288.5,279.65,285.15,2023-05-16,115251
285.95,289.15,280.4,284.15,2023-05-17,101563
285.7,293.95,284.5,288.15,2023-05-18,192247
288.15,290.9,281.6,285.95,2023-05-19,117107
285.0,299.85,282.2,296.55,2023-05-22,250785
295.0,300.0,291.15,295.75,2023-05-23,138926
295.0,305.35,292.1,294.05,2023-05-24,192363
293.6,298.35,291.0,296.0,2023-05-25,72460
296.2,304.5,293.55,303.5,2023-05-26,89664
303.0,308.2,300.0,306.55,2023-05-29,104757
304.25,307.45,299.85,300.9,2023-05-30,91251
302.5,310.0,299.35,301.0,2023-05-31,131439
303.5,313.15,299.55,301.35,2023-06-01,160436
301.5,309.5,301.1,304.75,2023-06-02,136195
305.9,311.0,303.1,304.8,2023-06-05,109720
304.8,314.2,304.1,311.45,2023-06-06,173442
312.0,321.0,311.85,317.05,2023-06-07,181405
318.0,321.0,308.0,309.25,2023-06-08,140464
309.3,353.9,308.05,343.95,2023-06-09,1136274
347.7,376.9,345.0,367.85,2023-06-12,1357883
367.95,372.75,354.05,366.6,2023-06-13,385801
369.5,369.75,357.2,365.45,2023-06-14,157892
366.0,375.45,356.35,359.0,2023-06-15,253789
362.0,369.85,359.8,363.9,2023-06-16,174476
366.8,366.8,357.0,358.5,2023-06-19,67264
360.0,385.8,355.8,373.3,2023-06-20,367138
375.9,375.9,360.95,362.9,2023-06-21,110036
361.45,364.85,347.45,354.8,2023-06-22,120554
354.8,357.3,341.65,351.8,2023-06-23,68672
353.05,354.2,346.55,347.8,2023-06-26,25395
350.35,354.95,348.15,351.6,2023-06-27,54007
353.9,356.0,350.0,352.35,2023-06-28,36417
350.1,355.1,340.0,341.6,2023-06-30,54437
347.3,354.8,334.05,344.45,2023-07-03,116288
347.9,354.95,344.4,346.4,2023-07-04,50085
347.0,351.8,342.05,344.45,2023-07-05,46188
345.2,359.7,345.15,349.35,2023-07-06,86916
346.0,358.0,342.15,352.9,2023-07-07,74099
355.0,380.35,352.95,376.3,2023-07-10,259846
381.0,394.0,376.5,382.7,2023-07-11,445488
385.0,387.8,373.7,375.45,2023-07-12,97387
376.8,385.45,363.05,365.8,2023-07-13,73446
365.8,373.2,365.2,368.85,2023-07-14,39638
370.75,381.5,362.9,374.95,2023-07-17,74823
377.45,377.45,365.2,367.15,2023-07-18,89129
366.45,408.85,366.45,404.05,2023-07-19,826211
411.0,424.0,408.25,411.95,2023-07-20,499555
411.95,421.4,404.0,416.6,2023-07-21,165491
416.0,427.0,405.45,409.45,2023-07-24,119214
410.7,429.0,408.05,417.1,2023-07-25,203458
418.8,425.0,415.0,415.6,2023-07-26,58425
419.4,421.45,406.6,411.8,2023-07-27,71831
412.9,419.4,406.85,410.1,2023-07-28,100486
