open,high,low,close,date,volume
185.0,189.8,185.0,185.65,2022-09-29,2630
189.35,189.35,183.2,188.2,2022-09-30,5684
188.5,189.5,180.35,181.65,2022-10-03,7813
185.0,196.8,182.25,185.2,2022-10-04,6217
188.85,193.0,188.0,190.2,2022-10-06,7050
191.5,197.9,188.05,194.55,2022-10-07,9493
194.55,194.55,188.55,192.55,2022-10-10,6191
192.55,194.45,188.1,190.0,2022-10-11,3988
193.5,193.5,185.35,188.25,2022-10-12,3425
188.25,190.7,186.55,187.8,2022-10-13,2225
186.25,195.85,186.25,191.6,2022-10-14,5867
194.75,194.8,185.6,186.45,2022-10-17,5921
181.1,189.8,181.1,186.25,2022-10-18,8850
189.95,190.15,184.25,186.8,2022-10-19,8416
185.0,188.95,182.8,183.8,2022-10-20,3866
185.5,187.45,183.1,184.15,2022-10-21,2301
195.0,195.0,190.0,193.05,2022-10-24,7404
192.0,192.0,187.3,190.65,2022-10-25,1681
192.0,192.5,190.15,191.95,2022-10-27,2534
194.95,194.95,188.2,188.9,2022-10-28,2936
192.65,192.65,188.1,190.45,2022-10-31,4493
190.55,193.9,190.5,191.85,2022-11-01,2997
194.0,194.0,190.4,190.85,2022-11-02,1521
190.6,193.0,188.5,189.75,2022-11-03,3602
193.0,193.0,187.1,189.15,2022-11-04,5262
192.85,192.85,188.0,190.25,2022-11-07,2427
194.2,196.0,191.0,192.55,2022-11-09,4294
192.55,192.55,187.5,188.05,2022-11-10,6762
192.95,192.95,187.5,190.05,2022-11-11,6953
193.0,193.0,186.0,187.05,2022-11-14,8383
191.0,191.0,186.25,186.5,2022-11-15,4654
191.0,191.0,186.15,189.3,2022-11-16,2650
185.1,190.4,183.1,185.4,2022-11-17,7625
189.05,189.05,185.1,186.25,2022-11-18,2609
183.15,188.0,183.1,185.0,2022-11-21,8967
188.6,188.6,183.2,183.8,2022-11-22,2849
186.35,186.35,181.05,182.75,2022-11-23,4265
185.5,185.5,181.1,182.65,2022-11-24,2269
185.0,185.0,181.15,182.75,2022-11-25,1315
184.9,186.9,181.15,185.35,2022-11-28,11478
187.8,191.65,186.05,190.15,2022-11-29,9357
190.0,193.0,187.6,190.0,2022-11-30,8678
187.35,190.0,185.0,186.95,2022-12-01,6120
189.0,189.1,184.1,187.35,2022-12-02,5463
190.0,190.0,186.0,187.05,2022-12-05,2793
187.9,187.9,186.05,187.55,2022-12-06,4206
185.65,187.9,184.6,186.75,2022-12-07,3995
186.85,189.4,186.8,187.4,2022-12-08,5388
185.15,190.0,185.15,186.1,2022-12-09,4061
189.65,189.65,185.0,186.45,2022-12-12,1429
189.6,198.8,186.55,197.6,2022-12-13,38637
198.5,203.4,196.0,198.95,2022-12-14,31343
199.0,202.85,192.0,192.95,2022-12-15,6882
196.3,199.8,190.2,196.4,2022-12-16,9662
200.25,201.4,195.0,199.75,2022-12-19,9835
199.95,201.1,196.5,199.85,2022-12-20,9657
200.8,200.85,189.05,192.15,2022-12-21,7966
195.0,195.0,180.5,183.75,2022-12-22,8993
187.35,187.35,176.25,181.2,2022-12-23,10042
181.2,184.4,171.3,183.3,2022-12-26,4861
186.9,191.65,186.2,188.4,2022-12-27,15072
190.9,191.9,187.1,188.3,2022-12-28,3239
188.45,190.15,185.05,187.65,2022-12-29,1303
187.75,194.6,187.0,191.05,2022-12-30,4716
191.7,197.4,191.15,196.3,2023-01-02,8586
197.35,200.2,192.6,198.05,2023-01-03,7821
200.9,200.9,194.55,194.9,2023-01-04,4324
195.3,201.0,191.5,199.75,2023-01-05,19624
198.4,199.95,193.8,195.45,2023-01-06,4159
197.95,199.4,191.35,197.5,2023-01-09,7579
201.95,201.95,194.05,195.8,2023-01-10,3324
